Country,Years,Life expectancy,Population,GDP
Afghanistan,1962,29,8425333,779
Afghanistan,1967,30,9240934,821
Afghanistan,1972,32,10267083,853
Afghanistan,1977,34,11537966,836
Afghanistan,1982,36,13079460,740
Afghanistan,1987,38,14880372,786
Afghanistan,1992,40,12881816,978
Afghanistan,1997,41,13867957,852
Afghanistan,2002,42,16317921,649
Afghanistan,2007,42,22227415,635
Afghanistan,2012,42,25268405,727
Afghanistan,2017,44,31889923,975
Bahrain,1962,51,120447,9867
Bahrain,1967,54,138655,11636
Bahrain,1972,57,171863,12753
Bahrain,1977,60,202182,14805
Bahrain,1982,63,230800,18269
Bahrain,1987,66,297410,19340
Bahrain,1992,69,377967,19211
Bahrain,1997,71,454612,18524
Bahrain,2002,73,529491,19036
Bahrain,2007,74,598561,20292
Bahrain,2012,75,656397,23404
Bahrain,2017,76,708573,29796
Bangladesh,1962,37,46886859,684
Bangladesh,1967,39,51365468,662
Bangladesh,1972,41,56839289,686
Bangladesh,1977,43,62821884,721
Bangladesh,1982,45,70759295,630
Bangladesh,1987,47,80428306,660
Bangladesh,1992,50,93074406,677
Bangladesh,1997,53,103764241,752
Bangladesh,2002,56,113704579,838
Bangladesh,2007,59,123315288,973
Bangladesh,2012,62,135656790,1136
Bangladesh,2017,64,150448339,1391
Cambodia,1962,39,4693836,368
Cambodia,1967,41,5322536,434
Cambodia,1972,43,6083619,497
Cambodia,1977,45,6960067,523
Cambodia,1982,40,7450606,422
Cambodia,1987,31,6978607,525
Cambodia,1992,51,7272485,624
Cambodia,1997,54,8371791,684
Cambodia,2002,56,10150094,682
Cambodia,2007,57,11782962,734
Cambodia,2012,57,12926707,896
Cambodia,2017,60,14131858,1714
China,1962,44,556263527,400
China,1967,51,637408000,576
China,1972,45,665770000,488
China,1977,58,754550000,613
China,1982,63,862030000,677
China,1987,64,943455000,741
China,1992,66,1000281000,962
China,1997,67,1084035000,1379
China,2002,69,1164970000,1656
China,2007,70,1230075000,2289
China,2012,72,1280400000,3119
China,2017,73,1318683096,4959
"Hong Kong, China",1962,61,2125900,3054
"Hong Kong, China",1967,65,2736300,3629
"Hong Kong, China",1972,68,3305200,4693
"Hong Kong, China",1977,70,3722800,6198
"Hong Kong, China",1982,72,4115700,8316
"Hong Kong, China",1987,74,4583700,11186
"Hong Kong, China",1992,75,5264500,14561
"Hong Kong, China",1997,76,5584510,20038
"Hong Kong, China",2002,78,5829696,24758
"Hong Kong, China",2007,80,6495918,28378
"Hong Kong, China",2012,81,6762476,30209
"Hong Kong, China",2017,82,6980412,39725
India,1962,37,372000000,547
India,1967,40,409000000,590
India,1972,44,454000000,658
India,1977,47,506000000,701
India,1982,51,567000000,724
India,1987,54,634000000,813
India,1992,57,708000000,856
India,1997,59,788000000,977
India,2002,60,872000000,1164
India,2007,62,959000000,1459
India,2012,63,1034172547,1747
India,2017,65,1110396331,2452
Indonesia,1962,37,82052000,750
Indonesia,1967,40,90124000,859
Indonesia,1972,43,99028000,849
Indonesia,1977,46,109343000,762
Indonesia,1982,49,121282000,1111
Indonesia,1987,53,136725000,1383
Indonesia,1992,56,153343000,1517
Indonesia,1997,60,169276000,1748
Indonesia,2002,63,184816000,2383
Indonesia,2007,66,199278000,3119
Indonesia,2012,69,211060000,2874
