Country/Region/World,ISO,Sex,Year,Mean BMI,Mean BMI lower 95% uncertainty interval,Mean BMI upper 95% uncertainty interval,Prevalence of BMI>=30 kg/m² (obesity),Prevalence of BMI>=30 kg/m² lower 95% uncertainty interval,Prevalence of BMI>=30 kg/m² upper 95% uncertainty interval,Prevalence of BMI>=35 kg/m² (severe obesity),Prevalence of BMI>=35 kg/m² lower 95% uncertainty interval,Prevalence of BMI>=35 kg/m² upper 95% uncertainty interval,Prevalence of BMI<18.5 kg/m² (underweight),Prevalence of BMI<18.5 kg/m² lower 95% uncertainty interval,Prevalence of BMI<18.5 kg/m² upper 95% uncertainty interval,Prevalence of BMI 18.5 kg/m² to <20 kg/m²,Prevalence of BMI 18.5 kg/m² to <20 kg/m² lower 95% uncertainty interval,Prevalence of BMI 18.5 kg/m² to <20 kg/m² upper 95% uncertainty interval,Prevalence of BMI 20 kg/m² to <25 kg/m²,Prevalence of BMI 20 kg/m² to <25 kg/m² lower 95% uncertainty interval,Prevalence of BMI 20 kg/m² to <25 kg/m² upper 95% uncertainty interval,Prevalence of BMI 25 kg/m² to <30 kg/m²,Prevalence of BMI 25 kg/m² to <30 kg/m² lower 95% uncertainty interval,Prevalence of BMI 25 kg/m² to <30 kg/m² upper 95% uncertainty interval,Prevalence of BMI 30 kg/m² to <35 kg/m²,Prevalence of BMI 30 kg/m² to <35 kg/m² lower 95% uncertainty interval,Prevalence of BMI 30 kg/m² to <35 kg/m² upper 95% uncertainty interval,Prevalence of BMI 35 kg/m² to <40 kg/m²,Prevalence of BMI 35 kg/m² to <40 kg/m² lower 95% uncertainty interval,Prevalence of BMI 35 kg/m² to <40 kg/m² upper 95% uncertainty interval,Prevalence of BMI >=40 kg/m²(morbid obesity),Prevalence of BMI >=40 kg/m² lower 95% uncertainty interval,Prevalence of BMI >=40 kg/m² upper 95% uncertainty interval
United States of America,USA,Men,1975,25.2890040231393,24.7547092628059,25.8232302046772,0.10713612214474,0.0723575781839593,0.150463531145357,0.0136025900965452,0.00676585659703188,0.024210120417719,0.018831100924863,0.00911077397816002,0.033374091013998,0.0464737550265202,0.0276859272041012,0.0722054012044511,0.464802895674544,0.392700782506739,0.537410119460934,0.362756126329332,0.294800530394267,0.432843269736374,0.0935335320481951,0.0589376558190875,0.136323684908531,0.0111969549153033,0.00481244951304079,0.0210994872174933,0.00240563518124183,0.000697215575259904,0.00581841401287989
United States of America,USA,Men,1976,25.3477187936732,24.8704645148937,25.8267618235677,0.110666102649112,0.0765718214631676,0.152706936171881,0.014510411635034,0.00753235215275444,0.024915301101031,0.0180220793974588,0.00911041533353837,0.0311797152786351,0.0449220938868466,0.0275201967824499,0.0685902145545692,0.460246748563891,0.392618180208385,0.527991999569553,0.366142975602691,0.301920134096347,0.432511336855598,0.0961556910140785,0.0622907405013222,0.137501416368447,0.0118991942017401,0.00539401228883175,0.02159832778742,0.00261121743329384,0.00083650396767066,0.00595239879865671
United States of America,USA,Men,1977,25.4059595451172,24.9678306721136,25.8529354051266,0.114264797546255,0.0806651865635678,0.155415687671921,0.0154774778864005,0.00835077553762587,0.0255393007353127,0.017259833816004,0.00905164055192674,0.0290587366099407,0.0434404078114593,0.0273009612418081,0.0653087520321916,0.455622531666517,0.391543881326601,0.519677417340611,0.369412429259765,0.308650547835457,0.431970585794345,0.0987873196598545,0.0656547674327762,0.138617635316721,0.0126398645688402,0.00605087377659579,0.0221408406005814,0.00283761331756024,0.00100067955705671,0.00615696975481846
United States of America,USA,Men,1978,25.4652924546706,25.0513277459157,25.8854624744211,0.117943649954622,0.0852058084985103,0.158102600195199,0.0165053123254934,0.00923317791635761,0.0263149309387472,0.0165396138449021,0.00897604941595822,0.0273263248134418,0.0420172164171265,0.0269853599582163,0.0621721171803205,0.450929785747325,0.390457156381343,0.511156543148732,0.372569734136024,0.315007407123124,0.431585973724758,0.101438337629128,0.0689551081166129,0.139924402965223,0.013417688710794,0.00670147634870816,0.0228728380145406,0.00308762361469931,0.00119237586833203,0.00638110711254983
United States of America,USA,Men,1979,25.5272340046963,25.1227932930383,25.9364974724458,0.121724575073273,0.0895572362081089,0.160840256621076,0.0176056618964635,0.0101795718889144,0.0273986912631799,0.0158602552918207,0.0088574080117799,0.0256229960645562,0.0406497416115307,0.0265590353181424,0.0591605804399067,0.446146756065228,0.388708684133559,0.503027038024472,0.375618672058147,0.320665475798359,0.43238210469896,0.10411891317681,0.0727756358450113,0.141683298028421,0.0142421464583175,0.0073357962653387,0.0236783528639285,0.00336351543814592,0.00139497970714527,0.00672119291090946
United States of America,USA,Men,1980,25.5923122268751,25.2007488437571,25.9973870919329,0.125626358488247,0.0937295406876526,0.163981464582898,0.0187833237063875,0.0112156127146443,0.0286954638777751,0.0152178502575152,0.00869660855295117,0.0240871701366456,0.0393228701782385,0.026047504776628,0.0567348429455717,0.441270036928417,0.386249253248954,0.495071373528509,0.378562884247582,0.326149235902896,0.43302056784961,0.10684303478186,0.0756085209712336,0.143901053701711,0.0151159230469741,0.00805561306203918,0.0245268161466526,0.00366740065941337,0.00159147216964887,0.00712465265656652
United States of America,USA,Men,1981,25.6624486885438,25.2770142917827,26.0539611390618,0.12972531038019,0.0980003130891296,0.167734002929599,0.0200643864364573,0.0123185308627646,0.030127812560987,0.0146087958251667,0.00848795209702863,0.0229139213396996,0.038023806475284,0.025507010374293,0.0542724021568843,0.436220724744409,0.383203350518054,0.487181802968,0.38142136267495,0.331313645488392,0.433073471374854,0.109660923943732,0.0782381805056778,0.145853703554861,0.016057149537534,0.00878805922186669,0.025449679701234,0.00400723689892324,0.0018168761342186,0.00759705128886168
United States of America,USA,Men,1982,25.7379043484175,25.3561354423503,26.1300464878057,0.134047417000283,0.102486719134389,0.171053093210668,0.0214487809220868,0.0135835991319001,0.0316551972493512,0.0140252813871359,0.00826925064555793,0.0216857997204106,0.0367491414275441,0.0248530993465748,0.0521257384673939,0.430993411049313,0.379699662362324,0.479982334935588,0.384184749235724,0.335966511461912,0.434007246838955,0.112598636078197,0.0815310686489896,0.148505645276185,0.0170654176482797,0.00957090335424883,0.0266610099713674,0.00438336327380716,0.00205059248698554,0.00809754855654631
United States of America,USA,Men,1983,25.8182970722835,25.4352154701997,26.222876120086,0.138570566164581,0.107087793694165,0.175289710314745,0.0229446824170867,0.0147729700641093,0.0336746184480449,0.013471451937693,0.0079646414004474,0.0206399585597963,0.0355080718451089,0.0241353795903519,0.0504861471972464,0.425605215702772,0.376287658301769,0.473309161117195,0.386844694449845,0.339701743675394,0.435183466293666,0.115625883747494,0.0847792582001166,0.150303579880661,0.018144382312159,0.0104470134733824,0.0279436487422078,0.00480030010492773,0.00229611012734404,0.00861824774144574
United States of America,USA,Men,1984,25.9034097457914,25.5205611393508,26.3083493061437,0.143301230290844,0.112167194269169,0.179654672816915,0.0245620968104596,0.0160894775812862,0.0355684370844869,0.0129498372951638,0.00773543198758769,0.0197706363332319,0.0343017324272421,0.0233734722409302,0.0485394452526487,0.420055854032566,0.372667216949334,0.466343342507869,0.389391346054184,0.342764374347322,0.436396236648939,0.118739133480385,0.0884261760856052,0.153160280290971,0.0193008639923843,0.0113585701673757,0.0294666350464895,0.00526123281807529,0.0025685412175966,0.00928396204773088
