GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "02000","Alaska",8,CAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",21181698,22201930,23190634,24270355,25888513,27606973,29712529,32701876,32749086,35162893,37580637,38822647,38502520,40935223,42290967,41461355,42300914
 "02000","Alaska",8,CAINC5N,20,"...","Population (persons) 2/","Number of persons",633714,642337,648414,659286,666946,675302,680300,687455,698895,714015,722259,730825,736760,736759,737979,741522,739795
 "02000","Alaska",8,CAINC5N,30,"...","Per capita personal income (dollars)","Dollars",33425,34564,35765,36813,38817,40881,43676,47569,46858,49247,52032,53122,52259,55561,57306,55914,57179
 "02000","Alaska",8,CAINC5N,35,"...","Earnings by place of work","Thousands of dollars",17029542,18022950,18952128,19930391,21160964,22329761,23393286,24430398,25470709,26980117,28474981,29655705,29872701,30727951,31574766,30515721,30780621
 "02000","Alaska",8,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",1737867,1827564,1891380,2015222,2156197,2362647,2461784,2543244,2587043,2676798,2545526,2697695,3119794,3123123,3161669,3062679,3092127
 "02000","Alaska",8,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",840321,885319,919379,976311,1039153,1146409,1214233,1263406,1284901,1338543,1101091,1146434,1514874,1551315,1586649,1550292,1581545
 "02000","Alaska",8,CAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",897546,942245,972001,1038911,1117044,1216238,1247551,1279838,1302142,1338255,1444435,1551261,1604920,1571808,1575020,1512387,1510582
 "02000","Alaska",8,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",-862962,-791627,-700011,-607712,-512611,-419820,-307912,-173320,-178715,-179836,-194345,-205430,-206239,-220190,-223575,-197064,-184839
 "02000","Alaska",8,CAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",14428713,15403759,16360737,17307457,18492156,19547294,20623590,21713834,22704951,24123483,25735110,26752580,26546668,27384638,28189522,27255978,27503655
 "02000","Alaska",8,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",3533452,3490775,3584036,3754490,3991905,4444213,5005121,5526693,5296461,5703440,6307032,6667770,6542389,7021484,7424646,7555190,7839088
 "02000","Alaska",8,CAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",3219533,3307396,3245861,3208408,3404452,3615466,4083818,5461349,4747674,5335970,5538495,5402297,5413463,6529101,6676799,6650187,6958171
 "02000","Alaska",8,CAINC5N,50,"..."," Wages and salaries","Thousands of dollars",11733847,12324298,12794870,13460848,14256293,15122617,16103298,17038036,17532551,17998133,18772293,19588221,19949098,20625633,21213327,20475117,20346128
 "02000","Alaska",8,CAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",3153314,3382590,3730593,3993476,4327237,4471755,4680984,4773068,5004495,5174337,5696146,6147150,6409221,6634976,6754053,6663754,6790835
 "02000","Alaska",8,CAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 6/","Thousands of dollars",2255768,2440345,2758592,2954565,3210193,3255517,3433433,3493230,3702353,3836082,4251711,4595889,4804301,5063168,5179033,5151367,5280253
 "02000","Alaska",8,CAINC5N,62,"...","  Employer contributions for government social insurance","Thousands of dollars",897546,942245,972001,1038911,1117044,1216238,1247551,1279838,1302142,1338255,1444435,1551261,1604920,1571808,1575020,1512387,1510582
 "02000","Alaska",8,CAINC5N,70,"..."," Proprietors' income 7/","Thousands of dollars",2142381,2316062,2426665,2476067,2577434,2735389,2609004,2619294,2933663,3807647,4006542,3920334,3514382,3467342,3607386,3376850,3643658
 "02000","Alaska",8,CAINC5N,71,"...","  Farm proprietors' income","Thousands of dollars",13108,12665,5682,8198,7846,3984,2947,-12885,-14156,-12656,-12666,-9165,-10533,-9284,-7857,-5943,-13010
 "02000","Alaska",8,CAINC5N,72,"...","  Nonfarm proprietors' income","Thousands of dollars",2129273,2303397,2420983,2467869,2569588,2731405,2606057,2632179,2947819,3820303,4019208,3929499,3524915,3476626,3615243,3382793,3656668
 "02000","Alaska",8,CAINC5N,81,"111-112"," Farm earnings","Thousands of dollars",20006,19501,11733,14560,13944,10252,9370,340,4954,6270,5556,11205,9860,11546,11730,14733,8110
