GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "05000","Arkansas",5,CAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",64374920,65878184,69721985,74158872,78138502,83020846,88484857,91798185,90242461,93103196,99328677,106536954,106429638,112619155,116248596,118769649,123313411
 "05000","Arkansas",5,CAINC5N,20,"...","Population (persons) 2/","Number of persons",2691571,2705927,2724816,2749686,2781097,2821761,2848650,2874554,2896843,2921737,2938640,2949208,2956780,2964800,2975626,2988231,3004279
 "05000","Arkansas",5,CAINC5N,30,"...","Per capita personal income (dollars)","Dollars",23917,24346,25588,26970,28096,29422,31062,31935,31152,31866,33801,36124,35995,37985,39067,39746,41046
 "05000","Arkansas",5,CAINC5N,35,"...","Earnings by place of work","Thousands of dollars",46778228,47829825,51019258,54284814,56136212,58335588,60613111,60786520,59375526,61175364,63550678,66962562,69617565,71380492,72103139,73128747,75942869
 "05000","Arkansas",5,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",5349797,5516718,5719222,6005233,6356559,6816870,7101504,7393152,7392654,7602978,7116123,7258357,8263279,8601037,8872268,8951969,9232607
 "05000","Arkansas",5,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",2766690,2876961,2972284,3128995,3348394,3624149,3797851,3961224,3959185,4034973,3383782,3432552,4401536,4597055,4764493,4868710,5057144
 "05000","Arkansas",5,CAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",2583107,2639757,2746938,2876238,3008165,3192721,3303653,3431928,3433469,3568005,3732341,3825805,3861743,4003982,4107775,4083259,4175463
 "05000","Arkansas",5,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",-374299,-372826,-351296,-319084,-288118,-248452,-181505,-139079,-120068,-129276,-112287,-155772,-215244,-225269,-233825,-205716,-246364
 "05000","Arkansas",5,CAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",41054132,41940281,44948740,47960497,49491535,51270266,53330102,53254289,51862804,53443110,56322268,59548433,61139042,62554186,62997046,63971062,66463898
 "05000","Arkansas",5,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",11410826,11112513,11382418,11848412,13251654,14940592,16978518,18277225,16383024,16047722,18919070,22651899,20533123,23824688,25835065,26345507,27787335
 "05000","Arkansas",5,CAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",11909962,12825390,13390827,14349963,15395313,16809988,18176237,20266671,21996633,23612364,24087339,24336622,24757473,26240281,27416485,28453080,29062178
 "05000","Arkansas",5,CAINC5N,50,"..."," Wages and salaries","Thousands of dollars",32970649,33873394,35118617,37224027,39076554,41363015,43531570,44463825,44017724,44757777,46289381,47879652,48798769,50460522,52406186,53861461,55940608
 "05000","Arkansas",5,CAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",7449863,7818051,8399352,8874038,9438367,9742055,10102784,10318480,10260866,10504281,10607763,11313578,11734817,12100927,12022422,12283395,12701550
 "05000","Arkansas",5,CAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 6/","Thousands of dollars",4866756,5178294,5652414,5997800,6430202,6549334,6799131,6886552,6827397,6936276,6875422,7487773,7873074,8096945,7914647,8200136,8526087
 "05000","Arkansas",5,CAINC5N,62,"...","  Employer contributions for government social insurance","Thousands of dollars",2583107,2639757,2746938,2876238,3008165,3192721,3303653,3431928,3433469,3568005,3732341,3825805,3861743,4003982,4107775,4083259,4175463
 "05000","Arkansas",5,CAINC5N,70,"..."," Proprietors' income 7/","Thousands of dollars",6357716,6138380,7501289,8186749,7621291,7230518,6978757,6004215,5096936,5913306,6653534,7769332,9083979,8819043,7674531,6983891,7300711
 "05000","Arkansas",5,CAINC5N,71,"...","  Farm proprietors' income","Thousands of dollars",1718712,987842,2122016,2461922,1615787,1257989,1628805,1293949,668695,381500,458580,809513,2167063,1722930,815949,497131,981246
 "05000","Arkansas",5,CAINC5N,72,"...","  Nonfarm proprietors' income","Thousands of dollars",4639004,5150538,5379273,5724827,6005504,5972529,5349952,4710266,4428241,5531806,6194954,6959819,6916916,7096113,6858582,6486760,6319465
 "05000","Arkansas",5,CAINC5N,81,"111-112"," Farm earnings","Thousands of dollars",2010462,1274998,2410507,2772395,1873965,1514369,1921295,1597411,932619,661249,702411,1113813,2495764,2013343,1148230,854419,1288268
 "05000","Arkansas",5,CAINC5N,82,"..."," Nonfarm earnings","Thousands of dollars",44767766,46554827,48608751,51512419,54262247,56821219,58691816,59189109,58442907,60514115,62848267,65848749,67121801,69367149,70954909,72274328,74654601
 "05000","Arkansas",5,CAINC5N,90,"113-814","  Private nonfarm earnings","Thousands of dollars",37085709,38493653,40024710,42346543,44383294,46338971,47843868,47953571,46790965,48529427,50671024,53667443,54568169,56622843,58131616,59333519,61500404
 "05000","Arkansas",5,CAINC5N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",371537,373157,391900,468750,462741,467772,402876,405496,410313,511757,448595,515458,510067,543780,574474,580547,577615
 "05000","Arkansas",5,CAINC5N,101,"113","    Forestry and logging","Thousands of dollars",204708,(D),214040,(D),224931,(D),(D),178293,170616,207224,168471,(D),(D),(D),(D),257246,257846
 "05000","Arkansas",5,CAINC5N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",979,(D),715,(D),-1887,(D),(D),-3777,-2659,-740,-600,(D),(D),(D),(D),-564,-895
 "05000","Arkansas",5,CAINC5N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",165850,164519,177145,259588,239697,266638,225067,230980,242356,305273,280724,323202,309185,321354,327417,323865,320664
 "05000","Arkansas",5,CAINC5N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",274357,261411,266007,280866,372476,551995,597957,954130,708597,787637,965057,1019694,996990,857385,491310,251938,529341
