GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "04000","Arizona",6,CAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",140805569,145930328,154810692,169309942,188149041,209009703,220652427,223221865,211397715,215012419,225853155,236455566,242571877,257066980,270806695,280988093,296648898
 "04000","Arizona",6,CAINC5N,20,"...","Population (persons) 2/","Number of persons",5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154,6407002,6465488,6544211,6616124,6706435,6802262,6908642,7016270
 "04000","Arizona",6,CAINC5N,30,"...","Per capita personal income (dollars)","Dollars",26701,27043,28094,29954,32222,34667,35776,35543,33327,33559,34932,36132,36664,38331,39811,40672,42280
 "04000","Arizona",6,CAINC5N,35,"...","Earnings by place of work","Thousands of dollars",104944956,108532134,114295135,124975811,137528773,152576251,159264708,156856419,145557336,146275244,152291732,159469640,166847274,173963685,182165548,190107230,202015520
 "04000","Arizona",6,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",11946096,12345684,12824161,13891737,15247857,16722166,17692604,17903581,17067994,17245535,15978553,16522656,19313529,19989457,21034446,21960353,23306025
 "04000","Arizona",6,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",6151764,6359086,6639672,7217130,7984513,8783288,9232304,9325192,8997278,9147909,7576131,7817658,10317869,10813271,11393583,11956634,12746146
 "04000","Arizona",6,CAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",5794332,5986598,6184489,6674607,7263344,7938878,8460300,8578389,8070716,8097626,8402422,8704998,8995660,9176186,9640863,10003719,10559879
 "04000","Arizona",6,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",637767,695772,796320,946475,1058007,1091791,1174866,1214028,1224121,1248968,1248199,1348811,1345007,1451984,1515382,1566259,1592194
 "04000","Arizona",6,CAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",93636627,96882222,102267294,112030549,123338923,136945876,142746970,140166866,129713463,130278677,137561378,144295795,148878752,155426212,162646484,169713136,180301689
 "04000","Arizona",6,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",27856270,27534528,29068327,31504259,36322924,40931695,44121458,43694812,37673777,36848000,40468865,44307630,44156296,48996882,53233167,54870399,57465107
 "04000","Arizona",6,CAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",19312672,21513578,23475071,25775134,28487194,31132132,33783999,39360187,44010475,47885742,47822912,47852141,49536829,52643886,54927044,56404558,58882102
 "04000","Arizona",6,CAINC5N,50,"..."," Wages and salaries","Thousands of dollars",79484246,81178177,85001248,92157429,101120355,111470425,117290411,117223908,109645484,109158485,113496912,118948346,122598769,127740732,134028793,139243494,147391459
 "04000","Arizona",6,CAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",15988220,16860896,17674033,18963038,20640034,23073344,25287184,26642438,25469271,25432885,26159838,26308623,27825941,28867258,29556850,31029929,32486015
 "04000","Arizona",6,CAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 6/","Thousands of dollars",10193888,10874298,11489544,12288431,13376690,15134466,16826884,18064049,17398555,17335259,17757416,17603625,18830281,19691072,19915987,21026210,21926136
 "04000","Arizona",6,CAINC5N,62,"...","  Employer contributions for government social insurance","Thousands of dollars",5794332,5986598,6184489,6674607,7263344,7938878,8460300,8578389,8070716,8097626,8402422,8704998,8995660,9176186,9640863,10003719,10559879
 "04000","Arizona",6,CAINC5N,70,"..."," Proprietors' income 7/","Thousands of dollars",9472490,10493061,11619854,13855344,15768384,18032482,16687113,12990073,10442581,11683874,12634982,14212671,16422564,17355695,18579905,19833807,22138046
 "04000","Arizona",6,CAINC5N,71,"...","  Farm proprietors' income","Thousands of dollars",373110,342035,351307,626660,546569,293491,358543,164489,-23768,216837,718669,363147,701732,502427,883950,966957,1310473
 "04000","Arizona",6,CAINC5N,72,"...","  Nonfarm proprietors' income","Thousands of dollars",9099380,10151026,11268547,13228684,15221815,17738991,16328570,12825584,10466349,11467037,11916313,13849524,15720832,16853268,17695955,18866850,20827573
 "04000","Arizona",6,CAINC5N,81,"111-112"," Farm earnings","Thousands of dollars",747273,764723,723914,1024129,986143,713741,851366,632282,488896,669030,1164879,879963,1287943,1063455,1360816,1520311,1884618
 "04000","Arizona",6,CAINC5N,82,"..."," Nonfarm earnings","Thousands of dollars",104197683,107767411,113571221,123951682,136542630,151862510,158413342,156224137,145068440,145606214,151126853,158589677,165559331,172900230,180804732,188586919,200130902
 "04000","Arizona",6,CAINC5N,90,"113-814","  Private nonfarm earnings","Thousands of dollars",86325116,88483434,92916300,102062526,113157779,126821552,131468900,127811829,116601685,117008198,122434670,129702508,135964088,142999636,150038260,157223164,167769144
