GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "08000","Colorado",7,CAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",154409814,154765500,157543201,163427008,174771645,188803293,201227297,207772729,198147196,204691900,222571956,236687388,248958974,271101038,284142915,289620855,306411131
 "08000","Colorado",7,CAINC5N,20,"...","Population (persons) 2/","Number of persons",4425687,4490406,4528732,4575013,4631888,4720423,4803868,4889730,4972195,5048029,5116411,5186330,5262556,5342311,5440445,5530105,5607154
 "08000","Colorado",7,CAINC5N,30,"...","Per capita personal income (dollars)","Dollars",34889,34466,34787,35722,37732,39997,41889,42492,39851,40549,43502,45637,47308,50746,52228,52372,54646
 "08000","Colorado",7,CAINC5N,35,"...","Earnings by place of work","Thousands of dollars",122914630,123161869,124745200,129756082,137449768,146429282,153571814,156143425,147498080,151254289,160436754,169752960,183684587,198826875,205119926,207209497,221162417
 "08000","Colorado",7,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",12313813,12725032,12954664,13826559,14683975,15587371,16420263,17112927,16490241,16667528,15796369,16572185,19222930,20681787,21829063,22472982,23780046
 "08000","Colorado",7,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",6454529,6441259,6529440,6869398,7279403,7833364,8364694,8748179,8528245,8593590,7082474,7424842,9934670,10642875,11243151,11553025,12295486
 "08000","Colorado",7,CAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",5859284,6283773,6425224,6957161,7404572,7754007,8055569,8364748,7961996,8073938,8713895,9147343,9288260,10038912,10585912,10919957,11484560
 "08000","Colorado",7,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",308776,339231,363444,398251,429251,475850,505005,522937,563221,663105,826914,1027089,1183031,1231858,1229771,1203408,1309124
 "08000","Colorado",7,CAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",110909593,110776068,112153980,116327774,123195044,131317761,137656556,139553435,131571060,135249866,145467299,154207864,165644688,179376946,184520634,185939923,198691495
 "08000","Colorado",7,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",30145490,29148068,29805954,30858166,34028050,38632577,43378229,44695539,40445992,39849295,46554028,51778700,51453120,57529746,62634347,65128048,68189659
 "08000","Colorado",7,CAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",13354731,14841364,15583267,16241068,17548551,18852955,20192512,23523755,26130144,29592739,30550629,30700824,31861166,34194346,36987934,38552884,39529977
 "08000","Colorado",7,CAINC5N,50,"..."," Wages and salaries","Thousands of dollars",89129887,88062736,89252317,93550345,98774325,105649178,112525622,116709771,112227532,113670270,118413999,124947216,129521465,138585218,146486901,150976612,160371831
 "08000","Colorado",7,CAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",18188861,18552487,19458863,20417155,21811592,22231140,22923241,23720448,24400346,24620019,24603951,25828422,27369538,29298052,29967831,30794504,32289867
 "08000","Colorado",7,CAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 6/","Thousands of dollars",12329577,12268714,13033639,13459994,14407020,14477133,14867672,15355700,16438350,16546081,15890056,16681079,18081278,19259140,19381919,19874547,20805307
 "08000","Colorado",7,CAINC5N,62,"...","  Employer contributions for government social insurance","Thousands of dollars",5859284,6283773,6425224,6957161,7404572,7754007,8055569,8364748,7961996,8073938,8713895,9147343,9288260,10038912,10585912,10919957,11484560
 "08000","Colorado",7,CAINC5N,70,"..."," Proprietors' income 7/","Thousands of dollars",15595882,16546646,16034020,15788582,16863851,18548964,18122951,15713206,10870202,12964000,17418804,18977322,26793584,30943605,28665194,25438381,28500719
 "08000","Colorado",7,CAINC5N,71,"...","  Farm proprietors' income","Thousands of dollars",666812,262114,353456,536694,654801,374094,600425,421290,237192,549543,863746,718722,737756,821843,1083122,693209,832146
 "08000","Colorado",7,CAINC5N,72,"...","  Nonfarm proprietors' income","Thousands of dollars",14929070,16284532,15680564,15251888,16209050,18174870,17522526,15291916,10633010,12414457,16555058,18258600,26055828,30121762,27582072,24745172,27668573
 "08000","Colorado",7,CAINC5N,81,"111-112"," Farm earnings","Thousands of dollars",1074255,714201,754846,958877,1117357,813115,1105867,904269,762926,1014030,1320618,1247666,1334740,1398486,1587144,1270114,1436195
 "08000","Colorado",7,CAINC5N,82,"..."," Nonfarm earnings","Thousands of dollars",121840375,122447668,123990354,128797205,136332411,145616167,152465947,155239156,146735154,150240259,159116136,168505294,182349847,197428389,203532782,205939383,219726222
 "08000","Colorado",7,CAINC5N,90,"113-814","  Private nonfarm earnings","Thousands of dollars",103634387,102755972,103289337,107220215,113556117,122006240,127881527,128993174,119201660,121777872,130405813,139542102,152518588,166263975,170895328,172114581,184682903
 "08000","Colorado",7,CAINC5N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",152732,150818,150590,163631,175601,191939,174014,167231,192809,235795,239230,292388,308162,307977,325784,311806,323919
 "08000","Colorado",7,CAINC5N,101,"113","    Forestry and logging","Thousands of dollars",12557,(D),(D),(D),(D),(D),(D),(D),(D),14896,6004,17052,16324,6720,(D),7868,10988
 "08000","Colorado",7,CAINC5N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",1296,(D),(D),(D),(D),(D),(D),(D),(D),-5370,-1455,-1800,-221,1155,(D),-509,-1020
 "08000","Colorado",7,CAINC5N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",138879,137390,138188,152865,165155,185848,167884,169125,194046,226269,234681,277136,292059,300102,315521,304447,313951
 "08000","Colorado",7,CAINC5N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",1891745,1755396,1917489,2262990,3387323,4235579,4353594,8176211,5012834,6441952,9399212,10320283,11994252,13039669,8117790,5686431,8150148
 "08000","Colorado",7,CAINC5N,201,"211","    Oil and gas extraction","Thousands of dollars",1304247,1174578,1346997,1571511,2435152,3003055,2811114,6158092,3500181,4713789,7279188,8112385,9992652,10707894,6238960,4452816,6624730
 "08000","Colorado",7,CAINC5N,202,"212","    Mining (except oil and gas)","Thousands of dollars",350003,354012,309546,324118,401674,446695,492293,619817,607344,713044,732195,598114,435850,336101,302970,220404,191318
 "08000","Colorado",7,CAINC5N,203,"213","    Support activities for mining","Thousands of dollars",237495,226806,260946,367361,550497,785829,1050187,1398302,905309,1015119,1387829,1609784,1565750,1995674,1575860,1013211,1334100
 "08000","Colorado",7,CAINC5N,300,"22","   Utilities","Thousands of dollars",841222,845736,892753,1068238,1052337,1390923,1058399,1187511,1042192,1121845,1171551,1119847,1038961,1204468,1262820,1187823,1162319
 "08000","Colorado",7,CAINC5N,400,"23","   Construction","Thousands of dollars",11170771,11116734,10698780,10872123,11553358,12510757,12521004,11913749,9914095,8631951,8763082,9365721,11309904,13520394,14804300,15892066,17418014
 "08000","Colorado",7,CAINC5N,401,"236","    Construction of buildings","Thousands of dollars",2833429,2873970,2718805,2635461,2812949,3118279,3110664,2913163,2262642,1613055,1711490,1640224,2343903,3093529,3630960,4011415,4536814
 "08000","Colorado",7,CAINC5N,402,"237","    Heavy and civil engineering construction","Thousands of dollars",1477609,1501257,1362228,1323419,1383295,1516857,1563551,1652754,1315102,1249834,1407698,1454144,1666183,1912719,2015419,1965336,2103846
 "08000","Colorado",7,CAINC5N,403,"238","    Specialty trade contractors","Thousands of dollars",6859733,6741507,6617747,6913243,7357114,7875621,7846789,7347832,6336351,5769062,5643894,6271353,7299818,8514146,9157921,9915315,10777354
 "08000","Colorado",7,CAINC5N,500,"31-33","   Manufacturing","Thousands of dollars",10885525,10392286,9934559,10168169,10431494,10690681,10832436,10861354,9797476,9659674,10108630,10780566,11009593,11758083,12371329,12299208,12654603
 "08000","Colorado",7,CAINC5N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",7945669,7537285,7045462,7254601,7410455,7575107,7681861,7593300,6823058,6802392,6948978,7616435,7691164,7981166,8405614,8364735,8774707
 "08000","Colorado",7,CAINC5N,511,"321","     Wood product manufacturing","Thousands of dollars",192960,186029,190347,225985,246964,262973,259238,233606,152315,131399,131459,140806,154165,166829,174123,176428,187980
 "08000","Colorado",7,CAINC5N,512,"327","     Nonmetallic mineral product manufacturing","Thousands of dollars",606291,600053,556024,560416,564375,603836,614588,614844,476237,502027,517836,586697,606127,650911,697167,658624,678374
 "08000","Colorado",7,CAINC5N,513,"331","     Primary metal manufacturing","Thousands of dollars",107514,106983,101965,161585,133148,143268,159229,166934,144578,155541,199881,189843,178233,184003,168738,141706,161900
 "08000","Colorado",7,CAINC5N,514,"332","     Fabricated metal product manufacturing","Thousands of dollars",826203,793270,762761,819721,808085,844414,877878,892736,779385,760472,825849,882366,944815,1027584,1031360,1022854,1042060
 "08000","Colorado",7,CAINC5N,515,"333","     Machinery manufacturing","Thousands of dollars",565097,532742,505507,533676,562050,602100,677539,746900,725453,731318,825466,894394,898153,953310,1013016,1014386,1015599
 "08000","Colorado",7,CAINC5N,516,"334","     Computer and electronic product manufacturing","Thousands of dollars",3787312,3502909,3052253,2980433,3018820,2911330,2782570,2621194,2430484,2477105,2365051,2839465,2649464,2599235,2781926,2717937,3014955
 "08000","Colorado",7,CAINC5N,517,"335","     Electrical equipment, appliance, and component manufacturing","Thousands of dollars",159185,141213,139270,136948,133531,146900,140087,137180,127113,143505,161082,200020,199264,190527,191014,198077,195598
 "08000","Colorado",7,CAINC5N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing","Thousands of dollars",(D),142820,140407,116306,127233,116431,(D),108877,97480,97029,106831,111065,117455,124684,(D),(D),(D)
 "08000","Colorado",7,CAINC5N,519,"3364-3369","     Other transportation equipment manufacturing","Thousands of dollars",(D),694919,733174,819129,897083,894036,(D),897254,911017,917103,931298,927369,977334,1051791,(D),(D),(D)
 "08000","Colorado",7,CAINC5N,521,"337","     Furniture and related product manufacturing","Thousands of dollars",339064,334026,326882,322954,342819,353468,368697,362748,279485,248739,242358,258843,275873,311072,331322,339967,347366
 "08000","Colorado",7,CAINC5N,522,"339","     Miscellaneous manufacturing","Thousands of dollars",504148,502321,536872,577448,576347,696351,759107,811027,699511,638154,641867,585567,690281,721220,686937,750022,759077
 "08000","Colorado",7,CAINC5N,530,"311-316,322-326","    Nondurable goods manufacturing","Thousands of dollars",2939856,2855001,2889097,2913568,3021039,3115574,3150575,3268054,2974418,2857282,3159652,3164131,3318429,3776917,3965715,3934473,3879896
 "08000","Colorado",7,CAINC5N,531,"311","     Food manufacturing","Thousands of dollars",759558,782129,769292,793664,780242,822478,860319,857812,895717,889412,970903,1009375,1078853,1226127,1385762,1352379,1326690
 "08000","Colorado",7,CAINC5N,532,"312","     Beverage and tobacco product manufacturing","Thousands of dollars",446990,440246,456368,468679,497057,460083,408750,529671,453820,466382,455226,464070,478034,517370,531563,607416,620059
 "08000","Colorado",7,CAINC5N,533,"313","     Textile mills","Thousands of dollars",8103,7415,6299,6190,6154,5506,6022,5543,5202,5624,5652,6100,6146,6833,6715,2513,2501
 "08000","Colorado",7,CAINC5N,534,"314","     Textile product mills","Thousands of dollars",49615,56130,65982,70193,70840,73208,81260,84486,73226,68625,61247,62792,61328,64446,68405,78031,79612
 "08000","Colorado",7,CAINC5N,535,"315","     Apparel manufacturing","Thousands of dollars",40232,35431,37421,35731,46658,40707,30305,30836,25932,22712,24010,26188,28772,30931,31217,34067,36396
 "08000","Colorado",7,CAINC5N,536,"316","     Leather and allied product manufacturing","Thousands of dollars",45395,37160,31031,16315,11944,12811,12957,13238,8605,7074,7133,7899,7068,6945,6708,6605,6687
 "08000","Colorado",7,CAINC5N,537,"322","     Paper manufacturing","Thousands of dollars",171591,174936,199323,198383,193516,167880,196850,190060,214737,114928,111842,102676,113521,106447,115617,89835,71536
 "08000","Colorado",7,CAINC5N,538,"323","     Printing and related support activities","Thousands of dollars",454389,413465,396084,392775,400257,392009,379336,377988,308934,294876,284948,294656,291411,302788,310645,320070,328753
 "08000","Colorado",7,CAINC5N,539,"324","     Petroleum and coal products manufacturing","Thousands of dollars",131930,111977,120479,115017,124054,149057,141074,180543,152803,126033,153976,160090,141170,143814,213039,111441,98761
