GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "09000","Connecticut",1,CAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",155326530,155240907,157487981,166423442,175733011,190585769,205012466,217022607,213686792,222631708,229055119,233699236,229251778,239857145,246012167,249513176,257713569
 "09000","Connecticut",1,CAINC5N,20,"...","Population (persons) 2/","Number of persons",3432835,3458749,3484336,3496094,3506956,3517460,3527270,3545579,3561807,3580171,3591927,3597705,3602470,3600188,3593862,3587685,3588184
 "09000","Connecticut",1,CAINC5N,30,"...","Per capita personal income (dollars)","Dollars",45247,44884,45199,47603,50110,54183,58122,61209,59994,62185,63769,64958,63637,66624,68453,69547,71823
 "09000","Connecticut",1,CAINC5N,35,"...","Earnings by place of work","Thousands of dollars",116958673,117738050,119013145,123986851,129210927,135801253,143290602,150903899,152975814,157372857,158819876,157217633,155950991,160641702,163805078,166259433,168308892
 "09000","Connecticut",1,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",11047428,11505589,11752335,12344801,12767826,13239534,13836521,14286408,13919375,14026129,12980726,13323933,15440497,15920539,16424058,16725519,17101953
 "09000","Connecticut",1,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",5741677,5866140,5988689,6300182,6593031,6963406,7293879,7533495,7303212,7360502,6012931,6120844,8118942,8428474,8702284,8927594,9150820
 "09000","Connecticut",1,CAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",5305751,5639449,5763646,6044619,6174795,6276128,6542642,6752913,6616163,6665627,6967795,7203089,7321555,7492065,7721774,7797925,7951133
 "09000","Connecticut",1,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",5562966,5728133,5830408,6842866,7651980,8813579,10336291,11466625,8858765,10852153,11364222,13193727,12506750,12927115,13215084,12704620,15889833
 "09000","Connecticut",1,CAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",111474211,111960594,113091218,118484916,124095081,131375298,139790372,148084116,147915204,154198881,157203372,157087427,153017244,157648278,160596104,162238534,167096772
 "09000","Connecticut",1,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",28015883,26300778,27071861,29562894,32680177,38980003,43756056,44375693,38527933,39366747,42698879,47112368,46405632,51589374,53680829,54540167,57328316
 "09000","Connecticut",1,CAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",15836436,16979535,17324902,18375632,18957753,20230468,21466038,24562798,27243655,29066080,29152868,29499441,29828902,30619493,31735234,32734475,33288481
 "09000","Connecticut",1,CAINC5N,50,"..."," Wages and salaries","Thousands of dollars",80744831,79812306,81417763,85974140,89732106,94440674,100686169,101543163,96173489,97781547,101498661,104234886,105453736,108993396,112370299,113190787,114743202
 "09000","Connecticut",1,CAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",16728645,17119853,18256479,19983794,20812997,20831090,21903948,22575214,22136941,22687230,23122846,23113582,23705874,24079092,24913613,24950585,25600593
 "09000","Connecticut",1,CAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 6/","Thousands of dollars",11422894,11480404,12492833,13939175,14638202,14554962,15361306,15822301,15520778,16021603,16155051,15910493,16384319,16587027,17191839,17152660,17649460
 "09000","Connecticut",1,CAINC5N,62,"...","  Employer contributions for government social insurance","Thousands of dollars",5305751,5639449,5763646,6044619,6174795,6276128,6542642,6752913,6616163,6665627,6967795,7203089,7321555,7492065,7721774,7797925,7951133
 "09000","Connecticut",1,CAINC5N,70,"..."," Proprietors' income 7/","Thousands of dollars",19485197,20805891,19338903,18028917,18665824,20529489,20700485,26785522,34665384,36904080,34198369,29869165,26791381,27569214,26521166,28118061,27965097
 "09000","Connecticut",1,CAINC5N,71,"...","  Farm proprietors' income","Thousands of dollars",59405,13243,31639,46638,67447,38508,41037,57256,58384,68572,69731,75396,79859,-1801,42035,-7000,-3523
 "09000","Connecticut",1,CAINC5N,72,"...","  Nonfarm proprietors' income","Thousands of dollars",19425792,20792648,19307264,17982279,18598377,20490981,20659448,26728266,34607000,36835508,34128638,29793769,26711522,27571015,26479131,28125061,27968620
 "09000","Connecticut",1,CAINC5N,81,"111-112"," Farm earnings","Thousands of dollars",199999,189367,188739,198673,189281,173994,200200,209802,204267,207298,192087,251415,260066,190225,203576,173255,167097
 "09000","Connecticut",1,CAINC5N,82,"..."," Nonfarm earnings","Thousands of dollars",116758674,117548683,118824406,123788178,129021646,135627259,143090402,150694097,152771547,157165559,158627789,156966218,155690925,160451477,163601502,166086178,168141795
 "09000","Connecticut",1,CAINC5N,90,"113-814","  Private nonfarm earnings","Thousands of dollars",102269057,102383360,103152294,107282972,111747811,118076866,124541291,131375698,133363875,137512479,138618554,137233816,135307614,139485463,141694216,144153211,146059832
 "09000","Connecticut",1,CAINC5N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",75481,72319,69586,70812,68751,81203,61561,57565,54516,69021,54137,64870,61190,81025,98029,100828,86046
 "09000","Connecticut",1,CAINC5N,101,"113","    Forestry and logging","Thousands of dollars",13466,13017,13322,13398,12605,14626,11820,12931,11175,13341,7242,9469,(D),19196,22454,22266,20961
