GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "10000","Delaware",2,CAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",29340441,30328740,31030768,32295515,33165848,35225796,36335669,36033818,36291060,36707178,39796706,40309220,40897981,42751170,45012206,45916981,47782056
 "10000","Delaware",2,CAINC5N,20,"...","Population (persons) 2/","Number of persons",795699,806169,818003,830803,845150,859268,871749,883874,891730,899712,907884,916868,925114,934805,944107,952698,961939
 "10000","Delaware",2,CAINC5N,30,"...","Per capita personal income (dollars)","Dollars",36874,37621,37935,38873,39243,40995,41681,40768,40697,40799,43835,43964,44209,45733,47677,48197,49673
 "10000","Delaware",2,CAINC5N,35,"...","Earnings by place of work","Thousands of dollars",25074167,25776614,26269634,27150896,27785406,29110592,29371426,28224890,27964277,28256447,30528151,30602136,31222581,32673184,34266168,34322701,35512931
 "10000","Delaware",2,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",2294727,2398919,2500273,2689736,2819731,3000733,3083806,3191919,3121673,3143862,2846533,2980473,3483310,3677349,3827512,3854589,3983245
 "10000","Delaware",2,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",1169459,1226804,1282112,1378359,1453753,1551790,1603400,1657735,1625833,1640583,1305247,1372838,1833600,1915992,2006381,2044238,2122755
 "10000","Delaware",2,CAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",1125268,1172115,1218161,1311377,1365978,1448943,1480406,1534184,1495840,1503279,1541286,1607635,1649710,1761357,1821131,1810351,1860490
 "10000","Delaware",2,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",-1809296,-1760700,-1800416,-1940173,-2088683,-2320772,-2166173,-2216268,-1541088,-1734269,-2154167,-2165278,-2100617,-2472147,-2629470,-2292459,-2504215
 "10000","Delaware",2,CAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",20970144,21616995,21968945,22520987,22876992,23789087,24121447,22816703,23301516,23378316,25527451,25456385,25638654,26523688,27809186,28175653,29025471
 "10000","Delaware",2,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",5002653,5083312,5166161,5580464,5767007,6540489,6906842,7099529,6358053,6170446,6796549,7204871,7221643,7816731,8241945,8394969,8815709
 "10000","Delaware",2,CAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",3367644,3628433,3895662,4194064,4521849,4896220,5307380,6117586,6631491,7158416,7472706,7647964,8037684,8410751,8961075,9346359,9940876
 "10000","Delaware",2,CAINC5N,50,"..."," Wages and salaries","Thousands of dollars",16379849,16737029,17343887,18393118,19544482,20477819,20987505,21110190,20181197,20427846,21330265,22034824,22596771,23615524,24477517,24641825,25739567
 "10000","Delaware",2,CAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",3628773,3824525,4043503,4325342,4614211,5048797,5137348,5172210,5044563,5104836,5393468,5430849,5465490,5798779,6070942,5996554,6251877
 "10000","Delaware",2,CAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 6/","Thousands of dollars",2503505,2652410,2825342,3013965,3248233,3599854,3656942,3638026,3548723,3601557,3852182,3823214,3815780,4037422,4249811,4186203,4391387
 "10000","Delaware",2,CAINC5N,62,"...","  Employer contributions for government social insurance","Thousands of dollars",1125268,1172115,1218161,1311377,1365978,1448943,1480406,1534184,1495840,1503279,1541286,1607635,1649710,1761357,1821131,1810351,1860490
 "10000","Delaware",2,CAINC5N,70,"..."," Proprietors' income 7/","Thousands of dollars",5065545,5215060,4882244,4432436,3626713,3583976,3246573,1942490,2738517,2723765,3804418,3136463,3160320,3258881,3717709,3684322,3521487
 "10000","Delaware",2,CAINC5N,71,"...","  Farm proprietors' income","Thousands of dollars",176327,45482,137270,217276,261079,173905,170680,191124,259288,228374,201128,241703,391020,465619,341578,292125,366450
 "10000","Delaware",2,CAINC5N,72,"...","  Nonfarm proprietors' income","Thousands of dollars",4889218,5169578,4744974,4215160,3365634,3410071,3075893,1751366,2479229,2495391,3603290,2894760,2769300,2793262,3376131,3392197,3155037
