GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "12000","Florida",5,CAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",495620035,512579522,538103968,587659123,641627431,697871163,726357421,727016081,682319559,725801140,766185838,791918553,794796980,858498660,919226924,953260614,1000624065
 "12000","Florida",5,CAINC5N,20,"...","Population (persons) 2/","Number of persons",16356966,16689370,17004085,17415318,17842038,18166990,18367842,18527305,18652644,18846461,19097369,19341327,19584927,19897747,20268567,20656589,20984400
 "12000","Florida",5,CAINC5N,30,"...","Per capita personal income (dollars)","Dollars",30300,30713,31646,33744,35962,38414,39545,39240,36580,38511,40120,40944,40582,43146,45352,46148,47684
 "12000","Florida",5,CAINC5N,35,"...","Earnings by place of work","Thousands of dollars",327004403,343043426,361989562,391971647,425117211,452498584,459532509,445382328,420311940,438991235,450502115,468412894,482900406,512331048,545122402,567712460,596159864
 "12000","Florida",5,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",35634392,37184203,39192768,42579437,46456979,50370182,51860881,51691637,49960577,50687919,46682044,48813521,56725464,59785886,62968825,65957381,69121613
 "12000","Florida",5,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",18938962,19847131,20883398,22636672,24840489,26870304,27964135,28062143,27264857,27615316,22563768,23345399,30705967,32634574,34737513,36817672,38888043
 "12000","Florida",5,CAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",16695430,17337072,18309370,19942765,21616490,23499878,23896746,23629494,22695720,23072603,24118276,25468122,26019497,27151312,28231312,29139709,30233570
 "12000","Florida",5,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",1618404,1676008,1772620,1917635,2079693,2297807,2596637,2786401,2643772,2726358,2931548,3016975,3051652,3215929,3343518,3399811,3509631
 "12000","Florida",5,CAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",292988415,307535231,324569414,351309845,380739925,404426209,410268265,396477092,372995135,391029674,406751619,422616348,429226594,455761091,485497095,505154890,530547882
 "12000","Florida",5,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",128493168,125176631,128269279,144637025,162401204,188367604,204282639,203550101,170841134,183085352,201676438,213189296,204649895,231516343,253171327,259840940,272474325
 "12000","Florida",5,CAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",74138452,79867660,85265275,91712253,98486302,105077350,111806517,126988888,138483290,151686114,157757781,156112909,160920491,171221226,180558502,188264784,197601858
 "12000","Florida",5,CAINC5N,50,"..."," Wages and salaries","Thousands of dollars",242318487,250893670,264523997,285403426,309874331,332428236,343027610,339020649,320654389,322573479,332057251,346080504,358216215,378686475,403913310,423381838,445018658
 "12000","Florida",5,CAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",52645571,56945255,61050948,65494024,71150914,71553664,74577342,75960711,72399448,75485064,73664759,76125028,80385943,82077338,87020534,88152988,91975883
 "12000","Florida",5,CAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 6/","Thousands of dollars",35950141,39608183,42741578,45551259,49534424,48053786,50680596,52331217,49703728,52412461,49546483,50656906,54366446,54926026,58789222,59013279,61742313
 "12000","Florida",5,CAINC5N,62,"...","  Employer contributions for government social insurance","Thousands of dollars",16695430,17337072,18309370,19942765,21616490,23499878,23896746,23629494,22695720,23072603,24118276,25468122,26019497,27151312,28231312,29139709,30233570
 "12000","Florida",5,CAINC5N,70,"..."," Proprietors' income 7/","Thousands of dollars",32040345,35204501,36414617,41074197,44091966,48516684,41927557,30400968,27258103,40932692,44780105,46207362,44298248,51567235,54188558,56177634,59165323
 "12000","Florida",5,CAINC5N,71,"...","  Farm proprietors' income","Thousands of dollars",1314931,1306422,1129345,985962,1488435,1268646,940055,604206,780728,1079821,955905,1544314,1375061,1483378,2402120,1296596,1146973
 "12000","Florida",5,CAINC5N,72,"...","  Nonfarm proprietors' income","Thousands of dollars",30725414,33898079,35285272,40088235,42603531,47248038,40987502,29796762,26477375,39852871,43824200,44663048,42923187,50083857,51786438,54881038,58018350
 "12000","Florida",5,CAINC5N,81,"111-112"," Farm earnings","Thousands of dollars",2581914,2513293,2198540,2274868,2686505,2636156,2264472,2067529,2191128,2482442,2187940,2782748,2836078,2848885,3600133,2668705,2417298
 "12000","Florida",5,CAINC5N,82,"..."," Nonfarm earnings","Thousands of dollars",324422489,340530133,359791022,389696779,422430706,449862428,457268037,443314799,418120812,436508793,448314175,465630146,480064328,509482163,541522269,565043755,593742566
 "12000","Florida",5,CAINC5N,90,"113-814","  Private nonfarm earnings","Thousands of dollars",271996175,284188817,299540539,324814979,354143571,377923364,381567048,364993125,339391186,356341774,369328406,387553041,400910157,429069017,459768687,481285608,507292138
 "12000","Florida",5,CAINC5N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",1360619,1316493,1360003,1520821,1445474,1514273,1384595,1318938,1397679,1518142,1484254,1615072,1666493,1736639,1883450,1832416,1838989
 "12000","Florida",5,CAINC5N,101,"113","    Forestry and logging","Thousands of dollars",162841,149861,(D),210918,216363,(D),(D),131766,154339,245804,219291,251774,251358,254805,294993,241544,216505
 "12000","Florida",5,CAINC5N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",89831,82885,(D),53586,41260,(D),(D),27829,21522,46644,63765,80436,67440,64487,71095,81182,94035
 "12000","Florida",5,CAINC5N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",1107947,1083747,1099321,1256317,1187851,1294349,1215595,1159343,1221818,1225694,1201198,1282862,1347695,1417347,1517362,1509690,1528449
 "12000","Florida",5,CAINC5N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",289068,257697,359229,500926,795242,665087,494722,420126,239332,258677,278318,188374,86749,179285,245649,282913,502935
 "12000","Florida",5,CAINC5N,201,"211","    Oil and gas extraction","Thousands of dollars",26436,26090,21942,29175,44645,68466,52494,172206,90556,106266,131614,86381,96466,27256,-3273,-44591,136962
 "12000","Florida",5,CAINC5N,202,"212","    Mining (except oil and gas)","Thousands of dollars",257579,226651,323582,451265,708262,544002,392717,204152,124348,118913,96720,45679,-42014,110225,208651,292115,297070
 "12000","Florida",5,CAINC5N,203,"213","    Support activities for mining","Thousands of dollars",5053,4956,13705,20486,42335,52619,49511,43768,24428,33498,49984,56314,32297,41804,40271,35389,68903
 "12000","Florida",5,CAINC5N,300,"22","   Utilities","Thousands of dollars",2500083,2154890,2055080,2231318,2166434,2237912,2269710,2562943,2531770,2529389,2742571,2703471,3061349,3324538,3516491,3428311,3588420
 "12000","Florida",5,CAINC5N,400,"23","   Construction","Thousands of dollars",24491629,26047312,28324103,32884220,38550764,43250572,39401375,31423057,24507403,26697687,26943068,24584558,22853790,27783886,32008435,36327611,40597741
 "12000","Florida",5,CAINC5N,401,"236","    Construction of buildings","Thousands of dollars",7186185,7843879,8597568,10517628,13046903,15060946,13033354,9100393,7111061,10281527,11062721,7956813,5054090,7934098,9641196,11426300,13166421
 "12000","Florida",5,CAINC5N,402,"237","    Heavy and civil engineering construction","Thousands of dollars",3276227,3258238,3568303,4225679,4643189,5075138,4845753,4204788,3114558,3032217,2664834,2662029,2806081,3075072,3530917,4101829,4711278
 "12000","Florida",5,CAINC5N,403,"238","    Specialty trade contractors","Thousands of dollars",14029217,14945195,16158232,18140913,20860672,23114488,21522268,18117876,14281784,13383943,13215513,13965716,14993619,16774716,18836322,20799482,22720042
 "12000","Florida",5,CAINC5N,500,"31-33","   Manufacturing","Thousands of dollars",21553320,21726656,21965620,22930643,23935833,25204172,25236604,24577389,21850175,21817124,22165809,22817876,23384739,24466320,26310273,27161251,28553996
 "12000","Florida",5,CAINC5N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",14271472,14340943,14551604,15705095,16749572,17956051,17874178,17218305,15145341,15100086,15346162,15728659,16259771,17018293,18522388,19138215,20382884
 "12000","Florida",5,CAINC5N,511,"321","     Wood product manufacturing","Thousands of dollars",635115,705278,740808,864966,1060317,1017908,756596,548139,412790,399436,414613,416061,497914,602490,698657,765157,852933
 "12000","Florida",5,CAINC5N,512,"327","     Nonmetallic mineral product manufacturing","Thousands of dollars",1064003,1108729,1130150,1223889,1397916,1751685,1661093,1294270,928261,846423,856540,904896,1025162,1126121,1266332,1329377,1467764
 "12000","Florida",5,CAINC5N,513,"331","     Primary metal manufacturing","Thousands of dollars",143196,161043,186813,259228,305280,317612,312966,320559,271757,276689,270750,283910,287570,268491,212976,169743,227845
 "12000","Florida",5,CAINC5N,514,"332","     Fabricated metal product manufacturing","Thousands of dollars",1633912,1613593,1661577,1763782,1959036,2177392,2121079,2100012,1767645,1680725,1708651,1758934,1902831,2004014,2135497,2277126,2446180
 "12000","Florida",5,CAINC5N,515,"333","     Machinery manufacturing","Thousands of dollars",1445900,1441549,1516782,1469882,1563122,1710602,1748971,1844961,1671783,1648502,1723592,1813943,1954433,1992104,2158171,2134876,2326814
 "12000","Florida",5,CAINC5N,516,"334","     Computer and electronic product manufacturing","Thousands of dollars",4238220,4116433,3818463,3936628,4035597,4078420,4218000,4212558,3998814,3939605,3949270,4098819,4009328,4037082,4256234,4293792,4509285
 "12000","Florida",5,CAINC5N,517,"335","     Electrical equipment, appliance, and component manufacturing","Thousands of dollars",617170,610354,506316,366312,394373,544689,626564,659956,618458,646101,654781,663166,619729,665408,727707,762605,811217
 "12000","Florida",5,CAINC5N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing","Thousands of dollars",465036,438146,494854,491279,543560,542697,532853,469225,353498,353262,(D),(D),(D),432497,462794,481347,476429
 "12000","Florida",5,CAINC5N,519,"3364-3369","     Other transportation equipment manufacturing","Thousands of dollars",2074689,2092950,2190077,2630819,2617102,2607531,2624365,2592935,2353605,2461636,(D),(D),(D),2835784,3117018,3294025,3441364
 "12000","Florida",5,CAINC5N,521,"337","     Furniture and related product manufacturing","Thousands of dollars",703632,704762,755084,759545,791792,825866,761236,632116,468303,421556,448221,475960,520450,603333,732919,773699,805170
 "12000","Florida",5,CAINC5N,522,"339","     Miscellaneous manufacturing","Thousands of dollars",1250599,1348106,1550680,1938765,2081477,2381649,2510455,2543574,2300427,2426151,2312185,2191143,2196590,2450969,2754083,2856468,3017883
 "12000","Florida",5,CAINC5N,530,"311-316,322-326","    Nondurable goods manufacturing","Thousands of dollars",7281848,7385713,7414016,7225548,7186261,7248121,7362426,7359084,6704834,6717038,6819647,7089217,7124968,7448027,7787885,8023036,8171112
 "12000","Florida",5,CAINC5N,531,"311","     Food manufacturing","Thousands of dollars",1665642,1808446,1745198,1719250,1622530,1587935,1621681,1651772,1600217,1583963,1620807,1595302,1601685,1646304,1661487,1737570,1799338
 "12000","Florida",5,CAINC5N,532,"312","     Beverage and tobacco product manufacturing","Thousands of dollars",615142,639601,661318,656250,668233,694091,750122,762341,727057,726978,699964,755518,724707,741565,702857,886597,861855
 "12000","Florida",5,CAINC5N,533,"313","     Textile mills","Thousands of dollars",111067,96928,88117,93166,77504,60696,58052,83424,68524,56514,53623,70227,64726,101939,85195,79612,66117
 "12000","Florida",5,CAINC5N,534,"314","     Textile product mills","Thousands of dollars",168732,169244,177117,222584,207105,217730,221756,198852,171331,185322,188436,216558,191819,235864,216555,215127,207553
 "12000","Florida",5,CAINC5N,535,"315","     Apparel manufacturing","Thousands of dollars",287063,268682,240886,211253,206081,194433,175170,182790,149366,153012,142397,148722,159513,160687,166495,162770,157700
 "12000","Florida",5,CAINC5N,536,"316","     Leather and allied product manufacturing","Thousands of dollars",64981,59789,64195,62294,67990,75927,51784,50604,43637,47267,43471,54714,56148,61430,53905,50049,45589
 "12000","Florida",5,CAINC5N,537,"322","     Paper manufacturing","Thousands of dollars",655411,649712,671803,684771,689644,691785,735927,708271,684636,671794,680483,682644,716380,710874,745214,712047,695746
 "12000","Florida",5,CAINC5N,538,"323","     Printing and related support activities","Thousands of dollars",1092137,1082217,1061387,1098025,1104092,1117057,1153579,1095133,895671,878982,898133,888913,895725,901355,969789,980879,965788
 "12000","Florida",5,CAINC5N,539,"324","     Petroleum and coal products manufacturing","Thousands of dollars",168764,180847,203783,205976,214323,256513,252509,246391,247636,253045,299952,381057,298723,273072,348542,322733,381579
 "12000","Florida",5,CAINC5N,541,"325","     Chemical manufacturing","Thousands of dollars",1640066,1659745,1638182,1469027,1506618,1526277,1590018,1668217,1541741,1565865,1594778,1655959,1749562,1865231,2018998,2010656,2115282
 "12000","Florida",5,CAINC5N,542,"326","     Plastics and rubber products manufacturing","Thousands of dollars",812843,770502,862030,802952,822141,825677,751828,711289,575018,594296,597603,639603,665980,749706,818848,864996,874565
 "12000","Florida",5,CAINC5N,600,"42","   Wholesale trade","Thousands of dollars",18398467,18849001,19800749,21514534,23436004,25299645,26037834,25626618,23165500,23680836,24521883,26390671,27603011,29078563,30769267,31063452,32534519
 "12000","Florida",5,CAINC5N,700,"44-45","   Retail trade","Thousands of dollars",28333460,29274118,30715191,31872648,35072222,36610519,35804671,33951772,32090912,33396405,33860336,35616572,37692325,40011922,42674424,43325193,44778963
 "12000","Florida",5,CAINC5N,701,"441","    Motor vehicle and parts dealers","Thousands of dollars",5848812,6195885,6490384,6801302,7702197,8203007,7702196,6427166,5452052,6132424,5907446,6606793,7487514,8149979,9035404,9462858,9853142
 "12000","Florida",5,CAINC5N,702,"442","    Furniture and home furnishings stores","Thousands of dollars",1366693,1426646,1473981,1598035,1756044,1861991,1759287,1494455,1212697,1218405,1191966,1304297,1483376,1698307,1824702,1884401,1964511
 "12000","Florida",5,CAINC5N,703,"443","    Electronics and appliance stores","Thousands of dollars",1612321,1559959,1526373,1523574,1622226,1623024,1600691,1653866,1546219,1661337,1799119,1827451,1870277,2007755,2237827,2321518,2352647
