GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "13000","Georgia",5,CAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",248728192,255618215,264925805,279469439,296727305,316877770,331391419,333747295,327375254,335318009,359574722,367803705,373356233,398881758,422844996,439574419,460402913
 "13000","Georgia",5,CAINC5N,20,"...","Population (persons) 2/","Number of persons",8377038,8508256,8622793,8769252,8925922,9155813,9349988,9504843,9620846,9712696,9810595,9911171,9981773,10083850,10199533,10313620,10429379
 "13000","Georgia",5,CAINC5N,30,"...","Per capita personal income (dollars)","Dollars",29692,30044,30724,31869,33243,34609,35443,35113,34028,34524,36652,37110,37404,39556,41457,42621,44145
 "13000","Georgia",5,CAINC5N,35,"...","Earnings by place of work","Thousands of dollars",199208762,203534375,211055830,223622570,234461123,247332843,253965751,249905534,243352042,247331832,257811045,266463546,275964337,291984124,309070814,322688621,339706952
 "13000","Georgia",5,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",20150584,20554810,21153556,23014697,23998878,25477473,26199749,27303347,26537380,27011221,24828327,25731148,30209028,31697735,33366365,34787789,36478791
 "13000","Georgia",5,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",10556128,10817266,11139107,11806303,12439033,13334078,13836359,14430804,14038059,14268849,11582278,11985453,15979130,16859203,17780512,18678563,19731015
 "13000","Georgia",5,CAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",9594456,9737544,10014449,11208394,11559845,12143395,12363390,12872543,12499321,12742372,13246049,13745695,14229898,14838532,15585853,16109226,16747776
 "13000","Georgia",5,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",-776716,-820969,-839974,-798643,-781521,-786394,-776990,-696680,-924886,-948045,-1183071,-1339045,-1514173,-1610431,-1560626,-1806962,-1827466
 "13000","Georgia",5,CAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",178281462,182158596,189062300,199809230,209680724,221068976,226989012,221905507,215889776,219372566,231799647,239393353,244241136,258675958,274143823,286093870,301400695
 "13000","Georgia",5,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",41947988,41209188,43022194,44267211,48424468,54328429,59748333,60415055,54954814,53970101,62861013,64119244,62485931,70264132,75612069,77739785,80569794
 "13000","Georgia",5,CAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",28498742,32250431,32841311,35392998,38622113,41480365,44654074,51426733,56530664,61975342,64914062,64291108,66629166,69941668,73089104,75740764,78432424
 "13000","Georgia",5,CAINC5N,50,"..."," Wages and salaries","Thousands of dollars",145820293,146630131,150824647,158364432,167388833,177133954,186674049,188018370,178941842,180994228,187600952,195336726,200728603,212128153,224025764,234683817,246139015
 "13000","Georgia",5,CAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",28677046,30566826,32713720,35150275,36975944,39063017,40155382,40830585,42384213,42546119,44253882,44787692,48231268,50194260,51768006,53770378,56028930
 "13000","Georgia",5,CAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 6/","Thousands of dollars",19082590,20829282,22699271,23941881,25416099,26919622,27791992,27958042,29884892,29803747,31007833,31041997,34001370,35355728,36182153,37661152,39281154
 "13000","Georgia",5,CAINC5N,62,"...","  Employer contributions for government social insurance","Thousands of dollars",9594456,9737544,10014449,11208394,11559845,12143395,12363390,12872543,12499321,12742372,13246049,13745695,14229898,14838532,15585853,16109226,16747776
 "13000","Georgia",5,CAINC5N,70,"..."," Proprietors' income 7/","Thousands of dollars",24711423,26337418,27517463,30107863,30096346,31135872,27136320,21056579,22025987,23791485,25956211,26339128,27004466,29661711,33277044,34234426,37539007
 "13000","Georgia",5,CAINC5N,71,"...","  Farm proprietors' income","Thousands of dollars",1863584,1313411,1752494,1815812,2080407,1250502,1449121,1718677,1580914,1034912,1301595,1974000,2243573,1541629,1925872,1210155,1549534
 "13000","Georgia",5,CAINC5N,72,"...","  Nonfarm proprietors' income","Thousands of dollars",22847839,25024007,25764969,28292051,28015939,29885370,25687199,19337902,20445073,22756573,24654616,24365128,24760893,28120082,31351172,33024271,35989473
 "13000","Georgia",5,CAINC5N,81,"111-112"," Farm earnings","Thousands of dollars",2217970,1645019,2050742,2163432,2479740,1581212,1880553,2184485,1934399,1382522,1612088,2460429,2610802,1984390,2354006,1641310,1945545
 "13000","Georgia",5,CAINC5N,82,"..."," Nonfarm earnings","Thousands of dollars",196990792,201889356,209005088,221459138,231981383,245751631,252085198,247721049,241417643,245949310,256198957,264003117,273353535,289999734,306716808,321047311,337761407
 "13000","Georgia",5,CAINC5N,90,"113-814","  Private nonfarm earnings","Thousands of dollars",165981658,168242716,172729432,183502787,191963629,203713244,208242522,201506157,194115189,196886870,206890631,214948715,224496162,239883409,254610116,268134191,282911544
 "13000","Georgia",5,CAINC5N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",563021,516254,501450,543341,555971,681783,583214,574765,603541,735063,696574,824934,852490,909562,978990,1010796,973415
 "13000","Georgia",5,CAINC5N,101,"113","    Forestry and logging","Thousands of dollars",272719,247097,248942,263093,280112,339174,296397,287479,303003,394483,359988,405837,424623,441868,494873,498290,473743
 "13000","Georgia",5,CAINC5N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",27103,12576,12490,10040,7245,9501,208,-2506,-4574,5202,3108,7197,7111,9265,14658,15930,16291
 "13000","Georgia",5,CAINC5N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",263199,256581,240018,270208,268614,333108,286609,289792,305112,335378,333478,411900,420756,458429,469459,496576,483381
 "13000","Georgia",5,CAINC5N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",533019,517612,440527,428411,453102,570331,581750,536872,433516,445224,634603,613935,598600,585527,398255,536600,782858
 "13000","Georgia",5,CAINC5N,201,"211","    Oil and gas extraction","Thousands of dollars",(D),(D),(D),(D),36931,(D),(D),(D),(D),(D),(D),(D),(D),(D),-122313,-75853,125788
 "13000","Georgia",5,CAINC5N,202,"212","    Mining (except oil and gas)","Thousands of dollars",515783,499371,426719,402112,(D),507006,536201,458793,396768,418652,510271,547590,509494,512504,475080,566976,600110
 "13000","Georgia",5,CAINC5N,203,"213","    Support activities for mining","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),45488,45477,56960
 "13000","Georgia",5,CAINC5N,300,"22","   Utilities","Thousands of dollars",1210503,1224880,1572394,1898321,1820972,2041475,2078922,2204550,2384655,2141061,2379023,2225413,2355338,2430077,2668719,2913734,2935259
 "13000","Georgia",5,CAINC5N,400,"23","   Construction","Thousands of dollars",11228181,11042656,12050531,13886444,14900084,16380465,16185242,13995338,11507488,11862200,11744426,11740006,11389814,13565370,15928160,17471249,18941091
 "13000","Georgia",5,CAINC5N,401,"236","    Construction of buildings","Thousands of dollars",2377973,2453653,2964998,3984643,4344421,4821783,4608866,3697281,2855014,3481631,3472539,3191285,2370767,3465487,4883499,5189987,5638804
 "13000","Georgia",5,CAINC5N,402,"237","    Heavy and civil engineering construction","Thousands of dollars",1601576,1597508,1702236,1802529,1891546,2067474,2104979,1798233,1381931,1279403,1181022,1145538,1186145,1326109,1480269,1945581,2246151
 "13000","Georgia",5,CAINC5N,403,"238","    Specialty trade contractors","Thousands of dollars",7248632,6991495,7383297,8099272,8664117,9491208,9471397,8499824,7270543,7101166,7090865,7403183,7832902,8773774,9564392,10335681,11056136
 "13000","Georgia",5,CAINC5N,500,"31-33","   Manufacturing","Thousands of dollars",24139451,23763981,23453353,24555616,24945838,25939258,25765300,24805598,22507417,22738311,23816141,24508910,25571639,27006852,28154330,29102087,30422609
 "13000","Georgia",5,CAINC5N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",11450751,11253117,10923084,11680990,12265559,13079837,12693202,12164784,10757911,10807762,11668685,12086828,12840891,13535872,14221945,14854898,15557341
 "13000","Georgia",5,CAINC5N,511,"321","     Wood product manufacturing","Thousands of dollars",1018766,990655,913812,1006531,1118065,1115403,1039540,885761,712328,683265,(D),734354,795391,931046,1039500,1149526,1295952
 "13000","Georgia",5,CAINC5N,512,"327","     Nonmetallic mineral product manufacturing","Thousands of dollars",945249,957892,1020164,1102471,1172454,1276667,1260615,1182788,960458,980705,1006189,919452,908481,945624,1078499,1105862,1114589
 "13000","Georgia",5,CAINC5N,513,"331","     Primary metal manufacturing","Thousands of dollars",623748,427773,394986,432549,401782,398290,409895,413769,334783,368579,428531,463617,463391,480148,479213,484710,497089
 "13000","Georgia",5,CAINC5N,514,"332","     Fabricated metal product manufacturing","Thousands of dollars",1271125,1213036,1183426,1184732,1291345,1392113,1455711,1441041,1233019,1184001,1217370,1345856,1455670,1597813,1709371,1859527,2017673
 "13000","Georgia",5,CAINC5N,515,"333","     Machinery manufacturing","Thousands of dollars",1212390,1166529,1146575,1285683,1467162,1509604,1461961,1457471,1326419,1243838,1293708,1353748,1443434,1534421,1558735,1521262,1603002
 "13000","Georgia",5,CAINC5N,516,"334","     Computer and electronic product manufacturing","Thousands of dollars",1220467,1260645,951800,927343,1012504,1234741,1203551,1116667,1063026,1095755,1195171,1134499,1199817,1114211,1124073,1074590,1093882
 "13000","Georgia",5,CAINC5N,517,"335","     Electrical equipment, appliance, and component manufacturing","Thousands of dollars",1105910,1146122,1078276,1168803,1186649,1213247,1158318,1154524,1104149,987777,1050796,1120668,1253130,1306834,1371236,1427663,1533883
 "13000","Georgia",5,CAINC5N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing","Thousands of dollars",1203638,1244068,1252948,1289404,1299649,1447848,(D),833508,583646,789539,(D),(D),(D),1407554,1484595,1718697,1857556
 "13000","Georgia",5,CAINC5N,519,"3364-3369","     Other transportation equipment manufacturing","Thousands of dollars",1511458,1499510,1606755,1858085,1835455,1961086,(D),2203139,2160943,2258061,2464437,(D),(D),2689940,2816607,2834082,2866702
 "13000","Georgia",5,CAINC5N,521,"337","     Furniture and related product manufacturing","Thousands of dollars",505154,508179,514865,531993,564868,617372,623934,587648,455654,434822,442133,451866,474443,493740,541102,582479,601238
 "13000","Georgia",5,CAINC5N,522,"339","     Miscellaneous manufacturing","Thousands of dollars",832846,838708,859477,893396,915626,913466,956822,888468,823486,781420,815590,890010,963417,1034541,1019014,1096500,1075775
 "13000","Georgia",5,CAINC5N,530,"311-316,322-326","    Nondurable goods manufacturing","Thousands of dollars",12688700,12510864,12530269,12874626,12680279,12859421,13072098,12640814,11749506,11930549,12147456,12422082,12730748,13470980,13932385,14247189,14865268
 "13000","Georgia",5,CAINC5N,531,"311","     Food manufacturing","Thousands of dollars",2963485,2970262,3179624,3101438,3206992,3283130,3579752,3638537,3527264,3796062,3925282,4294400,4214933,4452541,4397484,4592132,4870328
 "13000","Georgia",5,CAINC5N,532,"312","     Beverage and tobacco product manufacturing","Thousands of dollars",487258,449444,413538,403171,316407,290862,251115,270890,280151,286704,336648,351152,365549,378927,361308,547362,542251
