GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "15000","Hawaii",8,CAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",37354451,39012166,40852209,44054767,47359463,50773533,53520243,56166169,56013398,57101367,59922334,62434642,63355087,66899449,70323405,72650058,75355132
 "15000","Hawaii",8,CAINC5N,20,"...","Population (persons) 2/","Number of persons",1225948,1239613,1251154,1273569,1292729,1309731,1315675,1332213,1346717,1363817,1378323,1392772,1408038,1417710,1426320,1428683,1427538
 "15000","Hawaii",8,CAINC5N,30,"...","Per capita personal income (dollars)","Dollars",30470,31471,32652,34592,36635,38766,40679,42160,41593,41869,43475,44828,44995,47188,49304,50851,52787
 "15000","Hawaii",8,CAINC5N,35,"...","Earnings by place of work","Thousands of dollars",28063097,29837116,31760763,34048620,36522668,38590111,39887517,40680512,40167389,40952974,42453316,44495709,45820999,47658433,50059994,51442271,53287231
 "15000","Hawaii",8,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",3047811,3244371,3491299,3667189,3934370,4247407,4442476,4531688,4475992,4706903,4476995,4633026,5412477,5455580,5699828,5833589,6060854
 "15000","Hawaii",8,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",1541650,1632324,1726243,1851587,1988375,2145054,2279845,2353692,2315641,2337851,1914170,1966540,2596437,2735176,2894793,3020188,3140128
 "15000","Hawaii",8,CAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",1506161,1612047,1765056,1815602,1945995,2102353,2162631,2177996,2160351,2369052,2562825,2666486,2816040,2720404,2805035,2813401,2920726
 "15000","Hawaii",8,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "15000","Hawaii",8,CAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",25015286,26592745,28269464,30381431,32588298,34342704,35445041,36148824,35691397,36246071,37976321,39862683,40408522,42202853,44360166,45608682,47226377
 "15000","Hawaii",8,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",7888794,7612350,7619829,8381714,9043859,10389108,11438597,12290602,12028281,11567969,12292945,13057485,13082989,14151218,15061750,15734571,16379408
 "15000","Hawaii",8,CAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",4450371,4807071,4962916,5291622,5727306,6041721,6636605,7726743,8293720,9287327,9653068,9514474,9863576,10545378,10901489,11306805,11749347
 "15000","Hawaii",8,CAINC5N,50,"..."," Wages and salaries","Thousands of dollars",19831092,20867549,22005611,23664894,25185778,26870576,28394242,29195819,28516537,28599421,29451257,30667315,31514150,32815816,34567205,35809077,37084626
 "15000","Hawaii",8,CAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",4803051,5294429,5930003,6309787,6831071,6994848,7362838,7620854,7507054,7962499,8714959,8872721,9307148,9695991,9990454,10134439,10443858
 "15000","Hawaii",8,CAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 6/","Thousands of dollars",3296890,3682382,4164947,4494185,4885076,4892495,5200207,5442858,5346703,5593447,6152134,6206235,6491108,6975587,7185419,7321038,7523132
 "15000","Hawaii",8,CAINC5N,62,"...","  Employer contributions for government social insurance","Thousands of dollars",1506161,1612047,1765056,1815602,1945995,2102353,2162631,2177996,2160351,2369052,2562825,2666486,2816040,2720404,2805035,2813401,2920726
 "15000","Hawaii",8,CAINC5N,70,"..."," Proprietors' income 7/","Thousands of dollars",3428954,3675138,3825149,4073939,4505819,4724687,4130437,3863839,4143798,4391054,4287100,4955673,4999701,5146626,5502335,5498755,5758747
 "15000","Hawaii",8,CAINC5N,71,"...","  Farm proprietors' income","Thousands of dollars",39138,49891,51386,44077,63222,69279,53353,43748,87341,79551,114349,62028,33456,5377,52207,-24102,-8881
 "15000","Hawaii",8,CAINC5N,72,"...","  Nonfarm proprietors' income","Thousands of dollars",3389816,3625247,3773763,4029862,4442597,4655408,4077084,3820091,4056457,4311503,4172751,4893645,4966245,5141249,5450128,5522857,5767628
 "15000","Hawaii",8,CAINC5N,81,"111-112"," Farm earnings","Thousands of dollars",236703,250717,249894,250810,259802,259813,247013,252737,294053,279169,306264,345303,318350,296999,325283,264946,284664
 "15000","Hawaii",8,CAINC5N,82,"..."," Nonfarm earnings","Thousands of dollars",27826394,29586399,31510869,33797810,36262866,38330298,39640504,40427775,39873336,40673805,42147052,44150406,45502649,47361434,49734711,51177325,53002567
 "15000","Hawaii",8,CAINC5N,90,"113-814","  Private nonfarm earnings","Thousands of dollars",20082958,21065572,22313904,23961952,25760603,27174010,27856918,27962458,26968018,27451059,28360912,30152474,31499054,32630436,34620121,35925971,37588364
 "15000","Hawaii",8,CAINC5N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",45129,44897,42751,36568,32886,39474,29219,32912,38661,48618,54863,64166,68126,69829,81186,87208,94676
 "15000","Hawaii",8,CAINC5N,101,"113","    Forestry and logging","Thousands of dollars",(D),824,(D),(D),490,412,802,1552,2260,3014,2500,2645,2443,3357,(D),5074,4845
 "15000","Hawaii",8,CAINC5N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",(D),10378,(D),(D),1833,3636,-3116,-718,1601,8607,11780,15960,17937,13349,(D),22362,30121
 "15000","Hawaii",8,CAINC5N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",31583,33695,33468,32044,30563,35426,31533,32078,34800,36997,40583,45561,47746,53123,59061,59772,59710
 "15000","Hawaii",8,CAINC5N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",18360,17743,22226,27606,30022,30216,31388,36569,34306,34002,38884,34376,33237,35528,37452,30334,34294
 "15000","Hawaii",8,CAINC5N,201,"211","    Oil and gas extraction","Thousands of dollars",21,22,-54,519,-45,-86,-547,(D),(D),(D),(D),(D),(D),(D),(D),(D),7254
 "15000","Hawaii",8,CAINC5N,202,"212","    Mining (except oil and gas)","Thousands of dollars",18336,17716,(D),(D),(D),(D),(D),34733,33997,32997,35021,33347,29241,29128,33162,27244,(D)
 "15000","Hawaii",8,CAINC5N,203,"213","    Support activities for mining","Thousands of dollars",3,5,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "15000","Hawaii",8,CAINC5N,300,"22","   Utilities","Thousands of dollars",251861,259425,271494,290873,302002,336351,336996,368175,362506,385196,441011,448404,509225,531884,561015,558206,562028
 "15000","Hawaii",8,CAINC5N,400,"23","   Construction","Thousands of dollars",1843649,2016220,2267032,2497317,3020653,3356469,3601565,3571300,3228476,3073666,3008802,3165555,3185215,3429064,3953813,4350763,4328867
 "15000","Hawaii",8,CAINC5N,401,"236","    Construction of buildings","Thousands of dollars",603807,677704,783321,848633,990294,1126944,1202080,1202589,1107341,967180,919830,1006777,926103,1023838,1266344,1398338,1411441
 "15000","Hawaii",8,CAINC5N,402,"237","    Heavy and civil engineering construction","Thousands of dollars",294486,324449,339861,350570,448906,503530,528969,529882,495089,503467,493130,419774,404705,430861,504272,511352,486257
 "15000","Hawaii",8,CAINC5N,403,"238","    Specialty trade contractors","Thousands of dollars",945356,1014067,1143850,1298114,1581453,1725995,1870516,1838829,1626046,1603019,1595842,1739004,1854407,1974365,2183197,2441073,2431169
 "15000","Hawaii",8,CAINC5N,500,"31-33","   Manufacturing","Thousands of dollars",695545,673634,697192,757746,757586,782949,797342,820400,757898,727627,762615,799935,828966,882234,891624,934485,948974
 "15000","Hawaii",8,CAINC5N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",(D),(D),(D),291606,281423,293806,297760,326735,283177,266861,284365,286763,293416,296727,298313,312604,328171
 "15000","Hawaii",8,CAINC5N,511,"321","     Wood product manufacturing","Thousands of dollars",(D),(D),(D),(D),19081,20479,(D),(D),(D),15842,14521,15677,18754,(D),16717,13399,11582
 "15000","Hawaii",8,CAINC5N,512,"327","     Nonmetallic mineral product manufacturing","Thousands of dollars",69991,79238,88545,107865,95379,103555,94766,105542,65903,60959,60787,86610,94591,97771,89522,94243,97934
 "15000","Hawaii",8,CAINC5N,513,"331","     Primary metal manufacturing","Thousands of dollars",449,529,659,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "15000","Hawaii",8,CAINC5N,514,"332","     Fabricated metal product manufacturing","Thousands of dollars",19487,21075,24284,25917,28386,27770,27933,27498,(D),21615,21153,22170,23065,22504,22900,24597,25024
 "15000","Hawaii",8,CAINC5N,515,"333","     Machinery manufacturing","Thousands of dollars",4013,4748,3158,1885,2066,2554,2374,2723,4463,4426,3150,(D),(D),(D),(D),(D),(D)
