GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "19000","Iowa",4,CAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",82942427,84927398,86664455,93570218,96375827,102447932,109906431,116372274,112828976,116353051,125586183,131982219,134398203,139148645,144182516,145156779,148042652
 "19000","Iowa",4,CAINC5N,20,"...","Population (persons) 2/","Number of persons",2931997,2934234,2941999,2953635,2964454,2982644,2999212,3016734,3032870,3050223,3063690,3074386,3089876,3105563,3118473,3130869,3145711
 "19000","Iowa",4,CAINC5N,30,"...","Per capita personal income (dollars)","Dollars",28289,28944,29458,31680,32510,34348,36645,38576,37202,38146,40992,42930,43496,44806,46235,46363,47062
 "19000","Iowa",4,CAINC5N,35,"...","Earnings by place of work","Thousands of dollars",60578124,61938146,64224224,70750525,73077782,76584923,81109018,84477128,80916246,83560993,89243146,93675581,97936195,100309382,102832156,102722563,104584148
 "19000","Iowa",4,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",6966785,7117727,7442033,7832698,8243014,8683860,9120175,9545638,9425786,9738850,9091689,9384342,10787326,11116090,11379587,11852132,12198140
 "19000","Iowa",4,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",3625573,3724242,3869085,4102577,4348670,4593334,4844109,5067932,5026592,5100414,4206829,4374409,5684611,5914138,6103547,6285870,6470351
 "19000","Iowa",4,CAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",3341212,3393485,3572948,3730121,3894344,4090526,4276066,4477706,4399194,4638436,4884860,5009933,5102715,5201952,5276040,5566262,5727789
 "19000","Iowa",4,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",904868,942681,971962,988807,906506,840928,1078953,1149225,1149579,1187347,1305994,1229451,1210477,1048161,992514,1045714,1327910
 "19000","Iowa",4,CAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",54516207,55763100,57754153,63906634,65741274,68741991,73067796,76080715,72640039,75009490,81457451,85520690,88359346,90241453,92445083,91916145,93713918
 "19000","Iowa",4,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",16680522,16232336,16033660,16322371,16380360,17986268,20112810,21237625,19805352,19623004,22069011,24478030,23570426,25431649,27056083,27929648,29107525
 "19000","Iowa",4,CAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",11745698,12931962,12876642,13341213,14254193,15719673,16725825,19053934,20383585,21720557,22059721,21983499,22468431,23475543,24681350,25310986,25221209
 "19000","Iowa",4,CAINC5N,50,"..."," Wages and salaries","Thousands of dollars",42987825,43744456,45213217,47892131,50008032,52641178,55522152,57466395,56072611,57199134,59354406,62154133,63998856,67123644,70020422,71679538,73690957
 "19000","Iowa",4,CAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",10043589,10328830,10843220,11648917,12386345,12936797,13596736,14270243,14588856,14695930,14763992,15687592,16044359,17207385,17183866,18418453,19083972
 "19000","Iowa",4,CAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 6/","Thousands of dollars",6702377,6935345,7270272,7918796,8492001,8846271,9320670,9792537,10189662,10057494,9879132,10677659,10941644,12005433,11907826,12852191,13356183
 "19000","Iowa",4,CAINC5N,62,"...","  Employer contributions for government social insurance","Thousands of dollars",3341212,3393485,3572948,3730121,3894344,4090526,4276066,4477706,4399194,4638436,4884860,5009933,5102715,5201952,5276040,5566262,5727789
 "19000","Iowa",4,CAINC5N,70,"..."," Proprietors' income 7/","Thousands of dollars",7546710,7864860,8167787,11209477,10683405,11006948,11990130,12740490,10254779,11665929,15124748,15833856,17892980,15978353,15627868,12624572,11809219
