GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "16000","Idaho",7,CAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",33979522,35112387,36321651,39252192,41760737,46002241,48997259,50089182,48408680,50144476,53041271,56111881,58236024,61616002,65610780,68054782,71812936
 "16000","Idaho",7,CAINC5N,20,"...","Population (persons) 2/","Number of persons",1319962,1340372,1363380,1391802,1428241,1468669,1505105,1534320,1554439,1570912,1583180,1594673,1610187,1630391,1649324,1680026,1716943
 "16000","Idaho",7,CAINC5N,30,"...","Per capita personal income (dollars)","Dollars",25743,26196,26641,28202,29239,31322,32554,32646,31142,31921,33503,35187,36167,37792,39780,40508,41826
 "16000","Idaho",7,CAINC5N,35,"...","Earnings by place of work","Thousands of dollars",25019718,25964255,26462894,28518941,30150645,33113754,34935125,34667479,33165315,34038066,35166458,36382096,38956733,40856201,43125773,44678352,47315082
 "16000","Idaho",7,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",2893822,2978667,3100919,3310107,3588961,3997464,4193691,4225490,4134585,4316896,3945479,4045344,4667715,4856745,5072094,5319422,5645588
 "16000","Idaho",7,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",1402679,1452074,1510801,1625347,1767524,1972303,2090455,2131367,2076276,2089058,1713072,1768350,2340503,2479034,2604229,2734122,2906190
 "16000","Idaho",7,CAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",1491143,1526593,1590118,1684760,1821437,2025161,2103236,2094123,2058309,2227838,2232407,2276994,2327212,2377711,2467865,2585300,2739398
 "16000","Idaho",7,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",516165,500616,511483,519787,513048,488864,510453,561797,655003,724161,869977,1098248,1130609,1235589,1197860,1250908,1324906
 "16000","Idaho",7,CAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",22642061,23486204,23873458,25728621,27074732,29605154,31251887,31003786,29685733,30445331,32090956,33435000,35419627,37235045,39251539,40609838,42994400
 "16000","Idaho",7,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",6706577,6600569,7111297,7805752,8507964,9690601,10463346,10608042,9399213,9449714,10656285,12246423,12042705,13138265,14499249,15072171,15886695
