GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "17000","Illinois",3,CAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",428742304,434249487,441946066,459074090,477013210,509272216,538588110,552022151,525582357,540463843,568154309,593271379,607909671,638061366,664296212,673528927,693913981
 "17000","Illinois",3,CAINC5N,20,"...","Population (persons) 2/","Number of persons",12488445,12525556,12556006,12589773,12609903,12643955,12695866,12747038,12796778,12841196,12862298,12878494,12890403,12882438,12862051,12835726,12802023
 "17000","Illinois",3,CAINC5N,30,"...","Per capita personal income (dollars)","Dollars",34331,34669,35198,36464,37828,40278,42422,43306,41071,42088,44172,46067,47160,49530,51648,52473,54203
 "17000","Illinois",3,CAINC5N,35,"...","Earnings by place of work","Thousands of dollars",332949048,338837372,345163983,359740107,370187199,390790971,407859269,411450382,388621145,398739564,417723153,434255385,453704763,468659498,483754732,490618822,503909020
 "17000","Illinois",3,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",33139974,33647887,34517623,36573790,38658374,40456615,42264958,43039488,41144546,41808422,39295837,41008443,47039808,48545333,50048596,50837543,52347702
 "17000","Illinois",3,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",16939880,17240601,17581993,18388093,19200566,20388944,21583059,22309049,21576204,21756247,17781499,18182342,24158234,25194430,26120706,26672971,27595480
 "17000","Illinois",3,CAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",16200094,16407286,16935630,18185697,19457808,20067671,20681899,20730439,19568342,20052175,21514338,22826101,22881574,23350903,23927890,24164572,24752222
 "17000","Illinois",3,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",-1561546,-1668772,-1593237,-1631573,-1769991,-1832827,-2307070,-1771158,-2092785,-2139538,-2570136,-2412011,-2678041,-2339510,-2588606,-2797557,-3158160
 "17000","Illinois",3,CAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",298247528,303520713,309053123,321534744,329758834,348501529,363287241,366639736,345383814,354791604,375857180,390834931,403986914,417774655,431117530,436983722,448403158
 "17000","Illinois",3,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",82058393,78629573,78595007,81280600,85487332,97958467,105949862,109096917,94491854,92418134,103027228,113066039,110737273,125416068,132964143,135632316,141540748
 "17000","Illinois",3,CAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",48436383,52099201,54297936,56258746,61767044,62812220,69351007,76285498,85706689,93254105,89269901,89370409,93185484,94870643,100214539,100912889,103970075
 "17000","Illinois",3,CAINC5N,50,"..."," Wages and salaries","Thousands of dollars",242225035,242962271,245880657,256636045,267015631,282717712,297875054,303356416,286703028,290793786,302711458,314743587,320099420,333241290,350074331,355572702,367621489
 "17000","Illinois",3,CAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",52851282,56199548,58743590,61947948,65814715,68510409,70882768,72041801,72062095,71762957,74923523,77371801,80287560,79981367,81005645,82919561,85729133
 "17000","Illinois",3,CAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 6/","Thousands of dollars",36651188,39792262,41807960,43762251,46356907,48442738,50200869,51311362,52493753,51710782,53409185,54545700,57405986,56630464,57077755,58754989,60976911
 "17000","Illinois",3,CAINC5N,62,"...","  Employer contributions for government social insurance","Thousands of dollars",16200094,16407286,16935630,18185697,19457808,20067671,20681899,20730439,19568342,20052175,21514338,22826101,22881574,23350903,23927890,24164572,24752222
 "17000","Illinois",3,CAINC5N,70,"..."," Proprietors' income 7/","Thousands of dollars",37872731,39675553,40539736,41156114,37356853,39562850,39101447,36052165,29856022,36182821,40088172,42139997,53317783,55436841,52674756,52126559,50558398
 "17000","Illinois",3,CAINC5N,71,"...","  Farm proprietors' income","Thousands of dollars",1278325,609301,1399633,3081947,1281796,1525605,2668508,3888354,2042835,2053866,4735252,2534823,7482458,3057384,-244879,2099601,1020196
 "17000","Illinois",3,CAINC5N,72,"...","  Nonfarm proprietors' income","Thousands of dollars",36594406,39066252,39140103,38074167,36075057,38037245,36432939,32163811,27813187,34128955,35352920,39605174,45835325,52379457,52919635,50026958,49538202
 "17000","Illinois",3,CAINC5N,81,"111-112"," Farm earnings","Thousands of dollars",1691395,996782,1891219,3667806,1779641,1977255,3238457,4481838,2565306,2558249,5361787,3060706,7957882,3565683,324041,2676310,1510375
 "17000","Illinois",3,CAINC5N,82,"..."," Nonfarm earnings","Thousands of dollars",331257653,337840590,343272764,356072301,368407558,388813716,404620812,406968544,386055839,396181315,412361366,431194679,445746881,465093815,483430691,487942512,502398645
 "17000","Illinois",3,CAINC5N,90,"113-814","  Private nonfarm earnings","Thousands of dollars",285218048,288782170,292334052,302436514,312879293,331525668,345532774,345855315,322996116,330269027,346654767,365457960,377306571,396193236,414094848,419429188,432551644
 "17000","Illinois",3,CAINC5N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",230786,220624,209054,195077,218016,267343,246695,249410,241913,313332,300091,365169,334976,406666,459512,457914,439980
 "17000","Illinois",3,CAINC5N,101,"113","    Forestry and logging","Thousands of dollars",9824,10035,9794,9825,10499,13376,11007,7144,5405,9218,6386,7411,8980,8129,6545,5618,4944
 "17000","Illinois",3,CAINC5N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",2971,3299,3164,1890,1522,2291,172,-1092,-1155,-536,-1476,-108,-1488,-1317,-2,203,80
 "17000","Illinois",3,CAINC5N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",217991,207290,196096,183362,205995,251676,235516,243358,237663,304650,295181,357866,327484,399854,452969,452093,434956
 "17000","Illinois",3,CAINC5N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",4727758,4817791,4931769,3976057,3138895,2521793,1622287,2870450,1641620,1538386,1330054,1282860,1293675,1354512,1038782,849603,828924
 "17000","Illinois",3,CAINC5N,201,"211","    Oil and gas extraction","Thousands of dollars",4141260,4251189,4364223,3391162,2502447,1829203,910899,2169351,980487,837894,560461,488390,536998,544778,255948,163472,137200
 "17000","Illinois",3,CAINC5N,202,"212","    Mining (except oil and gas)","Thousands of dollars",526549,516175,517420,528020,570414,606705,618660,576466,568951,617523,630016,664125,619857,665255,672509,645885,629959
 "17000","Illinois",3,CAINC5N,203,"213","    Support activities for mining","Thousands of dollars",59949,50427,50126,56875,66034,85885,92728,124633,92182,82969,139577,130345,136820,144479,110325,40246,61765
 "17000","Illinois",3,CAINC5N,300,"22","   Utilities","Thousands of dollars",3553411,3460852,3160452,3567100,3501756,3657607,3154453,3352877,3011329,3130967,3601523,3480367,3698361,4033046,4199777,4165943,4207742
 "17000","Illinois",3,CAINC5N,400,"23","   Construction","Thousands of dollars",19892754,20494297,21391625,22188079,23054208,24600459,24226845,22918900,18734555,18919771,18706052,18209971,20554546,22227908,23896409,24087387,24516278
 "17000","Illinois",3,CAINC5N,401,"236","    Construction of buildings","Thousands of dollars",4595413,4893484,5353526,5751158,6027999,6175029,5991511,5321119,3644628,4862899,4423796,3473369,5422972,5717392,5604687,5658169,5961334
 "17000","Illinois",3,CAINC5N,402,"237","    Heavy and civil engineering construction","Thousands of dollars",1846516,1981552,2184618,2292097,2380236,2604739,2731071,2985509,2556058,2110917,2167484,2276535,2400039,2700615,3351798,3248871,3188280
 "17000","Illinois",3,CAINC5N,403,"238","    Specialty trade contractors","Thousands of dollars",13450825,13619261,13853481,14144824,14645973,15820691,15504263,14612272,12533869,11945955,12114772,12460067,12731535,13809901,14939924,15180347,15366664
 "17000","Illinois",3,CAINC5N,500,"31-33","   Manufacturing","Thousands of dollars",46050529,44846992,44102608,45295349,46372300,47503250,48995163,48519705,43305511,44268939,47923934,52294392,51183891,52226125,53169048,52595510,54286191
 "17000","Illinois",3,CAINC5N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",28626546,27148806,26248706,27326518,28377122,29626757,30555460,30134514,25571411,25738438,28392525,30572174,30253968,30332910,30836101,30943453,31827602
 "17000","Illinois",3,CAINC5N,511,"321","     Wood product manufacturing","Thousands of dollars",401501,408187,411640,394345,425221,431531,437886,416929,319439,301949,307926,335647,362253,372856,384670,338129,354798
 "17000","Illinois",3,CAINC5N,512,"327","     Nonmetallic mineral product manufacturing","Thousands of dollars",1086540,989141,1021849,1067007,1124552,1154196,1100535,1055520,867167,846489,927767,976148,1016239,1088040,1217918,1254034,1323286
 "17000","Illinois",3,CAINC5N,513,"331","     Primary metal manufacturing","Thousands of dollars",2075732,1844261,1667478,1613972,1710448,1812771,1774473,1839182,1301982,1429229,1851032,1848453,1704356,1740705,1631951,1405041,1499724
 "17000","Illinois",3,CAINC5N,514,"332","     Fabricated metal product manufacturing","Thousands of dollars",6129243,5944325,5847936,6167161,6278094,6538271,6739638,6612740,5505120,5572913,6175589,6538674,6327884,6482277,6557449,6502094,6832702
 "17000","Illinois",3,CAINC5N,515,"333","     Machinery manufacturing","Thousands of dollars",6517184,6097113,5797379,6332037,7006070,7436154,7757243,7844565,6965900,6775108,7651989,8204396,7824291,7944576,7664883,7366841,7469214
 "17000","Illinois",3,CAINC5N,516,"334","     Computer and electronic product manufacturing","Thousands of dollars",3895079,3510122,3337251,3317098,3308162,3302232,3427789,3406329,2981516,2835955,2729798,3244043,3205373,3023886,3118929,3138768,3217051
 "17000","Illinois",3,CAINC5N,517,"335","     Electrical equipment, appliance, and component manufacturing","Thousands of dollars",2522784,2378330,2160430,2093413,2142123,2165092,2095311,2284537,2057368,2037589,2138279,2220811,2397834,2305059,2531280,2543461,2579008
 "17000","Illinois",3,CAINC5N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing","Thousands of dollars",2411801,2447497,2426117,2545678,2549695,2647729,2816328,2348824,1705678,1940321,2376019,2611239,2628185,2663089,2954325,2874660,2975442
 "17000","Illinois",3,CAINC5N,519,"3364-3369","     Other transportation equipment manufacturing","Thousands of dollars",310887,316845,336797,403214,403032,451241,529473,379970,330234,402833,506623,539955,515252,506001,542567,507719,508788
 "17000","Illinois",3,CAINC5N,521,"337","     Furniture and related product manufacturing","Thousands of dollars",888430,867331,912557,922165,938474,935711,904266,856455,696394,668006,693369,686061,698489,713590,765798,794185,814354
 "17000","Illinois",3,CAINC5N,522,"339","     Miscellaneous manufacturing","Thousands of dollars",2387365,2345654,2329272,2470428,2491251,2751829,2972518,3089463,2840613,2928046,3034134,3366747,3573812,3492831,3466331,4218521,4253235
 "17000","Illinois",3,CAINC5N,530,"311-316,322-326","    Nondurable goods manufacturing","Thousands of dollars",17423983,17698186,17853902,17968831,17995178,17876493,18439703,18385191,17734100,18530501,19531409,21722218,20929923,21893215,22332947,21652057,22458589
 "17000","Illinois",3,CAINC5N,531,"311","     Food manufacturing","Thousands of dollars",3981593,4188448,4295489,4219833,4294971,4272559,4573776,4658338,4835010,4927899,4873463,5080576,5037288,5467016,5579883,5873626,6131411
 "17000","Illinois",3,CAINC5N,532,"312","     Beverage and tobacco product manufacturing","Thousands of dollars",548039,529059,440846,507105,483000,482651,520753,492294,368526,382089,359379,379102,382345,397225,415735,490637,528178
 "17000","Illinois",3,CAINC5N,533,"313","     Textile mills","Thousands of dollars",85803,74952,62530,61483,59513,58817,61759,64745,52471,48559,48147,51163,52278,55968,60970,61120,62758
 "17000","Illinois",3,CAINC5N,534,"314","     Textile product mills","Thousands of dollars",152903,148870,153610,144060,144281,142968,151233,142842,127283,124789,126418,131938,130489,144667,147987,147921,151739
 "17000","Illinois",3,CAINC5N,535,"315","     Apparel manufacturing","Thousands of dollars",244078,227177,189587,192690,187266,203902,191504,174497,136338,133723,154410,160077,151078,163859,165565,180302,183611
 "17000","Illinois",3,CAINC5N,536,"316","     Leather and allied product manufacturing","Thousands of dollars",103378,94540,74218,85880,84138,67290,63090,75739,68576,57951,62091,55973,53205,58888,57425,63186,60472
 "17000","Illinois",3,CAINC5N,537,"322","     Paper manufacturing","Thousands of dollars",1592797,1627140,1605517,1555432,1562673,1596588,1630598,1661965,1565663,1433878,1526511,1581852,1666784,1690749,1854958,1601117,1618816
 "17000","Illinois",3,CAINC5N,538,"323","     Printing and related support activities","Thousands of dollars",2513969,2394872,2428085,2417259,2438887,2477786,2518570,2417721,2018565,1908809,1980257,1967320,2018578,1978655,1989817,1983535,1984915
 "17000","Illinois",3,CAINC5N,539,"324","     Petroleum and coal products manufacturing","Thousands of dollars",774414,656507,736913,845625,1185574,872692,654730,766193,1072578,1286524,1917332,2947386,1732787,1207516,1021660,911530,887539
 "17000","Illinois",3,CAINC5N,541,"325","     Chemical manufacturing","Thousands of dollars",4776779,5108251,5240460,5230164,4852906,4966531,5366590,5237196,4986777,5556009,5825166,6726267,6981311,8007585,8190466,7248605,7470587
 "17000","Illinois",3,CAINC5N,542,"326","     Plastics and rubber products manufacturing","Thousands of dollars",2650230,2648370,2626647,2709300,2701969,2734709,2707100,2693661,2502313,2670271,2658235,2640564,2723780,2721087,2848481,3090478,3378563
 "17000","Illinois",3,CAINC5N,600,"42","   Wholesale trade","Thousands of dollars",21008944,20913496,20889419,21814374,23107141,24676659,26027365,26553305,24499384,24674136,26706564,28285336,28917961,29508660,30408928,30496169,31829911
 "17000","Illinois",3,CAINC5N,700,"44-45","   Retail trade","Thousands of dollars",18956277,19492210,19944869,20529793,21081790,21972017,22853159,21681404,20808755,21155417,22058598,23090762,23654974,24085164,24814232,24628379,24841650
 "17000","Illinois",3,CAINC5N,701,"441","    Motor vehicle and parts dealers","Thousands of dollars",3415473,3489408,3556965,3844790,3917516,3890813,3832445,3544797,3174926,3266329,3483046,3714144,3884759,4092472,4371845,4419506,4451564
 "17000","Illinois",3,CAINC5N,702,"442","    Furniture and home furnishings stores","Thousands of dollars",896483,930636,984353,964912,1051653,1114827,1118751,967176,740096,758001,718713,768609,809757,808121,851065,890461,935742
 "17000","Illinois",3,CAINC5N,703,"443","    Electronics and appliance stores","Thousands of dollars",1536572,1527319,1402040,1408628,1445143,1505213,1844336,1527057,1314192,1428650,1544221,1611690,1625346,1549942,1638810,1666037,1795516
 "17000","Illinois",3,CAINC5N,704,"444","    Building material and garden equipment and supplies dealers","Thousands of dollars",1534076,1560590,1687417,1765868,1775712,1830533,1818800,1725238,1604662,1589683,1574448,1571186,1583633,1621614,1760010,1819221,1871237
 "17000","Illinois",3,CAINC5N,705,"445","    Food and beverage stores","Thousands of dollars",2894766,3044976,3140129,3263324,3269372,3426110,3571298,3326483,3691042,3789493,3993245,4286765,4362516,4459589,4479999,4106990,3812155
 "17000","Illinois",3,CAINC5N,706,"446","    Health and personal care stores","Thousands of dollars",1541076,1666408,1755986,1749612,1829176,2000424,2048825,1983436,1946638,1984834,2114855,2245806,2325082,2242793,2277350,2365742,2481324
 "17000","Illinois",3,CAINC5N,707,"447","    Gasoline stations","Thousands of dollars",755649,762143,766687,700307,707653,662715,632755,656353,632672,664896,707035,734627,845933,1026571,1014177,962587,947295
 "17000","Illinois",3,CAINC5N,708,"448","    Clothing and clothing accessories stores","Thousands of dollars",1280403,1298131,1315399,1363606,1423361,1438287,1422524,1398500,1250712,1290195,1346925,1403278,1424518,1417090,1460646,1453884,1445783
