GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "18000","Indiana",3,CAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",175497603,178017790,182141948,190718511,196766870,208808463,216350903,225842603,219712564,229477331,244551172,256257565,259524966,269592986,279704919,289164319,301008164
 "18000","Indiana",3,CAINC5N,20,"...","Population (persons) 2/","Number of persons",6127760,6155967,6196638,6233007,6278616,6332669,6379599,6424806,6459325,6490029,6515358,6535665,6567484,6593182,6610596,6634007,6666818
 "18000","Indiana",3,CAINC5N,30,"...","Per capita personal income (dollars)","Dollars",28640,28918,29394,30598,31339,32973,33913,35152,34015,35358,37535,39209,39517,40890,42312,43588,45150
 "18000","Indiana",3,CAINC5N,35,"...","Earnings by place of work","Thousands of dollars",131851519,134388268,138214596,145377791,149240626,156107787,159772351,163004611,155641328,163524439,173579544,181463480,187368161,192440228,197590684,205052749,213742780
 "18000","Indiana",3,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",14582080,14954327,15462977,16260094,16990277,17853615,18367739,18787163,18023903,18440790,17084034,17786533,20661528,21418598,22324522,22808331,23712845
 "18000","Indiana",3,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",7634928,7863087,8077738,8487169,8846523,9388324,9711059,9987862,9626021,9847485,8044372,8343774,10957489,11383390,11892676,12234431,12803810
 "18000","Indiana",3,CAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",6947152,7091240,7385239,7772925,8143754,8465291,8656680,8799301,8397882,8593305,9039662,9442759,9704039,10035208,10431846,10573900,10909035
 "18000","Indiana",3,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",3359929,3431386,3515224,3801090,4105028,4322089,4695529,4685977,4600637,4464649,4722386,4728953,5231037,5173108,5887629,5860046,6006095
 "18000","Indiana",3,CAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",120629368,122865327,126266843,132918787,136355377,142576261,146100141,148903425,142218062,149548298,161217896,168405900,171937670,176194738,181153791,188104464,196036030
 "18000","Indiana",3,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",30839989,29649637,29362008,29726492,29843502,33235739,35638675,36897397,33243556,32614136,35974330,38994008,38351699,41139442,43862850,45033048,47283225
 "18000","Indiana",3,CAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",24028246,25502826,26513097,28073232,30567991,32996463,34612087,40041781,44250946,47314897,47358946,48857657,49235597,52258806,54688278,56026807,57688909
 "18000","Indiana",3,CAINC5N,50,"..."," Wages and salaries","Thousands of dollars",96496186,97991272,100505583,105572465,108663077,113129738,116694686,118218938,111453201,114358549,119136930,124641790,127532806,132272936,138692679,142623361,149369218
 "18000","Indiana",3,CAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",22101445,22823748,24027522,25156084,26564304,27802169,28764112,29329134,26892538,28005628,28672303,30248100,30325520,32901071,31968051,34690939,36182331
 "18000","Indiana",3,CAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 6/","Thousands of dollars",15154293,15732508,16642283,17383159,18420550,19336878,20107432,20529833,18494656,19412323,19632641,20805341,20621481,22865863,21536205,24117039,25273296
 "18000","Indiana",3,CAINC5N,62,"...","  Employer contributions for government social insurance","Thousands of dollars",6947152,7091240,7385239,7772925,8143754,8465291,8656680,8799301,8397882,8593305,9039662,9442759,9704039,10035208,10431846,10573900,10909035
 "18000","Indiana",3,CAINC5N,70,"..."," Proprietors' income 7/","Thousands of dollars",13253888,13573248,13681491,14649242,14013245,15175880,14313553,15456539,17295589,21160262,25770311,26573590,29509835,27266221,26929954,27738449,28191231
 "18000","Indiana",3,CAINC5N,71,"...","  Farm proprietors' income","Thousands of dollars",781050,205437,953665,1727817,1028722,840677,1226878,1952523,1177226,1215482,2411832,1835320,4875843,2534037,841488,1156831,486896
 "18000","Indiana",3,CAINC5N,72,"...","  Nonfarm proprietors' income","Thousands of dollars",12472838,13367811,12727826,12921425,12984523,14335203,13086675,13504016,16118363,19944780,23358479,24738270,24633992,24732184,26088466,26581618,27704335
 "18000","Indiana",3,CAINC5N,81,"111-112"," Farm earnings","Thousands of dollars",1067919,474524,1257007,2069347,1348140,1141079,1589032,2281657,1544080,1603212,2773967,2267208,5318916,3017509,1233041,1561697,912853
 "18000","Indiana",3,CAINC5N,82,"..."," Nonfarm earnings","Thousands of dollars",130783600,133913744,136957589,143308444,147892486,154966708,158183319,160722954,154097248,161921227,170805577,179196272,182049245,189422719,196357643,203491052,212829927
 "18000","Indiana",3,CAINC5N,90,"113-814","  Private nonfarm earnings","Thousands of dollars",113849345,116260481,118313648,123633027,127415563,134136582,136470900,138033075,130844036,138463245,147165452,155716101,158792855,165373977,171850139,178500526,187231055
