GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "20000","Kansas",4,CAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",78695419,79379024,81546492,83860018,88492167,97830346,105159354,114394562,110481960,112682297,122294546,129853742,132570046,135413542,137238313,138105463,141459351
 "20000","Kansas",4,CAINC5N,20,"...","Population (persons) 2/","Number of persons",2702162,2713535,2723004,2734373,2745299,2762931,2783785,2808076,2832704,2858403,2868756,2885316,2892900,2899553,2905789,2907731,2913123
 "20000","Kansas",4,CAINC5N,30,"...","Per capita personal income (dollars)","Dollars",29123,29253,29947,30669,32234,35408,37776,40738,39002,39421,42630,45005,45826,46702,47229,47496,48559
 "20000","Kansas",4,CAINC5N,35,"...","Earnings by place of work","Thousands of dollars",58081418,58860497,60827460,62925524,66165889,71903076,76566622,82100600,79512612,81728405,87797665,93061812,98352332,98381407,99724741,99000876,100914371
 "20000","Kansas",4,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",6869934,7008361,7172781,7556560,7911241,8406937,8806941,9207010,9002859,9235760,8515986,8816128,10225399,10610349,11030856,10865409,11152178
 "20000","Kansas",4,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",3537223,3618138,3680850,3857965,4067219,4355258,4656866,4858083,4778979,4812387,3949754,4071996,5347502,5596587,5737492,5790990,5956430
 "20000","Kansas",4,CAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",3332711,3390223,3491931,3698595,3844022,4051679,4150075,4348927,4223880,4423373,4566232,4744132,4877897,5013762,5293364,5074419,5195748
 "20000","Kansas",4,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",1133213,1197567,1169091,1118363,1260086,1368092,1253547,1413451,1694162,1674190,1238596,1640024,1366740,1182897,1159914,1147236,1312707
 "20000","Kansas",4,CAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",52344697,53049703,54823770,56487327,59514734,64864231,69013228,74307041,72203915,74166835,80520275,85885708,89493673,88953955,89853799,89282703,91074900
 "20000","Kansas",4,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",15801598,15120324,15013673,15332239,16280698,19323328,21459305,23535061,20252442,19325713,22148501,24613576,23437414,26135737,26113538,26824377,27885083
