GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "21000","Kentucky",5,CAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",104268892,106642137,109563273,115893943,121519992,128717458,134505711,140471618,138837504,144009207,151069464,156511651,157850740,165369017,172361423,175012793,180826521
 "21000","Kentucky",5,CAINC5N,20,"...","Population (persons) 2/","Number of persons",4068132,4089875,4117170,4146101,4182742,4219239,4256672,4289878,4317074,4347948,4368505,4383673,4399121,4410415,4422057,4436113,4454189
 "21000","Kentucky",5,CAINC5N,30,"...","Per capita personal income (dollars)","Dollars",25631,26075,26611,27953,29053,30507,31599,32745,32160,33121,34582,35703,35882,37495,38978,39452,40597
 "21000","Kentucky",5,CAINC5N,35,"...","Earnings by place of work","Thousands of dollars",76453440,78540844,81609727,86832677,91237912,94930079,97782750,100007431,97202871,101236679,105312482,108890361,111801108,114740408,118787142,120584578,124550442
 "21000","Kentucky",5,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",8743239,9022213,9278053,9669427,10146761,10680700,11164069,11636074,11506230,11821947,10928454,11284036,12899098,13454910,14047273,14382905,14804566
 "21000","Kentucky",5,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",4465680,4603944,4756861,4978733,5257227,5593738,5876630,6130552,6053661,6154683,5080812,5209163,6734360,7029067,7322589,7561821,7859755
 "21000","Kentucky",5,CAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",4277559,4418269,4521192,4690694,4889534,5086962,5287439,5505522,5452569,5667264,5847642,6074873,6164738,6425843,6724684,6821084,6944811
 "21000","Kentucky",5,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",-443465,-509761,-735881,-927489,-1312817,-1359828,-1501814,-1792859,-1855045,-2140690,-2344115,-2397235,-2041047,-1983687,-2073008,-1931012,-2108309
 "21000","Kentucky",5,CAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",67266736,69008870,71595793,76235761,79778334,82889551,85116867,86578498,83841596,87274042,92039913,95209090,96860963,99301811,102666861,104270661,107637567
 "21000","Kentucky",5,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",18575535,17900010,17620647,17757853,18534634,20826870,22491596,23564345,21529700,21280749,23099319,25327082,24148061,26003840,27478103,28269268,29448529
 "21000","Kentucky",5,CAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",18426621,19733257,20346833,21900329,23207024,25001037,26897248,30328775,33466208,35454416,35930232,35975479,36841716,40063366,42216459,42472864,43740425
 "21000","Kentucky",5,CAINC5N,50,"..."," Wages and salaries","Thousands of dollars",55555240,56651182,58474169,61400386,64085242,67308349,70581912,72352553,70414312,71874890,74532399,77058334,78279762,81458011,85324268,87639023,90230068
 "21000","Kentucky",5,CAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",13457333,14300217,15315622,16214222,17510764,17697714,18347276,19125750,18211374,19792203,20117263,20970492,20796308,20910675,21650013,21763974,22432540
 "21000","Kentucky",5,CAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 6/","Thousands of dollars",9179774,9881948,10794430,11523528,12621230,12610752,13059837,13620228,12758805,14124939,14269621,14895619,14631570,14484832,14925329,14942890,15487729
 "21000","Kentucky",5,CAINC5N,62,"...","  Employer contributions for government social insurance","Thousands of dollars",4277559,4418269,4521192,4690694,4889534,5086962,5287439,5505522,5452569,5667264,5847642,6074873,6164738,6425843,6724684,6821084,6944811
 "21000","Kentucky",5,CAINC5N,70,"..."," Proprietors' income 7/","Thousands of dollars",7440867,7589445,7819936,9218069,9641906,9924016,8853562,8529128,8577185,9569586,10662820,10861535,12725038,12371722,11812861,11181581,11887834
 "21000","Kentucky",5,CAINC5N,71,"...","  Farm proprietors' income","Thousands of dollars",817605,353965,357463,909760,1281306,972061,472865,6773,350270,36392,574170,555864,2340808,1356874,1075429,523032,694734
 "21000","Kentucky",5,CAINC5N,72,"...","  Nonfarm proprietors' income","Thousands of dollars",6623262,7235480,7462473,8308309,8360600,8951955,8380697,8522355,8226915,9533194,10088650,10305671,10384230,11014848,10737432,10658549,11193100
 "21000","Kentucky",5,CAINC5N,81,"111-112"," Farm earnings","Thousands of dollars",1082426,680291,714007,1256619,1557847,1274279,828326,344433,670136,339996,833241,920886,2710199,1732032,1409349,892292,1049256
 "21000","Kentucky",5,CAINC5N,82,"..."," Nonfarm earnings","Thousands of dollars",75371014,77860553,80895720,85576058,89680065,93655800,96954424,99662998,96532735,100896683,104479241,107969475,109090909,113008376,117377793,119692286,123501186
 "21000","Kentucky",5,CAINC5N,90,"113-814","  Private nonfarm earnings","Thousands of dollars",61944829,63685247,65909200,69785614,72537377,75190577,77461235,78697280,75658594,78216821,81813565,85416580,86326499,90470013,94776985,97247114,100645275
 "21000","Kentucky",5,CAINC5N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",311929,297417,309604,347097,348408,377494,324232,320449,326213,362445,345702,384769,388609,429765,487441,504744,503599
 "21000","Kentucky",5,CAINC5N,101,"113","    Forestry and logging","Thousands of dollars",(D),(D),(D),(D),(D),90564,70299,(D),(D),(D),(D),(D),111572,(D),148851,(D),143075
 "21000","Kentucky",5,CAINC5N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",(D),(D),(D),(D),(D),23,-369,(D),(D),(D),(D),(D),-1832,(D),-333,(D),-1246
 "21000","Kentucky",5,CAINC5N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",234590,225880,233310,260213,254310,286907,254302,253303,259684,268901,261510,279783,278869,303158,338923,358237,361770
 "21000","Kentucky",5,CAINC5N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",1243251,1216034,1204743,1241208,1471703,1815756,1716532,2394493,2030044,2065799,2166634,1829187,1563909,1498112,980223,538763,530658
 "21000","Kentucky",5,CAINC5N,201,"211","    Oil and gas extraction","Thousands of dollars",184655,181171,182564,135226,203789,320136,276640,683839,357127,391850,384246,257013,275191,309609,168429,90197,66832
 "21000","Kentucky",5,CAINC5N,202,"212","    Mining (except oil and gas)","Thousands of dollars",1009652,972927,949911,1011018,1143851,1320751,1263940,1499644,1490209,1501434,1573076,1363722,1091108,962864,650600,357569,361978
 "21000","Kentucky",5,CAINC5N,203,"213","    Support activities for mining","Thousands of dollars",48944,61936,72268,94964,124063,174869,175952,211010,182708,172515,209312,208452,197610,225639,161194,90997,101848
 "21000","Kentucky",5,CAINC5N,300,"22","   Utilities","Thousands of dollars",597741,541559,515072,531763,555635,617946,600984,614840,607320,639364,677616,657285,679596,720115,738462,775978,776186
 "21000","Kentucky",5,CAINC5N,400,"23","   Construction","Thousands of dollars",4913382,4889660,5152098,5388536,5564846,5692076,5716180,5644251,5292841,5200379,5320886,5829953,5955730,6585696,6977411,7062764,7432149
 "21000","Kentucky",5,CAINC5N,401,"236","    Construction of buildings","Thousands of dollars",1229478,1247421,1325853,1312301,1302275,1325724,1360045,1323939,1265170,1178781,1200392,1425814,1503950,1668851,1763896,1768614,1899360
 "21000","Kentucky",5,CAINC5N,402,"237","    Heavy and civil engineering construction","Thousands of dollars",727827,716313,736391,729642,773281,759862,867989,923585,953900,815911,777563,862756,924796,1005709,1042409,978409,930124
 "21000","Kentucky",5,CAINC5N,403,"238","    Specialty trade contractors","Thousands of dollars",2956077,2925926,3089854,3346593,3489290,3606490,3488146,3396727,3073771,3205687,3342931,3541383,3526984,3911136,4171106,4315741,4602665
 "21000","Kentucky",5,CAINC5N,500,"31-33","   Manufacturing","Thousands of dollars",14364206,14329252,14396282,15116295,15415484,15596529,15718353,15591289,13190958,13598336,14174640,15326088,15703210,16564512,17599027,17932615,18396907
