GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "22000","Louisiana",5,CAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",114378290,117657280,121062438,126175060,135724867,143751044,156784816,167982849,163381831,170476939,176174660,186004152,188376958,197685900,200077726,199543361,204516783
 "22000","Louisiana",5,CAINC5N,20,"...","Population (persons) 2/","Number of persons",4477875,4497267,4521042,4552238,4576628,4302665,4375581,4435586,4491648,4544871,4574388,4602681,4626795,4648797,4671211,4686157,4684333
 "22000","Louisiana",5,CAINC5N,30,"...","Per capita personal income (dollars)","Dollars",25543,26162,26778,27717,29656,33410,35832,37872,36375,37510,38513,40412,40714,42524,42832,42581,43660
 "22000","Louisiana",5,CAINC5N,35,"...","Earnings by place of work","Thousands of dollars",83629559,86666273,90123143,93010152,97082303,104028882,109757143,117822918,115721098,121580904,123463754,128701204,133486329,141306073,139435609,135478723,137921970
 "22000","Louisiana",5,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",8344845,8644175,8884961,9166859,9386593,10064220,10738629,11404668,11365562,11720989,10832089,11163519,13013630,13559412,13811992,13628731,13963270
 "22000","Louisiana",5,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",4377263,4550432,4681364,4847541,5029001,5450730,5813782,6191444,6191408,6406229,5247428,5405711,7067514,7404093,7514144,7462065,7674343
 "22000","Louisiana",5,CAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",3967582,4093743,4203597,4319318,4357592,4613490,4924847,5213224,5174154,5314760,5584661,5757808,5946116,6155319,6297848,6166666,6288927
 "22000","Louisiana",5,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",-272042,-298715,-348643,-382581,-361124,-424187,-451983,-496665,-483958,-513834,-414136,-348201,-410647,-559248,-596967,-749052,-967304
 "22000","Louisiana",5,CAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",75012672,77723383,80889539,83460712,87334586,93540475,98566531,105921585,103871578,109346081,112217529,117189484,120062052,127187413,125026650,121100940,122991396
 "22000","Louisiana",5,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",19081969,18561244,18751299,19064458,20670711,24650258,31624547,31773841,27399350,26640781,29010641,33101460,31356794,33382271,33922917,34626866,35866259
 "22000","Louisiana",5,CAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",20283649,21372653,21421600,23649890,27719570,25560311,26593738,30287423,32110903,34490077,34946490,35713208,36958112,37116216,41128159,43815555,45659128
 "22000","Louisiana",5,CAINC5N,50,"..."," Wages and salaries","Thousands of dollars",58748984,60587573,62675430,65480495,67930926,72521533,78328895,83643408,82280463,83587194,86069492,89000904,91411431,95439491,97175395,95621695,97391207
 "22000","Louisiana",5,CAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",13383096,14127176,15026268,15911651,16568725,17270637,18126324,18929821,19449778,20830342,20133485,20787020,21564158,22762830,23566621,23423167,24062949
 "22000","Louisiana",5,CAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 6/","Thousands of dollars",9415514,10033433,10822671,11592333,12211133,12657147,13201477,13716597,14275624,15515582,14548824,15029212,15618042,16607511,17268773,17256501,17774022
 "22000","Louisiana",5,CAINC5N,62,"...","  Employer contributions for government social insurance","Thousands of dollars",3967582,4093743,4203597,4319318,4357592,4613490,4924847,5213224,5174154,5314760,5584661,5757808,5946116,6155319,6297848,6166666,6288927
 "22000","Louisiana",5,CAINC5N,70,"..."," Proprietors' income 7/","Thousands of dollars",11497479,11951524,12421445,11618006,12582652,14236712,13301924,15249689,13990857,17163368,17260777,18913280,20510740,23103752,18693593,16433861,16467814
 "22000","Louisiana",5,CAINC5N,71,"...","  Farm proprietors' income","Thousands of dollars",444161,218379,638698,592541,499089,545875,554936,343251,546336,601941,677691,933381,1302766,722166,307705,363559,423216
 "22000","Louisiana",5,CAINC5N,72,"...","  Nonfarm proprietors' income","Thousands of dollars",11053318,11733145,11782747,11025465,12083563,13690837,12746988,14906438,13444521,16561427,16583086,17979899,19207974,22381586,18385888,16070302,16044598
 "22000","Louisiana",5,CAINC5N,81,"111-112"," Farm earnings","Thousands of dollars",659278,430475,793557,793513,674404,727407,764908,540514,740875,797789,846221,1181534,1502235,882172,541966,551329,612095
 "22000","Louisiana",5,CAINC5N,82,"..."," Nonfarm earnings","Thousands of dollars",82970281,86235798,89329586,92216639,96407899,103301475,108992235,117282404,114980223,120783115,122617533,127519670,131984094,140423901,138893643,134927394,137309875
