GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "25000","Massachusetts",1,CAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",255190324,254257935,259814706,273400963,285647152,307760931,323214533,335476253,332151989,348418920,365526722,381949559,385338416,405089815,431571610,444812504,463930693
 "25000","Massachusetts",1,CAINC5N,20,"...","Population (persons) 2/","Number of persons",6397634,6417206,6422565,6412281,6403290,6410084,6431559,6468967,6517613,6564943,6612178,6659627,6711138,6757925,6794002,6823721,6859819
 "25000","Massachusetts",1,CAINC5N,30,"...","Per capita personal income (dollars)","Dollars",39888,39621,40453,42637,44609,48012,50254,51859,50962,53073,55281,57353,57418,59943,63522,65186,67630
 "25000","Massachusetts",1,CAINC5N,35,"...","Earnings by place of work","Thousands of dollars",203141126,201989101,204878500,218075918,224483237,237072529,248612357,254459587,252410013,267178413,275868451,285943448,293292427,304448383,322392646,332903768,349945311
 "25000","Massachusetts",1,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",20769057,20728829,20950918,22740745,23801368,24663032,25846393,26683459,26302163,26858985,25046116,25913592,30058347,31541910,32699007,33850227,35590105
 "25000","Massachusetts",1,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",10555034,10632416,10776598,11346595,11908734,12472750,13196837,13673425,13443090,13688313,11224665,11593073,15478540,16336089,17196287,17873080,18837538
 "25000","Massachusetts",1,CAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",10214023,10096413,10174320,11394150,11892634,12190282,12649556,13010034,12859073,13170672,13821451,14320519,14579807,15205821,15502720,15977147,16752567
 "25000","Massachusetts",1,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",-5196823,-5088234,-5090974,-5588404,-5426385,-5697144,-6110632,-6077682,-5472377,-5996489,-6648946,-7380130,-7341547,-6948785,-7821699,-8644418,-9624901
 "25000","Massachusetts",1,CAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",177175246,176172038,178836608,189746769,195255484,206712353,216655332,221698446,220635473,234322939,244173389,252649726,255892533,265957688,281871940,290409123,304730305
 "25000","Massachusetts",1,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",47532071,45003635,46030174,47290025,51331735,60115886,63931967,65106380,58199018,57951307,64947249,72529160,72119889,80046889,86327651,88252553,92100010
 "25000","Massachusetts",1,CAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",30483007,33082262,34947924,36364169,39059933,40932692,42627234,48671427,53317498,56144674,56406084,56770673,57325994,59085238,63372019,66150828,67100378
 "25000","Massachusetts",1,CAINC5N,50,"..."," Wages and salaries","Thousands of dollars",151752080,148692375,150527751,158670697,163382972,172745038,184209823,189831902,181837492,187421072,195638259,203708747,209944627,221940467,235429892,242502694,254642061
 "25000","Massachusetts",1,CAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",29329815,30087140,30987319,33853439,35554920,36698066,38843303,40256792,39632635,42077645,44681865,46298622,47417354,48017937,51005788,51541603,54003736
 "25000","Massachusetts",1,CAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 6/","Thousands of dollars",19115792,19990727,20812999,22459289,23662286,24507784,26193747,27246758,26773562,28906973,30860414,31978103,32837547,32812116,35503068,35564456,37251169
 "25000","Massachusetts",1,CAINC5N,62,"...","  Employer contributions for government social insurance","Thousands of dollars",10214023,10096413,10174320,11394150,11892634,12190282,12649556,13010034,12859073,13170672,13821451,14320519,14579807,15205821,15502720,15977147,16752567
 "25000","Massachusetts",1,CAINC5N,70,"..."," Proprietors' income 7/","Thousands of dollars",22059231,23209586,23363430,25551782,25545345,27629425,25559231,24370893,30939886,37679696,35548327,35936079,35930446,34489979,35956966,38859471,41299514
 "25000","Massachusetts",1,CAINC5N,71,"...","  Farm proprietors' income","Thousands of dollars",-1386,-5275,6960,25356,26229,19706,-779,66425,42456,49230,64178,66705,40818,-24047,-10196,-30603,-39696
 "25000","Massachusetts",1,CAINC5N,72,"...","  Nonfarm proprietors' income","Thousands of dollars",22060617,23214861,23356470,25526426,25519116,27609719,25560010,24304468,30897430,37630466,35484149,35869374,35889628,34514026,35967162,38890074,41339210
 "25000","Massachusetts",1,CAINC5N,81,"111-112"," Farm earnings","Thousands of dollars",110012,131449,130494,146186,124709,131542,132411,193411,164389,165526,165065,230941,208174,153466,138542,136248,118582
 "25000","Massachusetts",1,CAINC5N,82,"..."," Nonfarm earnings","Thousands of dollars",203031114,201857652,204748006,217929732,224358528,236940987,248479946,254266176,252245624,267012887,275703386,285712507,293084253,304294917,322254104,332767520,349826729
 "25000","Massachusetts",1,CAINC5N,90,"113-814","  Private nonfarm earnings","Thousands of dollars",179819487,177552027,179601381,191565702,196930823,208036433,218207658,222740940,219942853,233815640,241714038,250385557,256151950,265725377,282119727,292114631,308075826
 "25000","Massachusetts",1,CAINC5N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",445526,450732,458820,490722,586690,653732,430060,438445,545192,1008975,844412,873048,698933,534756,626983,641931,656509
 "25000","Massachusetts",1,CAINC5N,101,"113","    Forestry and logging","Thousands of dollars",21687,17513,28137,45160,104563,144351,-1266,40593,132338,492118,380605,390344,260340,111731,120528,94305,79048
 "25000","Massachusetts",1,CAINC5N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",326705,327939,320265,314398,343764,352119,285206,251700,271427,364500,393623,419031,380284,361829,430408,465254,491773
 "25000","Massachusetts",1,CAINC5N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",97134,105280,110418,131164,138363,157262,146120,146152,141427,152357,70184,63673,58309,61196,76047,82372,85688
 "25000","Massachusetts",1,CAINC5N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",285793,294041,264387,159997,136139,155748,155402,198114,136942,130150,68319,161124,181380,443064,300764,263665,241612
 "25000","Massachusetts",1,CAINC5N,201,"211","    Oil and gas extraction","Thousands of dollars",201817,207442,162806,47907,23931,(D),(D),(D),(D),(D),3328,98177,114918,366376,221040,174633,(D)
 "25000","Massachusetts",1,CAINC5N,202,"212","    Mining (except oil and gas)","Thousands of dollars",(D),(D),96721,105937,107668,(D),99296,76108,69352,56733,57276,54506,54543,63726,66504,75442,82547
 "25000","Massachusetts",1,CAINC5N,203,"213","    Support activities for mining","Thousands of dollars",(D),(D),4860,6153,4540,(D),(D),(D),(D),(D),7715,8441,11919,12962,13220,13590,(D)
 "25000","Massachusetts",1,CAINC5N,300,"22","   Utilities","Thousands of dollars",1264380,1186157,1211451,1132656,1200412,1576649,1627135,2414679,1412035,1707321,1765318,1593278,1848086,2005120,1978423,1810151,2063394
 "25000","Massachusetts",1,CAINC5N,400,"23","   Construction","Thousands of dollars",13156822,13818256,13609147,14132358,14495707,15057673,14505257,13700017,12440793,12883359,13665709,15331579,16205149,17186311,18746699,19643406,21399328
 "25000","Massachusetts",1,CAINC5N,401,"236","    Construction of buildings","Thousands of dollars",3089171,3353943,3318775,3326916,3417978,3540190,3477428,3472557,3268481,3005248,3222168,3800427,4123311,4359878,4769526,4925190,5170418
 "25000","Massachusetts",1,CAINC5N,402,"237","    Heavy and civil engineering construction","Thousands of dollars",1528268,1670595,1298363,1180939,1098677,1078959,1154837,1151273,1013198,1098399,1167510,1355199,1355797,1348086,1468223,1593956,1844176
 "25000","Massachusetts",1,CAINC5N,403,"238","    Specialty trade contractors","Thousands of dollars",8539383,8793718,8992009,9624503,9979052,10438524,9872992,9076187,8159114,8779712,9276031,10175953,10726041,11478347,12508950,13124260,14384734
 "25000","Massachusetts",1,CAINC5N,500,"31-33","   Manufacturing","Thousands of dollars",25815198,23575783,23428833,24741164,24699826,25231268,26479525,25690210,23750027,24807922,25504306,26162467,25552381,26239888,27109600,26625512,27175878
 "25000","Massachusetts",1,CAINC5N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",18714478,16996786,16520120,17287111,17142531,17406383,18411452,18188147,16514432,17725383,17916608,18179702,17564940,17906158,18303152,18909144,19392376
 "25000","Massachusetts",1,CAINC5N,511,"321","     Wood product manufacturing","Thousands of dollars",143546,131519,138915,160492,160790,152917,119136,102783,115423,140948,149827,142118,(D),(D),174348,180868,183272
 "25000","Massachusetts",1,CAINC5N,512,"327","     Nonmetallic mineral product manufacturing","Thousands of dollars",468240,428630,387922,406780,436746,444178,489746,465795,388145,396851,411970,408489,409195,420137,441633,445168,475268
 "25000","Massachusetts",1,CAINC5N,513,"331","     Primary metal manufacturing","Thousands of dollars",327125,287463,267320,307852,302481,313640,333062,329466,262974,286892,276940,263524,251068,251988,218335,195338,189534
 "25000","Massachusetts",1,CAINC5N,514,"332","     Fabricated metal product manufacturing","Thousands of dollars",2494049,2311254,2245466,2405789,2590169,2542304,2353204,2380464,2047488,2328835,2453676,2707084,2594626,2647956,2680700,2679586,2765936
 "25000","Massachusetts",1,CAINC5N,515,"333","     Machinery manufacturing","Thousands of dollars",1990355,1687780,1568274,1696694,1725048,1639117,1809679,1710602,1466256,1525318,1844964,1695907,1629991,1670713,1714096,1744205,1809379
 "25000","Massachusetts",1,CAINC5N,516,"334","     Computer and electronic product manufacturing","Thousands of dollars",8902342,7727477,7628920,7757913,7439829,7612230,8332680,7932956,7250967,7864367,7632057,7835569,7542542,7772853,7977415,8350304,8280497
 "25000","Massachusetts",1,CAINC5N,517,"335","     Electrical equipment, appliance, and component manufacturing","Thousands of dollars",1083792,945587,958258,957716,974050,999195,1052400,1080497,937453,1002094,1065676,971580,949053,916414,936988,920931,968442
 "25000","Massachusetts",1,CAINC5N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing","Thousands of dollars",(D),119464,108897,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "25000","Massachusetts",1,CAINC5N,519,"3364-3369","     Other transportation equipment manufacturing","Thousands of dollars",(D),1269417,1279467,(D),(D),(D),(D),(D),(D),(D),(D),(D),1584491,1556740,(D),(D),(D)
 "25000","Massachusetts",1,CAINC5N,521,"337","     Furniture and related product manufacturing","Thousands of dollars",321027,321344,304708,313915,321698,317903,326874,345597,276284,263359,268529,261551,268960,280613,286221,282624,296134
 "25000","Massachusetts",1,CAINC5N,522,"339","     Miscellaneous manufacturing","Thousands of dollars",1656871,1766851,1631973,1862583,1830320,1897593,1963693,2149879,2113457,2236390,2146397,2212873,2103999,2143664,2225310,2362410,2684088
 "25000","Massachusetts",1,CAINC5N,530,"311-316,322-326","    Nondurable goods manufacturing","Thousands of dollars",7100720,6578997,6908713,7454053,7557295,7824885,8068073,7502063,7235595,7082539,7587698,7982765,7987441,8333730,8806448,7716368,7783502
 "25000","Massachusetts",1,CAINC5N,531,"311","     Food manufacturing","Thousands of dollars",915688,939209,974118,1035987,1122748,1162537,1162637,1173853,1257802,1388082,1447307,1536594,1592374,1686007,1597955,1502994,1563712
 "25000","Massachusetts",1,CAINC5N,532,"312","     Beverage and tobacco product manufacturing","Thousands of dollars",178633,174015,167150,168689,165199,171070,179951,197960,188777,214750,223076,247279,235512,296938,314152,358870,353710
 "25000","Massachusetts",1,CAINC5N,533,"313","     Textile mills","Thousands of dollars",501953,473009,450055,433145,384697,335898,294278,237807,186378,213558,218320,235376,231710,234880,221714,213315,201435
 "25000","Massachusetts",1,CAINC5N,534,"314","     Textile product mills","Thousands of dollars",131691,115174,114911,111706,110191,109822,125924,112381,89330,95823,89343,95648,103528,106719,112525,122475,107468
 "25000","Massachusetts",1,CAINC5N,535,"315","     Apparel manufacturing","Thousands of dollars",196624,173726,150370,153624,140585,140911,117683,115279,84077,89198,91205,84613,83985,98943,107636,109574,121759
 "25000","Massachusetts",1,CAINC5N,536,"316","     Leather and allied product manufacturing","Thousands of dollars",112496,96288,147954,131699,177112,166506,111775,119469,109677,119686,132466,136825,146487,145967,128239,158793,167347
 "25000","Massachusetts",1,CAINC5N,537,"322","     Paper manufacturing","Thousands of dollars",946436,863247,874940,880670,893104,845957,1017265,1011161,1416878,1002604,1017173,955645,1219038,1192958,1205886,898719,876063
 "25000","Massachusetts",1,CAINC5N,538,"323","     Printing and related support activities","Thousands of dollars",1016167,915502,878980,894991,907497,1012270,1042191,984836,848008,839072,867699,834985,847076,832629,908545,848730,834374
 "25000","Massachusetts",1,CAINC5N,539,"324","     Petroleum and coal products manufacturing","Thousands of dollars",417993,156485,338773,979619,891319,1123389,802965,565892,209597,157549,504590,767089,326581,191056,139381,113868,108938
 "25000","Massachusetts",1,CAINC5N,541,"325","     Chemical manufacturing","Thousands of dollars",1636635,1696941,1872623,1742184,1832963,1820822,2360416,2103303,2070296,2122716,2146567,2226778,2289159,2602063,3087642,2386269,2444757
 "25000","Massachusetts",1,CAINC5N,542,"326","     Plastics and rubber products manufacturing","Thousands of dollars",1046404,975401,938839,921739,931880,935703,852988,880122,774775,839501,849952,861933,911991,945570,982773,1002761,1003939
 "25000","Massachusetts",1,CAINC5N,600,"42","   Wholesale trade","Thousands of dollars",10892044,10502738,10945204,11364154,11191786,12221913,12781065,13107958,12485620,12495488,12966532,12760011,13208600,13482817,14146431,14447393,15120578
