GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",113125113,115729688,122484573,130099048,139292167,149663507,150465793,147963256,139839338,150072420,157160243,170609148,169986956,179141029,193358936,199441555,208653019
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC5N,20,"...","Population (persons) 2/","Number of persons",2885457,2908245,2929376,2941711,2940055,2932261,2931629,2957593,2987177,3017116,3053465,3085386,3113649,3136750,3160576,3177703,3190400
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC5N,30,"...","Per capita personal income (dollars)","Dollars",39205,39794,41813,44226,47377,51040,51325,50028,46813,49740,51469,55296,54594,57110,61178,62763,65400
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC5N,35,"...","Earnings by place of work","Thousands of dollars",87457239,90626279,97773939,105912058,112612954,119780156,118903542,113856529,107654837,114508471,116707232,127230140,129274564,132334864,140485541,145785574,152837458
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",9262720,9678977,10525056,11685012,12380960,12723211,12606986,12537806,11864995,12054447,11175387,11663418,13512237,14105349,14959763,15489708,16111985
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",4777345,4979609,5317511,5806900,6203005,6515021,6523095,6572203,6357398,6512640,5338692,5600635,7280331,7535085,7980106,8264198,8615943
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",4485375,4699368,5207545,5878112,6177955,6208190,6083891,5965603,5507597,5541807,5836695,6062783,6231906,6570264,6979657,7225510,7496042
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",6041213,5368142,4086197,3113808,1744091,680891,-213476,-1396652,-709581,359630,149204,938615,1054567,515847,1216798,-306773,80741
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",84235732,86315444,91335080,97340854,101976085,107737836,106083080,99922071,95080261,102813654,105681049,116505337,116816894,118745362,126742576,129989093,136806214
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",19869084,19629785,20828155,21921960,25883946,29645268,31425201,33075216,28122356,28861110,32944508,35541207,34079042,40270812,45129666,47228840,49466229
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",9020297,9784459,10321338,10836234,11432136,12280403,12957512,14965969,16636721,18397656,18534686,18562604,19091020,20124855,21486694,22223622,22380576
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC5N,50,"..."," Wages and salaries","Thousands of dollars",61016537,62316173,66478030,71171888,75811112,80617139,83089816,82839441,76690618,77897560,80838367,85049097,86994266,91740438,99561729,102098821,107138109
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",12644946,13530182,15027150,16524480,17571139,17880320,18097655,18228135,16905961,17319077,18692869,18786582,20011658,20798237,21992311,22518229,23517113
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 6/","Thousands of dollars",8159571,8830814,9819605,10646368,11393184,11672130,12013764,12262532,11398364,11777270,12856174,12723799,13779752,14227973,15012654,15292719,16021071
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC5N,62,"...","  Employer contributions for government social insurance","Thousands of dollars",4485375,4699368,5207545,5878112,6177955,6208190,6083891,5965603,5507597,5541807,5836695,6062783,6231906,6570264,6979657,7225510,7496042
