GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "24000","Maryland",2,CAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",199093345,206990118,216518682,231482039,244346452,257711767,268336421,280308847,278546534,288606603,305178393,314141448,313194782,324968237,341295179,353879629,368258212
 "24000","Maryland",2,CAINC5N,20,"...","Population (persons) 2/","Number of persons",5374691,5440389,5496269,5546935,5592379,5627367,5653408,5684965,5730388,5788099,5843115,5891680,5932654,5970245,6000561,6024752,6052177
 "24000","Maryland",2,CAINC5N,30,"...","Per capita personal income (dollars)","Dollars",37043,38047,39394,41732,43693,45796,47465,49307,48609,49862,52229,53320,52792,54431,56877,58738,60847
 "24000","Maryland",2,CAINC5N,35,"...","Earnings by place of work","Thousands of dollars",135214123,142350267,149257050,159796048,168326908,176507608,181509543,188434149,189001776,196499733,205948826,212267693,214205522,220188261,231397701,241167262,251188117
 "24000","Maryland",2,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",14645922,15366456,16068117,17263176,18188886,19379291,20236448,21008973,20984809,21767921,20183227,20764377,23557147,24153405,25395460,26177134,27175979
 "24000","Maryland",2,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",7518088,7923956,8270351,8721110,9273839,9911276,10441397,10866155,10880911,11071321,8968773,9172757,12108134,12557052,13177432,13766423,14385379
 "24000","Maryland",2,CAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",7127834,7442500,7797766,8542066,8915047,9468015,9795051,10142818,10103898,10696600,11214454,11591620,11449013,11596353,12218028,12410711,12790600
 "24000","Maryland",2,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",19867511,20232671,21098146,22545803,23607394,22949090,23614611,23076564,23232247,23631375,23278352,22940995,22902157,22064686,22845544,22802366,23653695
 "24000","Maryland",2,CAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",140435712,147216482,154287079,165078675,173745416,180077407,184887706,190501740,191249214,198363187,209043951,214444311,213550532,218099542,228847785,237792494,247665833
 "24000","Maryland",2,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",38781075,38423951,39249147,42408542,44617218,50597077,54094648,56375335,51281515,51049536,55779722,58929071,57429102,61894311,65606763,66715846,70023901
 "24000","Maryland",2,CAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",19876558,21349685,22982456,23994822,25983818,27037283,29354067,33431772,36015805,39193880,40354720,40768066,42215148,44974384,46840631,49371289,50568478
 "24000","Maryland",2,CAINC5N,50,"..."," Wages and salaries","Thousands of dollars",99865656,104280405,108724489,115067277,121409934,128331306,134318671,137461051,136268113,139248195,144310937,148855819,150129435,155235862,162450320,167099994,172934830
 "24000","Maryland",2,CAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",21055085,22740758,24284834,26370506,28169612,28874135,30158532,31388467,32872345,34171254,36044544,35940744,37290843,38842518,40080140,41225013,42709175
 "24000","Maryland",2,CAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 6/","Thousands of dollars",13927251,15298258,16487068,17828440,19254565,19406120,20363481,21245649,22768447,23474654,24830090,24349124,25841830,27246165,27862112,28814302,29918575
 "24000","Maryland",2,CAINC5N,62,"...","  Employer contributions for government social insurance","Thousands of dollars",7127834,7442500,7797766,8542066,8915047,9468015,9795051,10142818,10103898,10696600,11214454,11591620,11449013,11596353,12218028,12410711,12790600
 "24000","Maryland",2,CAINC5N,70,"..."," Proprietors' income 7/","Thousands of dollars",14293382,15329104,16247727,18358265,18747362,19302167,17032340,19584631,19861318,23080284,25593345,27471130,26785244,26109881,28867241,32842255,35544112
 "24000","Maryland",2,CAINC5N,71,"...","  Farm proprietors' income","Thousands of dollars",275172,49271,152716,288994,257535,174343,138713,263989,281686,236151,349266,445033,601259,431701,288811,196392,261305
 "24000","Maryland",2,CAINC5N,72,"...","  Nonfarm proprietors' income","Thousands of dollars",14018210,15279833,16095011,18069271,18489827,19127824,16893627,19320642,19579632,22844133,25244079,27026097,26183985,25678180,28578430,32645863,35282807
 "24000","Maryland",2,CAINC5N,81,"111-112"," Farm earnings","Thousands of dollars",417464,226257,311241,445490,384925,316934,310212,427275,436629,384553,476218,626696,784785,627586,453316,381752,438275
 "24000","Maryland",2,CAINC5N,82,"..."," Nonfarm earnings","Thousands of dollars",134796659,142124010,148945809,159350558,167941983,176190674,181199331,188006874,188565147,196115180,205472608,211640997,213420737,219560675,230944385,240785510,250749842
 "24000","Maryland",2,CAINC5N,90,"113-814","  Private nonfarm earnings","Thousands of dollars",105498733,109355721,114333627,123100333,129499403,135599209,138407365,143195886,141446957,146437961,153860139,160104548,160928382,165727511,175023605,183802963,192263486
 "24000","Maryland",2,CAINC5N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",91735,91927,84449,108059,107132,123496,97473,91504,87178,96337,89206,101967,102936,113599,129250,138976,148010
 "24000","Maryland",2,CAINC5N,101,"113","    Forestry and logging","Thousands of dollars",17860,18248,19665,26918,28944,28454,17899,16267,12189,12053,12605,21893,24403,29503,31344,30630,31493
 "24000","Maryland",2,CAINC5N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",24806,24898,15798,11479,9833,13450,11240,6635,6030,7620,7443,6716,5687,6868,12048,16839,20895
 "24000","Maryland",2,CAINC5N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",49069,48781,48986,69662,68355,81592,68334,68602,68959,76664,69158,73358,72846,77228,85858,91507,95622
 "24000","Maryland",2,CAINC5N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",169938,158624,151737,127477,155106,189462,204534,228301,159593,112170,103708,122913,111848,116759,114271,116254,127557
 "24000","Maryland",2,CAINC5N,201,"211","    Oil and gas extraction","Thousands of dollars",(D),(D),(D),(D),-3607,-1923,1768,40560,(D),(D),(D),(D),1131,(D),(D),179,(D)
 "24000","Maryland",2,CAINC5N,202,"212","    Mining (except oil and gas)","Thousands of dollars",149063,148453,140762,117324,139922,166567,178527,161232,115615,68339,57644,72417,65754,71433,72189,77905,90633
 "24000","Maryland",2,CAINC5N,203,"213","    Support activities for mining","Thousands of dollars",(D),(D),(D),(D),18791,24818,24239,26509,(D),(D),(D),(D),44963,(D),(D),38170,(D)
 "24000","Maryland",2,CAINC5N,300,"22","   Utilities","Thousands of dollars",843019,774613,884231,1022153,864594,1077953,1497558,1419010,1259504,1411682,1622614,1592408,1597676,1677942,1961825,1954694,2200118
 "24000","Maryland",2,CAINC5N,400,"23","   Construction","Thousands of dollars",10542074,10902592,11492521,12875111,13544067,14775370,14696861,14063036,12729176,12797104,13195541,13983809,14016314,14843752,15247663,16086522,16835635
 "24000","Maryland",2,CAINC5N,401,"236","    Construction of buildings","Thousands of dollars",3015703,3300189,3619818,4073111,4277756,4518164,4185441,3819942,3318884,3315740,3438244,3610501,3647086,3820573,3855540,3958336,4020106
 "24000","Maryland",2,CAINC5N,402,"237","    Heavy and civil engineering construction","Thousands of dollars",1011056,1020540,1089544,1152008,1197852,1280347,1311451,1300118,1127931,964553,978293,979344,1092111,1294450,1468206,1728551,1807242
 "24000","Maryland",2,CAINC5N,403,"238","    Specialty trade contractors","Thousands of dollars",6515315,6581863,6783159,7649992,8068459,8976859,9199969,8942976,8282361,8516811,8779004,9393964,9277117,9728729,9923917,10399635,11008287
 "24000","Maryland",2,CAINC5N,500,"31-33","   Manufacturing","Thousands of dollars",10193619,9856908,9750618,10190442,9908401,9725535,10124249,10129227,9637378,9854206,9753993,9618764,9466894,9416720,9805221,9832464,10669160
 "24000","Maryland",2,CAINC5N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",5936183,5756379,5626771,5904567,5739895,5631854,5849487,5967508,5733932,5776433,5670475,5537152,5430480,5154772,5414478,5502404,5913981
 "24000","Maryland",2,CAINC5N,511,"321","     Wood product manufacturing","Thousands of dollars",177107,172296,185044,189449,196192,176535,160636,143904,116419,100349,(D),(D),121748,105020,128578,133960,160943
 "24000","Maryland",2,CAINC5N,512,"327","     Nonmetallic mineral product manufacturing","Thousands of dollars",299954,288599,270551,285918,305244,307392,295470,284621,221042,211551,224439,234625,260168,296608,332674,345412,328670
 "24000","Maryland",2,CAINC5N,513,"331","     Primary metal manufacturing","Thousands of dollars",406485,409775,393167,374041,344744,301157,294898,325542,261689,237144,238244,168802,48894,50413,51546,46196,33283
