GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "23000","Maine",1,CAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",36999715,38470958,40116605,42161695,43169921,45529112,47261815,49163504,49084869,50253606,52255645,53369870,53315835,55666566,57977802,59577149,62059956
 "23000","Maine",1,CAINC5N,20,"...","Population (persons) 2/","Number of persons",1285692,1295960,1306513,1313688,1318787,1323619,1327040,1330509,1329590,1327568,1327968,1328101,1327975,1328903,1327787,1330232,1335907
 "23000","Maine",1,CAINC5N,30,"...","Per capita personal income (dollars)","Dollars",28778,29685,30705,32094,32735,34397,35614,36951,36917,37854,39350,40185,40148,41889,43665,44787,46455
 "23000","Maine",1,CAINC5N,35,"...","Earnings by place of work","Thousands of dollars",26114648,27166944,28261972,29737659,30299808,31853059,32515844,32991671,32676914,33749938,34171261,34910666,35368122,36489926,37947251,38956399,40633177
 "23000","Maine",1,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",2949232,2973645,3059199,3217638,3322418,3540312,3696967,3802484,3723454,3830486,3509709,3610295,4183231,4270882,4498858,4596983,4795752
 "23000","Maine",1,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",1518398,1576090,1634557,1736120,1806378,1936299,2031198,2090394,2053767,2083868,1714860,1759463,2283128,2352808,2478089,2564542,2696722
 "23000","Maine",1,CAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",1430834,1397555,1424642,1481518,1516040,1604013,1665769,1712090,1669687,1746618,1794849,1850832,1900103,1918074,2020769,2032441,2099030
 "23000","Maine",1,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",712421,676701,656573,682295,689232,722479,722914,705716,687764,729439,796248,831859,870388,928154,987675,998656,1011555
 "23000","Maine",1,CAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",23877837,24870000,25859346,27202316,27666622,29035226,29541791,29894903,29641224,30648891,31457800,32132230,32055279,33147198,34436068,35358072,36848980
 "23000","Maine",1,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",7066042,7139934,7227998,7470203,7360027,8154723,8771456,8944563,8234274,8273286,8980663,9484655,9264612,10201410,10693631,11048331,11578304
 "23000","Maine",1,CAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",6055836,6461024,7029261,7489176,8143272,8339163,8948568,10324038,11209371,11331429,11817182,11752985,11995944,12317958,12848103,13170746,13632672
 "23000","Maine",1,CAINC5N,50,"..."," Wages and salaries","Thousands of dollars",18234742,18896219,19675924,20688756,21004152,22062060,23021808,23764395,23056102,23332590,23792439,24325064,24896002,25779777,26803107,27641264,28739044
 "23000","Maine",1,CAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",4368499,4593609,4797243,5118534,5310218,5708297,5850120,5922872,5864238,5936279,5881732,6034074,6213941,6397726,6663580,6856438,7118659
