GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "26000","Michigan",3,CAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",306609768,306385368,313829827,322531824,329225583,337455775,347081013,354064170,336043470,348673288,370180043,385408269,389319563,407648738,431157244,444531935,460269972
 "26000","Michigan",3,CAINC5N,20,"...","Population (persons) 2/","Number of persons",9991120,10015710,10041152,10055315,10051137,10036081,10001284,9946889,9901591,9876731,9876199,9886610,9899219,9914675,9918170,9933445,9962311
 "26000","Michigan",3,CAINC5N,30,"...","Per capita personal income (dollars)","Dollars",30688,30590,31254,32076,32755,33624,34704,35595,33938,35302,37482,38983,39328,41116,43471,44751,46201
 "26000","Michigan",3,CAINC5N,35,"...","Earnings by place of work","Thousands of dollars",237795063,238200642,242133937,248095114,251177994,253368614,254876788,251893313,232680094,240711471,252836143,263944861,271210743,280141212,294516345,304458220,317685251
 "26000","Michigan",3,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",26634050,26921842,27308210,28276578,29161803,29854423,30218783,30252514,28273608,28641053,26597874,27730160,32214541,33293059,34710700,35659006,37100016
 "26000","Michigan",3,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",13380836,13662979,13819288,14294525,14806260,15256329,15532915,15666157,14774871,14985117,12358061,12806738,16876322,17620486,18448722,19104753,20021600
 "26000","Michigan",3,CAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",13253214,13258863,13488922,13982053,14355543,14598094,14685868,14586357,13498737,13655936,14239813,14923422,15338219,15672573,16261978,16554253,17078416
 "26000","Michigan",3,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",1188640,1216873,1272229,1368548,1444696,1630663,1676797,1682074,1516945,1579301,1727423,1911357,1918806,2075792,2076710,2244497,2500357
 "26000","Michigan",3,CAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",212349653,212495673,216097956,221187084,223460887,225144854,226334802,223322873,205923431,213649719,227965692,238126058,240915008,248923945,261882355,271043711,283085592
 "26000","Michigan",3,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",50785205,48826909,50431167,52027798,53315778,56317961,59504499,61029251,52698550,52338706,59672836,65153523,65021466,71953492,77436252,79340663,82504952
 "26000","Michigan",3,CAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",43474910,45062786,47300704,49316942,52448918,55992960,61241712,69712046,77421489,82684863,82541515,82128688,83383089,86771301,91838637,94147561,94679428
 "26000","Michigan",3,CAINC5N,50,"..."," Wages and salaries","Thousands of dollars",171959344,172325681,175569802,179139670,182331284,183864144,186808220,185467279,170005595,172681332,181926988,189590636,194929435,204207806,214531968,222474525,231748001
 "26000","Michigan",3,CAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",41536411,42017382,43169865,45603994,47281045,47577680,47513088,46842234,44985980,45908052,46212797,46449498,47009084,47342780,50909750,53097680,55314920
