GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "27000","Minnesota",4,CAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",165715712,169899623,177859910,188385293,193840627,204122797,216239594,225275631,215787470,225594096,241434887,256331999,258319791,272291677,284740116,291361615,303141271
 "27000","Minnesota",4,CAINC5N,20,"...","Population (persons) 2/","Number of persons",4982796,5018935,5053572,5087713,5119598,5163555,5207203,5247018,5281203,5310711,5345967,5377695,5416074,5452649,5483238,5525050,5576606
 "27000","Minnesota",4,CAINC5N,30,"...","Per capita personal income (dollars)","Dollars",33258,33852,35195,37027,37862,39531,41527,42934,40860,42479,45162,47666,47695,49938,51929,52735,54359
 "27000","Minnesota",4,CAINC5N,35,"...","Earnings by place of work","Thousands of dollars",131679344,135128152,141146500,150987628,154969728,159588573,167175577,171922227,162791441,169682909,179683799,190181389,195260585,202724033,211035039,215223347,224237365
 "27000","Minnesota",4,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",15034335,15408843,16100265,17010029,17754477,18563703,19330123,19933872,19269156,19580423,18318020,19060013,22414799,23114990,23953395,24576621,25627526
 "27000","Minnesota",4,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",7719236,7938921,8206256,8664458,9030687,9508758,9975116,10352950,10038707,10137575,8309563,8593851,11481993,12021330,12531860,12922942,13515907
 "27000","Minnesota",4,CAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",7315099,7469922,7894009,8345571,8723790,9054945,9355007,9580922,9230449,9442848,10008457,10466162,10932806,11093660,11421535,11653679,12111619
 "27000","Minnesota",4,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",-1083894,-1111919,-1179966,-1258227,-1320505,-1275836,-1393055,-1421701,-1148059,-1105996,-1142967,-927924,-889831,-920749,-1018812,-1214652,-1356433
 "27000","Minnesota",4,CAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",115561115,118607390,123866269,132719372,135894746,139749034,146452399,150566654,142374226,148996490,160222812,170193452,171955955,178688294,186062832,189432074,197253406
 "27000","Minnesota",4,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",30932375,30422535,32110167,32657452,33833858,37820344,40708971,41749098,37230265,37570756,41871989,46782601,45596809,50766991,54326925,56011960,58507515
 "27000","Minnesota",4,CAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",19222222,20869698,21883474,23008469,24112023,26553419,29078224,32959879,36182979,39026850,39340086,39355946,40767027,42836392,44350359,45917581,47380350
 "27000","Minnesota",4,CAINC5N,50,"..."," Wages and salaries","Thousands of dollars",98980854,100657642,103495702,109165027,111886497,116915961,123700501,127232269,121064910,124165611,128983413,135334396,139568041,145864984,153803473,158042565,165543130
 "27000","Minnesota",4,CAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",21094172,21903680,23742317,25149257,26447221,26094173,27852684,29187823,27790496,28890862,31107756,29822814,31080994,32896955,33302539,35636613,37183735
 "27000","Minnesota",4,CAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 6/","Thousands of dollars",13779073,14433758,15848308,16803686,17723431,17039228,18497677,19606901,18560047,19448014,21099299,19356652,20148188,21803295,21881004,23982934,25072116
 "27000","Minnesota",4,CAINC5N,62,"...","  Employer contributions for government social insurance","Thousands of dollars",7315099,7469922,7894009,8345571,8723790,9054945,9355007,9580922,9230449,9442848,10008457,10466162,10932806,11093660,11421535,11653679,12111619
 "27000","Minnesota",4,CAINC5N,70,"..."," Proprietors' income 7/","Thousands of dollars",11604318,12566830,13908481,16673344,16636010,16578439,15622392,15502135,13936035,16626436,19592630,25024179,24611550,23962094,23929027,21544169,21510500
 "27000","Minnesota",4,CAINC5N,71,"...","  Farm proprietors' income","Thousands of dollars",462672,404814,1307524,1960711,2456891,2080650,2028625,3442969,1393487,2511585,3801766,5183049,5003989,3050474,2509443,600367,-196090
 "27000","Minnesota",4,CAINC5N,72,"...","  Nonfarm proprietors' income","Thousands of dollars",11141646,12162016,12600957,14712633,14179119,14497789,13593767,12059166,12542548,14114851,15790864,19841130,19607561,20911620,21419584,20943802,21706590
 "27000","Minnesota",4,CAINC5N,81,"111-112"," Farm earnings","Thousands of dollars",1029219,1017896,1847095,2470627,2941668,2553230,2631792,3970212,2121024,3140158,4300155,5977017,5613071,3658152,3179106,1338727,492804
 "27000","Minnesota",4,CAINC5N,82,"..."," Nonfarm earnings","Thousands of dollars",130650125,134110256,139299405,148517001,152028060,157035343,164543785,167952015,160670417,166542751,175383644,184204372,189647514,199065881,207855933,213884620,223744561
 "27000","Minnesota",4,CAINC5N,90,"113-814","  Private nonfarm earnings","Thousands of dollars",112862611,115274793,119788063,128129437,130865793,135139872,141719469,144066111,136185195,141724629,150778806,159587838,163917189,172377702,180246351,185480629,194583021
 "27000","Minnesota",4,CAINC5N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",117945,124593,229585,352297,336968,296390,223003,223698,222793,300690,292030,355089,353458,352096,398949,401978,434528
 "27000","Minnesota",4,CAINC5N,101,"113","    Forestry and logging","Thousands of dollars",33104,33880,35958,49282,53387,52860,37083,37011,42026,51646,49279,48134,48971,53939,58909,57626,61345
 "27000","Minnesota",4,CAINC5N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",2197,1919,1922,48,-1544,-174,-1882,-1628,-1848,931,1801,3390,3930,5436,6823,6911,6838
 "27000","Minnesota",4,CAINC5N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",82644,88794,191705,302967,285125,243704,187802,188315,182615,248113,240950,303565,300557,292721,333217,337441,366345
 "27000","Minnesota",4,CAINC5N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",408610,378850,361548,383482,414596,501917,485813,732805,602497,976890,1176364,1183105,927900,827761,678136,522319,598939
 "27000","Minnesota",4,CAINC5N,201,"211","    Oil and gas extraction","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),16375,30180,86391
 "27000","Minnesota",4,CAINC5N,202,"212","    Mining (except oil and gas)","Thousands of dollars",415354,385214,362018,374732,397292,491612,479554,721551,591814,957524,1106999,1140222,897266,812584,667097,499823,508689
 "27000","Minnesota",4,CAINC5N,203,"213","    Support activities for mining","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),-5336,-7684,3859
 "27000","Minnesota",4,CAINC5N,300,"22","   Utilities","Thousands of dollars",842827,811803,959441,1198247,1210619,1293319,1342312,1492110,1462144,1530664,1679662,1580571,1771211,1840156,1843877,1857521,1831635
 "27000","Minnesota",4,CAINC5N,400,"23","   Construction","Thousands of dollars",9149143,9487687,9876061,10363213,10222065,10284917,9802835,9073023,8055342,8103720,8778708,9983895,10611471,11571162,12486770,12794149,13656541
 "27000","Minnesota",4,CAINC5N,401,"236","    Construction of buildings","Thousands of dollars",2185252,2323596,2387213,2466836,2460165,2434540,2389072,2360459,2150188,2185181,2430255,2918229,2909583,3092854,3228852,3299869,3521435
 "27000","Minnesota",4,CAINC5N,402,"237","    Heavy and civil engineering construction","Thousands of dollars",989866,1076339,1121545,1178992,1127109,1127719,1125105,1108926,1099173,1049546,1087102,1197164,1315349,1426227,1569189,1582353,1624679
