GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "29000","Missouri",4,CAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",162071530,165772524,171789865,180585546,186877759,198448157,208184505,219411774,215540550,220546596,229644330,240972818,242564511,251639897,260144612,265495137,274975821
 "29000","Missouri",4,CAINC5N,20,"...","Population (persons) 2/","Number of persons",5641142,5674825,5709403,5747741,5790300,5842704,5887612,5923916,5961088,5995681,6010280,6023267,6041142,6058014,6072640,6091176,6113532
 "29000","Missouri",4,CAINC5N,30,"...","Per capita personal income (dollars)","Dollars",28730,29212,30089,31419,32274,33965,35360,37038,36158,36784,38209,40007,40152,41538,42839,43587,44978
 "29000","Missouri",4,CAINC5N,35,"...","Earnings by place of work","Thousands of dollars",124339711,128034301,132220440,139547593,144010271,151088435,155996277,162284599,159108456,161459170,165318865,171287414,177942042,181947147,186764318,189848373,196439422
 "29000","Missouri",4,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",13688520,14019793,14448055,14983485,15737724,16724519,17498624,18253838,17721203,17700632,16304068,16747391,19443443,20019804,21085884,21572232,22234152
 "29000","Missouri",4,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",7120400,7325558,7520771,7839912,8219000,8783432,9232610,9611020,9367364,9397390,7707575,7878082,10365452,10699492,11249982,11587212,12076946
 "29000","Missouri",4,CAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",6568120,6694235,6927284,7143573,7518724,7941087,8266014,8642818,8353839,8303242,8596493,8869309,9077991,9320312,9835902,9985020,10157206
 "29000","Missouri",4,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",-4019437,-4131047,-4181771,-4281757,-4572380,-4973469,-4837576,-5425660,-5119186,-4927362,-4337179,-4878066,-4723007,-4782116,-4991309,-4863420,-5117691
 "29000","Missouri",4,CAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",106631754,109883461,113590614,120282351,123700167,129390447,133660077,138605101,136268067,138831176,144677618,149661957,153775592,157145227,160687125,163412721,169087579
 "29000","Missouri",4,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",30841781,29632368,30783766,31378801,32251678,36185179,39399094,41327532,36460317,36143670,38564353,44389902,40945089,45326253,47881386,49028923,51507095
 "29000","Missouri",4,CAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",24597995,26256695,27415485,28924394,30925914,32872531,35125334,39479141,42812166,45571750,46402359,46920959,47843830,49168417,51576101,53053493,54381147
 "29000","Missouri",4,CAINC5N,50,"..."," Wages and salaries","Thousands of dollars",91859770,93523371,95759629,99434505,103893111,108836745,113862699,118981424,113694862,113886441,116481438,121318793,123769887,128535162,134560004,138064735,143084038
 "29000","Missouri",4,CAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",19890513,21276791,22448026,23743322,25020171,26456195,27201325,27984490,28297319,28751104,28175133,28944740,31089588,30929756,32636494,31153652,32095296
