GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "28000","Mississippi",5,CAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",65233626,66372361,68980332,72896083,77774127,81068836,86109772,90038295,88579695,91929304,95844450,99410409,101137034,103504662,104892946,106914943,109324138
 "28000","Mississippi",5,CAINC5N,20,"...","Population (persons) 2/","Number of persons",2852994,2858681,2868312,2889010,2905943,2904978,2928350,2947806,2958774,2970437,2977452,2982963,2987721,2988578,2985297,2985415,2984100
 "28000","Mississippi",5,CAINC5N,30,"...","Per capita personal income (dollars)","Dollars",22865,23218,24049,25232,26764,27907,29406,30544,29938,30948,32190,33326,33851,34633,35137,35812,36636
 "28000","Mississippi",5,CAINC5N,35,"...","Earnings by place of work","Thousands of dollars",44730363,45366094,47579007,50666934,52767665,54620042,56575131,58336277,56286592,58360399,59680804,62403048,65003119,65655214,65260860,65975392,67590804
 "28000","Mississippi",5,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",5012801,5213514,5375431,5697919,5914163,6398930,6670899,6889340,6799149,6890766,6403696,6617230,7551224,7742882,7949349,8073830,8301815
 "28000","Mississippi",5,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",2653737,2767915,2861781,3021686,3187482,3494763,3677392,3803644,3757849,3816734,3115809,3207117,4162657,4301758,4423136,4523820,4679122
 "28000","Mississippi",5,CAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",2359064,2445599,2513650,2676233,2726681,2904167,2993507,3085696,3041300,3074032,3287887,3410113,3388567,3441124,3526213,3550010,3622693
 "28000","Mississippi",5,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",1540691,1583399,1666861,1777623,1895448,2112678,2268351,2409229,2365881,2427497,2648856,2850090,2989724,3050222,3197394,3261029,3358017
 "28000","Mississippi",5,CAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",41258253,41735979,43870437,46746638,48748950,50333790,52172583,53856166,51853324,53897130,55925964,58635908,60441619,60962554,60508905,61162591,62647006
 "28000","Mississippi",5,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",11108406,10821514,10669627,10626437,11565654,13151707,15569287,15390839,14498492,13942360,14983866,15859669,15227725,16161988,16939851,17390253,18045186
