GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "30000","Montana",7,CAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",21862017,22490762,24082138,25995029,27955582,30322712,32669862,34418881,33729814,35558220,38051895,40442780,40666033,42725822,44864716,45747225,47677145
 "30000","Montana",7,CAINC5N,20,"...","Population (persons) 2/","Number of persons",906961,911667,919630,930009,940102,952692,964706,976415,983982,990507,996866,1003522,1011921,1019931,1028317,1038656,1050493
 "30000","Montana",7,CAINC5N,30,"...","Per capita personal income (dollars)","Dollars",24105,24670,26187,27951,29737,31828,33865,35250,34279,35899,38172,40301,40187,41891,43629,44045,45385
 "30000","Montana",7,CAINC5N,35,"...","Earnings by place of work","Thousands of dollars",14822813,15512293,16621547,18108889,19625554,20897356,22307518,22987541,22575889,23748923,25114590,26461356,27225171,28035926,29047330,29095137,30057355
 "30000","Montana",7,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",1907727,2019203,2121082,2256892,2454530,2654707,2857726,2930129,2875916,2943242,2788495,2870800,3336604,3485564,3584840,3543979,3710854
 "30000","Montana",7,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",962603,1005477,1048140,1123884,1223804,1321739,1421210,1466665,1450332,1480144,1239004,1283806,1695347,1773319,1838739,1891948,1985311
 "30000","Montana",7,CAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",945124,1013726,1072942,1133008,1230726,1332968,1436516,1463464,1425584,1463098,1549491,1586994,1641257,1712245,1746101,1652031,1725543
 "30000","Montana",7,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",27860,26299,23997,23345,19817,14623,16935,27157,37077,74291,179718,358356,447027,547494,428038,272761,316092
 "30000","Montana",7,CAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",12942946,13519389,14524462,15875342,17190841,18257272,19466727,20084569,19737050,20879972,22505813,23948912,24335594,25097856,25890528,25823919,26662593
 "30000","Montana",7,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",5248459,5163362,5576950,5876421,6223134,7148939,7956206,8369020,7527696,7619179,8556118,9307329,8960699,9922380,10884937,11194470,11678211
 "30000","Montana",7,CAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",3670612,3808011,3980726,4243266,4541607,4916501,5246929,5965292,6465068,7059069,6989964,7186539,7369740,7705586,8089251,8728836,9336341
 "30000","Montana",7,CAINC5N,50,"..."," Wages and salaries","Thousands of dollars",10389840,10864015,11394423,12089020,12958784,13981074,15056186,15587081,15259607,15507388,16165620,17110461,17618141,18373676,19236208,19788250,20614719
 "30000","Montana",7,CAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",2485985,2714175,2912040,3101092,3347143,3608428,3859598,3993075,3916747,4180435,4472808,4541129,4656172,4816296,4896908,4804926,4998248
 "30000","Montana",7,CAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 6/","Thousands of dollars",1540861,1700449,1839098,1968084,2116417,2275460,2423082,2529611,2491163,2717337,2923317,2954135,3014915,3104051,3150807,3152895,3272705
 "30000","Montana",7,CAINC5N,62,"...","  Employer contributions for government social insurance","Thousands of dollars",945124,1013726,1072942,1133008,1230726,1332968,1436516,1463464,1425584,1463098,1549491,1586994,1641257,1712245,1746101,1652031,1725543
 "30000","Montana",7,CAINC5N,70,"..."," Proprietors' income 7/","Thousands of dollars",1946988,1934103,2315084,2918777,3319627,3307854,3391734,3407385,3399535,4061100,4476162,4809766,4950858,4845954,4914214,4501961,4444388
 "30000","Montana",7,CAINC5N,71,"...","  Farm proprietors' income","Thousands of dollars",192478,24255,207299,393202,409315,-12221,224822,307300,163419,355840,466317,473313,692413,443681,536383,321406,-5759
 "30000","Montana",7,CAINC5N,72,"...","  Nonfarm proprietors' income","Thousands of dollars",1754510,1909848,2107785,2525575,2910312,3320075,3166912,3100085,3236116,3705260,4009845,4336453,4258445,4402273,4377831,4180555,4450147
