GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "38000","North Dakota",4,CAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",17126626,17527669,19022151,19341270,20416003,21434059,23798751,26710341,26507437,29446235,32933455,38866357,38867263,41367890,40429686,39766214,39483572
 "38000","North Dakota",4,CAINC5N,20,"...","Population (persons) 2/","Number of persons",639062,638168,638817,644705,646089,649422,652822,657569,664968,674518,684830,701380,722908,738658,754859,755548,755393
 "38000","North Dakota",4,CAINC5N,30,"...","Per capita personal income (dollars)","Dollars",26800,27466,29777,30000,31599,33005,36455,40620,39863,43655,48090,55414,53765,56004,53559,52632,52269
 "38000","North Dakota",4,CAINC5N,35,"...","Earnings by place of work","Thousands of dollars",12856596,13217573,14752596,15110796,16053190,16696172,18470052,20387377,20471377,22930401,25785848,31359426,31858373,34047935,32681915,31173364,30659122
 "38000","North Dakota",4,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",1591339,1647953,1737336,1839553,1918959,2010611,2113500,2261760,2419914,2503658,2625017,2843735,3476806,3866793,3848927,3665062,3801244
 "38000","North Dakota",4,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",782989,803973,849467,902851,952983,1020561,1109665,1200534,1226584,1290448,1159097,1281856,1740607,1886912,1881800,1809512,1841032
 "38000","North Dakota",4,CAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",808350,843980,887869,936702,965976,990050,1003835,1061226,1193330,1213210,1465920,1561879,1736199,1979881,1967127,1855550,1960212
 "38000","North Dakota",4,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",-432205,-447013,-469380,-521665,-570011,-634621,-703588,-761796,-802935,-966938,-1321545,-1901327,-2291904,-2634716,-2392939,-1981837,-2079765
 "38000","North Dakota",4,CAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",10833052,11122607,12545880,12749578,13564220,14050940,15652964,17363821,17248528,19459805,21839286,26614364,26089663,27546426,26440049,25526465,24778113
 "38000","North Dakota",4,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",3756660,3716569,3688624,3644206,3744798,4069175,4593604,5328807,5059049,5443142,6444585,7560108,7921110,8762860,8666094,8708468,9063233
 "38000","North Dakota",4,CAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",2536914,2688493,2787647,2947486,3106985,3313944,3552183,4017713,4199860,4543288,4649584,4691885,4856490,5058604,5323543,5531281,5642226
 "38000","North Dakota",4,CAINC5N,50,"..."," Wages and salaries","Thousands of dollars",8782468,9109550,9558246,10268249,10790387,11508868,12349167,13386188,13622552,14741650,16965876,20175386,21696034,23987242,23432515,21650288,22133075
 "38000","North Dakota",4,CAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",2018164,2133741,2293151,2430332,2572286,2761787,2897256,3071780,3313430,3560686,3923126,4189442,4594898,5134130,5196363,5296659,5531351
 "38000","North Dakota",4,CAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 6/","Thousands of dollars",1209814,1289761,1405282,1493630,1606310,1771737,1893421,2010554,2120100,2347476,2457206,2627563,2858699,3154249,3229236,3441109,3571139
 "38000","North Dakota",4,CAINC5N,62,"...","  Employer contributions for government social insurance","Thousands of dollars",808350,843980,887869,936702,965976,990050,1003835,1061226,1193330,1213210,1465920,1561879,1736199,1979881,1967127,1855550,1960212
 "38000","North Dakota",4,CAINC5N,70,"..."," Proprietors' income 7/","Thousands of dollars",2055964,1974282,2901199,2412215,2690517,2425517,3223629,3929409,3535395,4628065,4896846,6994598,5567441,4926563,4053037,4226417,2994696
 "38000","North Dakota",4,CAINC5N,71,"...","  Farm proprietors' income","Thousands of dollars",639231,454908,1362486,788674,990474,589341,1443665,2116184,1331972,1894089,1741066,3224178,1592275,503367,61377,600565,-164982
 "38000","North Dakota",4,CAINC5N,72,"...","  Nonfarm proprietors' income","Thousands of dollars",1416733,1519374,1538713,1623541,1700043,1836176,1779964,1813225,2203423,2733976,3155780,3770420,3975166,4423196,3991660,3625852,3159678
