GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "33000","New Hampshire",1,CAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",46376182,47155617,48122293,51035366,52919603,56713350,58904397,60395578,59597335,62306285,65443284,68557565,68116942,70506468,73430001,76247448,80122027
 "33000","New Hampshire",1,CAINC5N,20,"...","Population (persons) 2/","Number of persons",1255517,1269089,1279840,1290121,1298492,1308389,1312540,1315906,1316102,1316700,1318345,1320923,1322622,1328684,1330134,1335015,1342795
 "33000","New Hampshire",1,CAINC5N,30,"...","Per capita personal income (dollars)","Dollars",36938,37157,37600,39559,40755,43346,44878,45897,45283,47320,49640,51901,51501,53065,55205,57114,59668
 "33000","New Hampshire",1,CAINC5N,35,"...","Earnings by place of work","Thousands of dollars",33074729,33965031,34936065,36886421,38540994,40950003,41512853,41639400,41608188,43477751,44476174,45554317,46121083,47834422,49304330,50650779,53180264
 "33000","New Hampshire",1,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",3323809,3384981,3549811,3809261,3976848,4150373,4321199,4459451,4431788,4557686,4225202,4329755,4953883,5130658,5333167,5519649,5843926
 "33000","New Hampshire",1,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",1787966,1834214,1922197,2046241,2158239,2269544,2379226,2455764,2411873,2448462,2010074,2052323,2686832,2819789,2971788,3096496,3294819
 "33000","New Hampshire",1,CAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",1535843,1550767,1627614,1763020,1818609,1880829,1941973,2003687,2019915,2109224,2215128,2277432,2267051,2310869,2361379,2423153,2549107
 "33000","New Hampshire",1,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",4063813,3934618,3948858,4228639,4220096,4375340,4747380,4878187,4161487,4767721,5086259,5493266,5202278,4947437,5447731,6045782,6660681
 "33000","New Hampshire",1,CAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",33814733,34514668,35335112,37305799,38784242,41174970,41939034,42058136,41337887,43687786,45337231,46717828,46369478,47651201,49418894,51176912,53997019
 "33000","New Hampshire",1,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",7907963,7573753,7591655,8047367,8208372,9209584,10095977,10384780,9684967,9482370,11032373,12624088,12350447,12844885,13259920,13657331,14281418
 "33000","New Hampshire",1,CAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",4653486,5067196,5195526,5682200,5926989,6328796,6869386,7952662,8574481,9136129,9073680,9215649,9397017,10010382,10751187,11413205,11843590
 "33000","New Hampshire",1,CAINC5N,50,"..."," Wages and salaries","Thousands of dollars",22310997,22563413,23374926,24859263,25962935,27442637,28502428,29108395,28022264,28465514,29458632,30470786,31223871,33028796,34472942,35693134,37058155
 "33000","New Hampshire",1,CAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",4713403,4943929,5265099,5622441,5950155,6182887,6436058,6683342,7025733,7172566,7427415,7128117,7454565,7602247,7914075,7762036,8109827
 "33000","New Hampshire",1,CAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 6/","Thousands of dollars",3177560,3393162,3637485,3859421,4131546,4302058,4494085,4679655,5005818,5063342,5212287,4850685,5187514,5291378,5552696,5338883,5560720
 "33000","New Hampshire",1,CAINC5N,62,"...","  Employer contributions for government social insurance","Thousands of dollars",1535843,1550767,1627614,1763020,1818609,1880829,1941973,2003687,2019915,2109224,2215128,2277432,2267051,2310869,2361379,2423153,2549107
 "33000","New Hampshire",1,CAINC5N,70,"..."," Proprietors' income 7/","Thousands of dollars",6050329,6457689,6296040,6404717,6627904,7324479,6574367,5847663,6560191,7839671,7590127,7955414,7442647,7203379,6917313,7195609,8012282
