GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "34000","New Jersey",2,CAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",342293012,347247711,356002789,372881881,386942679,415978699,440854819,453338638,439321775,452322582,473913422,491656697,496305885,519814631,542404707,555804578,581198556
 "34000","New Jersey",2,CAINC5N,20,"...","Population (persons) 2/","Number of persons",8492671,8552643,8601402,8634561,8651974,8661679,8677885,8711090,8755602,8803708,8844694,8882095,8913735,8943010,8960001,8978416,9005644
 "34000","New Jersey",2,CAINC5N,30,"...","Per capita personal income (dollars)","Dollars",40305,40601,41389,43185,44723,48025,50802,52042,50176,51379,53582,55354,55679,58125,60536,61905,64537
 "34000","New Jersey",2,CAINC5N,35,"...","Earnings by place of work","Thousands of dollars",242111326,249787233,257236755,268301034,277308091,290109473,300403475,305490285,300804102,306929632,313040879,325057257,335300449,347079900,358281258,365619464,381029995
 "34000","New Jersey",2,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",26592891,27298962,27735899,29106383,30543159,31791701,33660139,34557185,33747394,34242763,31436044,32108163,37383583,38484748,39808607,40444748,42158589
 "34000","New Jersey",2,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",13490987,14007838,14372869,15132393,15988795,16884321,17734211,18193104,17776731,17929870,14538664,14660467,19410927,20156920,20915139,21482611,22677491
 "34000","New Jersey",2,CAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",13101904,13291124,13363030,13973990,14554364,14907380,15925928,16364081,15970663,16312893,16897380,17447696,17972656,18327828,18893468,18962137,19481098
 "34000","New Jersey",2,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",25181393,22805780,23053257,26122559,28566005,33853043,40275514,39545192,31110913,35033844,39096690,39742152,40740039,43651081,46335617,47701594,53229422
 "34000","New Jersey",2,CAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",240699828,245294051,252554113,265317210,275330937,292170815,307018850,310478292,298167621,307720713,320701525,332691246,338656905,352246233,364808268,372876310,392100828
 "34000","New Jersey",2,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",62395429,59551503,60570487,64110047,65852128,74120449,81781142,84132521,75889765,73883618,81758132,88642426,86667687,93720967,100612162,102842961,107192823
 "34000","New Jersey",2,CAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",39197755,42402157,42878189,43454624,45759614,49687435,52054827,58727825,65264389,70718251,71453765,70323025,70981293,73847431,76984277,80085307,81904905
 "34000","New Jersey",2,CAINC5N,50,"..."," Wages and salaries","Thousands of dollars",177042075,179853579,184596020,192500126,199918283,210433596,219859775,224221733,214770059,217103826,221455462,228013420,233951798,240485349,250923356,256749180,265376134
 "34000","New Jersey",2,CAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",37151266,39968449,42036919,44654036,47673981,47527518,49049754,49622926,50646792,50771443,51428032,53035653,55180828,57059187,56231765,55829314,57727639
 "34000","New Jersey",2,CAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 6/","Thousands of dollars",24049362,26677325,28673889,30680046,33119617,32620138,33123826,33258845,34676129,34458550,34530652,35587957,37208172,38731359,37338297,36867177,38246541
