GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "35000","New Mexico",6,CAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",45275571,46931680,49042156,52094076,55782326,59701662,63188913,67065321,66678699,69261981,72820740,74583601,73406214,77747357,79953213,81184619,83127258
 "35000","New Mexico",6,CAINC5N,20,"...","Population (persons) 2/","Number of persons",1831690,1855309,1877574,1903808,1932274,1962137,1990070,2010662,2036802,2064607,2077744,2083590,2085161,2083207,2082264,2085432,2088070
 "35000","New Mexico",6,CAINC5N,30,"...","Per capita personal income (dollars)","Dollars",24718,25296,26120,27363,28869,30427,31752,33355,32737,33547,35048,35796,35204,37321,38397,38929,39811
 "35000","New Mexico",6,CAINC5N,35,"...","Earnings by place of work","Thousands of dollars",32290566,33817248,35546339,37919345,40205249,42890714,44766665,46544003,45532981,47116859,48809338,49435909,49441731,51187508,51881983,52263317,53657910
 "35000","New Mexico",6,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",3623760,3805869,3993822,4205263,4468506,4874168,5135637,5413500,5359388,5452436,5032438,5142176,5918818,6122110,6446871,6454398,6558237
 "35000","New Mexico",6,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",1892068,1982125,2081095,2214252,2366787,2588177,2739531,2870085,2838122,2871644,2340818,2389719,3107805,3226303,3313838,3352924,3523151
 "35000","New Mexico",6,CAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",1731692,1823744,1912727,1991011,2101719,2285991,2396106,2543415,2521266,2580792,2691620,2752457,2811013,2895807,3133033,3101474,3035086
 "35000","New Mexico",6,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",211622,194085,182267,136172,69723,82385,73360,57608,68483,8261,-20710,-15821,-66581,-76593,-56190,-17220,59366
 "35000","New Mexico",6,CAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",28878428,30205464,31734784,33850254,35806466,38098931,39704388,41188111,40242076,41672684,43756190,44277912,43456332,44988805,45378922,45791699,47159039
 "35000","New Mexico",6,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",9228388,8853423,8877068,9251895,10271860,11017337,11963944,12632371,11769725,11710510,13001594,14288007,13771242,15053396,15497355,15858402,16421542
 "35000","New Mexico",6,CAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",7168755,7872793,8430304,8991927,9704000,10585394,11520581,13244839,14666898,15878787,16062956,16017682,16178640,17705156,19076936,19534518,19546677
 "35000","New Mexico",6,CAINC5N,50,"..."," Wages and salaries","Thousands of dollars",23288778,24318323,25451142,27005895,28708801,30783334,32521540,34012587,33240669,33508566,34175198,34992571,35407200,36608683,37443672,37594499,38565282
 "35000","New Mexico",6,CAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",5194663,5675576,6144514,6613753,7138529,7440502,7800646,8118399,8080394,8495337,8820036,9138467,9077643,9139945,9536873,9924375,10058016
 "35000","New Mexico",6,CAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 6/","Thousands of dollars",3462971,3851832,4231787,4622742,5036810,5154511,5404540,5574984,5559128,5914545,6128416,6386010,6266630,6244138,6403840,6822901,7022930
 "35000","New Mexico",6,CAINC5N,62,"...","  Employer contributions for government social insurance","Thousands of dollars",1731692,1823744,1912727,1991011,2101719,2285991,2396106,2543415,2521266,2580792,2691620,2752457,2811013,2895807,3133033,3101474,3035086
 "35000","New Mexico",6,CAINC5N,70,"..."," Proprietors' income 7/","Thousands of dollars",3807125,3823349,3950683,4299697,4357919,4666878,4444479,4413017,4211918,5112956,5814104,5304871,4956888,5438880,4901438,4744443,5034612
 "35000","New Mexico",6,CAINC5N,71,"...","  Farm proprietors' income","Thousands of dollars",590910,328095,373740,662566,637980,375928,598142,470732,125731,634589,880379,744720,680473,956990,594059,609169,646611
 "35000","New Mexico",6,CAINC5N,72,"...","  Nonfarm proprietors' income","Thousands of dollars",3216215,3495254,3576943,3637131,3719939,4290950,3846337,3942285,4086187,4478367,4933725,4560151,4276415,4481890,4307379,4135274,4388001
 "35000","New Mexico",6,CAINC5N,81,"111-112"," Farm earnings","Thousands of dollars",788905,548870,571630,876997,879503,609798,874842,731507,412277,887387,1130003,1022880,995402,1258935,852095,908025,954329
 "35000","New Mexico",6,CAINC5N,82,"..."," Nonfarm earnings","Thousands of dollars",31501661,33268378,34974709,37042348,39325746,42280916,43891823,45812496,45120704,46229472,47679335,48413029,48446329,49928573,51029888,51355292,52703581
 "35000","New Mexico",6,CAINC5N,90,"113-814","  Private nonfarm earnings","Thousands of dollars",22685316,23657562,24740926,26072277,27746679,30643349,32167443,33543710,32280769,33053456,34374735,35029561,34945352,36319208,37251705,37323084,38555044
 "35000","New Mexico",6,CAINC5N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",97886,95833,93760,98041,98910,100093,81486,76164,78725,92555,93676,106013,106747,120489,137852,152703,155978
 "35000","New Mexico",6,CAINC5N,101,"113","    Forestry and logging","Thousands of dollars",(D),(D),(D),9116,6506,7366,4953,5391,(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "35000","New Mexico",6,CAINC5N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",(D),(D),(D),-3153,-298,-950,-4351,-6634,(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "35000","New Mexico",6,CAINC5N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",85379,85502,85234,92078,92702,93677,80884,77407,80627,87443,90248,100155,101074,112463,126762,142517,146870
 "35000","New Mexico",6,CAINC5N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",1003980,912733,984256,1076820,1304541,1599584,1626411,2236850,1655991,2044143,2472337,2688576,2976391,3286082,2741836,2090792,2504865
 "35000","New Mexico",6,CAINC5N,201,"211","    Oil and gas extraction","Thousands of dollars",338472,335543,371476,380408,475749,568226,531469,940176,676265,989442,1119098,1072689,1202096,1287047,978689,861606,1100745
 "35000","New Mexico",6,CAINC5N,202,"212","    Mining (except oil and gas)","Thousands of dollars",287738,257786,246357,269937,297779,319200,323296,399679,347975,348225,409704,466802,479536,461587,443235,392458,356938
 "35000","New Mexico",6,CAINC5N,203,"213","    Support activities for mining","Thousands of dollars",377770,319404,366423,426475,531013,712158,771646,896995,631751,706476,943535,1149085,1294759,1537448,1319912,836728,1047182
 "35000","New Mexico",6,CAINC5N,300,"22","   Utilities","Thousands of dollars",314415,305001,303023,316041,342279,417521,410228,430909,435993,441667,464363,446079,460940,477270,483313,522285,498780
 "35000","New Mexico",6,CAINC5N,400,"23","   Construction","Thousands of dollars",2195268,2166180,2329515,2565041,2872271,3262522,3346636,3429782,3005875,2901926,2860015,2927398,2926380,3036036,3147523,3140936,3371514
 "35000","New Mexico",6,CAINC5N,401,"236","    Construction of buildings","Thousands of dollars",649252,648280,681084,739744,827472,901211,917731,1006257,881398,832066,831852,831141,763090,742529,778992,781005,886918
 "35000","New Mexico",6,CAINC5N,402,"237","    Heavy and civil engineering construction","Thousands of dollars",371894,349299,354962,385977,447734,527551,558727,566172,477054,460816,446667,473855,539579,550324,581739,584503,626794
 "35000","New Mexico",6,CAINC5N,403,"238","    Specialty trade contractors","Thousands of dollars",1174122,1168601,1293469,1439320,1597065,1833760,1870178,1857353,1647423,1609044,1581496,1622402,1623711,1743183,1786792,1775428,1857802
 "35000","New Mexico",6,CAINC5N,500,"31-33","   Manufacturing","Thousands of dollars",1979468,1916182,1925005,1930500,2011148,2238180,2329121,2244662,1929740,1902335,1984574,2005252,1819925,1608879,1939289,1713664,1677102
 "35000","New Mexico",6,CAINC5N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",1527241,1462660,1452654,1443230,1500882,1624902,1700390,1637988,1376563,1333752,1381137,1337518,1154560,904942,1159551,1011697,971986
 "35000","New Mexico",6,CAINC5N,511,"321","     Wood product manufacturing","Thousands of dollars",46858,46749,50605,55517,60368,63079,55237,50725,38370,34768,34414,36510,34741,35027,40429,42954,44972
 "35000","New Mexico",6,CAINC5N,512,"327","     Nonmetallic mineral product manufacturing","Thousands of dollars",99724,100783,100093,101416,115167,133158,138586,135842,114157,10913,-11488,-96238,-204963,-395984,-114514,-190606,-111100
 "35000","New Mexico",6,CAINC5N,513,"331","     Primary metal manufacturing","Thousands of dollars",33502,29262,21668,25586,24332,25511,27327,28168,21744,22115,22522,23549,21740,18942,25204,22845,22467
