GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "32000","Nevada",8,CAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",68036359,69976288,74570433,83003177,93328783,100381179,104455400,102762941,97544377,101205240,105185412,109445768,109901308,117422470,126929949,130756841,138386430
 "32000","Nevada",8,CAINC5N,20,"...","Population (persons) 2/","Number of persons",2098399,2173791,2248850,2346222,2432143,2522658,2601072,2653630,2684665,2702797,2718170,2752410,2786547,2831730,2883057,2939254,2998039
 "32000","Nevada",8,CAINC5N,30,"...","Per capita personal income (dollars)","Dollars",32423,32191,33159,35377,38373,39792,40159,38725,36334,37445,38697,39764,39440,41467,44026,44486,46159
 "32000","Nevada",8,CAINC5N,35,"...","Earnings by place of work","Thousands of dollars",52541924,53832018,56641413,62868066,69781044,75566961,77595255,73776095,69109233,71517301,73058421,74125264,76087846,79519959,84531531,86530975,91956158
 "32000","Nevada",8,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",5291595,5481764,5567603,6092690,6695542,7751002,8179334,7698678,7418853,7311273,6915186,7274018,8005871,8816498,9397656,9752918,10124875
 "32000","Nevada",8,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",2666427,2764600,2819416,3098593,3407232,3947256,4178969,3965272,3840275,3828213,3140067,3254077,4106441,4554812,4840588,5023810,5227331
 "32000","Nevada",8,CAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",2625168,2717164,2748187,2994097,3288310,3803746,4000365,3733406,3578578,3483060,3775119,4019941,3899430,4261686,4557068,4729108,4897544
 "32000","Nevada",8,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",-354243,-363573,-409759,-494280,-548835,-473923,-399793,-320538,-307701,-251780,-145368,-156773,-136225,-173640,-121673,-155357,-98614
 "32000","Nevada",8,CAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",46896086,47986681,50664051,56281096,62536667,67342036,69016128,65756879,61382679,63954248,65997867,66694473,67945750,70529821,75012202,76622700,81732669
 "32000","Nevada",8,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",14351150,14338373,15687548,17846042,21214816,22689858,24125310,23644547,20896366,20424520,22136478,25556273,24380020,27873178,31083815,32180563,33725079
 "32000","Nevada",8,CAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",6789123,7651234,8218834,8876039,9577300,10349285,11313962,13361515,15265332,16826472,17051067,17195022,17575538,19019471,20833932,21953578,22928682
 "32000","Nevada",8,CAINC5N,50,"..."," Wages and salaries","Thousands of dollars",36852313,37965503,40627048,45343776,50049957,54075727,57353712,57384305,51922380,50359542,51506997,53046889,54921178,57695396,60890928,64252648,67629817
 "32000","Nevada",8,CAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",8221047,8533107,9336195,10203617,11240543,11785444,12463984,12514528,12447315,12872349,12258785,12810745,12757901,14521760,15393122,15098145,15733138
 "32000","Nevada",8,CAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 6/","Thousands of dollars",5595879,5815943,6588008,7209520,7952233,7981698,8463619,8781122,8868737,9389289,8483666,8790804,8858471,10260074,10836054,10369037,10835594
 "32000","Nevada",8,CAINC5N,62,"...","  Employer contributions for government social insurance","Thousands of dollars",2625168,2717164,2748187,2994097,3288310,3803746,4000365,3733406,3578578,3483060,3775119,4019941,3899430,4261686,4557068,4729108,4897544
 "32000","Nevada",8,CAINC5N,70,"..."," Proprietors' income 7/","Thousands of dollars",7468564,7333408,6678170,7320673,8490544,9705790,7777559,3877262,4739538,8285410,9292639,8267630,8408767,7302803,8247481,7180182,8593203
 "32000","Nevada",8,CAINC5N,71,"...","  Farm proprietors' income","Thousands of dollars",58846,25174,34618,63765,63338,59582,16061,71728,40626,69146,131482,23070,14858,134249,85267,-8818,-3007
 "32000","Nevada",8,CAINC5N,72,"...","  Nonfarm proprietors' income","Thousands of dollars",7409718,7308234,6643552,7256908,8427206,9646208,7761498,3805534,4698912,8216264,9161157,8244560,8393909,7168554,8162214,7189000,8596210
 "32000","Nevada",8,CAINC5N,81,"111-112"," Farm earnings","Thousands of dollars",118112,90336,93431,127490,135041,129289,98285,149716,125806,144317,205781,114033,117780,233119,168895,88626,99592
 "32000","Nevada",8,CAINC5N,82,"..."," Nonfarm earnings","Thousands of dollars",52423812,53741682,56547982,62740576,69646003,75437672,77496970,73626379,68983427,71372984,72852640,74011231,75970066,79286840,84362636,86442349,91856566
 "32000","Nevada",8,CAINC5N,90,"113-814","  Private nonfarm earnings","Thousands of dollars",45151455,45919573,47978725,53413653,59683345,64724648,65978832,61411840,56330293,58403168,60013625,61336620,62955922,65751341,70306663,71978986,76765591
 "32000","Nevada",8,CAINC5N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",20123,21105,19330,16736,15943,23024,18098,20356,11175,20171,18386,30372,21640,17951,18352,23106,25832
 "32000","Nevada",8,CAINC5N,101,"113","    Forestry and logging","Thousands of dollars",(D),(D),237,621,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "32000","Nevada",8,CAINC5N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",(D),(D),3966,3357,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "32000","Nevada",8,CAINC5N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",16492,16322,15127,12758,11533,18065,17964,20800,18809,21069,19915,24772,19764,22790,22474,25129,23887
 "32000","Nevada",8,CAINC5N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",650834,620610,654974,858356,870018,1051914,956337,1080714,978785,1242414,1430376,1580048,1603731,1530809,1544868,1485278,1595088
 "32000","Nevada",8,CAINC5N,201,"211","    Oil and gas extraction","Thousands of dollars",-27182,-26178,-11868,11617,65236,113980,40259,60399,-6940,-1435,24522,3995,2328,2272,-3833,-8676,24294
 "32000","Nevada",8,CAINC5N,202,"212","    Mining (except oil and gas)","Thousands of dollars",640120,602017,616001,780529,737977,848081,810113,844224,869637,1066029,1185850,1318948,1382210,1318046,1347894,1337248,1393875
 "32000","Nevada",8,CAINC5N,203,"213","    Support activities for mining","Thousands of dollars",37896,44771,50841,66210,66805,89853,105965,176091,116088,177820,220004,257105,219193,210491,200807,156706,176919
 "32000","Nevada",8,CAINC5N,300,"22","   Utilities","Thousands of dollars",436820,506141,518527,595846,507675,557665,533064,582130,564265,563138,550735,521886,577035,591092,625100,618000,609876
 "32000","Nevada",8,CAINC5N,400,"23","   Construction","Thousands of dollars",4993266,5192643,5875704,7431687,9329081,10432477,10081220,8438979,7430904,6851564,6362615,4878258,4562055,4919287,5642916,5991886,6826599
 "32000","Nevada",8,CAINC5N,401,"236","    Construction of buildings","Thousands of dollars",1014154,1055440,1285629,2074906,2834209,3261647,2958549,1873797,2555214,3205264,3358269,1829758,1302630,1138232,1291088,1189913,1329967
 "32000","Nevada",8,CAINC5N,402,"237","    Heavy and civil engineering construction","Thousands of dollars",813943,868574,826395,864003,1161482,1116868,897056,636106,632618,745656,635350,526648,519896,592910,731916,816210,849579
