GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "36000","New York",2,CAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",709931446,707720011,718701935,753191245,787298364,847001865,911071359,927177224,914586318,954364506,1009303325,1065474040,1081132827,1125896581,1172712896,1208345688,1281082420
 "36000","New York",2,CAINC5N,20,"...","Population (persons) 2/","Number of persons",19082838,19137800,19175939,19171567,19132610,19104631,19132335,19212436,19307066,19405185,19526372,19625409,19712514,19773580,19819347,19836286,19849399
 "36000","New York",2,CAINC5N,30,"...","Per capita personal income (dollars)","Dollars",37203,36980,37479,39287,41150,44335,47619,48259,47371,49181,51689,54291,54845,56939,59170,60916,64540
 "36000","New York",2,CAINC5N,35,"...","Earnings by place of work","Thousands of dollars",572190478,568797371,574124515,600415292,620245263,664144387,712535089,718656257,696322777,733079453,762975496,798315181,819356563,849823251,878686132,906179122,958646905
 "36000","New York",2,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",56439048,57355886,59157857,62072631,64893755,68629118,72625473,75326751,73029289,74823119,68971060,70737515,83124881,87691322,91610542,94440098,99814084
 "36000","New York",2,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",28105928,28432117,29241119,30710168,32386111,34486555,36839939,38231597,37325747,38214460,31063938,31651656,42442669,44566413,46663291,48825344,52091624
 "36000","New York",2,CAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",28333120,28923769,29916738,31362463,32507644,34142563,35785534,37095154,35703542,36608659,37907122,39085859,40682212,43124909,44947251,45614754,47722460
 "36000","New York",2,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",-33136832,-30952046,-31551264,-36227480,-40206593,-46842264,-55897849,-56377481,-43993043,-50245939,-53963637,-56380011,-56259657,-60142228,-62757314,-64221194,-73447908
 "36000","New York",2,CAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",482614598,480489439,483415394,502115181,515144915,548673005,584011767,586952025,579300445,608010395,640040799,671197655,679972025,701989701,724318276,747517830,785384913
 "36000","New York",2,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",120104170,110644809,113783229,120202282,141827912,160835679,183377023,183153924,163223927,163882714,183629959,209988025,215284634,233822068,247741083,254949845,268993013
 "36000","New York",2,CAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",107212678,116585763,121503312,130873782,130325537,137493181,143682569,157071275,172061946,182471397,185632567,184288360,185876168,190084812,200653537,205878013,226704494
 "36000","New York",2,CAINC5N,50,"..."," Wages and salaries","Thousands of dollars",404771436,394937712,401261528,426313901,446766536,481717980,523264422,534642698,496963524,518024638,537593324,553648371,564948356,600956730,627174665,640498942,673153275
 "36000","New York",2,CAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",85538860,88919355,94445776,99874038,105269118,109525466,116215154,121189404,121993052,126449318,128738156,132793599,140973549,142642366,147435530,147357987,154498425
 "36000","New York",2,CAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 6/","Thousands of dollars",57205740,59995586,64529038,68511575,72761474,75382903,80429620,84094250,86289510,89840659,90831034,93707740,100291337,99517457,102488279,101743233,106775965
 "36000","New York",2,CAINC5N,62,"...","  Employer contributions for government social insurance","Thousands of dollars",28333120,28923769,29916738,31362463,32507644,34142563,35785534,37095154,35703542,36608659,37907122,39085859,40682212,43124909,44947251,45614754,47722460
 "36000","New York",2,CAINC5N,70,"..."," Proprietors' income 7/","Thousands of dollars",81880182,84940304,78417211,74227353,68209609,72900941,73055513,62824155,77366201,88605497,96644016,111873211,113434658,106224155,104075937,118322193,130995205
 "36000","New York",2,CAINC5N,71,"...","  Farm proprietors' income","Thousands of dollars",409605,77477,293150,511949,580132,385464,641738,869342,346868,924950,1304726,1065563,1418840,1390474,701451,354039,487945
 "36000","New York",2,CAINC5N,72,"...","  Nonfarm proprietors' income","Thousands of dollars",81470577,84862827,78124061,73715404,67629477,72515477,72413775,61954813,77019333,87680547,95339290,110807648,112015818,104833681,103374486,117968154,130507260
 "36000","New York",2,CAINC5N,81,"111-112"," Farm earnings","Thousands of dollars",930241,713199,876174,1089577,1060660,924930,1315754,1526236,948701,1516378,1827396,1817131,2189750,2216683,1398586,1132951,1235431
 "36000","New York",2,CAINC5N,82,"..."," Nonfarm earnings","Thousands of dollars",571260237,568084172,573248341,599325715,619184603,663219457,711219335,717130021,695374076,731563075,761148100,796498050,817166813,847606568,877287546,905046171,957411474
 "36000","New York",2,CAINC5N,90,"113-814","  Private nonfarm earnings","Thousands of dollars",484174407,477705298,478918460,500016125,516125628,556648750,599284169,599459433,573469558,605015097,635311213,670252922,683605980,712540532,740209296,766480098,814913314
 "36000","New York",2,CAINC5N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",228932,225420,235326,264422,287062,328322,267039,267364,253471,309112,284396,327168,327339,353117,421411,421517,438260
 "36000","New York",2,CAINC5N,101,"113","    Forestry and logging","Thousands of dollars",105696,101668,99944,108791,124782,128299,85019,60513,35059,45505,48923,75286,81010,101014,125549,125127,120161
 "36000","New York",2,CAINC5N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",7027,7091,11827,22224,19775,22175,15673,13422,13743,19495,19007,20836,18589,18461,23997,26033,27657
 "36000","New York",2,CAINC5N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",116209,116661,123555,133407,142505,177848,166347,193429,204669,244112,216466,231046,227740,233642,271865,270357,290442
 "36000","New York",2,CAINC5N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",922936,947279,708533,681791,496360,814663,1172246,2248251,1441173,980576,1582887,1535999,1743568,1638974,702161,1059787,3154080
 "36000","New York",2,CAINC5N,201,"211","    Oil and gas extraction","Thousands of dollars",28216,26141,9974,2587,35640,276137,519418,1494805,774348,552533,1130391,1156845,1440813,1277907,281068,635903,2711842
 "36000","New York",2,CAINC5N,202,"212","    Mining (except oil and gas)","Thousands of dollars",873205,899491,675478,653026,430269,497720,602436,657605,612776,358153,342310,292847,254100,302393,357848,385173,417182
 "36000","New York",2,CAINC5N,203,"213","    Support activities for mining","Thousands of dollars",21515,21647,23081,26178,30451,40806,50392,95841,54049,69890,110186,86307,48655,58674,63245,38711,25056
 "36000","New York",2,CAINC5N,300,"22","   Utilities","Thousands of dollars",4089183,4479637,4641548,5600859,5180596,5441507,5133917,5426706,5068405,5201169,5494937,5343667,5625384,6062167,6278184,6202618,6570036
 "36000","New York",2,CAINC5N,400,"23","   Construction","Thousands of dollars",24272454,24603431,25325210,25858944,26406742,28387009,30174725,31664408,30832235,30814341,30927420,33084029,34483578,36850595,39771330,41872247,44152375
 "36000","New York",2,CAINC5N,401,"236","    Construction of buildings","Thousands of dollars",6729740,7024627,6966290,6460425,6635337,7076708,7804715,8707858,8676983,8031640,7745558,8943929,9440240,9988482,10958220,11742773,12704314
 "36000","New York",2,CAINC5N,402,"237","    Heavy and civil engineering construction","Thousands of dollars",2353359,2515417,2552287,2399547,2318952,2441095,2603064,3034629,3436562,3846706,3653876,3437285,3601614,3853355,4262649,4271790,4328774
 "36000","New York",2,CAINC5N,403,"238","    Specialty trade contractors","Thousands of dollars",15189355,15063387,15806633,16998972,17452453,18869206,19766946,19921921,18718690,18935995,19527986,20702815,21441724,23008758,24550461,25857684,27119287
 "36000","New York",2,CAINC5N,500,"31-33","   Manufacturing","Thousands of dollars",40718412,38895625,38461881,38912361,38740052,39152928,40239918,39864873,35819113,35690333,36111162,37127541,37339639,37307461,39917983,39115667,40076053
 "36000","New York",2,CAINC5N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",24635133,23739991,22979949,22992620,23325385,24003867,24684420,24473527,21883724,21402945,22047766,22671634,22682872,22703910,24189509,23653956,23938865
 "36000","New York",2,CAINC5N,511,"321","     Wood product manufacturing","Thousands of dollars",405952,390650,384171,430461,464943,456048,453859,429338,344490,345199,368465,467008,594649,624771,689995,643654,585681
 "36000","New York",2,CAINC5N,512,"327","     Nonmetallic mineral product manufacturing","Thousands of dollars",1130965,1054920,1015856,1033268,1053239,1078050,1120310,1123619,960719,962477,984469,1028834,1063961,1096371,1137381,1168831,1218962
 "36000","New York",2,CAINC5N,513,"331","     Primary metal manufacturing","Thousands of dollars",1006193,941597,847048,802142,817448,867525,887599,955021,759617,737443,821730,846150,807656,843310,830481,813472,853598
