GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "39000","Ohio",3,CAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",334714304,339907454,349796068,363250160,374067981,393111152,409695749,422895323,410863852,423062081,451900573,469903864,476450081,496513465,515904883,525056499,544828473
 "39000","Ohio",3,CAINC5N,20,"...","Population (persons) 2/","Number of persons",11387404,11407889,11434788,11452251,11463320,11481213,11500468,11515391,11528896,11539282,11543332,11546969,11567845,11593741,11606027,11622554,11658609
 "39000","Ohio",3,CAINC5N,30,"...","Per capita personal income (dollars)","Dollars",29393,29796,30591,31719,32632,34240,35624,36724,35638,36663,39148,40695,41187,42826,44451,45176,46732
 "39000","Ohio",3,CAINC5N,35,"...","Earnings by place of work","Thousands of dollars",255678501,260039983,268192856,280106541,285907113,297127773,305348943,308907846,296655648,305315752,322818220,336529986,348397278,358302486,369797621,375508404,390623316
 "39000","Ohio",3,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",27709526,27770249,28879457,30584732,31413425,32779867,33588342,34516209,33450097,33656326,31791462,32845698,36901436,38058789,39416388,40867829,43195934
 "39000","Ohio",3,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",13780692,14108511,14378340,14941803,15556855,16352700,16908704,17301015,16620387,16879070,14101571,14629547,19130636,20057812,20828627,21376150,22559147
 "39000","Ohio",3,CAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",13928834,13661738,14501117,15642929,15856570,16427167,16679638,17215194,16829710,16777256,17689891,18216151,17770800,18000977,18587761,19491679,20636787
 "39000","Ohio",3,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",-1736682,-1757962,-1770870,-1716204,-1731419,-1885416,-1974132,-1964716,-1836942,-1795237,-1922474,-1888327,-2315610,-2551526,-2613861,-2648454,-2576917
 "39000","Ohio",3,CAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",226232293,230511772,237542529,247805605,252762269,262462490,269786469,272426921,261368609,269864189,289104284,301795961,309180232,317692171,327767372,331992121,344850465
 "39000","Ohio",3,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",58074942,55575243,55873740,56510228,58881389,64899915,69911635,71583261,63568172,62505371,69671567,76830613,74024934,81066073,86474955,88820581,93108706
 "39000","Ohio",3,CAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",50407069,53820439,56379799,58934327,62424323,65748747,69997645,78885141,85927071,90692521,93124722,91277290,93244915,97755221,101662556,104243797,106869302
 "39000","Ohio",3,CAINC5N,50,"..."," Wages and salaries","Thousands of dollars",190021284,192170970,197002115,204938475,210348512,217977462,224964928,226720674,215258719,218552314,228205040,239220990,244420524,255054340,264680308,270758036,281206101
 "39000","Ohio",3,CAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",42907469,44205923,46815758,49278358,51075013,54021242,54992065,55784876,53249270,54827233,56804910,57347468,61831549,62921689,64543365,65208321,68390214
 "39000","Ohio",3,CAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 6/","Thousands of dollars",28978635,30544185,32314641,33635429,35218443,37594075,38312427,38569682,36419560,38049977,39115019,39131317,44060749,44920712,45955604,45716642,47753427
 "39000","Ohio",3,CAINC5N,62,"...","  Employer contributions for government social insurance","Thousands of dollars",13928834,13661738,14501117,15642929,15856570,16427167,16679638,17215194,16829710,16777256,17689891,18216151,17770800,18000977,18587761,19491679,20636787
 "39000","Ohio",3,CAINC5N,70,"..."," Proprietors' income 7/","Thousands of dollars",22749748,23663090,24374983,25889708,24483588,25129069,25391950,26402296,28147659,31936205,37808270,39961528,42145205,40326457,40573948,39542047,41027001
 "39000","Ohio",3,CAINC5N,71,"...","  Farm proprietors' income","Thousands of dollars",770213,252513,403884,986393,688640,567374,635590,806162,1098555,1192281,2388005,1290726,2447189,1425119,-14620,-90023,-416051
 "39000","Ohio",3,CAINC5N,72,"...","  Nonfarm proprietors' income","Thousands of dollars",21979535,23410577,23971099,24903315,23794948,24561695,24756360,25596134,27049104,30743924,35420265,38670802,39698016,38901338,40588568,39632070,41443052
 "39000","Ohio",3,CAINC5N,81,"111-112"," Farm earnings","Thousands of dollars",1139083,584221,795522,1421222,1076255,945801,1196531,1259791,1574356,1579453,2860199,1926723,3042036,1954818,658969,679714,191119
 "39000","Ohio",3,CAINC5N,82,"..."," Nonfarm earnings","Thousands of dollars",254539418,259455762,267397334,278685319,284830858,296181972,304152412,307648055,295081292,303736299,319958021,334603263,345355242,356347668,369138652,374828690,390432197
 "39000","Ohio",3,CAINC5N,90,"113-814","  Private nonfarm earnings","Thousands of dollars",217073396,219937367,225942558,235309830,240359642,250636119,256940394,259021511,245593520,251803906,268227437,282477755,292472565,302556170,313820127,318400550,332159954
 "39000","Ohio",3,CAINC5N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",254660,252245,260865,312060,284144,315469,252746,241533,228181,271305,307051,433980,486491,545854,630739,632410,629243
 "39000","Ohio",3,CAINC5N,101,"113","    Forestry and logging","Thousands of dollars",97920,96158,110783,147265,119319,124243,94037,110425,103171,143340,148372,204642,222427,262429,316658,310765,297406
 "39000","Ohio",3,CAINC5N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",796,917,1017,377,-485,-847,-2016,-2596,-2244,-1005,-1349,-196,2376,3659,5493,3687,3648
 "39000","Ohio",3,CAINC5N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",155944,155170,149065,164418,165310,192073,160725,133704,127254,128970,160028,229534,261688,279766,308588,317958,328189
 "39000","Ohio",3,CAINC5N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",843296,796564,866847,1040652,1238885,1335565,1372190,2156909,1687635,1614853,2167945,1907209,1921552,2161524,1874531,1635009,1773268
 "39000","Ohio",3,CAINC5N,201,"211","    Oil and gas extraction","Thousands of dollars",434548,441201,510808,556174,730685,782128,757488,1515600,1080478,1221344,1461209,961529,683840,782453,453627,298939,170462
 "39000","Ohio",3,CAINC5N,202,"212","    Mining (except oil and gas)","Thousands of dollars",320041,253671,251317,363859,375719,391210,432936,419685,408908,203647,477201,674650,840544,791384,892644,988805,1100194
 "39000","Ohio",3,CAINC5N,203,"213","    Support activities for mining","Thousands of dollars",88707,101692,104722,120619,132481,162227,181766,221624,198249,189862,229535,271030,397168,587687,528260,347265,502612
 "39000","Ohio",3,CAINC5N,300,"22","   Utilities","Thousands of dollars",2055612,1985351,1926866,1890783,1974051,2267237,2312351,2532325,2479017,2333165,2399673,2292162,2498750,2494082,2650379,2670652,2721643
 "39000","Ohio",3,CAINC5N,400,"23","   Construction","Thousands of dollars",15200472,15402898,15881254,16743061,16874384,17204991,16684959,15630755,14393767,14128864,15314179,17191147,18007968,19378452,20322143,21170657,23727368
 "39000","Ohio",3,CAINC5N,401,"236","    Construction of buildings","Thousands of dollars",3603123,3817911,3886677,4001563,3942020,3936547,3862090,3938673,3515458,3160863,3727598,4368604,4515567,4596855,4750967,4923933,5270979
 "39000","Ohio",3,CAINC5N,402,"237","    Heavy and civil engineering construction","Thousands of dollars",1567448,1504159,1537328,1566175,1636541,1707804,1746293,1797375,2002857,1707388,1612787,1693100,2065020,2357482,2481999,2569065,3763335
 "39000","Ohio",3,CAINC5N,403,"238","    Specialty trade contractors","Thousands of dollars",10029901,10080828,10457249,11175323,11295823,11560640,11076576,9894707,8875452,9260613,9973794,11129443,11427381,12424115,13089177,13677659,14693054
 "39000","Ohio",3,CAINC5N,500,"31-33","   Manufacturing","Thousands of dollars",50987243,49300291,49727842,51422415,51771485,53142654,52774413,51062278,42884455,43823116,47151418,48653664,50414474,52588039,54609725,54151334,55477794
 "39000","Ohio",3,CAINC5N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",36440785,34797188,34987694,36270826,36676574,37932010,37568575,36217053,29196018,29713076,32301600,33776975,34981212,36215537,37134515,36874228,37797146
 "39000","Ohio",3,CAINC5N,511,"321","     Wood product manufacturing","Thousands of dollars",873774,813500,836055,825882,772348,770040,751125,708552,611260,621916,656138,695219,757241,762039,843639,940863,976175
 "39000","Ohio",3,CAINC5N,512,"327","     Nonmetallic mineral product manufacturing","Thousands of dollars",1989596,1980567,1906960,1905789,1917032,1967836,1924235,1813794,1530829,1622226,1662026,1734661,1785517,1846054,1822563,1951552,2045869
 "39000","Ohio",3,CAINC5N,513,"331","     Primary metal manufacturing","Thousands of dollars",4010656,3619690,3706060,4040758,4134040,4227831,4192038,4054409,2696638,2827694,3143214,3080562,3123686,3261013,3180649,3007355,3011497
 "39000","Ohio",3,CAINC5N,514,"332","     Fabricated metal product manufacturing","Thousands of dollars",6336450,6076905,6085735,6402559,6707638,7263947,7323480,7396171,5993874,6116276,6882080,7248388,6997273,7204108,7220683,6870285,7133097
 "39000","Ohio",3,CAINC5N,515,"333","     Machinery manufacturing","Thousands of dollars",5333832,4805691,4798990,5011242,5261593,5515249,5494979,5524843,4749248,4787895,5293835,5554195,5994084,6276577,6342989,6196653,6536714
 "39000","Ohio",3,CAINC5N,516,"334","     Computer and electronic product manufacturing","Thousands of dollars",2153973,1783777,1580322,1565329,1575181,1583410,1775996,1903666,1589858,1569329,1593680,1622757,1627744,1615080,1795692,1768214,1826120
 "39000","Ohio",3,CAINC5N,517,"335","     Electrical equipment, appliance, and component manufacturing","Thousands of dollars",2214760,2227745,2269634,2232785,2211314,2185287,2311924,2233374,2010846,2010480,2146645,2241192,2314626,2359441,2445086,2303818,2322788
 "39000","Ohio",3,CAINC5N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing","Thousands of dollars",9660970,9773619,9947262,9978692,9686297,9742545,9005359,7719641,5557131,5880548,6477803,7082501,7651248,7970215,8420734,8435304,8348137
 "39000","Ohio",3,CAINC5N,519,"3364-3369","     Other transportation equipment manufacturing","Thousands of dollars",1675801,1580036,1583229,1748711,1698126,1849714,1973829,1999489,2027387,1895350,1935531,1997969,2049421,2123470,2273867,2431383,2529119
 "39000","Ohio",3,CAINC5N,521,"337","     Furniture and related product manufacturing","Thousands of dollars",1008913,981757,991464,1022489,1010806,1008835,1041982,1028264,822925,791227,780951,769778,827704,885092,920510,959236,1020663
 "39000","Ohio",3,CAINC5N,522,"339","     Miscellaneous manufacturing","Thousands of dollars",1182060,1153901,1281983,1536590,1702199,1817316,1773628,1834850,1606022,1590135,1729697,1749753,1852668,1912448,1868103,2009565,2046967
 "39000","Ohio",3,CAINC5N,530,"311-316,322-326","    Nondurable goods manufacturing","Thousands of dollars",14546458,14503103,14740148,15151589,15094911,15210644,15205838,14845225,13688437,14110040,14849818,14876689,15433262,16372502,17475210,17277106,17680648
 "39000","Ohio",3,CAINC5N,531,"311","     Food manufacturing","Thousands of dollars",2566062,2737303,2770891,2735949,2823487,2861242,2954966,2947682,3006251,3118722,3181840,3341565,3477399,3649307,3681199,3757963,3894350
 "39000","Ohio",3,CAINC5N,532,"312","     Beverage and tobacco product manufacturing","Thousands of dollars",356626,418610,436992,451290,460446,462025,480786,500414,474659,483598,486656,469348,494698,503429,539508,576129,618193
 "39000","Ohio",3,CAINC5N,533,"313","     Textile mills","Thousands of dollars",151017,162251,169752,167721,158985,155209,152625,134137,120514,118029,133720,144885,156377,154104,142802,126428,132074
 "39000","Ohio",3,CAINC5N,534,"314","     Textile product mills","Thousands of dollars",173194,171942,170479,167094,169551,163644,174450,157229,126111,125821,124631,126711,128349,136214,137288,120367,121297
 "39000","Ohio",3,CAINC5N,535,"315","     Apparel manufacturing","Thousands of dollars",84775,103538,122070,111072,109431,113240,102028,104417,91344,84283,74933,81629,80232,89204,77297,84468,87227
