GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "40000","Oklahoma",6,CAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",88354068,90233074,94303299,101714386,111052252,123411849,127818682,141463858,131404805,137327475,147778317,158235715,165860357,176376708,172636230,165106975,174435402
 "40000","Oklahoma",6,CAINC5N,20,"...","Population (persons) 2/","Number of persons",3467100,3489080,3504892,3525233,3548597,3594090,3634349,3668976,3717572,3759529,3785232,3815298,3849840,3875008,3904353,3921207,3930864
 "40000","Oklahoma",6,CAINC5N,30,"...","Per capita personal income (dollars)","Dollars",25484,25862,26906,28853,31295,34337,35170,38557,35347,36528,39041,41474,43082,45516,44216,42106,44376
 "40000","Oklahoma",6,CAINC5N,35,"...","Earnings by place of work","Thousands of dollars",62898658,64571963,67855959,74053812,81182717,89613091,90453078,100693765,91216862,95579384,102451534,110266758,119824604,127659297,122286863,113262647,121052759
 "40000","Oklahoma",6,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",7047315,7256379,7472677,7997921,8476381,9115668,9592885,10043832,9852370,10092092,9729618,10320293,11897321,12223120,12288487,12192994,12744814
 "40000","Oklahoma",6,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",3683285,3762537,3825059,4040503,4324550,4735789,5042774,5335890,5236277,5357358,4460121,4652168,6085079,6394621,6508990,6430748,6778759
 "40000","Oklahoma",6,CAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",3364030,3493842,3647618,3957418,4151831,4379879,4550111,4707942,4616093,4734734,5269497,5668125,5812242,5828499,5779497,5762246,5966055
 "40000","Oklahoma",6,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",1013994,986582,967672,950012,912281,884117,848225,792980,681730,614695,563848,554791,474480,465357,424950,455130,409659
 "40000","Oklahoma",6,CAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",56865337,58302166,61350954,67005903,73618617,81381540,81708418,91442913,82046222,86101987,93285764,100501256,108401763,115901534,110423326,101524783,108717604
 "40000","Oklahoma",6,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",17356536,16832930,16861042,17709495,19173168,22026762,24663358,25962615,23413857,23537984,26469231,29092662,28200148,30206594,30850240,31161530,32422809
 "40000","Oklahoma",6,CAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",14132195,15097978,16091303,16998988,18260467,20003547,21446906,24058330,25944726,27687504,28023322,28641797,29258446,30268580,31362664,32420662,33294989
 "40000","Oklahoma",6,CAINC5N,50,"..."," Wages and salaries","Thousands of dollars",44622573,45163471,46229981,48461585,51103311,56331289,59591186,63295061,61158965,62362798,66167722,70150020,72301874,75556493,76910250,75524313,77911726
 "40000","Oklahoma",6,CAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",10237954,10762045,11310888,12202019,13002663,13573036,13946480,14234947,14428704,15553033,16217001,16706874,17741479,18459126,19121418,18676375,19354708
 "40000","Oklahoma",6,CAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 6/","Thousands of dollars",6873924,7268203,7663270,8244601,8850832,9193157,9396369,9527005,9812611,10818299,10947504,11038749,11929237,12630627,13341921,12914129,13388653
 "40000","Oklahoma",6,CAINC5N,62,"...","  Employer contributions for government social insurance","Thousands of dollars",3364030,3493842,3647618,3957418,4151831,4379879,4550111,4707942,4616093,4734734,5269497,5668125,5812242,5828499,5779497,5762246,5966055
 "40000","Oklahoma",6,CAINC5N,70,"..."," Proprietors' income 7/","Thousands of dollars",8038131,8646447,10315090,13390208,17076743,19708766,16915412,23163757,15629193,17663553,20066811,23409864,29781251,33643678,26255195,19061959,23786325
 "40000","Oklahoma",6,CAINC5N,71,"...","  Farm proprietors' income","Thousands of dollars",581396,809834,764668,988897,1040725,437545,314852,393096,-244468,512043,1024396,1352458,1439906,2294879,1702479,734860,738949
 "40000","Oklahoma",6,CAINC5N,72,"...","  Nonfarm proprietors' income","Thousands of dollars",7456735,7836613,9550422,12401311,16036018,19271221,16600560,22770661,15873661,17151510,19042415,22057406,28341345,31348799,24552716,18327099,23047376
 "40000","Oklahoma",6,CAINC5N,81,"111-112"," Farm earnings","Thousands of dollars",815251,979437,961077,1265257,1306232,687844,675515,792539,52232,808566,1342492,1756364,1785008,2657221,1925481,985467,1005456
 "40000","Oklahoma",6,CAINC5N,82,"..."," Nonfarm earnings","Thousands of dollars",62083407,63592526,66894882,72788555,79876485,88925247,89777563,99901226,91164630,94770818,101109042,108510394,118039596,125002076,120361382,112277180,120047303
 "40000","Oklahoma",6,CAINC5N,90,"113-814","  Private nonfarm earnings","Thousands of dollars",49241537,49964260,52647928,57844256,64057434,72094614,71768942,80974301,71522325,74247162,80575988,88059565,96951539,103346612,97981831,89619962,97119624
 "40000","Oklahoma",6,CAINC5N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",110266,110216,122695,159280,165458,186030,139378,135781,149538,226233,206542,202929,185945,194429,224690,240692,252152
 "40000","Oklahoma",6,CAINC5N,101,"113","    Forestry and logging","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "40000","Oklahoma",6,CAINC5N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "40000","Oklahoma",6,CAINC5N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",89444,89483,99792,131820,145412,168372,138925,137623,150184,207278,190788,191717,182504,183035,205077,220853,235494
 "40000","Oklahoma",6,CAINC5N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",2224180,2096958,3791202,6228019,9313323,12056962,9967831,16683190,8926482,9781379,11915263,13282914,15070592,16494311,9578288,5569607,10511732
 "40000","Oklahoma",6,CAINC5N,201,"211","    Oil and gas extraction","Thousands of dollars",1223751,1163346,2702928,4875168,7552023,9666215,7285393,13489969,6636145,7269210,7985895,9072565,10479220,11528101,5474579,2545448,6844368
 "40000","Oklahoma",6,CAINC5N,202,"212","    Mining (except oil and gas)","Thousands of dollars",211839,223380,277078,386109,534257,582186,606079,528531,519321,571005,1121992,1090492,1205906,1318252,1420227,1367153,1324584
 "40000","Oklahoma",6,CAINC5N,203,"213","    Support activities for mining","Thousands of dollars",788590,710232,811196,966742,1227043,1808561,2076359,2664690,1771016,1941164,2807376,3119857,3385466,3647958,2683482,1657006,2342780
 "40000","Oklahoma",6,CAINC5N,300,"22","   Utilities","Thousands of dollars",901000,916497,892765,899803,913705,989826,1165771,1254302,1249154,1235598,1368809,1579462,1557112,1826460,1640535,1570014,1469001
 "40000","Oklahoma",6,CAINC5N,400,"23","   Construction","Thousands of dollars",3838600,3818007,3939953,4103071,4415017,4968290,4960579,5243194,5376145,6078959,6457589,7202262,7449276,7537605,7541644,7186588,7164128
 "40000","Oklahoma",6,CAINC5N,401,"236","    Construction of buildings","Thousands of dollars",912946,1016002,977242,952858,999839,1103471,1146662,1352146,1601424,1834801,2034836,2223422,2032831,1818474,1753888,1748135,1652128
 "40000","Oklahoma",6,CAINC5N,402,"237","    Heavy and civil engineering construction","Thousands of dollars",633320,570830,546356,520059,574336,629362,660012,728360,730981,804423,833360,994004,1283160,1327043,1241731,1118611,1210418
 "40000","Oklahoma",6,CAINC5N,403,"238","    Specialty trade contractors","Thousands of dollars",2292334,2231175,2416355,2630154,2840842,3235457,3153905,3162688,3043740,3439735,3589393,3984836,4133285,4392088,4546025,4319842,4301582
 "40000","Oklahoma",6,CAINC5N,500,"31-33","   Manufacturing","Thousands of dollars",7848035,7405940,7492212,7976335,9067153,10213610,10380288,11030207,9117274,8759671,8846183,9326228,9945878,10164497,10317295,9482439,9853044
 "40000","Oklahoma",6,CAINC5N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",5067242,4791980,4737354,4943623,5186162,5681052,5960356,6251632,5336684,5170534,5701230,6489571,6796875,7243664,7152908,6466679,6643177
 "40000","Oklahoma",6,CAINC5N,511,"321","     Wood product manufacturing","Thousands of dollars",159872,164125,171308,174469,186420,181087,174691,156158,120142,98497,99188,98889,114177,113911,133095,147897,170825
 "40000","Oklahoma",6,CAINC5N,512,"327","     Nonmetallic mineral product manufacturing","Thousands of dollars",377506,375336,390237,412458,428019,447926,458713,461018,401241,392858,388090,407432,423368,447764,489024,489460,501208
 "40000","Oklahoma",6,CAINC5N,513,"331","     Primary metal manufacturing","Thousands of dollars",197028,163383,181634,212974,238290,266411,276579,317310,231244,234430,291523,304031,291673,267623,246449,223568,248720
 "40000","Oklahoma",6,CAINC5N,514,"332","     Fabricated metal product manufacturing","Thousands of dollars",1170126,1111807,987721,1030475,1087156,1238630,1294408,1467218,1248176,1203876,1337939,1586202,1664982,1840784,1770776,1563783,1638853
 "40000","Oklahoma",6,CAINC5N,515,"333","     Machinery manufacturing","Thousands of dollars",1270012,1130693,1174452,1277565,1420605,1599007,1818311,1948526,1723152,1660431,1932432,2237983,2354803,2558567,2435247,2035902,2070952
 "40000","Oklahoma",6,CAINC5N,516,"334","     Computer and electronic product manufacturing","Thousands of dollars",563822,398466,386438,346658,346892,372630,409999,409896,378748,348113,335161,406093,394255,371357,383943,353904,368107
 "40000","Oklahoma",6,CAINC5N,517,"335","     Electrical equipment, appliance, and component manufacturing","Thousands of dollars",133377,138488,141690,153625,159511,166738,174713,177382,178140,194389,193636,196160,194189,205631,221646,227634,232258
 "40000","Oklahoma",6,CAINC5N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing","Thousands of dollars",602206,728102,719076,685845,627556,606074,502443,463745,332277,315639,324051,348585,352388,397310,(D),(D),(D)
