GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "41000","Oregon",8,CAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",100607352,101865434,105562242,111488116,117144737,127973779,133838507,139499803,134830942,138328202,146081624,154066838,156644028,167977534,181022258,189644395,199422200
 "41000","Oregon",8,CAINC5N,20,"...","Population (persons) 2/","Number of persons",3467937,3513424,3547376,3569463,3613202,3670883,3722417,3768748,3808600,3837073,3865845,3893920,3919664,3960673,4016537,4085989,4142776
 "41000","Oregon",8,CAINC5N,30,"...","Per capita personal income (dollars)","Dollars",29011,28993,29758,31234,32421,34862,35955,37015,35402,36050,37788,39566,39964,42411,45069,46413,48137
 "41000","Oregon",8,CAINC5N,35,"...","Earnings by place of work","Thousands of dollars",77901978,78894907,81756974,86829161,91519433,98744922,102283841,103224199,97632523,99547883,103598133,109893780,113769402,119707670,128378983,135352847,143816035
 "41000","Oregon",8,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",9449281,9605017,9913988,10617007,11208388,12041905,12548793,12716501,12203628,12551370,11569438,12111936,14201431,15050742,15905821,16684215,17933160
 "41000","Oregon",8,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",4500813,4586180,4699005,5006006,5379006,5874753,6186444,6315282,6060902,6158038,5079312,5273897,7013846,7470485,7960239,8436114,9095599
 "41000","Oregon",8,CAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",4948468,5018837,5214983,5611001,5829382,6167152,6362349,6401219,6142726,6393332,6490126,6838039,7187585,7580257,7945582,8248101,8837561
 "41000","Oregon",8,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",-2110990,-2190262,-2367909,-2593911,-2885429,-3274417,-3545631,-3666728,-3489946,-3370645,-3702636,-3913659,-3908970,-3891992,-4182228,-4574779,-4729248
 "41000","Oregon",8,CAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",66341707,67099628,69475077,73618243,77425616,83428600,86189417,86840970,81938949,83625868,88326059,93868185,95659001,100764936,108290934,114093853,121153627
 "41000","Oregon",8,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",19613254,18944984,19828143,21140228,22050148,25540754,27228287,28948335,25810910,25420611,28068997,30539536,30236139,33714845,37050719,38799995,40568722
 "41000","Oregon",8,CAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",14652391,15820822,16259022,16729645,17668973,19004425,20420803,23710498,27081083,29281723,29686568,29659117,30748888,33497753,35680605,36750547,37699851
 "41000","Oregon",8,CAINC5N,50,"..."," Wages and salaries","Thousands of dollars",55728283,55852595,57246037,60498099,64328444,68962522,72685962,73776161,69788357,70863621,73912672,77112304,80131040,85042708,91007227,95803427,101075501
 "41000","Oregon",8,CAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",14318377,14608720,15377770,16223752,16909780,18035291,18857414,19176114,18944233,18785167,19073536,20551640,20858073,21057693,22400273,23458938,24786766
 "41000","Oregon",8,CAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 6/","Thousands of dollars",9369909,9589883,10162787,10612751,11080398,11868139,12495065,12774895,12801507,12391835,12583410,13713601,13670488,13477436,14454691,15210837,15949205
 "41000","Oregon",8,CAINC5N,62,"...","  Employer contributions for government social insurance","Thousands of dollars",4948468,5018837,5214983,5611001,5829382,6167152,6362349,6401219,6142726,6393332,6490126,6838039,7187585,7580257,7945582,8248101,8837561
 "41000","Oregon",8,CAINC5N,70,"..."," Proprietors' income 7/","Thousands of dollars",7855318,8433592,9133167,10107310,10281209,11747109,10740465,10271924,8899933,9899095,10611925,12229836,12780289,13607269,14971483,16090482,17953768
 "41000","Oregon",8,CAINC5N,71,"...","  Farm proprietors' income","Thousands of dollars",93196,144244,414992,481208,353637,453236,301622,292815,-529,56544,293519,434125,560349,541591,881681,576868,369591
 "41000","Oregon",8,CAINC5N,72,"...","  Nonfarm proprietors' income","Thousands of dollars",7762122,8289348,8718175,9626102,9927572,11293873,10438843,9979109,8900462,9842551,10318406,11795711,12219940,13065678,14089802,15513614,17584177
 "41000","Oregon",8,CAINC5N,81,"111-112"," Farm earnings","Thousands of dollars",833357,838114,1117569,1256578,1238277,1336392,1337416,1306065,1113098,1042393,1266899,1401663,1640383,1582507,1753787,1583755,1426638
 "41000","Oregon",8,CAINC5N,82,"..."," Nonfarm earnings","Thousands of dollars",77068621,78056793,80639405,85572583,90281156,97408530,100946425,101918134,96519425,98505490,102331234,108492117,112129019,118125163,126625196,133769092,142389397
 "41000","Oregon",8,CAINC5N,90,"113-814","  Private nonfarm earnings","Thousands of dollars",62861655,63456717,65867899,70327467,74571432,81044098,83697458,83806126,77531185,79104314,82519284,88816592,92016688,97219459,104871793,111052551,118723084
 "41000","Oregon",8,CAINC5N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",1052986,1058613,1158533,1203962,1188960,1132364,909187,952700,917823,1102350,1059648,1222841,1224015,1278024,1398316,1440528,1500586
 "41000","Oregon",8,CAINC5N,101,"113","    Forestry and logging","Thousands of dollars",601195,563945,662048,781584,750382,626830,433858,428687,395647,520750,474910,550443,528153,535096,524416,572333,570143
 "41000","Oregon",8,CAINC5N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",114870,112326,118194,107249,106571,111960,85779,85908,87838,111581,108307,123145,134688,142401,170365,164109,147160
 "41000","Oregon",8,CAINC5N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",336921,382342,378291,315129,332007,393574,389550,438105,434338,470019,476431,549253,561174,600527,703535,704086,783283
 "41000","Oregon",8,CAINC5N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",113564,114952,108362,103311,116335,130912,129698,124013,97103,97981,113167,112281,111541,111009,118604,128074,147062
 "41000","Oregon",8,CAINC5N,201,"211","    Oil and gas extraction","Thousands of dollars",(D),(D),(D),(D),(D),11086,6548,11589,5453,10538,20136,(D),(D),(D),(D),(D),5400
 "41000","Oregon",8,CAINC5N,202,"212","    Mining (except oil and gas)","Thousands of dollars",113261,114140,107333,100650,107195,116242,119610,107155,83710,79517,83260,88370,88571,92659,110456,123901,136956
 "41000","Oregon",8,CAINC5N,203,"213","    Support activities for mining","Thousands of dollars",(D),(D),(D),(D),(D),3584,3540,5269,7940,7926,9771,(D),(D),(D),(D),(D),4706
 "41000","Oregon",8,CAINC5N,300,"22","   Utilities","Thousands of dollars",461579,480108,436008,498018,436575,505779,283655,599654,417510,544149,810559,667746,708708,686606,609537,688756,766942
 "41000","Oregon",8,CAINC5N,400,"23","   Construction","Thousands of dollars",5396263,5378586,5331640,5783004,6448246,7605452,7794351,7187913,5823030,5320304,5369975,6199355,6609217,7323281,7764878,8670564,9844737
 "41000","Oregon",8,CAINC5N,401,"236","    Construction of buildings","Thousands of dollars",1431812,1470472,1518875,1608054,1845312,2207193,2247497,2217867,1723876,1335719,1269643,1730169,1934022,2167394,2429468,2728589,3224378
 "41000","Oregon",8,CAINC5N,402,"237","    Heavy and civil engineering construction","Thousands of dollars",638629,632863,670219,733410,788089,892387,946033,868131,709849,677935,689922,635141,683472,722147,786128,854625,925199
 "41000","Oregon",8,CAINC5N,403,"238","    Specialty trade contractors","Thousands of dollars",3325822,3275251,3142546,3441540,3814845,4505872,4600821,4101915,3389305,3306650,3410410,3834045,3991723,4433740,4549282,5087350,5695160
 "41000","Oregon",8,CAINC5N,500,"31-33","   Manufacturing","Thousands of dollars",11952416,11216417,11399018,12338903,12900430,13580587,13871111,13610521,11809146,12288594,12973184,13979258,14116085,14516126,15477251,16064911,16542545
 "41000","Oregon",8,CAINC5N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",9504746,8793954,8875364,9708729,10240384,10809850,10978546,10680789,9011339,9493790,10235605,11073032,11131803,11435364,12175130,12678877,12929891
 "41000","Oregon",8,CAINC5N,511,"321","     Wood product manufacturing","Thousands of dollars",1441219,1435999,1479487,1692156,1743625,1717217,1534047,1301745,1083057,1138761,1135318,1195080,1282082,1275009,1322148,1372627,1434765
 "41000","Oregon",8,CAINC5N,512,"327","     Nonmetallic mineral product manufacturing","Thousands of dollars",268207,257705,266519,283465,313935,310909,322443,314159,251691,252224,259475,267717,277456,295764,324394,343499,367665
 "41000","Oregon",8,CAINC5N,513,"331","     Primary metal manufacturing","Thousands of dollars",582171,524169,482766,525860,612735,723031,822648,863030,632237,627027,694584,730647,720360,708886,735905,723786,743729
 "41000","Oregon",8,CAINC5N,514,"332","     Fabricated metal product manufacturing","Thousands of dollars",764582,691620,717182,778500,840400,897886,933104,972044,810694,818784,880786,962446,976425,989642,1050681,1089511,1118775
 "41000","Oregon",8,CAINC5N,515,"333","     Machinery manufacturing","Thousands of dollars",755616,704828,704070,752291,759779,806772,862010,836341,706892,731906,816289,829820,899479,898935,912691,920350,1054984
 "41000","Oregon",8,CAINC5N,516,"334","     Computer and electronic product manufacturing","Thousands of dollars",4092231,3612258,3631416,3884936,4036872,4268997,4411798,4385614,3908113,4274255,4638644,5098003,4930662,5230018,5628404,5940547,5771051
 "41000","Oregon",8,CAINC5N,517,"335","     Electrical equipment, appliance, and component manufacturing","Thousands of dollars",172168,126193,130784,133825,142712,168158,167340,173068,166460,173560,187231,206039,195864,200417,215252,217062,282325
 "41000","Oregon",8,CAINC5N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing","Thousands of dollars",434776,464565,457099,530716,594943,602682,578102,462349,270736,287573,304284,327833,303213,308389,(D),(D),(D)
 "41000","Oregon",8,CAINC5N,519,"3364-3369","     Other transportation equipment manufacturing","Thousands of dollars",346170,319858,325999,357215,377437,428229,462359,466247,413844,432505,535859,635656,699486,649253,(D),(D),(D)
 "41000","Oregon",8,CAINC5N,521,"337","     Furniture and related product manufacturing","Thousands of dollars",285522,288286,296017,321918,340745,369805,344530,309556,229569,208701,213554,226087,240761,267686,307188,349442,354795
 "41000","Oregon",8,CAINC5N,522,"339","     Miscellaneous manufacturing","Thousands of dollars",362084,368473,384025,447847,477201,516164,540165,596636,538046,548494,569581,593704,606015,611365,615603,692271,745465
 "41000","Oregon",8,CAINC5N,530,"311-316,322-326","    Nondurable goods manufacturing","Thousands of dollars",2447670,2422463,2523654,2630174,2660046,2770737,2892565,2929732,2797807,2794804,2737579,2906226,2984282,3080762,3302121,3386034,3612654
 "41000","Oregon",8,CAINC5N,531,"311","     Food manufacturing","Thousands of dollars",785112,807419,850918,878325,874430,921819,1006915,1057462,1083416,1100518,1087430,1195526,1249174,1326988,1439669,1522050,1646035
 "41000","Oregon",8,CAINC5N,532,"312","     Beverage and tobacco product manufacturing","Thousands of dollars",91784,87928,95630,110162,115016,133831,160033,173313,182823,165709,169660,194328,223169,273777,307106,326824,330574
 "41000","Oregon",8,CAINC5N,533,"313","     Textile mills","Thousands of dollars",7535,5981,5231,4225,3699,3573,3890,3400,2931,2738,2910,3429,3554,4185,4558,4561,4666
 "41000","Oregon",8,CAINC5N,534,"314","     Textile product mills","Thousands of dollars",36410,34461,39524,43122,53446,51960,56350,44208,37133,36945,38245,42166,44484,44872,44554,45664,46353
 "41000","Oregon",8,CAINC5N,535,"315","     Apparel manufacturing","Thousands of dollars",43437,35300,26733,31361,34056,42427,42403,52563,62777,60042,50016,54609,51526,49421,45487,46700,51716
 "41000","Oregon",8,CAINC5N,536,"316","     Leather and allied product manufacturing","Thousands of dollars",15056,16172,20205,23808,24845,25053,27607,27452,32758,38097,34566,38695,34229,21715,23953,26282,24682
 "41000","Oregon",8,CAINC5N,537,"322","     Paper manufacturing","Thousands of dollars",499174,493475,510885,511164,516567,536321,537002,521712,476809,429809,410178,419185,421324,387617,401025,368855,373129
 "41000","Oregon",8,CAINC5N,538,"323","     Printing and related support activities","Thousands of dollars",401542,382839,367512,364033,367401,371560,377260,368141,301773,296310,301267,300707,298069,300252,307472,295603,290458
 "41000","Oregon",8,CAINC5N,539,"324","     Petroleum and coal products manufacturing","Thousands of dollars",29194,28883,33911,38161,41191,66785,56687,57797,42688,48748,55635,66875,56708,51293,67243,61836,66999
 "41000","Oregon",8,CAINC5N,541,"325","     Chemical manufacturing","Thousands of dollars",264954,256709,281250,308876,296932,272071,273013,291980,278372,277141,282532,292046,300206,319775,341497,360153,416398
 "41000","Oregon",8,CAINC5N,542,"326","     Plastics and rubber products manufacturing","Thousands of dollars",273472,273296,291855,316937,332463,345337,351405,331704,296327,338747,305140,298660,301839,300867,319557,327506,361644
 "41000","Oregon",8,CAINC5N,600,"42","   Wholesale trade","Thousands of dollars",4343718,4450179,4710511,5247155,5680764,6033124,6341539,6474288,5969156,6047445,6299149,6709418,5757195,5954975,6332342,6508814,6884997
 "41000","Oregon",8,CAINC5N,700,"44-45","   Retail trade","Thousands of dollars",5972795,6114004,6300752,6489296,6736757,7253616,7322849,6883492,6577510,6816108,6939388,7316105,7538200,7863382,8355660,8650709,9174382
 "41000","Oregon",8,CAINC5N,701,"441","    Motor vehicle and parts dealers","Thousands of dollars",1329593,1397852,1397145,1406772,1499779,1636294,1583407,1422863,1238905,1351548,1347656,1387312,1407964,1437160,1539720,1662500,1760588
 "41000","Oregon",8,CAINC5N,702,"442","    Furniture and home furnishings stores","Thousands of dollars",224737,230034,242442,261774,285353,310109,312501,273988,211393,207751,211690,226491,243380,265331,294588,309288,337687
 "41000","Oregon",8,CAINC5N,703,"443","    Electronics and appliance stores","Thousands of dollars",238781,222099,220203,216726,235940,260678,281825,318497,306541,326923,331894,336359,328792,334324,337366,335269,339092
 "41000","Oregon",8,CAINC5N,704,"444","    Building material and garden equipment and supplies dealers","Thousands of dollars",447340,460153,502513,546494,589557,649209,631899,580911,508900,534221,531243,572872,615109,646982,681766,724715,750022
 "41000","Oregon",8,CAINC5N,705,"445","    Food and beverage stores","Thousands of dollars",998546,1043445,1119080,1164088,1156365,1218010,1232232,1135717,1240601,1312362,1305263,1384747,1391772,1444342,1544864,1529500,1602086
 "41000","Oregon",8,CAINC5N,706,"446","    Health and personal care stores","Thousands of dollars",204321,212621,237011,238268,288235,308588,320070,325555,340309,346192,355248,371971,384151,389888,410165,431870,416292
 "41000","Oregon",8,CAINC5N,707,"447","    Gasoline stations","Thousands of dollars",404145,386595,376424,348447,285230,314467,325904,295403,300338,310873,286500,294824,305906,340667,385707,410399,434228
 "41000","Oregon",8,CAINC5N,708,"448","    Clothing and clothing accessories stores","Thousands of dollars",382126,399945,391724,398214,419997,446597,444497,412438,381822,396747,420789,463344,483151,496988,511520,513509,558618
 "41000","Oregon",8,CAINC5N,709,"451","    Sporting goods, hobby, musical instrument, and book stores","Thousands of dollars",225036,227314,233069,238561,243975,257335,262801,254995,249624,269487,297244,313671,310825,322389,340390,318247,314423
 "41000","Oregon",8,CAINC5N,711,"452","    General merchandise stores","Thousands of dollars",861340,920551,940221,1010345,1025689,1087813,1108985,1152529,1170961,1157207,1185638,1223178,1255452,1304357,1339478,1374175,1386259
 "41000","Oregon",8,CAINC5N,712,"453","    Miscellaneous store retailers","Thousands of dollars",360231,358276,386722,386491,398752,423962,400130,350040,272920,255806,305247,344741,378955,413819,471160,500467,661190
 "41000","Oregon",8,CAINC5N,713,"454","    Nonstore retailers","Thousands of dollars",296599,255119,254198,273116,307885,340554,418598,360556,355196,346991,360976,396595,432743,467135,498936,540770,613897
 "41000","Oregon",8,CAINC5N,800,"48-49","   Transportation and warehousing","Thousands of dollars",2662324,2663131,2809292,3039686,3162573,3331648,3477777,3326755,3103338,3183428,3352507,3551288,3616611,3897018,4216569,4296571,4581054
 "41000","Oregon",8,CAINC5N,801,"481","    Air transportation","Thousands of dollars",277128,256611,245517,235204,238009,257758,311670,294437,271047,294808,299149,311554,317437,351438,376927,398868,524792
 "41000","Oregon",8,CAINC5N,802,"482","    Rail transportation","Thousands of dollars",205293,201831,202360,216821,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "41000","Oregon",8,CAINC5N,803,"483","    Water transportation","Thousands of dollars",108537,87231,99523,82030,86594,85056,87797,84736,59453,53736,49737,56627,61461,59104,57976,59577,59192
 "41000","Oregon",8,CAINC5N,804,"484","    Truck transportation","Thousands of dollars",1053356,1075130,1122574,1150218,1232903,1362268,1441480,1282125,1170406,1226976,1328928,1426381,1477834,1611879,1740559,1735513,1801178
 "41000","Oregon",8,CAINC5N,805,"485","    Transit and ground passenger transportation","Thousands of dollars",117101,125706,134453,149356,153174,170666,210571,198205,207038,226491,246178,262620,264604,276088,292669,310868,330967
 "41000","Oregon",8,CAINC5N,806,"486","    Pipeline transportation","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "41000","Oregon",8,CAINC5N,807,"487","    Scenic and sightseeing transportation","Thousands of dollars",33069,30392,42189,56491,58944,38762,12180,11038,10135,9489,8872,10762,11331,12517,11943,12947,13075
