GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "42000","Pennsylvania",2,CAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",388669348,396187846,409648567,433409619,451890329,476852941,506498986,524359554,511713893,533828376,562622067,587095666,592172266,617895532,642622555,657164756,682533744
 "42000","Pennsylvania",2,CAINC5N,20,"...","Population (persons) 2/","Number of persons",12298970,12331031,12374658,12410722,12449990,12510809,12563937,12612285,12666858,12711063,12742811,12768034,12778450,12790341,12791124,12787085,12805537
 "42000","Pennsylvania",2,CAINC5N,30,"...","Per capita personal income (dollars)","Dollars",31602,32129,33104,34922,36296,38115,40314,41575,40398,41997,44152,45982,46341,48310,50240,51393,53300
 "42000","Pennsylvania",2,CAINC5N,35,"...","Earnings by place of work","Thousands of dollars",284766797,291631040,301827246,322209692,334764226,346781964,363056377,369777165,359223438,375547689,392459733,406814955,422098081,435888022,451350843,457623648,478607219
 "42000","Pennsylvania",2,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",31934185,32820821,33631351,35353277,37148929,39022525,40565734,41793953,41263189,42359403,39418718,40325373,46661308,48239179,50113421,51113875,53801974
 "42000","Pennsylvania",2,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",16110140,16692197,17084206,18099995,18908791,20013484,21029489,21754354,21557256,22063561,18164199,18477721,24141079,25021369,26004036,26683698,28254466
 "42000","Pennsylvania",2,CAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",15824045,16128624,16547145,17253282,18240138,19009041,19536245,20039599,19705933,20295842,21254519,21847652,22520229,23217810,24109385,24430177,25547508
 "42000","Pennsylvania",2,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",4317204,4590811,5080124,5868747,6891906,7340587,8225141,8575934,7331566,8002837,7866847,8228688,8151906,8959438,8865272,9547000,10213816
 "42000","Pennsylvania",2,CAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",257149816,263401030,273276019,292725162,304507203,315100026,330715784,336559146,325291815,341191123,360907862,374718270,383588679,396608281,410102694,416056773,435019061
 "42000","Pennsylvania",2,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",69645486,67139582,68094177,69853224,71282168,81836870,90416261,92750992,82892950,81655676,90208213,100762911,95268641,104327990,109916989,111989363,117783549
 "42000","Pennsylvania",2,CAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",61874046,65647234,68278371,70831233,76100958,79916045,85366941,95049416,103529128,110981577,111505992,111614485,113314946,116959261,122602872,129118620,129731134
 "42000","Pennsylvania",2,CAINC5N,50,"..."," Wages and salaries","Thousands of dollars",201372357,204938525,210524511,220396880,228655218,240662261,253535070,260394631,254388682,259595661,269701053,279980544,285209188,296358169,308301978,312463998,324817742
 "42000","Pennsylvania",2,CAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",50558323,52487754,55005492,58595313,61872885,65195593,66907542,68007115,67070800,69787014,72392753,71439516,76052714,76092133,79165222,78503407,81883816
 "42000","Pennsylvania",2,CAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 6/","Thousands of dollars",34734278,36359130,38458347,41342031,43632747,46186552,47371297,47967516,47364867,49491172,51138234,49591864,53532485,52874323,55055837,54073230,56336308
 "42000","Pennsylvania",2,CAINC5N,62,"...","  Employer contributions for government social insurance","Thousands of dollars",15824045,16128624,16547145,17253282,18240138,19009041,19536245,20039599,19705933,20295842,21254519,21847652,22520229,23217810,24109385,24430177,25547508
 "42000","Pennsylvania",2,CAINC5N,70,"..."," Proprietors' income 7/","Thousands of dollars",32836117,34204761,36297243,43217499,44236123,40924110,42613765,41375419,37763956,46165014,50365927,55394895,60836179,63437720,63883643,66656243,71905661
 "42000","Pennsylvania",2,CAINC5N,71,"...","  Farm proprietors' income","Thousands of dollars",506024,26319,662912,974875,890581,603692,656894,739019,361775,763188,1277703,1379059,1628729,1933907,1053594,122919,569788
 "42000","Pennsylvania",2,CAINC5N,72,"...","  Nonfarm proprietors' income","Thousands of dollars",32330093,34178442,35634331,42242624,43345542,40320418,41956871,40636400,37402181,45401826,49088224,54015836,59207450,61503813,62830049,66533324,71335873
 "42000","Pennsylvania",2,CAINC5N,81,"111-112"," Farm earnings","Thousands of dollars",1011296,641320,1227649,1544377,1365027,1139432,1324170,1372661,952128,1342080,1778780,2054500,2304887,2619043,1665450,812522,1223875
 "42000","Pennsylvania",2,CAINC5N,82,"..."," Nonfarm earnings","Thousands of dollars",283755501,290989720,300599597,320665315,333399199,345642532,361732207,368404504,358271310,374205609,390680953,404760455,419793194,433268979,449685393,456811126,477383344
 "42000","Pennsylvania",2,CAINC5N,90,"113-814","  Private nonfarm earnings","Thousands of dollars",243819739,248632541,256026801,273413600,284933577,294913628,308907364,314041278,302762875,316870662,333954872,349377418,362165686,375107583,390479403,397244035,416417228
 "42000","Pennsylvania",2,CAINC5N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",510032,491490,501749,581941,606159,654100,498946,475628,467930,597894,562832,682334,698949,755707,842621,838790,821548
 "42000","Pennsylvania",2,CAINC5N,101,"113","    Forestry and logging","Thousands of dollars",(D),(D),(D),(D),257643,(D),(D),181909,167444,229247,225622,307299,323382,361527,416859,401553,374989
 "42000","Pennsylvania",2,CAINC5N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",(D),(D),(D),(D),2678,(D),(D),-1754,-2910,-434,123,793,123,-60,1092,1132,1260
 "42000","Pennsylvania",2,CAINC5N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",334476,325903,321109,356914,345838,386442,303566,295473,303396,369081,337087,374242,375444,394240,424670,436105,445299
 "42000","Pennsylvania",2,CAINC5N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",1544359,1498789,1716589,2175395,2678971,3082513,2651406,4319953,2806064,3276849,3917947,4021119,4476871,5113360,3383607,2208930,3022576
 "42000","Pennsylvania",2,CAINC5N,201,"211","    Oil and gas extraction","Thousands of dollars",466578,467246,678966,1001730,1327279,1606273,1196509,2819534,1434587,1596983,1512346,1408992,2135791,2580112,1256677,741458,1255513
 "42000","Pennsylvania",2,CAINC5N,202,"212","    Mining (except oil and gas)","Thousands of dollars",941668,884445,884729,988963,1141842,1212605,1133170,1091029,920289,884969,1054275,1051719,786923,698258,618758,593834,629263
 "42000","Pennsylvania",2,CAINC5N,203,"213","    Support activities for mining","Thousands of dollars",136113,147098,152894,184702,209850,263635,321727,409390,451188,794897,1351326,1560408,1554157,1834990,1508172,873638,1137800
 "42000","Pennsylvania",2,CAINC5N,300,"22","   Utilities","Thousands of dollars",3182408,3192117,2941597,2702627,2670519,2743013,2897950,3127126,2925046,2877758,3192856,3009841,3128908,3206441,3627781,3701885,3672416
 "42000","Pennsylvania",2,CAINC5N,400,"23","   Construction","Thousands of dollars",19119297,19761186,20229013,20379781,21131401,23162605,23163237,22072073,18572196,20663313,21615892,21931726,22731495,24723677,26087770,26660791,28933199
 "42000","Pennsylvania",2,CAINC5N,401,"236","    Construction of buildings","Thousands of dollars",5405358,5808086,5709401,5256400,5342151,6044094,6060660,5952390,3392479,4429265,4466949,3643120,4315552,5249955,6195073,6658385,7108584
 "42000","Pennsylvania",2,CAINC5N,402,"237","    Heavy and civil engineering construction","Thousands of dollars",1965040,1959208,2059223,2122031,2286681,2558974,2674696,2671042,2753388,2964476,3415371,3637030,3420840,3642340,3421285,3325810,4112975
 "42000","Pennsylvania",2,CAINC5N,403,"238","    Specialty trade contractors","Thousands of dollars",11748899,11993892,12460389,13001350,13502569,14559537,14427881,13448641,12426329,13269572,13733572,14651576,14995103,15831382,16471412,16676596,17711640
 "42000","Pennsylvania",2,CAINC5N,500,"31-33","   Manufacturing","Thousands of dollars",43596272,42092404,40743956,41545323,42924781,43777786,43632217,43785470,39475585,39801852,41053207,41946381,42672121,43739206,45323583,44203569,45930927
 "42000","Pennsylvania",2,CAINC5N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",26252342,25290205,24662621,25695505,26515977,27190713,27013319,27181735,23785276,23933250,25291104,25737940,25809692,26207093,26978337,26116839,27163186
 "42000","Pennsylvania",2,CAINC5N,511,"321","     Wood product manufacturing","Thousands of dollars",1200939,1249383,1300427,1343284,1378274,1351484,1275400,1198862,956535,965155,965300,989816,1140383,1232907,1349335,1405736,1431585
 "42000","Pennsylvania",2,CAINC5N,512,"327","     Nonmetallic mineral product manufacturing","Thousands of dollars",1724833,1705529,1745168,1697788,1828110,1662992,1662200,1580306,1278200,1266619,1313500,1339630,1275371,1289991,1342776,1332457,1369542
 "42000","Pennsylvania",2,CAINC5N,513,"331","     Primary metal manufacturing","Thousands of dollars",2747957,2546254,2430453,2643656,2731669,2967965,3117886,3255087,2604883,2770690,3081670,3089471,3032989,3032489,2988858,2830182,3040787
 "42000","Pennsylvania",2,CAINC5N,514,"332","     Fabricated metal product manufacturing","Thousands of dollars",4641478,4495069,4452010,4678186,4945792,5089102,5222852,5395501,4727489,4790194,5080957,5249945,5242136,5354503,5477580,5357776,5582021
 "42000","Pennsylvania",2,CAINC5N,515,"333","     Machinery manufacturing","Thousands of dollars",3849941,3566072,3313878,3396410,3652142,3762075,3824316,3878058,3359127,3302866,3584854,3717454,3748367,3816728,3877557,3583206,3801719
 "42000","Pennsylvania",2,CAINC5N,516,"334","     Computer and electronic product manufacturing","Thousands of dollars",3807585,3554066,3081590,2998234,3020603,3123834,2782550,2701616,2456517,2454714,2529528,2603009,2595424,2656993,2781918,2716884,2846920
 "42000","Pennsylvania",2,CAINC5N,517,"335","     Electrical equipment, appliance, and component manufacturing","Thousands of dollars",1667240,1544224,1546892,1690527,1734109,1807330,1874564,1927859,1847960,2013945,2135459,2188593,2284014,2341027,2395788,2440329,2535672
 "42000","Pennsylvania",2,CAINC5N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing","Thousands of dollars",(D),(D),1132331,1169986,1223900,1248892,1160336,1083201,(D),863318,1021067,1062110,(D),970341,1082645,(D),(D)
 "42000","Pennsylvania",2,CAINC5N,519,"3364-3369","     Other transportation equipment manufacturing","Thousands of dollars",(D),(D),1701801,1881515,1910616,2065247,2214118,2428731,(D),2285198,2490651,2510306,(D),2532990,2546016,(D),(D)
 "42000","Pennsylvania",2,CAINC5N,521,"337","     Furniture and related product manufacturing","Thousands of dollars",1119896,1074695,1047434,1073687,1043949,1085032,1086656,1056220,818177,777970,812187,839479,876157,911950,1010130,1028676,1033381
 "42000","Pennsylvania",2,CAINC5N,522,"339","     Miscellaneous manufacturing","Thousands of dollars",2558341,2707587,2910637,3122232,3046813,3026760,2792441,2676294,2543267,2442581,2275931,2148127,2061892,2067174,2125734,2140659,2188006
 "42000","Pennsylvania",2,CAINC5N,530,"311-316,322-326","    Nondurable goods manufacturing","Thousands of dollars",17343930,16802199,16081335,15849818,16408804,16587073,16618898,16603735,15690309,15868602,15762103,16208441,16862429,17532113,18345246,18086730,18767741
 "42000","Pennsylvania",2,CAINC5N,531,"311","     Food manufacturing","Thousands of dollars",3298725,3393566,3479225,3471828,3562756,3540484,3520282,3469648,3472837,3591292,3682489,3818376,3950762,4242925,4398143,4367714,4450078
 "42000","Pennsylvania",2,CAINC5N,532,"312","     Beverage and tobacco product manufacturing","Thousands of dollars",588134,537375,483944,434346,438869,406666,424872,416977,424974,470383,429621,453309,476831,553612,598577,609244,643374
 "42000","Pennsylvania",2,CAINC5N,533,"313","     Textile mills","Thousands of dollars",405425,353203,310819,283545,262294,242773,239861,223820,184025,191722,184333,191430,183001,199608,222847,208788,205954
 "42000","Pennsylvania",2,CAINC5N,534,"314","     Textile product mills","Thousands of dollars",361187,342854,325891,349000,303365,248913,249407,219229,187364,198631,201097,237307,194656,217960,194012,181645,172685
 "42000","Pennsylvania",2,CAINC5N,535,"315","     Apparel manufacturing","Thousands of dollars",733000,646255,574341,551820,504941,483010,396770,374690,319023,309608,283257,282594,236953,222260,204709,208145,182482
 "42000","Pennsylvania",2,CAINC5N,536,"316","     Leather and allied product manufacturing","Thousands of dollars",138083,107015,104820,77560,59615,57225,35609,30261,27800,32149,33841,40157,41190,40361,36572,34971,34171
