GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "45000","South Carolina",5,CAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",104652305,107527007,111166365,117506671,124488686,134578917,143317277,149235554,145609080,150451812,159091031,167538766,169973991,181107914,192879481,199941701,209179573
 "45000","South Carolina",5,CAINC5N,20,"...","Population (persons) 2/","Number of persons",4064995,4107795,4150297,4210921,4270150,4357847,4444110,4528996,4589872,4635834,4672744,4719009,4765862,4824758,4892423,4959822,5024369
 "45000","South Carolina",5,CAINC5N,30,"...","Per capita personal income (dollars)","Dollars",25745,26176,26785,27905,29153,30882,32249,32951,31724,32454,34047,35503,35665,37537,39424,40312,41633
 "45000","South Carolina",5,CAINC5N,35,"...","Earnings by place of work","Thousands of dollars",75459907,77336427,80545744,84509269,88706192,94347282,99022347,100597038,96258294,99174229,103938327,110349625,113709376,119778984,126949435,131154026,137637629
 "45000","South Carolina",5,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",8877254,9137510,9523945,10010483,10494482,11431896,11953274,12281593,11923305,12135921,11405627,11739040,13580884,14251464,15010515,15523172,16363344
 "45000","South Carolina",5,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",4563751,4701350,4876424,5167419,5470528,5954409,6294400,6460325,6299242,6435680,5282790,5481870,7174912,7559620,7989632,8363478,8877363
 "45000","South Carolina",5,CAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",4313503,4436160,4647521,4843064,5023954,5477487,5658874,5821268,5624063,5700241,6122837,6257170,6405972,6691844,7020883,7159694,7485981
 "45000","South Carolina",5,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",1519430,1556966,1591486,1674751,1869303,2142503,2514745,2598307,2585492,2527121,2563482,2852714,2955960,3105287,3443116,3904192,4143641
 "45000","South Carolina",5,CAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",68102083,69755883,72613285,76173537,80081013,85057889,89583818,90913752,86920481,89565429,95096182,101463299,103084452,108632807,115382036,119535046,125417926
 "45000","South Carolina",5,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",19305075,19045661,18871205,20046581,21522832,24763281,27379686,27939002,25110978,24529286,27246388,29158897,28963488,32251100,34741986,36138234,38115611
 "45000","South Carolina",5,CAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",17245147,18725463,19681875,21286553,22884841,24757747,26353773,30382800,33577621,36357097,36748461,36916570,37926051,40224007,42755459,44268421,45646036
 "45000","South Carolina",5,CAINC5N,50,"..."," Wages and salaries","Thousands of dollars",56519421,57693395,59693464,62832932,65939349,70159090,73797913,75235600,72109546,73323840,75894639,79010444,81454801,85446311,90467202,94287669,98905616
 "45000","South Carolina",5,CAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",12523254,13069314,14204950,14813601,15805153,16829037,18036411,19148366,18339574,18229064,19673724,19395595,20597783,21792311,22850072,22924433,23905369
 "45000","South Carolina",5,CAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 6/","Thousands of dollars",8209751,8633154,9557429,9970537,10781199,11351550,12377537,13327098,12715511,12528823,13550887,13138425,14191811,15100467,15829189,15764739,16419388
 "45000","South Carolina",5,CAINC5N,62,"...","  Employer contributions for government social insurance","Thousands of dollars",4313503,4436160,4647521,4843064,5023954,5477487,5658874,5821268,5624063,5700241,6122837,6257170,6405972,6691844,7020883,7159694,7485981
 "45000","South Carolina",5,CAINC5N,70,"..."," Proprietors' income 7/","Thousands of dollars",6417232,6573718,6647330,6862736,6961690,7359155,7188023,6213072,5809174,7621325,8369964,11943586,11656792,12540362,13632161,13941924,14826644
 "45000","South Carolina",5,CAINC5N,71,"...","  Farm proprietors' income","Thousands of dollars",479834,67987,389810,468265,487871,304602,124112,271672,319555,316452,218388,258425,562271,72956,-52827,5889,6174
 "45000","South Carolina",5,CAINC5N,72,"...","  Nonfarm proprietors' income","Thousands of dollars",5937398,6505731,6257520,6394471,6473819,7054553,7063911,5941400,5489619,7304873,8151576,11685161,11094521,12467406,13684988,13936035,14820470
 "45000","South Carolina",5,CAINC5N,81,"111-112"," Farm earnings","Thousands of dollars",650270,230575,524850,644191,641635,464000,307574,443033,489477,485064,364333,475758,741019,240617,151719,171154,174371
 "45000","South Carolina",5,CAINC5N,82,"..."," Nonfarm earnings","Thousands of dollars",74809637,77105852,80020894,83865078,88064557,93883282,98714773,100154005,95768817,98689165,103573994,109873867,112968357,119538367,126797716,130982872,137463258
 "45000","South Carolina",5,CAINC5N,90,"113-814","  Private nonfarm earnings","Thousands of dollars",60013090,61584720,63667406,66660813,69800368,74450006,78058548,78097126,73097366,75928833,80405521,86279614,88643982,94544524,100461448,104177715,109961894
 "45000","South Carolina",5,CAINC5N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",279804,269239,264129,279745,267303,299025,281464,263701,261096,281661,279600,296626,300561,344071,374693,394032,413118
 "45000","South Carolina",5,CAINC5N,101,"113","    Forestry and logging","Thousands of dollars",139614,141538,147526,168937,158212,165235,162500,153716,151360,168443,165078,171706,158630,179355,190698,198963,207835
 "45000","South Carolina",5,CAINC5N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",5517,4289,4558,205,-776,-708,-6868,-11801,-11293,-5054,-11054,-9434,-9678,-927,1435,3203,4454
 "45000","South Carolina",5,CAINC5N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",134673,123412,112045,110603,109867,134498,125832,121786,121029,118272,125576,134354,151609,165643,182560,191866,200829
 "45000","South Carolina",5,CAINC5N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",84817,82922,85839,90337,94757,101050,93712,102019,74408,78776,82343,78221,77249,80073,104027,122168,143699
 "45000","South Carolina",5,CAINC5N,201,"211","    Oil and gas extraction","Thousands of dollars",(D),(D),(D),(D),(D),(D),4462,(D),(D),(D),(D),(D),1815,(D),426,621,(D)
 "45000","South Carolina",5,CAINC5N,202,"212","    Mining (except oil and gas)","Thousands of dollars",83572,81675,84506,87197,87509,89810,86586,86230,66777,65825,68640,69980,69273,71024,85193,111178,125375
 "45000","South Carolina",5,CAINC5N,203,"213","    Support activities for mining","Thousands of dollars",(D),(D),(D),(D),(D),(D),2664,(D),(D),(D),(D),(D),6161,(D),18408,10369,(D)
 "45000","South Carolina",5,CAINC5N,300,"22","   Utilities","Thousands of dollars",953260,960462,993010,1059536,1047827,1210411,1173787,1279652,1297450,1323167,1377371,1319860,1437345,1508504,1564859,1640538,1629340
 "45000","South Carolina",5,CAINC5N,400,"23","   Construction","Thousands of dollars",5270855,5349804,5688818,6418509,6614817,7342507,7427149,6789787,5612675,5213056,5144649,5782858,6228464,6905535,7437069,8190213,9275997
 "45000","South Carolina",5,CAINC5N,401,"236","    Construction of buildings","Thousands of dollars",1350844,1434162,1550473,1972195,2197817,2447235,2443388,2208925,1786116,1413112,1302978,1596110,1828659,2081076,2311532,2498833,2759673
 "45000","South Carolina",5,CAINC5N,402,"237","    Heavy and civil engineering construction","Thousands of dollars",682344,714353,746351,867245,920911,982629,997223,860764,662407,630412,609832,675382,686967,768665,841819,1022086,1382118
 "45000","South Carolina",5,CAINC5N,403,"238","    Specialty trade contractors","Thousands of dollars",3237667,3201289,3391994,3579069,3496089,3912643,3986538,3720098,3164152,3169532,3231839,3511366,3712838,4055794,4283718,4669294,5134206
