GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "46000","South Dakota",4,CAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",20982544,21003482,22919639,24593233,26055070,27503880,30539774,32632754,31681752,33512286,36635975,37522187,37990711,39823286,41550298,41788577,42455313
 "46000","South Dakota",4,CAINC5N,20,"...","Population (persons) 2/","Number of persons",757972,760020,763729,770396,775493,783033,791623,799124,807067,816227,823338,832576,842513,849455,854036,861542,869666
 "46000","South Dakota",4,CAINC5N,30,"...","Per capita personal income (dollars)","Dollars",27682,27635,30010,31923,33598,35125,38579,40836,39255,41058,44497,45068,45092,46881,48652,48504,48818
 "46000","South Dakota",4,CAINC5N,35,"...","Earnings by place of work","Thousands of dollars",14921574,14925146,16572195,17980681,18899970,19480463,21510188,22655888,22159526,23556531,25856056,26079584,27205101,28055271,28894677,28725275,28865802
 "46000","South Dakota",4,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",1617184,1677458,1753910,1847355,1937412,2081327,2214162,2321764,2317618,2427065,2225056,2328351,2684596,2842162,2946579,3034419,3123663
 "46000","South Dakota",4,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",878499,910913,959185,1010166,1067597,1147660,1224697,1279895,1277481,1310840,1096755,1145649,1474394,1566622,1635631,1679058,1724098
 "46000","South Dakota",4,CAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",738685,766545,794725,837189,869815,933667,989465,1041869,1040137,1116225,1128301,1182702,1210202,1275540,1310948,1355361,1399565
 "46000","South Dakota",4,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",-264747,-236732,-225216,-220982,-171335,-141308,-139451,-103518,-68843,-71299,-113017,-72008,-38565,-21898,-21843,-57631,-125345
 "46000","South Dakota",4,CAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",13039643,13010956,14593069,15912344,16791223,17257828,19156575,20230606,19773065,21058167,23517983,23679225,24481940,25191211,25926255,25633225,25616794
 "46000","South Dakota",4,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",5069170,4927330,5161934,5343401,5690502,6364448,7222081,7667565,6930479,7075954,7647547,8367087,7903006,8790552,9538350,9812246,10302422
 "46000","South Dakota",4,CAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",2873731,3065196,3164636,3337488,3573345,3881604,4161118,4734583,4978208,5378165,5470445,5475875,5605765,5841523,6085693,6343106,6536097
 "46000","South Dakota",4,CAINC5N,50,"..."," Wages and salaries","Thousands of dollars",10013729,10340108,10719482,11318653,11812080,12487547,13348539,14043928,13943470,14346751,14949889,15753600,16135987,17000280,17729978,18343062,19002748
 "46000","South Dakota",4,CAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",2172836,2356176,2555977,2708745,2885279,2898527,3108019,3275199,3264010,3503647,3728740,3729336,3813559,4146407,4326452,4391842,4565643
 "46000","South Dakota",4,CAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 6/","Thousands of dollars",1434151,1589631,1761252,1871556,2015464,1964860,2118554,2233330,2223873,2387422,2600439,2546634,2603357,2870867,3015504,3036481,3166078
 "46000","South Dakota",4,CAINC5N,62,"...","  Employer contributions for government social insurance","Thousands of dollars",738685,766545,794725,837189,869815,933667,989465,1041869,1040137,1116225,1128301,1182702,1210202,1275540,1310948,1355361,1399565
 "46000","South Dakota",4,CAINC5N,70,"..."," Proprietors' income 7/","Thousands of dollars",2735009,2228862,3296736,3953283,4202611,4094389,5053630,5336761,4952046,5706133,7177427,6596648,7255555,6908584,6838247,5990371,5297411
 "46000","South Dakota",4,CAINC5N,71,"...","  Farm proprietors' income","Thousands of dollars",1001248,364683,1380013,1689662,1401005,466337,1528456,1989344,1574913,1500970,3428572,2171558,3129279,2070922,1476896,891775,675788
 "46000","South Dakota",4,CAINC5N,72,"...","  Nonfarm proprietors' income","Thousands of dollars",1733761,1864179,1916723,2263621,2801606,3628052,3525174,3347417,3377133,4205163,3748855,4425090,4126276,4837662,5361351,5098596,4621623
 "46000","South Dakota",4,CAINC5N,81,"111-112"," Farm earnings","Thousands of dollars",1153245,505586,1493318,1856457,1568264,629310,1772165,2258619,1773195,1703285,3647494,2505197,3415879,2364296,1665029,1096754,894089
 "46000","South Dakota",4,CAINC5N,82,"..."," Nonfarm earnings","Thousands of dollars",13768329,14419560,15078877,16124224,17331706,18851153,19738023,20397269,20386331,21853246,22208562,23574387,23789222,25690975,27229648,27628521,27971713
 "46000","South Dakota",4,CAINC5N,90,"113-814","  Private nonfarm earnings","Thousands of dollars",11137740,11632199,12099791,12962644,14053430,15456748,16185378,16642143,16444901,17745611,18061594,19492315,19612781,21308664,22756738,22971542,23126360
 "46000","South Dakota",4,CAINC5N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",79630,76837,76345,86050,91172,100634,88186,90612,101382,153239,136434,155918,153979,168278,197201,196679,188428
