GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "47000","Tennessee",5,CAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",159459938,164012570,170680041,180733335,188857550,201170663,211070970,218783305,217319201,227763359,241769012,254405967,256705809,267989304,282149885,292119668,305690612
 "47000","Tennessee",5,CAINC5N,20,"...","Population (persons) 2/","Number of persons",5750789,5795918,5847812,5910809,5991057,6088766,6175727,6247411,6306019,6355882,6396281,6450632,6490795,6540007,6590726,6649404,6715984
 "47000","Tennessee",5,CAINC5N,30,"...","Per capita personal income (dollars)","Dollars",27728,28298,29187,30577,31523,33040,34178,35020,34462,35835,37798,39439,39549,40977,42810,43932,45517
 "47000","Tennessee",5,CAINC5N,35,"...","Earnings by place of work","Thousands of dollars",124037951,128553375,133545969,142097921,147634582,156155731,160574890,162062976,159122867,164567866,173600576,183863459,188638547,196869308,206789769,215030624,226082463
 "47000","Tennessee",5,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",13336813,13951719,14455489,15256754,15888777,16747649,17528759,17985573,17638661,17983394,16677575,17198836,19853377,20603265,21655615,22461816,23733660
 "47000","Tennessee",5,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",7040087,7378828,7618897,8093325,8562412,9161142,9646179,9866359,9583638,9773522,8132833,8380803,10957551,11572341,12143384,12675167,13438465
 "47000","Tennessee",5,CAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",6296726,6572891,6836592,7163429,7326365,7586507,7882580,8119214,8055023,8209872,8544742,8818033,8895826,9030924,9512231,9786649,10295195
 "47000","Tennessee",5,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",-1563074,-1548337,-1555383,-1639356,-1454069,-1382024,-1482005,-1383193,-968162,-746817,-759518,-1072824,-1241368,-1199897,-1322645,-1765286,-1913510
 "47000","Tennessee",5,CAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",109138064,113053319,117535097,125201811,130291736,138026058,141564126,142694210,140516044,145837655,156163483,165591799,167543802,175066146,183811509,190803522,200435293
 "47000","Tennessee",5,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",25031603,23833341,24353602,24907713,25801786,28546392,31466859,33317449,30783260,31515178,34219352,36925580,35734405,38594005,41157940,42754569,45009468
 "47000","Tennessee",5,CAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",25290271,27125910,28791342,30623811,32764028,34598213,38039985,42771646,46019897,50410526,51386177,51888588,53427602,54329153,57180436,58561577,60245851
 "47000","Tennessee",5,CAINC5N,50,"..."," Wages and salaries","Thousands of dollars",86150248,88371883,91357612,96727527,100725381,107003912,111984284,113679172,107955297,111157095,115350719,121832599,124031573,129820265,137409863,142629980,148899397
 "47000","Tennessee",5,CAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",18906719,19859202,21520445,23024518,24191086,24120489,25358034,26295282,25280617,25200495,26346792,28777542,29511672,29463613,30170716,32241232,33768533
 "47000","Tennessee",5,CAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 6/","Thousands of dollars",12609993,13286311,14683853,15861089,16864721,16533982,17475454,18176068,17225594,16990623,17802050,19959509,20615846,20432689,20658485,22454583,23473338
 "47000","Tennessee",5,CAINC5N,62,"...","  Employer contributions for government social insurance","Thousands of dollars",6296726,6572891,6836592,7163429,7326365,7586507,7882580,8119214,8055023,8209872,8544742,8818033,8895826,9030924,9512231,9786649,10295195
 "47000","Tennessee",5,CAINC5N,70,"..."," Proprietors' income 7/","Thousands of dollars",18980984,20322290,20667912,22345876,22718115,25031330,23232572,22088522,25886953,28210276,31903065,33253318,35095302,37585430,39209190,40159412,43414533
 "47000","Tennessee",5,CAINC5N,71,"...","  Farm proprietors' income","Thousands of dollars",296639,-102623,-13681,174017,374107,84273,-341302,17101,102126,-88644,337029,96098,775519,130032,15488,-352595,-316515
 "47000","Tennessee",5,CAINC5N,72,"...","  Nonfarm proprietors' income","Thousands of dollars",18684345,20424913,20681593,22171859,22344008,24947057,23573874,22071421,25784827,28298920,31566036,33157220,34319783,37455398,39193702,40512007,43731048
 "47000","Tennessee",5,CAINC5N,81,"111-112"," Farm earnings","Thousands of dollars",460652,90345,202140,388870,549382,280766,-104854,241708,315645,113110,512974,339372,1021268,392525,237010,-107809,-82152
 "47000","Tennessee",5,CAINC5N,82,"..."," Nonfarm earnings","Thousands of dollars",123577299,128463030,133343829,141709051,147085200,155874965,160679744,161821268,158807222,164454756,173087602,183524087,187617279,196476783,206552759,215138433,226164615
 "47000","Tennessee",5,CAINC5N,90,"113-814","  Private nonfarm earnings","Thousands of dollars",106761169,110435937,114137774,121240757,125896291,133930093,137704692,137864564,134376013,139699193,147383582,157122425,160990871,169024230,178942848,187038934,197023096
 "47000","Tennessee",5,CAINC5N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",1631428,1568098,1285908,1014646,841326,1307389,1075055,819335,364679,196305,219637,246132,243331,265423,261218,345662,363780
 "47000","Tennessee",5,CAINC5N,101,"113","    Forestry and logging","Thousands of dollars",(D),1423510,(D),849484,677975,1126112,934139,688924,238205,36358,73333,76526,74005,87304,75951,157122,170212
 "47000","Tennessee",5,CAINC5N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",(D),219,(D),-1426,-2585,-2190,-5353,-6381,-8048,-4284,-5670,-4173,-4262,-4090,-2702,-2911,-2967
 "47000","Tennessee",5,CAINC5N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",148748,144369,150877,166588,165936,183467,146269,136792,134522,164231,151974,173779,173588,182209,187969,191451,196535
