GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "00000","United States", ,CAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",9001839000,9155663000,9480901000,10028781000,10593946000,11372589000,12002204000,12438527000,12051307000,12541995000,13315478000,13998383000,14175503000,14983140000,15711634000,16115630000,16820250000
 "00000","United States", ,CAINC5N,20,"...","Population (persons) 2/","Number of persons",284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309338421,311644280,313993272,316234505,318622525,321039839,323405935,325719178
 "00000","United States", ,CAINC5N,30,"...","Per capita personal income (dollars)","Dollars",31589,31832,32681,34251,35849,38114,39844,40904,39284,40545,42727,44582,44826,47025,48940,49831,51640
 "00000","United States", ,CAINC5N,35,"...","Earnings by place of work","Thousands of dollars",6865291000,7001130000,7243665000,7675133000,8039648000,8519777000,8866784000,9013458000,8688446000,9023198000,9443528000,9901882000,10231478000,10686606000,11110111000,11365731000,11897410000
 "00000","United States", ,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",732117000,750339000,777956000,827824000,871945000,921128000,960003000,986875000,962827000,982045000,915062000,948953000,1102460000,1151948000,1203451000,1237916000,1296599000
 "00000","United States", ,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",374669000,384873000,396099000,419781000,444590000,474527000,499026000,516191000,505515000,513895000,423231000,436562000,577062000,606169000,634705000,657537000,692322000
 "00000","United States", ,CAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",357448000,365466000,381857000,408043000,427355000,446601000,460977000,470684000,457312000,468150000,491831000,512391000,525398000,545779000,568746000,580379000,604277000
 "00000","United States", ,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",2692000,2657000,2679000,2659000,2614000,2617000,2596000,2649000,3019000,3068000,3201000,3411000,3651000,3438000,3403000,3198000,2935000
 "00000","United States", ,CAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",6135866000,6253448000,6468388000,6849968000,7170317000,7601266000,7909377000,8029232000,7728638000,8044221000,8531667000,8956340000,9132669000,9538096000,9910063000,10131013000,10603746000
 "00000","United States", ,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",1673408000,1617025000,1665285000,1757607000,1906918000,2157509000,2364762000,2454213000,2175976000,2172657000,2425157000,2679055000,2618537000,2904750000,3118571000,3206592000,3356872000
 "00000","United States", ,CAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",1192565000,1285190000,1347228000,1421206000,1516711000,1613814000,1728065000,1955082000,2146693000,2325117000,2358654000,2362988000,2424297000,2540294000,2683000000,2778025000,2859632000
 "00000","United States", ,CAINC5N,50,"..."," Wages and salaries","Thousands of dollars",4950126000,4992622000,5133728000,5416803000,5688398000,6051357000,6392832000,6531099000,6241491000,6363368000,6615753000,6918166000,7104786000,7465683000,7847651000,8074480000,8447954000
 "00000","United States", ,CAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",1081914000,1136091000,1210736000,1293698000,1369719000,1417923000,1477079000,1517532000,1504178000,1546444000,1592949000,1632251000,1714292000,1768075000,1835764000,1868602000,1946372000
 "00000","United States", ,CAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 6/","Thousands of dollars",724466000,770625000,828879000,885655000,942364000,971322000,1016102000,1046848000,1046866000,1078294000,1101118000,1119860000,1188894000,1222296000,1267018000,1288223000,1342095000
 "00000","United States", ,CAINC5N,62,"...","  Employer contributions for government social insurance","Thousands of dollars",357448000,365466000,381857000,408043000,427355000,446601000,460977000,470684000,457312000,468150000,491831000,512391000,525398000,545779000,568746000,580379000,604277000
 "00000","United States", ,CAINC5N,70,"..."," Proprietors' income 7/","Thousands of dollars",833251000,872417000,899201000,964632000,981531000,1050497000,996873000,964827000,942777000,1113386000,1234826000,1351465000,1412400000,1452848000,1426696000,1422649000,1503084000
