GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "49000","Utah",7,CAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",57414084,59048775,61152585,65206580,71386870,79437884,86368525,90567138,86896455,89346024,96312302,103227839,106612905,113230001,121876444,128407025,134803819
 "49000","Utah",7,CAINC5N,20,"...","Population (persons) 2/","Number of persons",2283715,2324815,2360137,2401580,2457719,2525507,2597746,2663029,2723421,2775260,2815430,2854222,2899961,2938671,2984917,3044321,3101833
 "49000","Utah",7,CAINC5N,30,"...","Per capita personal income (dollars)","Dollars",25141,25399,25911,27152,29046,31454,33247,34009,31907,32194,34209,36167,36764,38531,40831,42179,43459
 "49000","Utah",7,CAINC5N,35,"...","Earnings by place of work","Thousands of dollars",45587013,46607033,48158211,51876141,56032742,62659662,67274886,68550328,65579661,66942000,71059544,76464478,80397306,84826510,90342679,95406502,100694606
 "49000","Utah",7,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",5291643,5426809,5651106,6128272,6638718,7281619,7829310,8021946,7768344,7863091,7463861,7853910,9301952,9794617,10237961,10796355,11601429
 "49000","Utah",7,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",2636880,2699852,2771203,2978408,3221142,3574376,3914432,4013317,3928393,4006173,3270612,3440013,4668526,4943539,5208452,5530566,5966252
 "49000","Utah",7,CAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",2654763,2726957,2879903,3149864,3417576,3707243,3914878,4008629,3839951,3856918,4193249,4413897,4633426,4851078,5029509,5265789,5635177
 "49000","Utah",7,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",-216,-2433,956,1675,14979,19274,15625,33392,7019,946,-1393,16092,27227,33346,9474,-30860,-37742
 "49000","Utah",7,CAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",40295154,41177791,42508061,45749544,49409003,55397317,59461201,60561774,57818336,59079855,63594290,68626660,71122581,75065239,80114192,84579287,89055435
 "49000","Utah",7,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",11087704,11269790,11619174,12018031,13868026,15229850,17305528,18791178,16668573,16499606,18498092,20490436,20899766,23123736,25836859,26990614,28356313
 "49000","Utah",7,CAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",6031226,6601194,7025350,7439005,8109841,8810717,9601796,11214186,12409546,13766563,14219920,14110743,14590558,15041026,15925393,16837124,17392071
 "49000","Utah",7,CAINC5N,50,"..."," Wages and salaries","Thousands of dollars",34266548,34841351,35682709,38109151,40870280,45069706,49200072,50592034,48863474,49604354,51946746,55084989,57349385,60566022,64629735,68288061,72320628
 "49000","Utah",7,CAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",7669638,7957267,8445775,9292508,10130620,11319316,12044872,12472520,12138899,12178107,13179342,13326083,14591270,14844213,15449845,16754224,17691643
 "49000","Utah",7,CAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 6/","Thousands of dollars",5014875,5230310,5565872,6142644,6713044,7612073,8129994,8463891,8298948,8321189,8986093,8912186,9957844,9993135,10420336,11488435,12056466
 "49000","Utah",7,CAINC5N,62,"...","  Employer contributions for government social insurance","Thousands of dollars",2654763,2726957,2879903,3149864,3417576,3707243,3914878,4008629,3839951,3856918,4193249,4413897,4633426,4851078,5029509,5265789,5635177
 "49000","Utah",7,CAINC5N,70,"..."," Proprietors' income 7/","Thousands of dollars",3650827,3808415,4029727,4474482,5031842,6270640,6029942,5485774,4577288,5159539,5933456,8053406,8456651,9416275,10263099,10364217,10682335
 "49000","Utah",7,CAINC5N,71,"...","  Farm proprietors' income","Thousands of dollars",191845,59383,85271,166066,107874,-10372,-2696,8452,-90636,41426,190090,130624,309576,398462,414605,125719,119776
 "49000","Utah",7,CAINC5N,72,"...","  Nonfarm proprietors' income","Thousands of dollars",3458982,3749032,3944456,4308416,4923968,6281012,6032638,5477322,4667924,5118113,5743366,7922782,8147075,9017813,9848494,10238498,10562559
 "49000","Utah",7,CAINC5N,81,"111-112"," Farm earnings","Thousands of dollars",317352,201178,214683,308019,269587,148787,188342,191814,108704,216380,362603,329471,534839,615268,597699,338436,342747
 "49000","Utah",7,CAINC5N,82,"..."," Nonfarm earnings","Thousands of dollars",45269661,46405855,47943528,51568122,55763155,62510875,67086544,68358514,65470957,66725620,70696941,76135007,79862467,84211242,89744980,95068066,100351859
 "49000","Utah",7,CAINC5N,90,"113-814","  Private nonfarm earnings","Thousands of dollars",36632211,37175871,38245410,41259200,44887322,51055532,55033410,55740375,52407125,53142261,56775208,62290799,65804282,69627679,74739846,79442358,84049048
 "49000","Utah",7,CAINC5N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",87941,80942,59266,29512,30758,42388,49671,44118,43991,43376,44140,51656,66091,69719,72779,79894,84485
 "49000","Utah",7,CAINC5N,101,"113","    Forestry and logging","Thousands of dollars",2371,1997,1742,1712,1890,1708,2362,2348,2004,3691,2101,3390,(D),3309,(D),3795,(D)
 "49000","Utah",7,CAINC5N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",8144,4521,4373,2250,3458,6423,9236,9247,8057,7236,7780,9949,(D),15718,(D),21283,(D)
 "49000","Utah",7,CAINC5N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",77426,74424,53151,25550,25410,34257,38073,32523,33930,32449,34259,38317,49215,50692,51049,54816,61447
 "49000","Utah",7,CAINC5N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",460978,422752,412410,452938,532250,702487,765578,868177,656058,767242,1046357,1136237,1062139,1045000,864117,677740,649195
 "49000","Utah",7,CAINC5N,201,"211","    Oil and gas extraction","Thousands of dollars",31284,25820,42559,59813,73080,114865,113040,156735,135556,193965,256505,292861,292378,321824,257471,220162,179438
 "49000","Utah",7,CAINC5N,202,"212","    Mining (except oil and gas)","Thousands of dollars",301909,281967,250225,230557,226531,240692,220326,209954,244503,290729,383453,319587,251888,224913,228840,173464,165689
 "49000","Utah",7,CAINC5N,203,"213","    Support activities for mining","Thousands of dollars",127785,114965,119626,162568,232639,346930,432212,501488,275999,282548,406399,523789,517873,498263,377806,284114,304068
 "49000","Utah",7,CAINC5N,300,"22","   Utilities","Thousands of dollars",401215,433650,332985,353992,369448,438110,414028,469824,464349,481093,491620,464158,496921,538682,600087,581721,615075
 "49000","Utah",7,CAINC5N,400,"23","   Construction","Thousands of dollars",3376471,3306375,3413777,3808439,4381678,5512184,6169930,5488003,4258021,4316007,4356314,5222868,5520216,6321310,6911260,7497605,8207988
 "49000","Utah",7,CAINC5N,401,"236","    Construction of buildings","Thousands of dollars",769747,746265,825781,1003013,1168819,1458396,1642300,1422865,901651,975811,919316,1467451,1579940,1932563,2127605,2238653,2411058
 "49000","Utah",7,CAINC5N,402,"237","    Heavy and civil engineering construction","Thousands of dollars",493550,524254,459192,494489,532617,675676,802309,719559,605628,655822,686924,671374,667661,685381,711046,731857,835564
 "49000","Utah",7,CAINC5N,403,"238","    Specialty trade contractors","Thousands of dollars",2113174,2035856,2128804,2310937,2680242,3378112,3725321,3345579,2750742,2684374,2750074,3084043,3272615,3703366,4072609,4527095,4961366
 "49000","Utah",7,CAINC5N,500,"31-33","   Manufacturing","Thousands of dollars",5598803,5390351,5625002,6009361,6272513,6822472,7411672,7786818,7092373,7223853,7585051,8050313,8440656,8594497,9107509,9335841,9704020
 "49000","Utah",7,CAINC5N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",3986636,3741135,3897479,4190110,4429612,4860870,5355552,5587931,4954441,4999583,5248185,5595191,5868875,5866153,6212748,6316113,6628842
 "49000","Utah",7,CAINC5N,511,"321","     Wood product manufacturing","Thousands of dollars",76593,75760,87594,93277,110408,137212,168316,147563,82583,(D),(D),75207,84657,96750,107083,114468,122915
 "49000","Utah",7,CAINC5N,512,"327","     Nonmetallic mineral product manufacturing","Thousands of dollars",213241,199526,209594,227712,259177,312163,362194,340651,270450,250993,270741,286849,299822,324977,326687,337193,384048
 "49000","Utah",7,CAINC5N,513,"331","     Primary metal manufacturing","Thousands of dollars",291591,202866,189310,205306,221809,248135,270818,323161,256873,281461,325157,353847,356957,345009,353994,340482,343053
 "49000","Utah",7,CAINC5N,514,"332","     Fabricated metal product manufacturing","Thousands of dollars",482368,474530,473835,513611,565860,627742,654895,696617,641227,632326,662765,735141,767395,795270,849553,891712,932015
 "49000","Utah",7,CAINC5N,515,"333","     Machinery manufacturing","Thousands of dollars",303379,285958,276909,278465,313618,342390,372300,399018,372942,364489,381735,381058,392376,404903,415007,414839,449920
 "49000","Utah",7,CAINC5N,516,"334","     Computer and electronic product manufacturing","Thousands of dollars",852633,700500,680547,715548,732559,813170,982868,1084024,993491,1129451,1194652,1293834,1288177,1196713,1257471,1297965,1275645
