GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "50000","Vermont",1,CAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",18692893,19073448,19812931,20964716,21467309,22941000,24192016,25368864,24990365,25787140,27350297,28303845,28691965,29807664,30865467,31571775,32570355
 "50000","Vermont",1,CAINC5N,20,"...","Population (persons) 2/","Number of persons",612223,615442,617858,619920,621215,622892,623481,624151,624817,625842,626210,625606,626044,625665,624455,623354,623657
 "50000","Vermont",1,CAINC5N,30,"...","Per capita personal income (dollars)","Dollars",30533,30991,32067,33818,34557,36830,38802,40645,39996,41204,43676,45242,45831,47642,49428,50648,52225
 "50000","Vermont",1,CAINC5N,35,"...","Earnings by place of work","Thousands of dollars",13506631,13971295,14469288,15317204,15791446,16277784,16831673,17361758,17133318,17817857,18605396,19110941,19530518,19851491,20342324,20836605,21600803
 "50000","Vermont",1,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",1522650,1552415,1620412,1709047,1795068,1884137,1991102,2054387,2032121,2065371,1930846,2005007,2326198,2428850,2523984,2587756,2701031
 "50000","Vermont",1,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",800736,825058,862799,914678,966939,1021605,1086376,1110198,1094693,1102905,911069,926197,1216167,1279500,1326353,1368758,1437405
 "50000","Vermont",1,CAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",721914,727357,757613,794369,828129,862532,904726,944189,937428,962466,1019777,1078810,1110031,1149350,1197631,1218998,1263626
 "50000","Vermont",1,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",236785,234822,251074,237467,249710,281370,291302,285510,331562,330181,305269,312528,337688,371414,372134,345497,356400
 "50000","Vermont",1,CAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",12220766,12653702,13099950,13845624,14246088,14675017,15131873,15592881,15432759,16082667,16979819,17418462,17542008,17794055,18190474,18594346,19256172
 "50000","Vermont",1,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",3799508,3564083,3723623,3996458,3820769,4486295,4879677,5115459,4499163,4356949,4973462,5360687,5353717,5968760,6325719,6503210,6751730
 "50000","Vermont",1,CAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",2672619,2855663,2989358,3122634,3400452,3779688,4180466,4660524,5058443,5347524,5397016,5524696,5796240,6044849,6349274,6474219,6562453
 "50000","Vermont",1,CAINC5N,50,"..."," Wages and salaries","Thousands of dollars",9346529,9560835,9874915,10383207,10724221,11224789,11667476,12070620,11805583,12021119,12366148,12791254,13198847,13641608,14105477,14437705,14846036
 "50000","Vermont",1,CAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",2205641,2371979,2559516,2751492,2917527,2862685,3022675,3172357,3037688,3086166,3396619,3412081,3575305,3455472,3701387,3886865,4032999
 "50000","Vermont",1,CAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 6/","Thousands of dollars",1483727,1644622,1801903,1957123,2089398,2000153,2117949,2228168,2100260,2123700,2376842,2333271,2465274,2306122,2503756,2667867,2769373
 "50000","Vermont",1,CAINC5N,62,"...","  Employer contributions for government social insurance","Thousands of dollars",721914,727357,757613,794369,828129,862532,904726,944189,937428,962466,1019777,1078810,1110031,1149350,1197631,1218998,1263626
 "50000","Vermont",1,CAINC5N,70,"..."," Proprietors' income 7/","Thousands of dollars",1954461,2038481,2034857,2182505,2149698,2190310,2141522,2118781,2290047,2710572,2842629,2907606,2756366,2754411,2535460,2512035,2721768
 "50000","Vermont",1,CAINC5N,71,"...","  Farm proprietors' income","Thousands of dollars",80871,27907,67877,117287,136218,52546,139699,150409,50561,122431,201759,160155,197596,252345,130508,102613,101729
 "50000","Vermont",1,CAINC5N,72,"...","  Nonfarm proprietors' income","Thousands of dollars",1873590,2010574,1966980,2065218,2013480,2137764,2001823,1968372,2239486,2588141,2640870,2747451,2558770,2502066,2404952,2409422,2620039
 "50000","Vermont",1,CAINC5N,81,"111-112"," Farm earnings","Thousands of dollars",149200,115144,146333,193933,198163,121158,221012,228298,124828,192910,262224,255033,294840,355627,217350,199865,193591
 "50000","Vermont",1,CAINC5N,82,"..."," Nonfarm earnings","Thousands of dollars",13357431,13856151,14322955,15123271,15593283,16156626,16610661,17133460,17008490,17624947,18343172,18855908,19235678,19495864,20124974,20636740,21407212
 "50000","Vermont",1,CAINC5N,90,"113-814","  Private nonfarm earnings","Thousands of dollars",11208619,11552516,11812500,12413307,12739587,13174173,13533390,13905867,13711542,14256724,14824861,15386884,15583531,15808021,16271538,16710848,17371607
 "50000","Vermont",1,CAINC5N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",67737,66190,59078,66419,70615,82509,61519,58359,58545,76269,73066,83501,82382,85896,90073,82486,78139
 "50000","Vermont",1,CAINC5N,101,"113","    Forestry and logging","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),46453,50201,43140,35431
 "50000","Vermont",1,CAINC5N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),121,35,96,101
 "50000","Vermont",1,CAINC5N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",36812,36289,34270,35448,34165,38013,31149,30647,33694,40943,39714,39493,(D),39322,39837,39250,42607
 "50000","Vermont",1,CAINC5N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",42378,40412,41488,40119,38177,54619,56152,52958,45783,42026,45420,47171,47229,45539,48727,50388,51000
 "50000","Vermont",1,CAINC5N,201,"211","    Oil and gas extraction","Thousands of dollars",-294,-282,-103,-13,476,605,638,1562,969,983,2472,1630,2935,3324,1517,476,587
