GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "53000","Washington",8,CAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",199075219,202861517,210864222,225994043,235226474,256517351,278655913,292344351,279037778,286732273,303939314,328949369,335890860,362951551,384651032,404232131,428765189
 "53000","Washington",8,CAINC5N,20,"...","Population (persons) 2/","Number of persons",5985722,6052349,6104115,6178645,6257305,6370753,6461587,6562231,6667426,6741386,6819155,6890899,6963410,7046931,7152818,7280934,7405743
 "53000","Washington",8,CAINC5N,30,"...","Per capita personal income (dollars)","Dollars",33258,33518,34545,36577,37592,40265,43125,44550,41851,42533,44571,47737,48237,51505,53776,55519,57896
 "53000","Washington",8,CAINC5N,35,"...","Earnings by place of work","Thousands of dollars",151171177,154082255,159192224,167586198,177030600,190045639,202951712,208009947,198666333,204073035,213737556,229958485,241117790,254020292,268027578,282111670,302353678
 "53000","Washington",8,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",18148607,18542781,19320398,20549909,21864184,23187134,24437534,25047004,24818219,25467946,23940496,24700218,28901382,30404661,32098439,33509052,36006799
 "53000","Washington",8,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",8318550,8579845,8832430,9296057,9953241,10820592,11591170,12067283,11882024,11983758,9814827,10239055,13812426,14532010,15411487,16242863,17619221
 "53000","Washington",8,CAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",9830057,9962936,10487968,11253852,11910943,12366542,12846364,12979721,12936195,13484188,14125669,14461163,15088956,15872651,16686952,17266189,18387578
 "53000","Washington",8,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",2375974,2432446,2568234,2767428,3034985,3441882,3665107,3681602,3394079,3240932,3524946,3609326,3581822,3536601,3888164,4189713,4301285
 "53000","Washington",8,CAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",135398544,137971920,142440060,149803717,158201401,170300387,182179285,186644545,177242193,181846021,193322006,208867593,215798230,227152232,239817303,252792331,270648164
 "53000","Washington",8,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",38559722,38177921,40456314,47783741,46928049,53914177,61482649,65408790,56351014,54707529,60669550,70035951,69147383,80173791,88216290,91551413,96125336
 "53000","Washington",8,CAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",25116953,26711676,27967848,28406585,30097024,32302787,34993979,40291016,45444571,50178723,49947758,50045825,50945247,55625528,56617439,59888387,61991689
 "53000","Washington",8,CAINC5N,50,"..."," Wages and salaries","Thousands of dollars",109689454,110407044,113059655,118023256,124549434,134860718,145294740,150208877,146272992,147847152,154774865,164083020,170544444,181558891,191620450,203299728,218077096
 "53000","Washington",8,CAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",24576837,25318438,27038815,29444748,31316744,32058649,34758492,36982726,36261880,38248955,38213880,39512441,41505009,42884750,43936770,46393165,48686853
 "53000","Washington",8,CAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 6/","Thousands of dollars",14746780,15355502,16550847,18190896,19405801,19692107,21912128,24003005,23325685,24764767,24088211,25051278,26416053,27012099,27249818,29126976,30299275
 "53000","Washington",8,CAINC5N,62,"...","  Employer contributions for government social insurance","Thousands of dollars",9830057,9962936,10487968,11253852,11910943,12366542,12846364,12979721,12936195,13484188,14125669,14461163,15088956,15872651,16686952,17266189,18387578
 "53000","Washington",8,CAINC5N,70,"..."," Proprietors' income 7/","Thousands of dollars",16904886,18356773,19093754,20118194,21164422,23126272,22898480,20818344,16131461,17976928,20748811,26363024,29068337,29576651,32470358,32418777,35589729
 "53000","Washington",8,CAINC5N,71,"...","  Farm proprietors' income","Thousands of dollars",399419,559182,1057027,1017135,561900,562827,1015633,601659,668808,1055825,1862962,1515664,1730438,1440606,2982002,2015868,1922227
 "53000","Washington",8,CAINC5N,72,"...","  Nonfarm proprietors' income","Thousands of dollars",16505467,17797591,18036727,19101059,20602522,22563445,21882847,20216685,15462653,16921103,18885849,24847360,27337899,28136045,29488356,30402909,33667502
 "53000","Washington",8,CAINC5N,81,"111-112"," Farm earnings","Thousands of dollars",1572561,1653626,2204692,2138994,1875679,1804485,2285165,2184570,2231817,2506559,3234997,3345460,3570070,3294634,4843793,4061887,3807363
 "53000","Washington",8,CAINC5N,82,"..."," Nonfarm earnings","Thousands of dollars",149598616,152428629,156987532,165447204,175154921,188241154,200666547,205825377,196434516,201566476,210502559,226613025,237547720,250725658,263183785,278049783,298546315
 "53000","Washington",8,CAINC5N,90,"113-814","  Private nonfarm earnings","Thousands of dollars",122477541,123421470,126214895,132928880,140760793,152161812,162208123,164429653,153223091,157247141,166127457,181316624,191140083,202916588,213672937,226568217,244525691
 "53000","Washington",8,CAINC5N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",944441,981812,1040639,1450744,1493092,1657755,1603176,1665084,1636922,1986468,1790858,2192950,2188614,2164405,2019323,2066923,2104855
 "53000","Washington",8,CAINC5N,101,"113","    Forestry and logging","Thousands of dollars",340115,357145,347053,378372,357537,343368,341849,343766,340747,657593,603150,757235,731523,672421,708219,648426,574854
 "53000","Washington",8,CAINC5N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",166838,171919,208316,495662,554809,630497,601501,657327,555399,546495,388226,471617,478289,430431,228670,305352,333644
 "53000","Washington",8,CAINC5N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",437488,452748,485270,576710,580746,683890,659826,663991,740776,782380,799482,964098,978802,1061553,1082434,1113145,1196357
 "53000","Washington",8,CAINC5N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",229597,206528,236978,267141,291337,287725,251549,293083,298517,475286,808646,810178,695448,603004,469721,412856,412802
 "53000","Washington",8,CAINC5N,201,"211","    Oil and gas extraction","Thousands of dollars",(D),(D),(D),67140,75221,43940,19200,30682,9826,(D),(D),(D),30150,21596,6572,10,(D)
 "53000","Washington",8,CAINC5N,202,"212","    Mining (except oil and gas)","Thousands of dollars",189425,163711,169296,186289,203739,225709,211673,230486,271704,428374,733627,744801,631565,554147,443102,399617,381613
 "53000","Washington",8,CAINC5N,203,"213","    Support activities for mining","Thousands of dollars",(D),(D),(D),13712,12377,18076,20676,31915,16987,(D),(D),(D),33733,27261,20047,13229,(D)
 "53000","Washington",8,CAINC5N,300,"22","   Utilities","Thousands of dollars",626038,576895,653708,771843,686309,775842,607027,670521,539005,540835,594237,568548,597570,607133,628426,607479,626426
 "53000","Washington",8,CAINC5N,400,"23","   Construction","Thousands of dollars",10558436,10652187,11016443,11780717,13187227,15089631,16585942,15613048,12318439,11649951,11015174,12267905,13928257,15639003,16935940,18680628,20855521
 "53000","Washington",8,CAINC5N,401,"236","    Construction of buildings","Thousands of dollars",2970908,3103057,3142889,3272979,3787080,4404509,4896838,4440208,2967917,2902249,2536428,3290400,4253055,4893256,4927424,5452765,6206311
 "53000","Washington",8,CAINC5N,402,"237","    Heavy and civil engineering construction","Thousands of dollars",1346019,1365696,1465736,1571214,1711994,1993308,2075266,1882869,1520422,1420899,1404797,1502581,1583398,1658450,1728659,1990456,2198942
 "53000","Washington",8,CAINC5N,403,"238","    Specialty trade contractors","Thousands of dollars",6241509,6183434,6407818,6936524,7688153,8691814,9613838,9289971,7830100,7326803,7073949,7474924,8091804,9087297,10279857,11237407,12450268
 "53000","Washington",8,CAINC5N,500,"31-33","   Manufacturing","Thousands of dollars",19526080,18791741,17688916,18427615,19735762,21612280,22783389,22943959,21127944,21701455,23785583,25535231,26572432,27493364,27640191,27710749,27587027
 "53000","Washington",8,CAINC5N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",14793255,13766193,13045245,13789321,14970309,16708043,17750277,17872901,16383229,16884371,18748743,20421320,21306992,22005224,22129262,21947561,21590724
 "53000","Washington",8,CAINC5N,511,"321","     Wood product manufacturing","Thousands of dollars",849826,822321,870291,987985,1064281,1057740,1004532,909766,702801,708019,724493,737588,815594,1100800,1121332,960198,926021
 "53000","Washington",8,CAINC5N,512,"327","     Nonmetallic mineral product manufacturing","Thousands of dollars",435086,435260,471225,500917,550940,591519,649718,660589,552926,559785,568964,583395,621716,648943,691467,713178,732116
 "53000","Washington",8,CAINC5N,513,"331","     Primary metal manufacturing","Thousands of dollars",535906,390073,327832,317908,340490,364366,405902,422523,345828,359364,412154,441419,439076,462024,455219,405188,420393
 "53000","Washington",8,CAINC5N,514,"332","     Fabricated metal product manufacturing","Thousands of dollars",856733,854240,850852,893642,969696,1034754,1134871,1217377,1014248,1001456,1069904,1171047,1219164,1277156,1305116,1349558,1387566
 "53000","Washington",8,CAINC5N,515,"333","     Machinery manufacturing","Thousands of dollars",768876,713198,689876,771595,824066,938847,1026751,1084531,887167,905202,966453,1038923,1194831,1283706,1274178,1276849,1334849
