GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "55000","Wisconsin",3,CAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",166810412,171173593,175869838,183912501,190527609,202454049,211886571,219514508,215913287,221895293,234574850,245700352,247127445,257572422,268237980,273787486,283635828
 "55000","Wisconsin",3,CAINC5N,20,"...","Population (persons) 2/","Number of persons",5406835,5445162,5479203,5514026,5546166,5577655,5610775,5640996,5669264,5690403,5705812,5721075,5736673,5751272,5759744,5772917,5795483
 "55000","Wisconsin",3,CAINC5N,30,"...","Per capita personal income (dollars)","Dollars",30852,31436,32098,33354,34353,36297,37764,38914,38085,38995,41112,42947,43079,44785,46571,47426,48941
 "55000","Wisconsin",3,CAINC5N,35,"...","Earnings by place of work","Thousands of dollars",125490544,129847371,134041006,141069133,145223260,151738662,156864310,159728451,154493393,158381597,166803160,173641652,178415770,184202963,190152732,193823625,200250267
 "55000","Wisconsin",3,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",14201539,14588706,15072128,15875021,16520297,17405915,17983502,18551811,18027333,18413271,17234439,17766273,20542561,21176284,21915293,22323564,23248385
 "55000","Wisconsin",3,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",7250837,7499215,7731918,8138505,8490752,9020009,9403053,9683605,9395973,9526283,7817784,8043216,10562156,10952013,11372594,11756186,12370205
 "55000","Wisconsin",3,CAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",6950702,7089491,7340210,7736516,8029545,8385906,8580449,8868206,8631360,8886988,9416655,9723057,9980405,10224271,10542699,10567378,10878180
 "55000","Wisconsin",3,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",2839029,2923698,2999240,3104977,3298509,3422673,3683261,3727634,3290744,3242556,3357213,3296359,3254221,3486388,3650926,3757442,3942432
 "55000","Wisconsin",3,CAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",114128034,118182363,121968118,128299089,132001472,137755420,142564069,144904274,139756804,143210882,152925934,159171738,161127430,166513067,171888365,175257503,180944314
 "55000","Wisconsin",3,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",31153376,29825424,30049171,31059730,32217150,36786789,39081100,40743309,36980086,36635046,40995598,45110985,43629222,46927208,50397045,51984112,54032330
 "55000","Wisconsin",3,CAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",21529002,23165806,23852549,24553682,26308987,27911840,30241402,33866925,39176397,42049365,40653318,41417629,42370793,44132147,45952570,46545871,48659184
 "55000","Wisconsin",3,CAINC5N,50,"..."," Wages and salaries","Thousands of dollars",90654202,93014858,96055554,100922657,103843620,108705179,113107377,115994305,110606812,112410739,116879505,121213348,124683037,129391238,135130699,138667841,143412279
 "55000","Wisconsin",3,CAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",22923183,23998136,25317435,26924278,28282220,29037529,30126453,31153087,32239626,31722577,33309622,34206524,34758532,35393215,35197784,36443705,37759522
 "55000","Wisconsin",3,CAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 6/","Thousands of dollars",15972481,16908645,17977225,19187762,20252675,20651623,21546004,22284881,23608266,22835589,23892967,24483467,24778127,25168944,24655085,25876327,26881342
 "55000","Wisconsin",3,CAINC5N,62,"...","  Employer contributions for government social insurance","Thousands of dollars",6950702,7089491,7340210,7736516,8029545,8385906,8580449,8868206,8631360,8886988,9416655,9723057,9980405,10224271,10542699,10567378,10878180
 "55000","Wisconsin",3,CAINC5N,70,"..."," Proprietors' income 7/","Thousands of dollars",11913159,12834377,12668017,13222198,13097420,13995954,13630480,12581059,11646955,14248281,16614033,18221780,18974201,19418510,19824249,18712079,19078466
