GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "54000","West Virginia",5,CAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",42849799,44286601,44871402,46485544,48840352,52178763,54198610,57652410,58149798,60061547,63448690,65251759,64792619,66679676,67736679,67582876,69872741
 "54000","West Virginia",5,CAINC5N,20,"...","Population (persons) 2/","Number of persons",1801481,1805414,1812295,1816438,1820492,1827912,1834052,1840310,1847775,1854315,1854891,1855360,1852333,1847624,1839767,1828637,1815857
 "54000","West Virginia",5,CAINC5N,30,"...","Per capita personal income (dollars)","Dollars",23786,24530,24759,25592,26828,28546,29551,31328,31470,32390,34206,35169,34979,36089,36818,36958,38479
 "54000","West Virginia",5,CAINC5N,35,"...","Earnings by place of work","Thousands of dollars",28659645,29420594,30021402,31555657,33323165,35267633,35549381,37155686,36978700,38140579,40292832,41537763,41645125,42171012,42155672,41267076,42867179
 "54000","West Virginia",5,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",4114559,4061066,4253249,4381327,4570932,4626997,4508075,4545899,4598330,4701860,4381205,4499170,5048561,5198451,5255354,5272896,5575299
 "54000","West Virginia",5,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",1754041,1777464,1859290,1959810,2074978,2216444,2337051,2466577,2474461,2532033,2116295,2162610,2720259,2814734,2843638,2850524,3018433
 "54000","West Virginia",5,CAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",2360518,2283602,2393959,2421517,2495954,2410553,2171024,2079322,2123869,2169827,2264910,2336560,2328302,2383717,2411716,2422372,2556866
 "54000","West Virginia",5,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",772281,816823,961222,1090186,1289302,1336431,1485513,1440814,1328214,1458926,1467494,1214866,1255831,1474245,1537546,1679895,1731538
 "54000","West Virginia",5,CAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",25317367,26176351,26729375,28264516,30041535,31977067,32526819,34050601,33708584,34897645,37379121,38253459,37852395,38446806,38437864,37674075,39023418
 "54000","West Virginia",5,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",7271350,7023407,6780995,6861641,7004012,7601090,8341074,8813165,8476082,8322839,9097492,9699268,9302160,9808777,10169027,10366621,10768651
 "54000","West Virginia",5,CAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",10261082,11086843,11361032,11359387,11794805,12600606,13330717,14788644,15965132,16841063,16972077,17299032,17638064,18424093,19129788,19542180,20080672
 "54000","West Virginia",5,CAINC5N,50,"..."," Wages and salaries","Thousands of dollars",19983879,20410261,20809727,21889543,22827556,24138271,25175445,26728096,26703857,27251083,28586785,29436518,29480048,30070990,30236870,29681675,30874732
 "54000","West Virginia",5,CAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",5401348,5544964,5887856,6151584,6449534,7017326,6889490,7060234,7011952,7034274,7412642,7891259,7999096,7716515,7868030,7700963,8051428
 "54000","West Virginia",5,CAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 6/","Thousands of dollars",3040830,3261362,3493897,3730067,3953580,4606773,4718466,4980912,4888083,4864447,5147732,5554699,5670794,5332798,5456314,5278591,5494562
 "54000","West Virginia",5,CAINC5N,62,"...","  Employer contributions for government social insurance","Thousands of dollars",2360518,2283602,2393959,2421517,2495954,2410553,2171024,2079322,2123869,2169827,2264910,2336560,2328302,2383717,2411716,2422372,2556866
 "54000","West Virginia",5,CAINC5N,70,"..."," Proprietors' income 7/","Thousands of dollars",3274418,3465369,3323819,3514530,4046075,4112036,3484446,3367356,3262891,3855222,4293405,4209986,4165981,4383507,4050772,3884438,3941019
 "54000","West Virginia",5,CAINC5N,71,"...","  Farm proprietors' income","Thousands of dollars",-7948,-74091,-56905,-10516,-21579,-58887,-95663,-65198,-69109,-61083,-20893,-47529,-13782,-28860,-47835,-74852,-119390
 "54000","West Virginia",5,CAINC5N,72,"...","  Nonfarm proprietors' income","Thousands of dollars",3282366,3539460,3380724,3525046,4067654,4170923,3580109,3432554,3332000,3916305,4314298,4257515,4179763,4412367,4098607,3959290,4060409
 "54000","West Virginia",5,CAINC5N,81,"111-112"," Farm earnings","Thousands of dollars",29785,-32605,-13505,30939,11794,-23800,-56678,-30114,-35639,-29489,6184,-4756,29519,17184,-8960,-30764,-76697
 "54000","West Virginia",5,CAINC5N,82,"..."," Nonfarm earnings","Thousands of dollars",28629860,29453199,30034907,31524718,33311371,35291433,35606059,37185800,37014339,38170068,40286648,41542519,41615606,42153828,42164632,41297840,42943876
 "54000","West Virginia",5,CAINC5N,90,"113-814","  Private nonfarm earnings","Thousands of dollars",22849629,23424076,23623422,24866434,26355850,28178850,28256287,29408244,28862367,29853787,31878875,32924229,32952054,33386814,33259606,32262164,33841095
 "54000","West Virginia",5,CAINC5N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",115676,113864,113010,126103,134054,143602,115099,103379,93321,113460,105599,129061,128006,138871,153594,156289,157379
 "54000","West Virginia",5,CAINC5N,101,"113","    Forestry and logging","Thousands of dollars",78998,78559,81828,99368,107960,(D),(D),83791,74821,90028,84378,104169,103290,113380,125429,128312,129025
 "54000","West Virginia",5,CAINC5N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),-1264,-789,-692,-765
 "54000","West Virginia",5,CAINC5N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",(D),(D),(D),(D),(D),30459,24283,(D),(D),(D),(D),(D),(D),26755,28954,28669,29119
 "54000","West Virginia",5,CAINC5N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",1542054,1477810,1490218,1652772,2234161,2540728,2252153,2764726,2495102,2674201,3377569,3134087,3100210,3071368,2489709,1768736,1982546
 "54000","West Virginia",5,CAINC5N,201,"211","    Oil and gas extraction","Thousands of dollars",263851,266519,297798,266186,711273,855757,655811,879104,506240,505931,510135,374609,479234,640626,477330,368039,298626
 "54000","West Virginia",5,CAINC5N,202,"212","    Mining (except oil and gas)","Thousands of dollars",1150440,1075048,1031872,1161786,1271772,1365735,1244952,1452815,1582078,1735948,2272156,2167434,1964855,1767940,1535321,1059240,1301116
 "54000","West Virginia",5,CAINC5N,203,"213","    Support activities for mining","Thousands of dollars",127763,136243,160548,224800,251116,319236,351390,432807,406784,432322,595278,592044,656121,662802,477058,341457,382804
 "54000","West Virginia",5,CAINC5N,300,"22","   Utilities","Thousands of dollars",535847,523219,511399,536540,520425,602880,585604,630005,658821,605094,634566,593871,625666,640304,633143,656379,673587
 "54000","West Virginia",5,CAINC5N,400,"23","   Construction","Thousands of dollars",1910690,1813900,1840935,2061596,2231580,2528227,2483285,2580789,2464181,2610338,2665959,3090807,2974027,3006211,2900442,2596474,2817242
 "54000","West Virginia",5,CAINC5N,401,"236","    Construction of buildings","Thousands of dollars",526900,530555,548434,620245,673754,702460,662794,688625,781341,854132,807002,851691,820110,758598,682863,611407,653155
 "54000","West Virginia",5,CAINC5N,402,"237","    Heavy and civil engineering construction","Thousands of dollars",360158,324443,333884,357574,377277,494396,477508,545910,425701,452401,539404,787212,707479,735051,728588,623747,859080
 "54000","West Virginia",5,CAINC5N,403,"238","    Specialty trade contractors","Thousands of dollars",1023632,958902,958617,1083777,1180549,1331371,1342983,1346254,1257139,1303805,1319553,1451904,1446438,1512562,1488991,1361320,1305007
 "54000","West Virginia",5,CAINC5N,500,"31-33","   Manufacturing","Thousands of dollars",3694336,3616857,3499400,3663469,3652035,3653226,3570548,3520665,3177019,3234684,3331320,3440284,3337764,3371830,3461243,3454344,3631098
 "54000","West Virginia",5,CAINC5N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",2019785,2016066,1912840,1971878,1986138,2046870,2054000,2061745,1813295,1780366,1860107,1898549,1831212,1860721,1892274,1880027,1960151
 "54000","West Virginia",5,CAINC5N,511,"321","     Wood product manufacturing","Thousands of dollars",270733,282457,297162,315966,320085,330206,320056,271940,218685,(D),(D),(D),226182,246444,254194,264608,265898
 "54000","West Virginia",5,CAINC5N,512,"327","     Nonmetallic mineral product manufacturing","Thousands of dollars",232684,210821,179511,179863,169346,170793,176485,180540,161303,157590,158313,174415,161645,151841,157203,160972,168421
 "54000","West Virginia",5,CAINC5N,513,"331","     Primary metal manufacturing","Thousands of dollars",537583,535386,511069,492822,478756,457530,457973,478266,353405,348078,365262,374421,344469,364433,369871,366623,372636
 "54000","West Virginia",5,CAINC5N,514,"332","     Fabricated metal product manufacturing","Thousands of dollars",333167,315738,296570,310326,328045,332828,326171,347027,325801,315111,347743,344744,319770,316543,311657,278841,301347
 "54000","West Virginia",5,CAINC5N,515,"333","     Machinery manufacturing","Thousands of dollars",143356,155513,102214,90412,99979,113957,111766,121025,117470,117813,144339,149260,137378,141293,133488,110813,123640
 "54000","West Virginia",5,CAINC5N,516,"334","     Computer and electronic product manufacturing","Thousands of dollars",46783,49070,47790,58445,63557,70423,86800,72728,62484,65557,74159,75152,71673,70546,64337,57127,59251
 "54000","West Virginia",5,CAINC5N,517,"335","     Electrical equipment, appliance, and component manufacturing","Thousands of dollars",55685,50122,50058,59412,52764,57470,65092,66185,65099,59354,66528,61570,(D),(D),(D),(D),(D)
 "54000","West Virginia",5,CAINC5N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing","Thousands of dollars",140723,150479,153815,159704,154950,167114,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "54000","West Virginia",5,CAINC5N,519,"3364-3369","     Other transportation equipment manufacturing","Thousands of dollars",134638,134934,140803,161731,160437,182711,(D),(D),(D),216436,216417,210963,205330,204448,207767,200039,214340
 "54000","West Virginia",5,CAINC5N,521,"337","     Furniture and related product manufacturing","Thousands of dollars",55692,61744,64105,71922,77810,78083,74134,71381,59366,55953,57652,54185,52510,50567,58055,65016,67716
 "54000","West Virginia",5,CAINC5N,522,"339","     Miscellaneous manufacturing","Thousands of dollars",68741,69802,69743,71275,80409,85755,90603,94618,93323,95431,78082,86431,80101,76267,80281,85201,76561
 "54000","West Virginia",5,CAINC5N,530,"311-316,322-326","    Nondurable goods manufacturing","Thousands of dollars",1674551,1600791,1586560,1691591,1665897,1606356,1516548,1458920,1363724,1454318,1471213,1541735,1506552,1511109,1568969,1574317,1670947
 "54000","West Virginia",5,CAINC5N,531,"311","     Food manufacturing","Thousands of dollars",128668,139877,131486,133638,129007,133965,137971,131288,128503,132839,124545,125738,132429,137570,140601,134672,135890
 "54000","West Virginia",5,CAINC5N,532,"312","     Beverage and tobacco product manufacturing","Thousands of dollars",35630,29502,28232,22565,20473,21303,21164,21011,20671,21138,22225,23119,22814,22956,22383,24862,23954
 "54000","West Virginia",5,CAINC5N,533,"313","     Textile mills","Thousands of dollars",8678,9848,9285,9600,9912,8397,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "54000","West Virginia",5,CAINC5N,534,"314","     Textile product mills","Thousands of dollars",(D),(D),(D),(D),(D),3167,3555,4016,3891,3751,3972,3979,3783,3297,3023,2628,(D)
 "54000","West Virginia",5,CAINC5N,535,"315","     Apparel manufacturing","Thousands of dollars",19010,12187,9664,6710,4756,3788,4670,5074,4071,3882,1242,3474,3734,2950,2684,2491,3296
 "54000","West Virginia",5,CAINC5N,536,"316","     Leather and allied product manufacturing","Thousands of dollars",(D),(D),(D),(D),(D),448,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),37
 "54000","West Virginia",5,CAINC5N,537,"322","     Paper manufacturing","Thousands of dollars",38898,37473,38423,37361,36762,36781,37805,37697,31723,40457,36367,42662,36327,38292,41681,37946,37484
 "54000","West Virginia",5,CAINC5N,538,"323","     Printing and related support activities","Thousands of dollars",66874,69695,75159,74960,71563,66622,59651,54140,35859,38893,41541,58308,55823,48375,49231,50349,50630
 "54000","West Virginia",5,CAINC5N,539,"324","     Petroleum and coal products manufacturing","Thousands of dollars",79511,74482,88189,99271,100780,109961,102660,91024,77157,86770,91877,120262,76234,74689,91431,81945,88563
 "54000","West Virginia",5,CAINC5N,541,"325","     Chemical manufacturing","Thousands of dollars",1151465,1070012,1047515,1139368,1120363,1053980,989369,951208,912538,960689,980320,989969,997543,1005956,1040538,1056064,1138575
 "54000","West Virginia",5,CAINC5N,542,"326","     Plastics and rubber products manufacturing","Thousands of dollars",140768,154156,155690,164807,168537,167944,154880,160040,146768,162808,165963,169873,173694,172120,173473,179171,186805
 "54000","West Virginia",5,CAINC5N,600,"42","   Wholesale trade","Thousands of dollars",1142420,1164090,1152683,1218082,1277231,1402665,1410194,1454618,1411000,1426130,1494196,1518920,1482346,1520160,1539115,1453726,1506267
 "54000","West Virginia",5,CAINC5N,700,"44-45","   Retail trade","Thousands of dollars",2422907,2500130,2456163,2402734,2581609,2718464,2690736,2615652,2613425,2694694,2811035,2883908,2911924,2855731,2915311,2927594,2922409
