Series ID	Region Name	Region Code	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
ATNHPIUS37001A	"Alamance County, NC"	37001	28.85	29.29	30.51	35.46	40.10				46.45	47.65	53.73	56.83	60.56	68.35	69.43	71.14	72.89	74.08	75.19	77.95	82.45	86.13	89.34	93.13	96.00	100.00	103.85	105.55	106.68	106.53	108.82	110.95	112.03	112.33	111.71	107.20	103.62	101.77	102.65	101.72	105.21	107.32	112.06	119.45
ATNHPIUS37003A	"Alexander County, NC"	37003																		74.23	78.35	71.95	79.78	80.45	90.05	91.26	95.62	100.00	104.86	106.96	108.18	108.66	114.34	121.15	124.93	126.73	124.73	120.75	115.76	111.41	109.51	111.94	115.90	116.09	120.39	129.43
ATNHPIUS37005A	"Alleghany County, NC"	37005																							77.98	87.99	91.52	100.00	107.17	106.84	107.82	117.99	123.28	141.13	149.16	148.52	145.73	145.61	130.59	129.49	124.29	124.17	130.16	129.49	139.29	131.34
ATNHPIUS37009A	"Ashe County, NC"	37009																					71.30	75.65	80.20	85.34	90.41	100.00	106.27	111.40	113.91	122.71	135.01	144.85	156.37	162.64	157.92	146.03	139.97	137.07	135.41	133.03	134.54	138.03	136.90	145.51
ATNHPIUS37011A	"Avery County, NC"	37011																					71.18	74.33	78.48	82.23	88.35	100.00	106.26	111.77	111.40	119.34	129.87	140.79	147.42	152.14	147.41	135.75	131.11	127.96	123.14	124.02	120.59	128.48	123.24	133.52
ATNHPIUS37013A	"Beaufort County, NC"	37013											57.01	59.87	62.72	64.65	65.09	71.93	72.36	74.91	74.48	77.76	79.01	84.96	86.99	91.60	94.51	100.00	104.66	108.57	110.86	117.59	128.93	145.53	155.88	158.19	149.88	145.48	141.69	137.39	135.41	129.78	130.68	138.40	138.11	139.99
ATNHPIUS37015A	"Bertie County, NC"	37015																								93.81	94.99	100.00	100.76	106.39	108.31	112.20	120.86	131.12	133.43	141.54	134.95	137.25	132.77	126.84	125.19	121.43	122.68	128.80	124.67	132.70
ATNHPIUS37017A	"Bladen County, NC"	37017																		76.10	73.31	79.53	86.95	80.91	86.26	87.86	91.41	100.00	102.26	104.41	106.02	110.26	123.02	121.91	131.72	134.57	134.95	125.43	123.76	126.50	122.79	126.56	131.44	130.23	133.63	139.72
ATNHPIUS37019A	"Brunswick County, NC"	37019									36.84	40.40	49.30	50.28	53.00	51.92	55.07	54.74	57.95	59.93	62.39	65.08	70.75	74.59	81.11	87.08	92.76	100.00	104.67	108.75	113.71	128.12	154.09	176.99	183.15	178.09	161.78	146.95	137.77	131.63	131.66	133.61	138.65	142.72	151.46	162.97
ATNHPIUS37021A	"Buncombe County, NC"	37021		29.14	29.16	33.25	33.95	38.76	37.68	41.65	42.30	47.48	48.72	50.12	53.05	55.99	57.99	61.26	63.09	64.96	66.96	69.09	74.06	78.23	84.08	88.73	93.31	100.00	105.99	111.32	115.32	123.49	137.22	151.73	163.24	165.51	158.96	149.78	143.49	140.86	144.01	152.39	162.12	175.44	187.17	202.22
ATNHPIUS37023A	"Burke County, NC"	37023											50.82	52.75	54.98	59.31	61.25	64.01	68.54	67.23	70.65	72.88	77.40	80.84	85.21	89.24	92.18	100.00	103.80	105.80	106.85	110.49	111.86	117.26	124.03	124.66	123.30	120.11	114.98	111.31	110.64	110.14	111.06	112.73	117.71	123.97
ATNHPIUS37025A	"Cabarrus County, NC"	37025		30.12	33.53	37.59	43.50	45.71	43.79	50.99	49.35	53.61	55.10	56.71	60.64	64.89	68.68	70.14	71.96	73.26	75.14	77.07	80.87	83.52	89.93	92.25	95.69	100.00	103.35	105.30	105.80	107.49	110.89	116.89	124.17	127.03	123.51	115.36	110.10	104.37	104.69	108.83	114.21	120.44	128.95	138.61
ATNHPIUS37027A	"Caldwell County, NC"	37027												61.60	64.95	66.25	67.38	72.85	74.76	72.89	74.35	75.60	79.38	82.01	87.59	91.28	95.08	100.00	106.40	108.27	108.21	108.70	111.70	116.77	120.56	120.63	118.53	114.15	108.05	106.51	105.25	106.49	107.68	112.95	115.05	121.13
ATNHPIUS37029A	"Camden County, NC"	37029																		72.36	78.54	83.30	87.39	84.79	89.62	91.63	93.67	100.00	103.34	109.14	112.40	128.64	157.72	183.38	192.96	186.49	180.33	168.93	160.99	159.16	153.96	159.32	161.27	149.82	154.98	164.70
ATNHPIUS37031A	"Carteret County, NC"	37031											53.45	55.05	59.82	58.74	61.37	63.37	64.50	66.24	67.74	71.83	77.07	81.39	85.64	89.80	94.71	100.00	104.49	108.36	112.87	122.24	147.08	171.35	183.16	179.07	172.24	161.67	152.49	149.81	145.39	144.69	150.41	152.53	155.09	163.15
ATNHPIUS37033A	"Caswell County, NC"	37033																				75.96	85.43	84.91	92.10	91.54	94.84	100.00	107.50	108.61	112.30	112.73	116.91	118.87	125.86	128.23	124.88	122.46	119.44	118.74	113.47	119.88	112.08	123.84	114.50	125.11
ATNHPIUS37035A	"Catawba County, NC"	37035					42.68	47.88	48.27	45.58	52.98	53.70	56.02	57.40	59.76	64.06	66.38	69.70	71.21	73.06	74.34	77.12	81.23	83.94	87.87	91.31	94.89	100.00	104.24	105.54	106.77	107.40	110.37	114.13	119.16	121.11	117.79	113.04	108.40	106.46	106.41	106.58	109.15	112.56	117.66	123.57
ATNHPIUS37037A	"Chatham County, NC"	37037												56.31	60.12	62.50	65.82	66.53	68.78	69.18	71.30	75.90	81.12	84.62	89.10	91.86	95.84	100.00	105.01	108.23	110.47	112.60	118.09	127.54	133.84	136.34	131.70	126.00	123.22	122.09	122.91	125.26	131.84	134.23	144.29	148.15
ATNHPIUS37039A	"Cherokee County, NC"	37039																								89.79	93.78	100.00	105.56	109.71	113.96	122.55	138.41	157.24	164.95	158.42	152.68	131.13	123.07	113.49	108.90	110.45	114.80	123.77	126.81	131.54
ATNHPIUS37041A	"Chowan County, NC"	37041																		74.75	71.59	74.58	76.22	83.75	86.42	89.32	94.04	100.00	104.69	109.01	111.07	121.31	141.31	160.28	160.11	164.17	156.23	147.43	135.88	134.08	128.66	127.10	130.94	133.90	134.90	143.11
ATNHPIUS37043A	"Clay County, NC"	37043																							87.63	86.96	90.40	100.00	108.40	112.94	114.86	124.43	141.34	151.85	161.01	161.59	149.67	134.68	121.88	116.94	114.06	105.40	117.40	121.17	125.50	130.95
ATNHPIUS37045A	"Cleveland County, NC"	37045											54.71	60.33	64.07	67.43	69.15	72.11	73.19	73.17	74.46	78.36	81.23	85.55	90.05	94.81	96.17	100.00	104.57	107.16	108.69	110.64	113.89	117.69	122.33	123.73	120.45	114.84	113.68	109.69	107.80	105.09	111.26	110.63	117.24	125.70
ATNHPIUS37047A	"Columbus County, NC"	37047																		71.47	69.74	76.79	76.84	84.47	88.12	88.80	94.89	100.00	102.81	103.79	104.81	107.81	114.92	128.15	130.67	132.33	127.37	122.65	117.30	113.52	111.50	110.72	109.13	117.65	107.82	114.17
ATNHPIUS37049A	"Craven County, NC"	37049				43.39	46.94	52.84	#N/A	59.22	58.87	59.92	65.08	64.70	67.15	73.04	75.33	78.21	79.90	80.54	80.55	83.28	87.88	89.46	92.95	94.60	96.80	100.00	102.89	104.67	106.49	113.77	125.21	141.23	151.66	148.11	142.90	134.19	130.31	126.47	123.17	123.43	123.51	127.23	129.77	134.03
ATNHPIUS37051A	"Cumberland County, NC"	37051								57.34	56.79	63.63	66.28	67.63	71.24	73.07	76.10	77.55	79.57	81.60	84.41	87.74	92.01	94.04	96.36	97.29	97.84	100.00	102.55	103.93	104.28	107.33	113.47	121.23	126.89	128.44	129.25	128.65	127.79	124.32	122.39	120.30	120.33	120.87	119.27	122.01
ATNHPIUS37053A	"Currituck County, NC"	37053																	80.76	80.89	80.91	80.01	83.80	81.55	86.24	90.01	93.28	100.00	107.59	117.34	127.00	145.71	175.79	197.94	197.12	190.07	176.01	161.70	151.48	146.76	145.32	142.55	148.92	148.62	156.48	159.39
ATNHPIUS37055A	"Dare County, NC"	37055											50.18	55.00	59.71	67.53	72.91	76.21	76.45	76.61	76.93	76.26	78.01	79.47	83.63	85.97	90.01	100.00	111.67	127.58	145.08	172.88	207.41	218.25	211.33	202.55	185.89	170.19	166.06	163.51	163.40	166.67	170.08	176.93	184.24	190.46
ATNHPIUS37057A	"Davidson County, NC"	37057			46.98	40.91	42.76	48.45	44.82	43.98	51.98	56.29	59.91	60.38	63.90	66.57	70.58	71.03	73.54	73.24	74.11	76.38	79.95	83.09	87.43	91.54	95.15	100.00	103.52	105.36	105.98	107.01	111.63	115.62	119.51	119.95	117.83	111.59	107.78	105.94	104.91	103.55	107.63	110.03	114.17	118.67
ATNHPIUS37059A	"Davie County, NC"	37059												61.03	63.47	66.20	67.32	70.42	69.43	69.51	72.37	78.22	81.40	86.38	89.50	92.01	94.74	100.00	103.58	106.37	106.33	108.00	113.13	119.45	119.70	120.60	118.19	114.57	111.51	108.28	108.51	108.82	111.97	114.73	117.20	119.96
ATNHPIUS37061A	"Duplin County, NC"	37061																		65.86	70.81	74.66	71.94	79.94	84.51	89.26	91.94	100.00	102.20	104.50	104.87	109.29	115.43	121.28	123.59	131.10	127.60	121.51	120.82	117.73	112.84	113.87	112.69	117.65	127.42	124.07
ATNHPIUS37063A	"Durham County, NC"	37063	28.97	29.73	31.63	33.56	38.55	41.94	45.41	48.68	50.94	55.26	59.22	63.33	68.39	71.45	72.02	72.75	73.17	74.94	75.58	77.38	81.05	84.37	88.50	91.33	95.01	100.00	103.97	106.66	107.40	110.96	115.26	119.25	124.22	125.91	124.42	121.65	118.20	117.20	118.88	125.96	130.01	138.67	152.13	165.01
