Series ID	Region Name	Region Code	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
BPPRIV037001	"Alamance County, NC"	37001	370	448	651	547	685	676	1067	1226	1633	888	945	950	1411	1163	1366	1484	1988	1441	760	561	847	556	358	561	606	1032	1353	1223	1419
BPPRIV037003	"Alexander County, NC"	37003	96	103	115	111	106	102	136	146	146	169	166	164	164	167	189	157	179	296	192	133	47	49	74	52	53	65	43	87	97
BPPRIV037005	"Alleghany County, NC"	37005	81	68	81	75	89	111	92	138	131	146	151	95	95	82	107	113	144	122	80	46	39	34	20	35	17	17	29	18	39
BPPRIV037007	"Anson County, NC"	37007	31	44	43	35	28	33	38	42	46	39	31	48	77	39	72	60	54	56	40	27	31	21	28	34	33	36	41	43	45
BPPRIV037009	"Ashe County, NC"	37009	162	213	189	184	173	183	167	232	247	276	239	276	291	282	291	340	351	381	203	104	90	70	86	88	75	77	84	95	94
BPPRIV037011	"Avery County, NC"	37011	212	132	164	128	134	128	113	136	125	180	148	180	161	187	267	288	369	200	119	77	50	55	84	73	44	47	90	92	118
BPPRIV037013	"Beaufort County, NC"	37013	158	131	192	110	140	190	201	204	319	297	190	214	221	214	255	316	218	240	175	171	211	308	381	165	170	148	216	179	140
BPPRIV037015	"Bertie County, NC"	37015	50	58	154	175	154	36	28	23	33	24	28	36	77	43	63	36	23	41	37	19	24	29	21	14	20	18	25	12	11
BPPRIV037017	"Bladen County, NC"	37017	81	57	125	48	97	78	80	80	77	66	63	86	127	90	118	88	114	86	61	40	38	49	43	61	80	42	41	41	31
BPPRIV037019	"Brunswick County, NC"	37019	667	606	766	766	903	963	1122	1384	1532	1533	1449	2104	2642	2870	3829	4710	4418	3431	2103	1223	1079	914	1249	1765	1973	2325	2428	3342	2926
BPPRIV037021	"Buncombe County, NC"	37021	816	986	1280	1023	1188	1014	1479	1346	1405	1245	1327	2151	2158	1737	2073	2549	2249	1877	1675	909	1588	545	652	892	1312	1353	2422	1900	1667
BPPRIV037023	"Burke County, NC"	37023	253	235	283	310	353	297	277	312	333	321	302	304	291	260	243	266	315	322	172	142	113	84	71	104	94	224	184	187	285
BPPRIV037025	"Cabarrus County, NC"	37025	928	860	778	928	1285	1311	1917	1793	1771	2877	1724	2039	1965	1909	2153	2659	2701	2152	1367	1078	671	710	1244	1442	1554	1763	1918	1657	2021
BPPRIV037027	"Caldwell County, NC"	37027	336	297	328	391	307	326	385	316	346	444	442	403	414	340	394	362	319	314	203	124	132	118	64	84	164	168	93	108	212
BPPRIV037029	"Camden County, NC"	37029	56	48	46	58	48	59	86	79	81	77	63	79	158	188	132	141	113	91	161	18	16	15	16	42	20	20	36	52	81
BPPRIV037031	"Carteret County, NC"	37031	385	352	542	573	760	720	666	662	601	681	459	560	650	614	744	1035	757	453	297	171	216	607	277	258	230	345	329	631	378
BPPRIV037033	"Caswell County, NC"	37033	65	53	43	61	63	32	43	50	73	78	89	101	100	83	104	80	79	30	67	31	40	29	43	51	23	56	43	38	58
BPPRIV037035	"Catawba County, NC"	37035	734	674	707	786	781	794	1240	1097	1484	1225	1280	1561	1006	852	1059	841	740	736	359	202	156	129	126	188	283	348	335	498	742
BPPRIV037037	"Chatham County, NC"	37037	142	228	288	392	462	414	438	688	527	512	418	513	556	769	663	709	606	614	362	231	263	329	365	493	587	596	707	748	710
BPPRIV037039	"Cherokee County, NC"	37039	5	0	182	0	215	267	287	260	271	253	271	275	357	413	485	531	540	311	160	100	108	87	101	88	94	132	184	164	198
BPPRIV037041	"Chowan County, NC"	37041	45	37	45	49	51	50	13	34	27	50	42	43	58	39	77	225	105	68	43	24	29	11	10	12	17	10	19	21	20
BPPRIV037043	"Clay County, NC"	37043	64	61	103	113	102	94	103	127	148	161	151	129	165	179	192	242	276	130	86	44	41	40	32	44	43	39	0	45	73
BPPRIV037045	"Cleveland County, NC"	37045	507	414	474	399	439	406	416	424	547	408	370	349	530	402	472	492	321	292	180	212	92	137	105	102	128	60	122	174	169
