"State"	"Metro"	"StateCodeFIPS"	"MunicipalCodeFIPS"	"SizeRank"	"2010.01"	"2010.02"	"2010.03"	"2010.04"	"2010.05"	"2010.06"	"2010.07"	"2010.08"	"2010.09"	"2010.10"	"2010.11"	"2010.12"	"2011.01"	"2011.02"	"2011.03"	"2011.04"	"2011.05"	"2011.06"	"2011.07"	"2011.08"	"2011.09"	"2011.10"	"2011.11"	"2011.12"	"2012.01"	"2012.02"	"2012.03"	"2012.04"	"2012.05"	"2012.06"	"2012.07"	"2012.08"	"2012.09"	"2012.10"	"2012.11"	"2012.12"	"2013.01"	"2013.02"	"2013.03"	"2013.04"	"2013.05"	"2013.06"	"2013.07"	"2013.08"	"2013.09"	"2013.10"	"2013.11"	"2013.12"	"2014.01"	"2014.02"	"2014.03"	"2014.04"	"2014.05"	"2014.06"	"2014.07"	"2014.08"	"2014.09"	"2014.10"	"2014.11"	"2014.12"	"2015.01"	"2015.02"	"2015.03"	"2015.04"	"2015.05"	"2015.06"	"2015.07"	"2015.08"	"2015.09"	"2015.10"	"2015.11"	"2015.12"	"2016.01"	"2016.02"	"2016.03"	"2016.04"	"2016.05"	"2016.06"	"2016.07"	"2016.08"	"2016.09"	"2016.10"	"2016.11"	"2016.12"	"2017.01"	"2017.02"	"2017.03"	"2017.04"	"2017.05"	"2017.06"	"2017.07"	"2017.08"	"2017.09"	"2017.10"	"2017.11"	"2017.12"	"2018.01"	"2018.02"	"2018.03"	"2018.04"	"2018.05"	"2018.06"	"2018.07"	"2018.08"	"2018.09"	"2018.10"	"2018.11"	"2018.12"	"2019.01"	"2019.02"	"2019.03"	"2019.04"	"2019.05"	"2019.06"	"2019.07"	"2019.08"	"2019.09"	"2019.10"	"2019.11"	"2019.12"
"Mecklenburg County"	"NC"	"Charlotte-Concord-Gastonia"	"37"	"119"	49	189900	194500	190000	194000	190000	190000	189750	189900	185900	185000	184900	178000	175000	175000	175000	179407.5	179900	179900	179000	178999.5	175000	175000	174900	173995	174900	177930	182500	184900	184900	184900	179900	185000	182000	184900	183000	185000	188900	199500	206900	211995	214500	214375	210000	209990	209900	209000	205000	2e+05	199000	2e+05	215000	220999.5	224500	224875.5	222227	219900	219900	219945	219995	219990	225000	230000	233000	242990	249970	250000	251490	250000	249000	254345	254900	250000	264450	274900	279900	285990	289900	289000	289900	281990	284900	286390	285000	289900	288200	285000	294500	3e+05	304990	305000	299000	295500	299900	3e+05	3e+05	306400	310900	320000	325000	319900	318650	319000	315000	312900	315000	315000	314900	313900	312000	318990	318000	324990	321890.5	320000	318759.5	314990	315000	315000	318999.5	318999
"Wake County"	"NC"	"Raleigh"	"37"	"183"	56	247945	245000	239900	239900	244900	239900	234950	235000	234900	234900	234900	229990	229000	227000	225000	229900	230000	230000	229990	230000	229900	232000	230000	229900	229900	230000	235000	235000	235000	234900	230000	230112	229945	230882	231995	233900	234900	239900	247200	249900	254900	260000	259900	259900	259900	264900	259900	259900	264900	269900	270904.5	269900	274790	270000	270514.5	274900	275490	276000	275000	272038	272990	275000	279990	290000	3e+05	301579.5	299997	304990	299990	304900	307700	301990	309900	309900	311995	315000	318900	315000	316900	319900	321354	324800	325000	325000	325000	334900	339000	348995	349900	344400	342945	344900	345000	349900	349957.5	350000	357990	358900	360000	363000	365000	370000	369490	360000	365000	365000	360000	364900	359000	357900	359000	364900	359900	359900	358245	357127	358935	352900	350000	356423
"Guilford County"	"NC"	"Greensboro-High Point"	"37"	"081"	135	159900	159900	159900	159900	159900	159000	155000	154250	152000	153500	153700	149900	149500	145000	144900	145000	149900	150000	149900	149900	149900	149900	147900	144900	139900	140000	146700	149900	150000	149900	145000	142719	139000	140000	139900	139000	139900	144200	145000	149900	149900	153690	152000	149900	149900	149900	149000	145000	149900	149900	155000	159900	165000	162900	165000	164900	159900	157500	159900	157900	162890	163900	162385	169500	179900	179900	178000	174500	173500	169900	169990	169900	169900	164000	170000	179900	180000	182500	179900	179900	177945	180000	179900	179900	179191.5	175000	179900	189900	189900	190505	189900	185865	184900	182500	179900	179900	178990	179900	185900	190400	192500	193900	189900	189900	190000	189900	189900	191900	194900	196700	208000	212900	214250	214189.5	214900	207900	209900	214900	209990	209900
"Forsyth County"	"NC"	"Winston-Salem"	"37"	"067"	184	154900	156800	159900	159900	158354	155700	154900	151200	149900	149900	149490	145000	144900	145000	145000	145900	147900	146990	147900	145990	144900	141450	140000	139900	138900	139900	144900	149900	149900	144900	146950	144900	144900	144900	146900	144900	143900	144900	145000	149000	149900	149900	149250	149900	150000	149900	149900	147500	149900	155000	157900	159900	159900	159900	157900	154700	150000	149994.5	150000	149945	154900	155000	154900	155000	161900	160000	159900	159900	158000	155600	159900	159900	159990	157900	162900	168000	169900	169900	169850	169900	169500	169000	169900	171700	169900	175000	179900	182900	186500	188450	185000	185000	186990	184900	184900	188850	185200	189000	189994.5	195000	190400	190200	195900	195721	198567.5	195000	195900	197550	198500	2e+05	215000	224900	219900	225000	227400	220000	217200	220000	225000	225000
"Cumberland County"	"NC"	"Fayetteville"	"37"	"051"	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149500	148925	149900	149000	149900	147000	144900	139991	139900	142000	139900	145000	149950	144900	148900	150000	149900	144700	142945	145000	139900	139300	139900	139900	139900	144900	146900	144500	149000	145900	144000	139900	135000	134000	135000	139000	139900	144900	146500	143999.5	149900	149000	149000	146000	146700	147000	146900	147000	148000	149500	155000	155000	154900	150000	149900	149999	150000	150000	150000	155000	163000	165000	172000	169500	169000	168000	169000	163000	161430	162950	162700
"Durham County"	"NC"	"Durham-Chapel Hill"	"37"	"063"	244	178440	179900	185000	184900	182000	179900	179400	178900	175000	174900	175450	174900	174900	174900	174900	174970	174900	175935	174900	175000	170990	174900	174990	169900	169500	175000	179000	178500	175874.5	174500	169990	173700	171900	174000	173900	175000	175000	179900	180994.5	183250	184900	185000	185000	182500	184900	186990	185000	184900	181007	187670	189945	187950	189900	189900	193900	190000	199000	199900	199900	199522.5	2e+05	2e+05	199900	206999	212000	215000	219900	222000	225000	227590	226940	229440	229900	224900	230000	235850	236000	240000	240990	244500	240000	239900	244900	249950	250000	250000	260000	259900	263481	263000	265945	264900	268990	274900	279900	287990	290000	294585	292000	286000	289865	286000	285000	287892.5	288995	295000	298990	299950	298750	3e+05	295000	295000	295000	298250	292450	289900	290000	285000	285320	285000
"Buncombe County"	"NC"	"Asheville"	"37"	"021"	269	262450	250000	249500	248750	249900	249900	249900	249000	247000	246000	246900	244900	239000	239000	239500	239700	250000	250000	249900	249900	249900	249900	244900	240000	257000	259900	259000	250000	254900	257900	249900	245000	239000	239900	239000	239000	239900	239000	239900	247000	249900	249900	249900	245000	249900	249900	249900	250000	249000	250000	259000	265000	265000	272000	265000	265000	269900	273566	275000	275000	275000	277346	275000	284250	284950	289000	289900	289900	293500	299000	299900	299500	3e+05	3e+05	319000	319900	335000	335000	339055.5	339000	334000	339000	339000	337750	334900	339900	349947.5	355000	350000	359900	369000	369000	374900	369000	369000	375000	374950	369900	375000	379000	375000	375000	374900	370000	369900	365825	367500	364386.5	359000	360000	369000	374000	379000	375000	379450	375000	378000	375000	378250	380000
"Gaston County"	"NC"	"Charlotte-Concord-Gastonia"	"37"	"071"	299	139900	139500	139000	139500	139000	135900	135000	134999.5	135000	134900	134900	132700	130000	129900	126900	125000	125000	127000	128500	129000	126900	125000	129900	128900	125000	124900	125000	120000	124900	122000	120000	121500	119000	114900	115000	114900	115000	124600	129000	134900	135000	137900	134900	134950	135000	139900	135900	134900	133000	135000	139000	139900	142992.5	145000	145000	148402	148945	146900	150000	148990	149120	149500	149120	149000	149000	150000	150000	154900	149900	148370	154990	149900	159490	150000	149900	154695	160990	164990	169900	163900	159990	169900	164900	170593	165000	170000	174950	189000	195000	2e+05	199900	194999	192450	195900	198900	198650	205650	203400	214990	210000	204900	210000	205000	204900	204900	210000	209000	207500	207500	214250	215000	224900	225000	231900	224700	230000	231900	227000	232900	229900
"New Hanover County"	"NC"	"Wilmington"	"37"	"129"	304	260000	250000	253450	250000	250000	249900	249000	244999.5	239000	234900	229900	228900	225450	224000	224900	225000	224900	225000	224900	224900	224500	225000	224900	221000	224000	224900	225000	225000	229000	229900	228000	229500	225000	224900	224100	221200	220000	229000	235000	244450	241950	249000	250000	249900	250000	244900	245900	247995	244450	245000	249900	253800	250000	239000	235000	233750	230000	230000	230000	230000	229900	234900	234900	239900	244655	249000	249900	248195	251900	250000	250000	271950	268900	267900	269000	274950	278700	277900	279900	279950	280330	286234	285500	287990	289700	287000	289900	296950	299000	299000	299000	299900	299973.5	299340	298174	299900	299900	299900	299000	3e+05	302179	304660	3e+05	299000	300532.5	299900	308363.5	314900	317999	316400	310915	315000	310000	309900	309900	315000	317900	315000	314900	315000
