"RegionID"	"State"	"Metro"	"StateCodeFIPS"	"MunicipalCodeFIPS"	"SizeRank"	"1996.04"	"1996.05"	"1996.06"	"1996.07"	"1996.08"	"1996.09"	"1996.10"	"1996.11"	"1996.12"	"1997.01"	"1997.02"	"1997.03"	"1997.04"	"1997.05"	"1997.06"	"1997.07"	"1997.08"	"1997.09"	"1997.10"	"1997.11"	"1997.12"	"1998.01"	"1998.02"	"1998.03"	"1998.04"	"1998.05"	"1998.06"	"1998.07"	"1998.08"	"1998.09"	"1998.10"	"1998.11"	"1998.12"	"1999.01"	"1999.02"	"1999.03"	"1999.04"	"1999.05"	"1999.06"	"1999.07"	"1999.08"	"1999.09"	"1999.10"	"1999.11"	"1999.12"	"2000.01"	"2000.02"	"2000.03"	"2000.04"	"2000.05"	"2000.06"	"2000.07"	"2000.08"	"2000.09"	"2000.10"	"2000.11"	"2000.12"	"2001.01"	"2001.02"	"2001.03"	"2001.04"	"2001.05"	"2001.06"	"2001.07"	"2001.08"	"2001.09"	"2001.10"	"2001.11"	"2001.12"	"2002.01"	"2002.02"	"2002.03"	"2002.04"	"2002.05"	"2002.06"	"2002.07"	"2002.08"	"2002.09"	"2002.10"	"2002.11"	"2002.12"	"2003.01"	"2003.02"	"2003.03"	"2003.04"	"2003.05"	"2003.06"	"2003.07"	"2003.08"	"2003.09"	"2003.10"	"2003.11"	"2003.12"	"2004.01"	"2004.02"	"2004.03"	"2004.04"	"2004.05"	"2004.06"	"2004.07"	"2004.08"	"2004.09"	"2004.10"	"2004.11"	"2004.12"	"2005.01"	"2005.02"	"2005.03"	"2005.04"	"2005.05"	"2005.06"	"2005.07"	"2005.08"	"2005.09"	"2005.10"	"2005.11"	"2005.12"	"2006.01"	"2006.02"	"2006.03"	"2006.04"	"2006.05"	"2006.06"	"2006.07"	"2006.08"	"2006.09"	"2006.10"	"2006.11"	"2006.12"	"2007.01"	"2007.02"	"2007.03"	"2007.04"	"2007.05"	"2007.06"	"2007.07"	"2007.08"	"2007.09"	"2007.10"	"2007.11"	"2007.12"	"2008.01"	"2008.02"	"2008.03"	"2008.04"	"2008.05"	"2008.06"	"2008.07"	"2008.08"	"2008.09"	"2008.10"	"2008.11"	"2008.12"	"2009.01"	"2009.02"	"2009.03"	"2009.04"	"2009.05"	"2009.06"	"2009.07"	"2009.08"	"2009.09"	"2009.10"	"2009.11"	"2009.12"	"2010.01"	"2010.02"	"2010.03"	"2010.04"	"2010.05"	"2010.06"	"2010.07"	"2010.08"	"2010.09"	"2010.10"	"2010.11"	"2010.12"	"2011.01"	"2011.02"	"2011.03"	"2011.04"	"2011.05"	"2011.06"	"2011.07"	"2011.08"	"2011.09"	"2011.10"	"2011.11"	"2011.12"	"2012.01"	"2012.02"	"2012.03"	"2012.04"	"2012.05"	"2012.06"	"2012.07"	"2012.08"	"2012.09"	"2012.10"	"2012.11"	"2012.12"	"2013.01"	"2013.02"	"2013.03"	"2013.04"	"2013.05"	"2013.06"	"2013.07"	"2013.08"	"2013.09"	"2013.10"	"2013.11"	"2013.12"	"2014.01"	"2014.02"	"2014.03"	"2014.04"	"2014.05"	"2014.06"	"2014.07"	"2014.08"	"2014.09"	"2014.10"	"2014.11"	"2014.12"	"2015.01"	"2015.02"	"2015.03"	"2015.04"	"2015.05"	"2015.06"	"2015.07"	"2015.08"	"2015.09"	"2015.10"	"2015.11"	"2015.12"	"2016.01"	"2016.02"	"2016.03"	"2016.04"	"2016.05"	"2016.06"	"2016.07"	"2016.08"	"2016.09"	"2016.10"	"2016.11"	"2016.12"	"2017.01"	"2017.02"	"2017.03"	"2017.04"	"2017.05"	"2017.06"	"2017.07"	"2017.08"	"2017.09"	"2017.10"	"2017.11"	"2017.12"	"2018.01"	"2018.02"	"2018.03"	"2018.04"	"2018.05"	"2018.06"	"2018.07"	"2018.08"	"2018.09"	"2018.10"	"2018.11"	"2018.12"	"2019.01"	"2019.02"	"2019.03"	"2019.04"	"2019.05"	"2019.06"	"2019.07"	"2019.08"	"2019.09"	"2019.10"	"2019.11"	"2019.12"
"Mecklenburg County"	3102	"NC"	"Charlotte-Concord-Gastonia"	"37"	"119"	49	134033	134452	135244	136021	136808	137494	138201	139015	139763	140579	141299	141954	142483	143154	143868	144627	145447	146362	147178	147932	148474	149097	149462	149718	149886	150283	150896	151656	152336	153034	153659	154286	154889	155442	155896	156167	156481	156738	157070	157675	157957	158568	159028	159987	160964	161846	162572	162967	163290	163715	164149	164677	165208	165856	166454	167063	167596	168120	168471	168673	168793	168960	169182	169405	169756	170204	170647	171039	171259	171519	171661	171710	171699	171499	171462	171434	171587	171867	172101	172403	172604	172783	172865	172705	172408	172283	172308	172524	172734	173000	173323	173598	173924	174202	174399	174392	174392	174492	174939	175341	175658	175962	176272	176751	176999	177438	177804	178042	178058	178107	178598	179248	179978	180696	181478	182216	182876	183366	183742	183841	184374	185184	186542	187893	189194	190286	191111	191980	192941	193709	193784	194145	195125	196711	198120	199532	200674	201638	201714	201885	201575	201931	202115	202214	201424	200511	199581	198699	198102	197625	197194	195640	193054	189700	188202	187794	187663	186518	185392	184540	183319	182253	181699	182076	182001	182008	180931	179789	179114	178852	178167	176535	175048	173653	172386	170741	169513	168309	167339	166161	164991	163623	162766	161851	161120	160076	158950	157696	157667	157532	158213	158227	158840	158983	158767	158585	158713	159134	159814	160272	160125	160252	160327	162289	164145	166873	168740	170850	172169	172992	173673	174196	175497	176517	178444	179979	180956	181452	181301	181035	180635	180591	180887	181291	181853	182458	183556	185152	186855	187718	188355	189407	191171	192379	193162	193598	193838	194561	195748	197240	198930	200920	203156	204984	206117	207335	208566	210165	211979	213881	215031	216622	217986	219575	220877	221861	223606	225086	227331	229051	231130	233205	235569	237318	238609	239736	240896	242471	243772	245242	246121	247673	249348	251427	252107	252543	253137	253718	254016	253923	254416	255083	256680	258476	260736
"Wake County"	324	"NC"	"Raleigh"	"37"	"183"	56	167967	167295	167403	167292	167698	168018	169008	169641	170165	170550	170930	171686	172173	172559	173191	173960	174855	175783	176758	177667	178158	178457	178638	178869	179104	179401	179867	180470	181102	181777	182375	183013	183571	184130	184718	185314	185827	186021	186104	186533	187178	187994	188099	188240	188697	189601	190471	191064	191762	192646	193338	193703	193910	194081	194767	195517	196352	196919	197363	197744	197978	198129	198285	198501	198862	199259	199700	200123	200508	200774	200678	200964	200861	201265	201159	201505	201695	201815	202077	202467	203095	203480	203262	202996	202718	203025	203400	203981	204480	204932	205327	205788	206263	206710	207071	207290	207526	207697	208009	208653	209181	209892	210250	211048	211758	212594	213267	213853	214457	215125	216202	217406	218925	220389	221629	222610	223666	224446	225284	226098	227568	228960	230269	231535	232883	234342	235716	236810	237655	238553	239200	240330	241296	242793	244204	245707	247063	247689	248162	248292	248401	247733	247221	245424	244197	242859	242701	242611	242422	241797	240846	239632	238714	237600	237200	236613	235923	234881	234070	233475	232677	232345	232357	232326	232000	231864	231502	231554	232231	233073	232947	231350	229848	228282	227355	226456	225885	225173	224186	222958	221368	219972	219225	218800	218069	217510	216503	215826	215148	214475	214158	214377	215833	216745	216861	216493	216792	216877	216975	216753	217217	218043	219267	220662	222009	223664	224933	226205	227400	228885	230135	231120	231139	231673	232327	233797	234382	234923	235329	236176	236352	236280	236331	237559	238929	240153	240838	241987	243297	244438	245465	246236	247608	249096	250686	251275	252000	252848	254510	254792	255430	256137	258125	260127	261668	262860	263339	264352	265835	267961	269894	272409	274279	275793	276251	276481	276651	277297	278804	280519	281922	283100	284061	285562	286939	289205	290212	291199	292203	293515	294342	295128	296379	298428	300571	302088	302785	302638	302836	303262	303292	303659	304563	306058	307009
"Guilford County"	2312	"NC"	"Greensboro-High Point"	"37"	"081"	135	107470	107736	108042	108483	108916	109300	109559	109956	110397	111067	111545	111950	112088	112314	112613	113143	113814	114568	115282	115912	116347	116331	116106	115902	116031	116674	117380	118053	118422	118778	119188	119534	119924	120319	120704	121046	121385	121576	121746	122079	122548	123063	123828	124505	125114	125393	125899	126354	126744	126945	127278	127632	128036	128356	128667	128951	129301	129753	130215	130596	130766	130877	131052	131351	131724	132048	132279	132516	132785	133152	133492	133714	133528	133382	133167	133383	133495	133783	133835	133853	133924	134344	134689	135016	135118	135176	135176	135182	135512	135754	136056	136264	136546	136766	137070	137316	137707	138037	138542	139014	139495	139968	140320	140632	140868	141119	141400	141570	141768	141904	142234	142724	143420	144027	144726	145076	145506	145858	146248	146754	146988	147516	147914	148298	148510	148620	148830	149118	149436	149889	150326	150757	151018	151224	151531	151756	151949	152083	152296	152509	152456	152369	152212	152118	152162	151982	151681	150849	150368	149740	148898	148145	147532	147668	147534	147334	146794	146401	145549	144757	143748	143433	143313	142846	142446	141855	141466	141031	140939	140853	140800	140343	139946	139282	138835	138557	138223	137407	136527	135758	135187	134609	133889	132924	132328	131920	131582	130584	129690	128849	128608	128395	128506	128346	127984	127698	127416	127236	127099	127014	127084	127143	127561	128367	129388	129940	130397	130553	131040	131431	131841	132347	132722	133072	132819	132567	132463	132888	133141	133166	133058	132854	132731	132411	132290	133029	134013	135056	134919	134822	134739	134959	135202	135394	135661	135657	135538	135152	135011	135004	135501	135896	136596	137265	138189	138832	139414	140091	140904	141321	141667	141888	142786	143800	144899	145842	146133	146732	147284	148336	149127	149658	150355	150933	151499	151856	152592	153716	154090	154230	154204	155242	156336	157383	158123	158997	160161	161273	162192	162924	163533	164267	164769	165475	166060
"Forsyth County"	1712	"NC"	"Winston-Salem"	"37"	"067"	184	96580	96756	97488	98321	99306	99766	100147	100604	101272	101900	102379	102759	103167	103722	104012	104371	104590	105018	105550	106056	106451	106798	107101	107340	107377	107538	107982	108433	108857	109212	109545	109835	110189	110666	111154	111448	111757	112054	112389	112652	113019	113474	113949	114430	114670	114886	115378	115849	116517	116866	117349	117585	117790	118071	118435	118878	119327	119828	120278	120742	121103	121446	121836	122300	122756	123203	123618	123994	124311	124594	124865	125011	125054	124961	124844	124846	124974	125278	125625	125906	126124	126274	126438	126425	126492	126683	126980	127253	127516	127861	128221	128619	128950	129358	129675	130162	130450	130712	130837	130974	131240	131546	131986	132398	132855	133276	133650	133923	134189	134520	134948	135399	135829	136234	136648	137089	137543	138009	138306	138545	138769	139131	139561	140046	140511	141054	141448	141862	142213	142625	143042	143174	143282	143341	143661	143885	144103	144233	144446	144638	144854	145056	145587	146421	146510	145909	144630	143813	143481	143403	143455	143176	142825	142797	142873	143025	142792	142562	142405	142242	141909	141439	140916	140390	139772	139409	139091	138842	138703	138922	139122	138988	138574	138285	137803	137355	136901	136458	135800	135189	134793	134314	133454	132652	131750	131291	130651	130282	129589	128991	128446	128505	128634	128843	128715	128510	128405	128141	127940	127693	127560	126980	126308	125790	125907	126324	127038	127889	128545	128680	128853	129076	129820	130630	131207	131202	130816	130698	130543	130407	130105	129947	129826	129613	129441	129327	129182	129322	129536	129830	130086	130371	130717	131035	131101	131270	131248	131639	131683	131669	131545	131947	132486	133056	133640	134300	134887	135347	135896	136345	136791	137393	138193	138992	139634	140048	140577	141084	141984	143057	144101	144713	145441	146182	147058	147682	148193	148799	149405	150172	150992	151433	151948	152069	152864	153775	155307	156357	157235	157948	158616	159184	159766	160851	162206
"Cumberland County"	2912	"NC"	"Fayetteville"	"37"	"051"	199	94161	94206	94016	93978	94184	94456	94885	95288	95643	95974	96162	96312	96290	96236	96100	95894	95822	95809	95659	95647	95682	96367	96847	97325	97169	97181	97199	97360	97311	97270	97422	97763	98070	98196	98307	98429	98425	98288	98118	98029	97925	97926	97924	98033	98045	98107	98239	98371	98500	98576	98823	99109	99368	99504	99649	99927	100251	100684	100867	100510	99868	99266	99112	99102	99224	99336	99462	99543	99745	99899	100103	100156	100081	99871	99818	99964	100245	100533	100829	101073	101264	101394	101519	101583	101546	101522	101564	101759	102013	102309	102726	103001	103283	103325	103557	103691	104067	104428	104932	105445	105960	106451	106838	107113	107337	107517	107788	108085	108391	108720	109046	109548	110033	110641	111164	111878	112365	112733	112955	113416	113895	114405	114894	115599	116372	117348	118021	118548	118764	119441	120072	120645	120916	121478	122175	122834	123289	123660	124100	124400	124739	124842	125364	125627	125962	126095	126475	126926	127005	126788	126712	126503	126469	126123	125733	125374	125404	125502	125626	125653	126086	126350	126550	126868	127366	127661	127528	127446	127480	127597	127865	128195	128520	128527	128509	128331	128497	128490	128506	128431	128272	128202	127886	127722	127407	126952	126091	125249	124296	123401	122888	122617	122606	122288	122243	122077	121764	121227	120677	120259	119789	119499	119136	118766	118351	118132	117735	117155	116751	116727	117019	117262	117822	118156	118558	118572	118965	119058	118817	118350	117728	117303	116633	116137	115705	115336	114689	114350	114326	114868	115149	115234	114491	113735	113165	113379	113472	113519	113400	113302	112858	112482	112099	111654	112369	113017	114054	114132	114468	114617	114724	114924	115705	116650	117267	117141	116662	116218	115905	115276	114674	114373	114772	115442	116027	116732	117482	118479	119091	119927	120453	120897	120930	121014	121505	122007	122941	123273	123389	123255	123386	123511	123628	124252	124973
"Durham County"	999	"NC"	"Durham-Chapel Hill"	"37"	"063"	244	0	0	0	0	0	0	0	0	0	0	134905	134984	135396	136023	137165	138281	139716	140686	139268	137254	135274	135325	135607	135993	136535	137240	138098	139008	139789	140348	141027	141738	142473	143009	143500	143832	144145	144538	144927	145446	145849	146308	146835	147429	148083	148524	149026	149437	149984	150436	151044	151757	152462	153093	153582	154000	154444	154792	155067	155169	155451	155609	156286	156810	157710	158225	159043	159751	160478	160863	160586	160779	161039	161919	162149	162438	162811	163313	163706	164076	164410	164703	164994	165267	165386	165402	165453	165788	166138	166414	166768	167044	167449	167730	168105	168383	168588	168844	169132	169447	169719	170118	170664	171364	171964	172371	172690	172841	172966	173077	173475	174046	174676	175257	175968	176561	177144	177439	177568	177660	177679	178089	178536	179274	179835	180470	181030	181599	182110	182428	182828	183100	183388	183738	184269	185083	185942	186589	187196	187384	187625	187526	187501	187563	187420	187212	186851	186590	185871	184859	183969	183184	182389	181660	181008	180314	178976	178180	177385	177151	176373	176318	176521	177040	176977	177170	177334	177946	178287	178556	178290	177492	176622	176042	175469	175187	174635	174397	173872	173185	172019	170663	169319	168108	166632	165253	163883	162903	162030	161435	160667	160043	160195	160503	160893	160890	160734	160412	160097	160517	161448	162289	163915	165673	167435	168079	168467	168958	170141	171820	173593	174492	174593	174740	174589	174988	175254	176220	176683	176818	176813	176717	177011	177761	178827	179589	180199	180591	180898	181070	181588	182425	183505	184357	185273	186039	187137	187877	188690	189319	190545	191920	193328	193975	194760	195867	197539	199310	200731	202044	203298	204599	206093	207292	208367	209156	210084	211054	212666	214304	216218	218047	220282	222615	224312	225645	227075	229070	230469	232029	233833	235931	237820	239289	240905	242170	243598	244553	245279	245330	246008	246741	247888	248504	249657
"Buncombe County"	2156	"NC"	"Asheville"	"37"	"021"	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119551	119054	119985	120963	122236	122876	123767	125008	125800	126074	126151	126425	127198	128121	128664	129018	129385	130164	130775	131142	131682	132618	133761	134783	135675	136728	137651	138438	138823	139267	140298	141251	142207	142466	143238	143949	145029	145628	146296	146660	147393	148300	149336	150418	151538	152659	153531	154350	155307	156304	156978	157405	157830	158328	158816	159516	160464	161489	162467	163124	164194	165135	166009	166305	166551	167038	167994	168958	169718	170279	170931	171962	173064	174348	175373	176270	176766	177326	178161	179543	181203	182711	184159	185533	187170	188874	190622	191858	192875	194371	196543	198791	200602	202364	204341	206603	208853	211318	213670	215605	217100	218826	221432	225220	228096	230272	231378	232916	235023	236980	238720	238904	239490	240898	242583	244154	245230	246891	248004	248715	249268	249294	249935	250544	251525	249526	246784	245006	244764	244271	241874	239605	238054	237144	236212	235115	233880	233685	233023	230716	228112	225944	225726	225414	224404	222584	220899	219862	219944	219115	218764	216786	215291	213791	213904	213966	213567	213266	213132	213233	213020	212795	211560	209858	208027	206766	205498	204030	202862	202103	202005	202069	202313	202304	202362	202716	203527	204168	204709	204591	204658	205120	205102	205643	206410	208237	209304	210160	210869	211815	212135	213151	214392	215990	217537	219829	222044	223469	223497	223676	224191	225355	226233	226664	228171	229867	231283	231491	232177	233563	234823	235594	235344	235500	235986	237776	237266	237115	237304	239913	242290	244507	246469	248495	251021	254077	257568	260525	262203	263100	263782	265512	267081	268466	270255	272693	274858	276835	278051	279949	280508	282076	283148	285640	287466	289311	290409	291220	291762	292349	292938	293074	293314	293712	294573	295343	295453	295821	296316	297094	298672	299719	300872	301194
"Gaston County"	1032	"NC"	"Charlotte-Concord-Gastonia"	"37"	"071"	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90353	90604	91463	92820	94002	94222	94151	94573	95646	96784	97525	97936	98330	98797	99222	99652	100033	100479	101052	101539	102016	102358	102792	103330	103763	104307	104716	105127	105593	105991	106427	106755	107309	107984	108630	109061	109223	109669	110109	110967	111472	111894	112114	112294	112499	112611	112888	113406	113982	114351	114792	115237	115471	115121	114611	114307	114396	114543	114877	115031	115092	114848	114644	114404	114572	114864	115171	115310	115300	115282	115302	115433	115628	115858	116135	116587	116833	116948	117024	117067	117446	117678	117993	118086	118473	118875	119226	119161	119121	119026	119016	119043	119195	119523	119850	120140	120359	120623	120919	121333	121802	122178	122558	122667	122876	123034	123494	123963	124502	124755	124983	125166	125547	125773	125984	126237	126730	127450	128177	128818	129142	129510	129919	130316	130411	130707	130697	130872	130329	129748	128710	127757	127165	126693	125732	124089	122012	121153	120724	120622	119965	119735	119700	120147	119739	119599	119330	119688	120903	120847	120321	118961	118385	118243	117687	116963	116021	115072	114182	112408	110737	109647	109687	109647	109230	108543	107422	106347	105875	105932	106275	107262	107393	107738	107524	108439	109005	109457	109717	109826	109851	109837	109385	108747	108579	109155	109346	109628	109834	110517	110672	110273	110305	110596	111630	112198	112817	113354	114248	114931	115096	114697	114327	114557	114765	114563	114223	114042	114425	115470	116601	117337	117782	118508	119823	120633	121245	121402	121478	121410	121368	121691	122825	123834	124601	124788	125568	127148	128982	131137	132765	134622	135807	136690	137089	137388	138126	138510	139577	140505	141944	142921	143801	144797	146383	148508	150813	152883	154618	156061	157204	158683	159929	161797	163026	164554	166030	167259	168020	168563	169230	170130	170903	171614	172067	172194	173219
"New Hanover County"	3109	"NC"	"Wilmington"	"37"	"129"	304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164382	164167	164120	163806	163990	163378	163374	163065	164353	165331	166378	166365	165807	165772	165995	167182	168078	169106	170343	170880	171880	172002	172607	172356	172169	171836	171931	172272	172689	172955	172958	173280	174061	175014	175235	174838	174781	174975	175460	175282	175114	175139	175521	176043	176629	177222	177697	177458	176974	176599	176762	177322	177951	178399	179001	179788	180750	181562	182024	182299	182531	182956	183803	184749	186081	187167	188414	191867	192620	194552	194602	198071	200967	204071	207132	210358	213367	216581	219374	221980	224784	227840	231444	234953	238763	242588	246175	248909	250740	253016	254771	255398	255548	255580	257007	259801	262963	266262	265098	263737	261509	261934	261938	261301	259033	255653	253827	253242	253225	252192	250987	250820	250070	247953	245035	241967	240192	239801	238765	236357	232819	230230	228864	226972	225378	224579	224209	222688	219994	217971	217914	217975	217423	216054	214603	213233	211424	209255	206177	204437	203616	202538	199964	197243	195936	194974	194165	192637	191452	189825	189828	189241	188999	186808	185851	185323	185392	185112	184623	184652	184665	185060	185287	185430	185405	186756	188649	189945	191139	192786	195997	198626	200520	201734	202046	203573	203832	204007	204068	203893	203667	201854	200435	199518	199449	199746	200696	200621	201359	202353	203799	205327	206902	208521	209991	210402	210393	210542	210479	211159	211505	212411	212992	214567	216311	217278	216796	216989	218740	220652	222059	222464	222620	222944	224024	225551	226695	228164	230160	232101	233916	234853	236039	237225	240475	243324	244509	243687	243120	243368	243675	243730	244092	245192	246563	248040	248569	249071	249410	250602	251805	253618	254949	256423	257695	258754	259909	261670
