Zip Code,city,state_id,state_name,county_name,Total Population,Median Age,Total Males,Total Females,Total Households,Average Household Size
90001,Los Angeles,CA,California,Los Angeles,57110,26.6,28468,28642,12971,4.4
90002,Los Angeles,CA,California,Los Angeles,51223,25.5,24876,26347,11731,4.36
90003,Los Angeles,CA,California,Los Angeles,66266,26.3,32631,33635,15642,4.22
90004,Los Angeles,CA,California,Los Angeles,62180,34.8,31302,30878,22547,2.73
90005,Los Angeles,CA,California,Los Angeles,37681,33.9,19299,18382,15044,2.5
90006,Los Angeles,CA,California,Los Angeles,59185,32.4,30254,28931,18617,3.13
90007,Los Angeles,CA,California,Los Angeles,40920,24,20915,20005,11944,3
90008,Los Angeles,CA,California,Los Angeles,32327,39.7,14477,17850,13841,2.33
90010,Los Angeles,CA,California,Los Angeles,3800,37.8,1874,1926,2014,1.87
90011,Los Angeles,CA,California,Los Angeles,103892,26.2,52794,51098,22168,4.67
90012,Los Angeles,CA,California,Los Angeles,31103,36.3,19493,11610,10327,2.12
90013,Los Angeles,CA,California,Los Angeles,11772,44.6,7629,4143,6416,1.26
90014,Los Angeles,CA,California,Los Angeles,7005,44.8,4471,2534,4109,1.34
90015,Los Angeles,CA,California,Los Angeles,18986,31.3,9833,9153,7420,2.45
90016,Los Angeles,CA,California,Los Angeles,47596,33.9,22778,24818,16145,2.93
90017,Los Angeles,CA,California,Los Angeles,23768,29.4,12818,10950,9338,2.53
90018,Los Angeles,CA,California,Los Angeles,49310,33.2,23770,25540,15493,3.12
90019,Los Angeles,CA,California,Los Angeles,64458,35.8,31442,33016,23344,2.7
90020,Los Angeles,CA,California,Los Angeles,38967,34.6,19381,19586,16514,2.35
90021,Los Angeles,CA,California,Los Angeles,3951,44.3,2790,1161,1561,1.57
90022,Los Angeles,CA,California,Los Angeles,67179,29.8,33216,33963,17023,3.94
90023,Los Angeles,CA,California,Los Angeles,45903,28.4,23037,22866,10727,4.26
90024,Los Angeles,CA,California,Los Angeles,47452,23.6,22248,25204,17903,2.03
90025,Los Angeles,CA,California,Los Angeles,42147,34.7,20859,21288,21228,1.97
90026,Los Angeles,CA,California,Los Angeles,67869,34,34515,33354,24956,2.68
90027,Los Angeles,CA,California,Los Angeles,45151,38.3,22362,22789,21929,1.99
90028,Los Angeles,CA,California,Los Angeles,28714,34,16056,12658,14964,1.78
90029,Los Angeles,CA,California,Los Angeles,38617,34.6,19575,19042,13883,2.7
90031,Los Angeles,CA,California,Los Angeles,39316,33.5,19546,19770,11156,3.49
90032,Los Angeles,CA,California,Los Angeles,45786,32.4,22564,23222,12765,3.52
90033,Los Angeles,CA,California,Los Angeles,48852,29.2,24425,24427,12924,3.66
90034,Los Angeles,CA,California,Los Angeles,57964,32.8,28828,29136,25592,2.23
90035,Los Angeles,CA,California,Los Angeles,28418,37.5,13326,15092,12814,2.19
90036,Los Angeles,CA,California,Los Angeles,36865,33.9,17914,18951,18646,1.96
90037,Los Angeles,CA,California,Los Angeles,62276,28.8,31187,31089,15869,3.85
90038,Los Angeles,CA,California,Los Angeles,28917,33.1,15383,13534,11928,2.41
90039,Los Angeles,CA,California,Los Angeles,28514,38.8,14383,14131,11436,2.47
90040,Los Angeles,CA,California,Los Angeles,12520,31.2,6129,6391,3317,3.75
90041,Los Angeles,CA,California,Los Angeles,27425,39,13212,14213,9513,2.71
90042,Los Angeles,CA,California,Los Angeles,62430,33.6,30836,31594,19892,3.11
90043,Los Angeles,CA,California,Los Angeles,44789,38.7,20561,24228,16075,2.76
90044,Los Angeles,CA,California,Los Angeles,89779,28.6,43128,46651,25144,3.55
90045,Los Angeles,CA,California,Los Angeles,39480,35.6,18958,20522,15224,2.37
90046,Los Angeles,CA,California,Los Angeles,48581,38.5,25854,22727,28534,1.69
90047,Los Angeles,CA,California,Los Angeles,48606,36.2,22129,26477,16168,2.99
90048,Los Angeles,CA,California,Los Angeles,21397,39.2,10132,11265,11821,1.77
90049,Los Angeles,CA,California,Los Angeles,35482,41.3,16359,19123,16657,2.09
90056,Los Angeles,CA,California,Los Angeles,7827,48.4,3436,4391,3371,2.32
90057,Los Angeles,CA,California,Los Angeles,44998,31.2,24300,20698,15658,2.81
90058,Los Angeles,CA,California,Los Angeles,3223,26,1555,1668,892,3.6
90059,Los Angeles,CA,California,Los Angeles,40952,25.7,19623,21329,9596,4.19
90061,Los Angeles,CA,California,Los Angeles,26872,28.4,13049,13823,6892,3.85
90062,Los Angeles,CA,California,Los Angeles,32821,31.8,15720,17101,9155,3.55
90063,Los Angeles,CA,California,Los Angeles,55758,29,27843,27915,13260,4.19
90064,Los Angeles,CA,California,Los Angeles,25403,40,12297,13106,10968,2.29
90065,Los Angeles,CA,California,Los Angeles,45527,36.1,22873,22654,14476,3.12
90066,Los Angeles,CA,California,Los Angeles,55277,37.3,27714,27563,23985,2.29
90067,Los Angeles,CA,California,Los Angeles,2424,65.3,1074,1350,1510,1.61
90068,Los Angeles,CA,California,Los Angeles,22286,39.4,12018,10268,12326,1.8
90069,West Hollywood,CA,California,Los Angeles,20483,41.5,12153,8330,13364,1.53
90071,Los Angeles,CA,California,Los Angeles,15,45.5,13,2,0,0
90073,Los Angeles,CA,California,Los Angeles,539,56.9,506,33,4,1.25
90077,Los Angeles,CA,California,Los Angeles,9377,47.9,4594,4783,3615,2.57
90079,Los Angeles,CA,California,Los Angeles,0,0,0,0,0,0
90089,Los Angeles,CA,California,Los Angeles,3217,19.3,1436,1781,31,1.94
90090,Dodgertown,CA,California,Los Angeles,0,0,0,0,0,0
90094,Playa Vista,CA,California,Los Angeles,5464,33.7,2559,2905,2949,1.85
90095,Los Angeles,CA,California,Los Angeles,3,52.5,2,1,2,1.5
90201,Bell Gardens,CA,California,Los Angeles,101279,27.8,50658,50621,24104,4.16
90210,Beverly Hills,CA,California,Los Angeles,21741,47.5,10292,11449,8669,2.49
90211,Beverly Hills,CA,California,Los Angeles,8434,40.6,3849,4585,3706,2.28
