127.0.0.1, 2020-12-04 16:52:30, GET, /, HTTP/1.1, 303, 0.015224
127.0.0.1, 2020-12-04 16:52:31, GET, /welcome/default/index, HTTP/1.1, 200, 1.227772
127.0.0.1, 2020-12-04 16:52:31, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002535
127.0.0.1, 2020-12-04 16:52:31, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.002955
127.0.0.1, 2020-12-04 16:52:31, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.005059
127.0.0.1, 2020-12-04 16:52:31, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.006136
127.0.0.1, 2020-12-04 16:52:31, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.004092
127.0.0.1, 2020-12-04 16:52:31, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.008134
127.0.0.1, 2020-12-04 16:52:31, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.004237
127.0.0.1, 2020-12-04 16:52:31, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.007244
127.0.0.1, 2020-12-04 16:52:32, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.001004
127.0.0.1, 2020-12-04 16:52:33, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
