Column1,Rank & Title,IMDb Rating,Your Rating,2
,1. The Shawshank Redemption (1994),9.2,"12345678910
NOT YET RELEASED
Seen",
,2. The Godfather (1972),9.2,"12345678910
NOT YET RELEASED
Seen",
,3. The Godfather: Part II (1974),9,"12345678910
NOT YET RELEASED
Seen",
,4. The Dark Knight (2008),9,"12345678910
NOT YET RELEASED
Seen",
,5. 12 Angry Men (1957),8.9,"12345678910
NOT YET RELEASED
Seen",
,6. Schindler's List (1993),8.9,"12345678910
NOT YET RELEASED
Seen",
,7. The Lord of the Rings: The Return of the King (2003),8.9,"12345678910
NOT YET RELEASED
Seen",
,8. Pulp Fiction (1994),8.9,"12345678910
NOT YET RELEASED
Seen",
,9. Avengers: Infinity War (2018),8.8,"12345678910
NOT YET RELEASED
Seen",
,"10. The Good, the Bad and the Ugly (1966)",8.8,"12345678910
NOT YET RELEASED
Seen",
,11. Fight Club (1999),8.8,"12345678910
NOT YET RELEASED
Seen",
,12. The Lord of the Rings: The Fellowship of the Ring (2001),8.8,"12345678910
NOT YET RELEASED
Seen",
,13. Forrest Gump (1994),8.7,"12345678910
NOT YET RELEASED
Seen",
,14. Star Wars: Episode V - The Empire Strikes Back (1980),8.7,"12345678910
NOT YET RELEASED
Seen",
,15. Inception (2010),8.7,"12345678910
NOT YET RELEASED
Seen",
,16. The Lord of the Rings: The Two Towers (2002),8.7,"12345678910
NOT YET RELEASED
Seen",
,17. One Flew Over the Cuckoo's Nest (1975),8.7,"12345678910
NOT YET RELEASED
Seen",
,18. Goodfellas (1990),8.7,"12345678910
NOT YET RELEASED
Seen",
,19. The Matrix (1999),8.6,"12345678910
NOT YET RELEASED
Seen",
,20. Seven Samurai (1954),8.6,"12345678910
NOT YET RELEASED
Seen",
,21. City of God (2002),8.6,"12345678910
NOT YET RELEASED
Seen",
,22. Star Wars: Episode IV - A New Hope (1977),8.6,"12345678910
NOT YET RELEASED
Seen",
,23. Se7en (1995),8.6,"12345678910
NOT YET RELEASED
Seen",
,24. The Silence of the Lambs (1991),8.6,"12345678910
NOT YET RELEASED
Seen",
,25. It's a Wonderful Life (1946),8.6,"12345678910
NOT YET RELEASED
Seen",
,26. Life Is Beautiful (1997),8.6,"12345678910
NOT YET RELEASED
Seen",
,27. The Usual Suspects (1995),8.6,"12345678910
NOT YET RELEASED
Seen",
,28. Spirited Away (2001),8.5,"12345678910
NOT YET RELEASED
Seen",
,29. Saving Private Ryan (1998),8.5,"12345678910
NOT YET RELEASED
Seen",
,30. Léon: The Professional (1994),8.5,"12345678910
NOT YET RELEASED
Seen",
,31. Interstellar (2014),8.5,"12345678910
NOT YET RELEASED
Seen",
,32. The Green Mile (1999),8.5,"12345678910
NOT YET RELEASED
Seen",
,33. American History X (1998),8.5,"12345678910
NOT YET RELEASED
Seen",
,34. Psycho (1960),8.5,"12345678910
NOT YET RELEASED
Seen",
,35. Once Upon a Time in the West (1968),8.5,"12345678910
NOT YET RELEASED
Seen",
,36. City Lights (1931),8.5,"12345678910
NOT YET RELEASED
Seen",
,37. Casablanca (1942),8.5,"12345678910
NOT YET RELEASED
Seen",
,38. Modern Times (1936),8.5,"12345678910
NOT YET RELEASED
Seen",
,39. The Intouchables (2011),8.5,"12345678910
NOT YET RELEASED
Seen",
,40. The Pianist (2002),8.5,"12345678910
NOT YET RELEASED
Seen",
,41. The Departed (2006),8.5,"12345678910
NOT YET RELEASED
Seen",
,42. Terminator 2 (1991),8.5,"12345678910
NOT YET RELEASED
Seen",
,43. Raiders of the Lost Ark (1981),8.5,"12345678910
NOT YET RELEASED
Seen",
,44. Back to the Future (1985),8.5,"12345678910
NOT YET RELEASED
Seen",
,45. Rear Window (1954),8.5,"12345678910
NOT YET RELEASED
Seen",
,46. Whiplash (2014),8.5,"12345678910
NOT YET RELEASED
Seen",
,47. Gladiator (2000),8.5,"12345678910
NOT YET RELEASED
Seen",
,48. The Lion King (1994),8.5,"12345678910
NOT YET RELEASED
Seen",
,49. The Prestige (2006),8.5,"12345678910
NOT YET RELEASED
Seen",
,50. Memento (2000),8.4,"12345678910
NOT YET RELEASED
Seen",
,51. Apocalypse Now (1979),8.4,"12345678910
NOT YET RELEASED
Seen",
,52. Alien (1979),8.4,"12345678910
NOT YET RELEASED
Seen",
,53. The Great Dictator (1940),8.4,"12345678910
NOT YET RELEASED
Seen",
,54. Cinema Paradiso (1988),8.4,"12345678910
NOT YET RELEASED
Seen",
,55. Sunset Boulevard (1950),8.4,"12345678910
NOT YET RELEASED
Seen",
,56. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),8.4,"12345678910
NOT YET RELEASED
Seen",
,57. Grave of the Fireflies (1988),8.4,"12345678910
NOT YET RELEASED
Seen",
,58. The Lives of Others (2006),8.4,"12345678910
NOT YET RELEASED
Seen",
,59. Paths of Glory (1957),8.4,"12345678910
NOT YET RELEASED
Seen",
,60. The Shining (1980),8.4,"12345678910
NOT YET RELEASED
Seen",
,61. Django Unchained (2012),8.4,"12345678910
NOT YET RELEASED
Seen",
,62. Coco (2017),8.4,"12345678910
NOT YET RELEASED
Seen",
,63. WALL·E (2008),8.4,"12345678910
NOT YET RELEASED
Seen",
,64. Princess Mononoke (1997),8.4,"12345678910
NOT YET RELEASED
Seen",
,65. American Beauty (1999),8.4,"12345678910
NOT YET RELEASED
Seen",
,66. The Dark Knight Rises (2012),8.4,"12345678910
NOT YET RELEASED
Seen",
,67. Oldboy (2003),8.4,"12345678910
NOT YET RELEASED
Seen",
,68. Witness for the Prosecution (1957),8.4,"12345678910
NOT YET RELEASED
Seen",
,69. Aliens (1986),8.4,"12345678910
NOT YET RELEASED
Seen",
,70. Once Upon a Time in America (1984),8.3,"12345678910
NOT YET RELEASED
Seen",
,71. Das Boot (1981),8.3,"12345678910
NOT YET RELEASED
Seen",
,72. Citizen Kane (1941),8.3,"12345678910
NOT YET RELEASED
Seen",
,73. Vertigo (1958),8.3,"12345678910
NOT YET RELEASED
Seen",
,74. North by Northwest (1959),8.3,"12345678910
NOT YET RELEASED
Seen",
,75. Braveheart (1995),8.3,"12345678910
NOT YET RELEASED
Seen",
,76. Reservoir Dogs (1992),8.3,"12345678910
NOT YET RELEASED
Seen",
,77. Star Wars: Episode VI - Return of the Jedi (1983),8.3,"12345678910
NOT YET RELEASED
Seen",
,78. M (1931),8.3,"12345678910
NOT YET RELEASED
Seen",
,79. Your Name (2016),8.3,"12345678910
NOT YET RELEASED
Seen",
,80. Dangal (2016),8.3,"12345678910
NOT YET RELEASED
Seen",
,81. Requiem for a Dream (2000),8.3,"12345678910
NOT YET RELEASED
Seen",
,82. Amadeus (1984),8.3,"12345678910
NOT YET RELEASED
Seen",
,83. Like Stars on Earth (2007),8.3,"12345678910
NOT YET RELEASED
Seen",
,84. Amélie (2001),8.3,"12345678910
NOT YET RELEASED
Seen",
,85. A Clockwork Orange (1971),8.3,"12345678910
NOT YET RELEASED
Seen",
,86. Lawrence of Arabia (1962),8.3,"12345678910
NOT YET RELEASED
Seen",
,87. Eternal Sunshine of the Spotless Mind (2004),8.3,"12345678910
NOT YET RELEASED
Seen",
,88. Double Indemnity (1944),8.3,"12345678910
NOT YET RELEASED
Seen",
,89. Taxi Driver (1976),8.3,"12345678910
NOT YET RELEASED
Seen",
,90. Singin' in the Rain (1952),8.3,"12345678910
NOT YET RELEASED
Seen",
,91. 2001: A Space Odyssey (1968),8.3,"12345678910
NOT YET RELEASED
Seen",
,92. Toy Story (1995),8.3,"12345678910
NOT YET RELEASED
Seen",
,93. 3 Idiots (2009),8.3,"12345678910
NOT YET RELEASED
Seen",
,94. To Kill a Mockingbird (1962),8.3,"12345678910
NOT YET RELEASED
Seen",
,95. Full Metal Jacket (1987),8.3,"12345678910
NOT YET RELEASED
Seen",
,96. Inglourious Basterds (2009),8.3,"12345678910
NOT YET RELEASED
Seen",
,97. Bicycle Thieves (1948),8.3,"12345678910
NOT YET RELEASED
Seen",
,98. The Sting (1973),8.3,"12345678910
NOT YET RELEASED
Seen",
,99. The Kid (1921),8.3,"12345678910
NOT YET RELEASED
Seen",
,100. Toy Story 3 (2010),8.3,"12345678910
NOT YET RELEASED
Seen",
,101. Snatch (2000),8.3,"12345678910
NOT YET RELEASED
Seen",
,102. Good Will Hunting (1997),8.3,"12345678910
NOT YET RELEASED
Seen",
,103. The Hunt (2012),8.3,"12345678910
NOT YET RELEASED
Seen",
,104. Monty Python and the Holy Grail (1975),8.3,"12345678910
NOT YET RELEASED
Seen",
,105. For a Few Dollars More (1965),8.2,"12345678910
NOT YET RELEASED
Seen",
,106. Scarface (1983),8.2,"12345678910
NOT YET RELEASED
Seen",
,107. L.A. Confidential (1997),8.2,"12345678910
NOT YET RELEASED
Seen",
,108. The Apartment (1960),8.2,"12345678910
NOT YET RELEASED
Seen",
,109. Metropolis (1927),8.2,"12345678910
NOT YET RELEASED
Seen",
,110. A Separation (2011),8.2,"12345678910
NOT YET RELEASED
Seen",
,111. Rashomon (1950),8.2,"12345678910
NOT YET RELEASED
Seen",
,112. Indiana Jones and the Last Crusade (1989),8.2,"12345678910
NOT YET RELEASED
Seen",
,113. Up (2009),8.2,"12345678910
NOT YET RELEASED
Seen",
,114. Yojimbo (1961),8.2,"12345678910
NOT YET RELEASED
Seen",
,115. All About Eve (1950),8.2,"12345678910
NOT YET RELEASED
Seen",
,116. Batman Begins (2005),8.2,"12345678910
NOT YET RELEASED
Seen",
