Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Acceleration,Aggression,Agility,Balance,Ball Control,Composure,Crossing,Curve,Dribbling,FK Accuracy,Finishing,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Heading Accuracy,Interceptions,Jumping,Long Passing,Long Shots,Marking,Penalties,Positioning,Reactions,Short Passing,Shot Power,Sliding Tackle,Sprint Speed,Stamina,Standing Tackle,Strength,Vision,Volleys
L. Messi,30,https://cdn.sofifa.org/sm/18/players/158023.png,Argentina,https://cdn.sofifa.org/flags/52.png,94,94,FC Barcelona,https://cdn.sofifa.org/xs/18/teams/241.png,118500000.0,565000.0,2161,92,48,90,95,96,97,77,90,97,92,95,6,11,15,14,8,71,22,67,87,88,13,75,93,95,88,85,26,87,73,28,59,92,86
Cristiano Ronaldo,32,https://cdn.sofifa.org/sm/18/players/20801.png,Portugal,https://cdn.sofifa.org/flags/38.png,94,94,Real Madrid CF,https://cdn.sofifa.org/xs/18/teams/243.png,95500000.0,565000.0,2228,89,63,89,63,93,95,85,81,91,76,94,7,11,15,14,11,88,29,95,77,92,22,85,95,96,83,94,23,91,92,31,80,85,88
Neymar,25,https://cdn.sofifa.org/sm/18/players/190871.png,Brazil,https://cdn.sofifa.org/flags/54.png,92,93,Paris Saint-Germain,https://cdn.sofifa.org/xs/18/teams/73.png,119500000.0,280000.0,2105,94,56,96,82,95,92,75,82,96,84,88,9,9,15,15,11,62,36,61,75,78,21,81,90,88,82,80,33,90,78,24,53,83,83
L. Suárez,30,https://cdn.sofifa.org/sm/18/players/176580.png,Uruguay,https://cdn.sofifa.org/flags/60.png,92,92,FC Barcelona,https://cdn.sofifa.org/xs/18/teams/241.png,97000000.0,510000.0,2321,88,87,86,78,91,85,77,86,86,84,94,27,25,31,33,37,77,41,69,64,86,30,85,92,93,83,87,38,77,89,45,83,84,88
M. Neuer,31,https://cdn.sofifa.org/sm/18/players/167495.png,Germany,https://cdn.sofifa.org/flags/21.png,92,92,FC Bayern Munich,https://cdn.sofifa.org/xs/18/teams/21.png,61000000.0,230000.0,1487,56,29,51,35,48,70,15,14,30,11,13,91,90,95,91,89,25,30,77,59,16,10,47,12,85,55,25,11,60,43,10,83,70,11
De Gea,26,https://cdn.sofifa.org/sm/18/players/193080.png,Spain,https://cdn.sofifa.org/flags/45.png,91,93,Manchester United,https://cdn.sofifa.org/xs/18/teams/11.png,74500000.0,295000.0,1465,57,38,60,43,42,64,17,21,18,19,13,90,85,87,88,93,21,30,67,51,12,13,40,12,90,50,31,13,58,40,21,64,68,13
K. De Bruyne,26,https://cdn.sofifa.org/sm/18/players/192985.png,Belgium,https://cdn.sofifa.org/flags/7.png,91,92,Manchester City,https://cdn.sofifa.org/xs/18/teams/10.png,104500000.0,395000.0,2234,78,73,82,79,90,86,92,85,86,83,83,15,13,5,10,13,54,60,65,87,88,40,77,86,90,91,89,51,76,88,58,73,92,82
R. Lewandowski,28,https://cdn.sofifa.org/sm/18/players/188545.png,Poland,https://cdn.sofifa.org/flags/37.png,91,91,FC Bayern Munich,https://cdn.sofifa.org/xs/18/teams/21.png,92000000.0,355000.0,2151,79,80,78,80,89,87,62,77,85,84,91,15,6,12,8,10,85,39,84,65,84,25,88,91,91,85,88,19,79,79,42,84,78,89
E. Hazard,26,https://cdn.sofifa.org/sm/18/players/183277.png,Belgium,https://cdn.sofifa.org/flags/7.png,91,91,Chelsea,https://cdn.sofifa.org/xs/18/teams/5.png,95500000.0,405000.0,2122,93,54,93,93,93,89,81,83,94,79,84,11,12,6,8,8,60,41,59,83,80,25,86,87,87,89,79,22,88,81,27,67,89,80
T. Kroos,27,https://cdn.sofifa.org/sm/18/players/182521.png,Germany,https://cdn.sofifa.org/flags/21.png,90,90,Real Madrid CF,https://cdn.sofifa.org/xs/18/teams/243.png,79000000.0,340000.0,2189,65,60,71,71,89,85,85,85,79,84,76,10,11,13,7,10,54,81,32,93,90,67,73,79,89,90,87,69,66,77,82,74,88,82
