OID,IDTRSD,TreeSpecie,TreeDia,TreeDist
0,01S3605NW,FIR,12,19
1,01S3605W,FIR,6,12
2,01S3606NW,FIR,16,41
3,01S3606W,FIR,6,7
4,01S3607N,PINE,15,186
5,01S3607NW,PINE,30,76
6,01S3607W,FIR,12,20
7,01S3608N,PINE,18,242
8,01S3608NW,PINE,22,200
9,01S3608W,FIR,4,16
10,01S3609NW,FIR,6,127
11,01S3610NW,FIR,6,88
12,01S3610W,FIR,22,27
13,01S3612N,SPRUCE,7,24
14,01S3612NE,PINE,7,7
15,01S3612NW,FIR,5,17
16,01S3612W,PINE,36,80
17,01S3613N,PINE,30,106
18,01S3613NE,PINE,28,66
19,01S3613NW,PINE,22,250
20,01S3613W,PINE,18,89
21,01S3614N,FIR,22,32
22,01S3614W,COTTONWOOD,20,86
23,01S3615NW,PINE,22,75
24,01S3615W,FIR,14,22
25,01S3616NW,PINE,5,26
26,01S3617N,SPRUCE,12,15
27,01S3617NW,PINE,12,140
28,01S3617W,FIR,5,25
29,01S3618N,WESTERN LARCH,14,48
30,01S3618NW,PINE,11,17
31,01S3618W,SPRUCE,11,8
32,01S3619N,FIR,12,25
33,01S3619NW,PINE,14,162
34,01N3624N,PINE,6,103
35,01N3624W,PINE,10,145
36,01N3626NW,PINE,28,200
37,01N3627N,FIR,28,34
38,01N3627NW,FIR,18,34
39,01N3628NW,FIR,5,115
40,01N3629N,FIR,8,52
41,01N3629NW,PINE,18,172
42,01N3630N,FIR,12,200
43,01N3630NW,PINE,30,23
44,01N3630W,PINE,28,125
45,01N3631N,FIR,12,12
46,01N3631NW,FIR,7,150
47,01N3631S,FIR,12,23
48,01N3631SW,SPRUCE,8,31
49,01N3631W,PINE,30,10
50,01N3632NW,FIR,24,46
51,01N3632S,PINE,24,67
52,01N3632SW,PINE,34,63
53,01N3632W,FIR,8,6
54,01N3633S,PINE,12,123
55,01N3633SW,FIR,8,24
56,01N3634N,FIR,20,309
57,01N3634S,WESTERN LARCH,18,19
58,01N3634SW,FIR,20,62
59,01N3634W,FIR,6,48
60,01N3635N,FIR,8,75
61,01N3635NW,FIR,12,90
62,01N3635W,FIR,4,21
63,01N3636N,FIR,30,248
64,01N3636NW,FIR,15,28
65,01N3636S,WESTERN LARCH,8,12
66,01N3701NW,FIR,28,79
67,01N3702N,FIR,10,43
68,01N3702NW,FIR,26,136
69,01N3703NW,FIR,20,295
70,01N3704NW,FIR,16,100
71,01N3704W,WESTERN LARCH,20,23
72,01N3705NW,FIR,16,100
73,01N3705W,ALDER,4,20
74,01N3706N,FIR,46,6
75,01N3706NW,FIR,18,18
76,01N3706W,FIR,12,24
77,01N3707N,FIR,28,23
78,01N3707NW,FIR,12,50
79,01N3707W,PINE,3,86
80,01N3708N,FIR,5,11
81,01N3708NW,FIR,8,45
82,01N3708W,FIR,4,33
83,01N3709NW,FIR,45,54
84,01N3716NW,FIR,15,104
85,01N3716W,PINE,6,19
86,01N3717N,FIR,5,25
87,01N3717NW,WESTERN LARCH,3,96
88,01N3718N,WESTERN LARCH,15,113
89,01N3718NW,PINE,24,200
90,01N3718W,FIR,10,20
91,01N3719NW,PINE,24,119
92,01N3719W,PINE,30,25
93,01N3720NW,FIR,24,133
94,01N3720W,PINE,8,137
95,01N3721N,PINE,28,166
96,01N3721NW,FIR,8,30
97,01N3722NW,FIR,12,15
98,01N3722W,FIR,24,100
99,01N3723N,FIR,14,42
100,01N3723NW,WESTERN LARCH,20,18
101,01N3724NW,FIR,20,40
102,01N3724W,FIR,28,9
103,01N3725NW,FIR,5,52
104,01N3725W,FIR,16,46
105,01N3726N,FIR,12,19
106,01N3726NW,PINE,30,223
107,01N3726W,WILLOW,5,32
108,01N3727NW,PINE,6,9
109,01N3727W,PINE,6,50
110,01N3728NW,FIR,8,43
111,01N3728W,WESTERN LARCH,20,13
112,01N3729N,FIR,18,36
113,01N3729NW,FIR,18,117
114,01N3730N,CHERRY,4,20
115,01N3730NW,PINE,18,48
116,01N3730W,BALM,28,15
117,01N3731N,PINE,12,28
118,01N3731NW,PINE,24,360
119,01N3731S,CHERRY,3,15
120,01N3731SW,HEMLOCK,14,46
121,01N3731W,FIR,14,30
122,01N3732NW,FIR,24,60
123,01N3732S,FIR,12,15
124,01N3732SW,FIR,10,50
125,01N3732W,PINE,14,39
126,01N3733S,FIR,7,16
127,01N3733SW,WESTERN LARCH,15,15
128,01N3734NW,WILLOW,6,8
129,01N3734SW,FIR,30,19
130,01N3734W,FIR,30,50
131,01N3735NW,FIR,5,45
132,01N3735S,WESTERN LARCH,12,10
133,01N3735SW,WESTERN LARCH,11,26
134,01N3736N,FIR,4,52
135,02S3503NW,WESTERN LARCH,12,22
136,02S3503W,FIR,9,29
137,03N3721N,FIR,28,25
138,03N3721NW,FIR,34,142
139,03N3721W,WESTERN LARCH,7,129
140,03N3722NW,FIR,30,209
141,03N3722W,FIR,16,25
142,03N3723N,BIRCH,6,28
143,03N3723NW,PINE,18,65
144,03N3723W,FIR,24,69
145,03N3724E,WESTERN LARCH,28,9
146,03N3724N,FIR,6,4
147,03N3724NW,FIR,8,73
148,01S3602NW,PINE,20,144
149,01S3604NW,FIR,24,20
150,01S3604W,FIR,6,9
151,01S3528W,FIR,20,18
152,01S3529N,PINE,24,85
153,01N3513N,WESTERN LARCH,9,26
154,01N3513NW,FIR,8,89
155,01N3513W,PINE,15,161
156,01N3523N,FIR,10,62
157,01N3523W,FIR,10,43
158,01N3524N,FIR,9,24
159,01N3524NW,WESTERN LARCH,18,97
160,01N3524W,PINE,26,81
161,01N3525N,FIR,16,7
162,01N3525NW,WESTERN LARCH,14,52
163,01N3525W,FIR,22,14
164,01N3526N,PINE,16,51
165,01N3526NW,PINE,30,100
166,01N3526W,PINE,24,61
167,01N3527N,FIR,8,37
168,01N3527NW,PINE,16,49
