FILEID,STUSAB,SUMLEVEL,COMPONENT,LOGRECNO,US,REGION,DIVISION,STATECE,STATE,COUNTY,COUSUB,PLACE,TRACT,BLKGRP,CONCIT,AIANHH,AIANHHFP,AIHHTLI,AITSCE,AITS,ANRC,CBSA,CSA,METDIV,MACC,MEMI,NECTA,CNECTA,NECTADIV,UA,BLANK,CDCURR,SLDU,SLDL,BLANK,BLANK,ZCTA5,SUBMCD,SDELM,SDSEC,SDUNI,UR,PCI,BLANK,BLANK,PUMA5,BLANK,GEOID,NAME,BTTR,BTBG,BLANK
ACSSF,CA,40,0,1,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04000US06,California,,,
ACSSF,CA,40,1,2,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,,,04001US06,California -- Urban,,,
ACSSF,CA,40,43,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,04043US06,California -- Rural,,,
ACSSF,CA,40,A0,4,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,040A0US06,California -- In metropolitan or micropolitan statistical area,,,
ACSSF,CA,40,C0,5,,,,,6,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,040C0US06,California -- In metropolitan statistical area,,,
ACSSF,CA,40,C1,6,,,,,6,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,Y,,,,,040C1US06,California -- In metropolitan statistical area -- in principal city,,,
ACSSF,CA,40,C2,7,,,,,6,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,040C2US06,California -- In metropolitan statistical area -- not in principal city,,,
ACSSF,CA,40,E0,8,,,,,6,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,040E0US06,California -- In micropolitan statistical area,,,
ACSSF,CA,40,E1,9,,,,,6,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,Y,,,,,040E1US06,California -- In micropolitan statistical area -- in principal city,,,
ACSSF,CA,40,E2,10,,,,,6,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,040E2US06,California -- In micropolitan statistical area -- not in principal city,,,
ACSSF,CA,40,G0,11,,,,,6,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,040G0US06,California -- Not in metropolitan or micropolitan statistical area,,,
ACSSF,CA,40,H0,12,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,040H0US06,California -- Not in metropolitan statistical area,,,
ACSSF,CA,50,0,13,,,,,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US06001,"Alameda County, California",,,
ACSSF,CA,50,0,14,,,,,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US06007,"Butte County, California",,,
ACSSF,CA,50,0,15,,,,,6,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US06013,"Contra Costa County, California",,,
ACSSF,CA,50,0,16,,,,,6,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US06017,"El Dorado County, California",,,
ACSSF,CA,50,0,17,,,,,6,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US06019,"Fresno County, California",,,
ACSSF,CA,50,0,18,,,,,6,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US06023,"Humboldt County, California",,,
ACSSF,CA,50,0,19,,,,,6,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US06025,"Imperial County, California",,,
ACSSF,CA,50,0,20,,,,,6,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US06029,"Kern County, California",,,
ACSSF,CA,50,0,21,,,,,6,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US06031,"Kings County, California",,,
ACSSF,CA,50,0,22,,,,,6,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US06033,"Lake County, California",,,
ACSSF,CA,50,0,23,,,,,6,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US06037,"Los Angeles County, California",,,
ACSSF,CA,50,0,24,,,,,6,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US06039,"Madera County, California",,,
ACSSF,CA,50,0,25,,,,,6,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US06041,"Marin County, California",,,
ACSSF,CA,50,0,26,,,,,6,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US06045,"Mendocino County, California",,,
ACSSF,CA,50,0,27,,,,,6,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US06047,"Merced County, California",,,
ACSSF,CA,50,0,28,,,,,6,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US06053,"Monterey County, California",,,
ACSSF,CA,50,0,29,,,,,6,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US06055,"Napa County, California",,,
ACSSF,CA,50,0,30,,,,,6,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US06057,"Nevada County, California",,,
ACSSF,CA,50,0,31,,,,,6,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US06059,"Orange County, California",,,
ACSSF,CA,50,0,32,,,,,6,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US06061,"Placer County, California",,,
ACSSF,CA,50,0,33,,,,,6,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US06065,"Riverside County, California",,,
ACSSF,CA,50,0,34,,,,,6,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US06067,"Sacramento County, California",,,
ACSSF,CA,50,0,35,,,,,6,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US06071,"San Bernardino County, California",,,
ACSSF,CA,50,0,36,,,,,6,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US06073,"San Diego County, California",,,
ACSSF,CA,50,0,37,,,,,6,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US06075,"San Francisco County, California",,,
ACSSF,CA,50,0,38,,,,,6,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US06077,"San Joaquin County, California",,,
ACSSF,CA,50,0,39,,,,,6,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US06079,"San Luis Obispo County, California",,,
ACSSF,CA,50,0,40,,,,,6,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US06081,"San Mateo County, California",,,
ACSSF,CA,50,0,41,,,,,6,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US06083,"Santa Barbara County, California",,,
ACSSF,CA,50,0,42,,,,,6,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US06085,"Santa Clara County, California",,,
ACSSF,CA,50,0,43,,,,,6,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US06087,"Santa Cruz County, California",,,
ACSSF,CA,50,0,44,,,,,6,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US06089,"Shasta County, California",,,
ACSSF,CA,50,0,45,,,,,6,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US06095,"Solano County, California",,,
ACSSF,CA,50,0,46,,,,,6,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US06097,"Sonoma County, California",,,
ACSSF,CA,50,0,47,,,,,6,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US06099,"Stanislaus County, California",,,
ACSSF,CA,50,0,48,,,,,6,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US06101,"Sutter County, California",,,
ACSSF,CA,50,0,49,,,,,6,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US06107,"Tulare County, California",,,
ACSSF,CA,50,0,50,,,,,6,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US06111,"Ventura County, California",,,
ACSSF,CA,50,0,51,,,,,6,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US06113,"Yolo County, California",,,
ACSSF,CA,50,0,52,,,,,6,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US06115,"Yuba County, California",,,
ACSSF,CA,160,0,53,,,,,6,,,562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0600562,"Alameda city, California",,,
ACSSF,CA,160,0,54,,,,,6,,,884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0600884,"Alhambra city, California",,,
ACSSF,CA,160,0,55,,,,,6,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0602000,"Anaheim city, California",,,
ACSSF,CA,160,0,56,,,,,6,,,2252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0602252,"Antioch city, California",,,
ACSSF,CA,160,0,57,,,,,6,,,2364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0602364,"Apple Valley town, California",,,
ACSSF,CA,160,0,58,,,,,6,,,2553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0602553,"Arden-Arcade CDP, California",,,
ACSSF,CA,160,0,59,,,,,6,,,3526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0603526,"Bakersfield city, California",,,
ACSSF,CA,160,0,60,,,,,6,,,3666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0603666,"Baldwin Park city, California",,,
ACSSF,CA,160,0,61,,,,,6,,,4982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0604982,"Bellflower city, California",,,
ACSSF,CA,160,0,62,,,,,6,,,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0606000,"Berkeley city, California",,,
ACSSF,CA,160,0,63,,,,,6,,,8786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0608786,"Buena Park city, California",,,
ACSSF,CA,160,0,64,,,,,6,,,8954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0608954,"Burbank city, California",,,
ACSSF,CA,160,0,65,,,,,6,,,10046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0610046,"Camarillo city, California",,,
ACSSF,CA,160,0,66,,,,,6,,,11194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0611194,"Carlsbad city, California",,,
ACSSF,CA,160,0,67,,,,,6,,,11390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0611390,"Carmichael CDP, California",,,
ACSSF,CA,160,0,68,,,,,6,,,11530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0611530,"Carson city, California",,,
ACSSF,CA,160,0,69,,,,,6,,,13014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0613014,"Chico city, California",,,
ACSSF,CA,160,0,70,,,,,6,,,13210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0613210,"Chino city, California",,,
ACSSF,CA,160,0,71,,,,,6,,,13214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0613214,"Chino Hills city, California",,,
ACSSF,CA,160,0,72,,,,,6,,,13392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0613392,"Chula Vista city, California",,,
ACSSF,CA,160,0,73,,,,,6,,,13588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0613588,"Citrus Heights city, California",,,
ACSSF,CA,160,0,74,,,,,6,,,14218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0614218,"Clovis city, California",,,
ACSSF,CA,160,0,75,,,,,6,,,15044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0615044,"Compton city, California",,,
ACSSF,CA,160,0,76,,,,,6,,,16000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0616000,"Concord city, California",,,
ACSSF,CA,160,0,77,,,,,6,,,16350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0616350,"Corona city, California",,,
ACSSF,CA,160,0,78,,,,,6,,,16532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0616532,"Costa Mesa city, California",,,
ACSSF,CA,160,0,79,,,,,6,,,17918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0617918,"Daly City city, California",,,
ACSSF,CA,160,0,80,,,,,6,,,18100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0618100,"Davis city, California",,,
ACSSF,CA,160,0,81,,,,,6,,,19766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0619766,"Downey city, California",,,
ACSSF,CA,160,0,82,,,,,6,,,20802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0620802,"East Los Angeles CDP, California",,,
ACSSF,CA,160,0,83,,,,,6,,,21712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0621712,"El Cajon city, California",,,
ACSSF,CA,160,0,84,,,,,6,,,22020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0622020,"Elk Grove city, California",,,
ACSSF,CA,160,0,85,,,,,6,,,22230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0622230,"El Monte city, California",,,
ACSSF,CA,160,0,86,,,,,6,,,22804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0622804,"Escondido city, California",,,
ACSSF,CA,160,0,87,,,,,6,,,23182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0623182,"Fairfield city, California",,,
ACSSF,CA,160,0,88,,,,,6,,,24638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0624638,"Folsom city, California",,,
ACSSF,CA,160,0,89,,,,,6,,,24680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0624680,"Fontana city, California",,,
ACSSF,CA,160,0,90,,,,,6,,,26000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0626000,"Fremont city, California",,,
ACSSF,CA,160,0,91,,,,,6,,,27000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0627000,"Fresno city, California",,,
ACSSF,CA,160,0,92,,,,,6,,,28000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0628000,"Fullerton city, California",,,
ACSSF,CA,160,0,93,,,,,6,,,29000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0629000,"Garden Grove city, California",,,
ACSSF,CA,160,0,94,,,,,6,,,30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0630000,"Glendale city, California",,,
ACSSF,CA,160,0,95,,,,,6,,,32548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0632548,"Hawthorne city, California",,,
ACSSF,CA,160,0,96,,,,,6,,,33000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0633000,"Hayward city, California",,,
ACSSF,CA,160,0,97,,,,,6,,,33182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0633182,"Hemet city, California",,,
ACSSF,CA,160,0,98,,,,,6,,,33434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0633434,"Hesperia city, California",,,
ACSSF,CA,160,0,99,,,,,6,,,36000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0636000,"Huntington Beach city, California",,,
ACSSF,CA,160,0,100,,,,,6,,,36448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0636448,"Indio city, California",,,
ACSSF,CA,160,0,101,,,,,6,,,36546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0636546,"Inglewood city, California",,,
ACSSF,CA,160,0,102,,,,,6,,,36770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0636770,"Irvine city, California",,,
ACSSF,CA,160,0,103,,,,,6,,,37692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0637692,"Jurupa Valley city, California",,,
ACSSF,CA,160,0,104,,,,,6,,,39248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0639248,"Laguna Niguel city, California",,,
ACSSF,CA,160,0,105,,,,,6,,,39496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0639496,"Lake Forest city, California",,,
ACSSF,CA,160,0,106,,,,,6,,,39892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0639892,"Lakewood city, California",,,
ACSSF,CA,160,0,107,,,,,6,,,40130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0640130,"Lancaster city, California",,,
ACSSF,CA,160,0,108,,,,,6,,,41992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0641992,"Livermore city, California",,,
ACSSF,CA,160,0,109,,,,,6,,,43000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0643000,"Long Beach city, California",,,
ACSSF,CA,160,0,110,,,,,6,,,44000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0644000,"Los Angeles city, California",,,
ACSSF,CA,160,0,111,,,,,6,,,44574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0644574,"Lynwood city, California",,,
ACSSF,CA,160,0,112,,,,,6,,,45484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0645484,"Manteca city, California",,,
ACSSF,CA,160,0,113,,,,,6,,,46842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0646842,"Menifee city, California",,,
ACSSF,CA,160,0,114,,,,,6,,,46898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0646898,"Merced city, California",,,
ACSSF,CA,160,0,115,,,,,6,,,47766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0647766,"Milpitas city, California",,,
ACSSF,CA,160,0,116,,,,,6,,,48256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0648256,"Mission Viejo city, California",,,
ACSSF,CA,160,0,117,,,,,6,,,48354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0648354,"Modesto city, California",,,
ACSSF,CA,160,0,118,,,,,6,,,49270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0649270,"Moreno Valley city, California",,,
ACSSF,CA,160,0,119,,,,,6,,,49670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0649670,"Mountain View city, California",,,
ACSSF,CA,160,0,120,,,,,6,,,50076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0650076,"Murrieta city, California",,,
ACSSF,CA,160,0,121,,,,,6,,,50258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0650258,"Napa city, California",,,
ACSSF,CA,160,0,122,,,,,6,,,51182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0651182,"Newport Beach city, California",,,
ACSSF,CA,160,0,123,,,,,6,,,52526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0652526,"Norwalk city, California",,,
ACSSF,CA,160,0,124,,,,,6,,,53000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0653000,"Oakland city, California",,,
ACSSF,CA,160,0,125,,,,,6,,,53322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0653322,"Oceanside city, California",,,
ACSSF,CA,160,0,126,,,,,6,,,53896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0653896,"Ontario city, California",,,
ACSSF,CA,160,0,127,,,,,6,,,53980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0653980,"Orange city, California",,,
ACSSF,CA,160,0,128,,,,,6,,,54652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0654652,"Oxnard city, California",,,
ACSSF,CA,160,0,129,,,,,6,,,55156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0655156,"Palmdale city, California",,,
