FILEID,STUSAB,SUMLEVEL,COMPONENT,LOGRECNO,US,REGION,DIVISION,STATECE,STATE,COUNTY,COUSUB,PLACE,TRACT,BLKGRP,CONCIT,AIANHH,AIANHHFP,AIHHTLI,AITSCE,AITS,ANRC,CBSA,CSA,METDIV,MACC,MEMI,NECTA,CNECTA,NECTADIV,UA,BLANK,CDCURR,SLDU,SLDL,BLANK,BLANK,ZCTA5,SUBMCD,SDELM,SDSEC,SDUNI,UR,PCI,BLANK,BLANK,PUMA5,BLANK,GEOID,NAME,BTTR,BTBG,BLANK
ACSSF,OR,40,0,1,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04000US41,Oregon,,,
ACSSF,OR,40,1,2,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,,,04001US41,Oregon -- Urban,,,
ACSSF,OR,40,43,3,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,04043US41,Oregon -- Rural,,,
ACSSF,OR,40,A0,4,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,040A0US41,Oregon -- In metropolitan or micropolitan statistical area,,,
ACSSF,OR,40,C0,5,,,,,41,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,040C0US41,Oregon -- In metropolitan statistical area,,,
ACSSF,OR,40,C1,6,,,,,41,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,Y,,,,,040C1US41,Oregon -- In metropolitan statistical area -- in principal city,,,
ACSSF,OR,40,C2,7,,,,,41,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,040C2US41,Oregon -- In metropolitan statistical area -- not in principal city,,,
ACSSF,OR,40,E0,8,,,,,41,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,040E0US41,Oregon -- In micropolitan statistical area,,,
ACSSF,OR,40,E1,9,,,,,41,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,Y,,,,,040E1US41,Oregon -- In micropolitan statistical area -- in principal city,,,
ACSSF,OR,40,E2,10,,,,,41,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,040E2US41,Oregon -- In micropolitan statistical area -- not in principal city,,,
ACSSF,OR,40,G0,11,,,,,41,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,040G0US41,Oregon -- Not in metropolitan or micropolitan statistical area,,,
ACSSF,OR,40,H0,12,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,040H0US41,Oregon -- Not in metropolitan statistical area,,,
ACSSF,OR,50,0,13,,,,,41,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US41003,"Benton County, Oregon",,,
ACSSF,OR,50,0,14,,,,,41,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US41005,"Clackamas County, Oregon",,,
ACSSF,OR,50,0,15,,,,,41,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US41017,"Deschutes County, Oregon",,,
ACSSF,OR,50,0,16,,,,,41,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US41019,"Douglas County, Oregon",,,
ACSSF,OR,50,0,17,,,,,41,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US41029,"Jackson County, Oregon",,,
ACSSF,OR,50,0,18,,,,,41,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US41033,"Josephine County, Oregon",,,
ACSSF,OR,50,0,19,,,,,41,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US41035,"Klamath County, Oregon",,,
ACSSF,OR,50,0,20,,,,,41,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US41039,"Lane County, Oregon",,,
ACSSF,OR,50,0,21,,,,,41,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US41043,"Linn County, Oregon",,,
ACSSF,OR,50,0,22,,,,,41,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US41047,"Marion County, Oregon",,,
ACSSF,OR,50,0,23,,,,,41,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US41051,"Multnomah County, Oregon",,,
ACSSF,OR,50,0,24,,,,,41,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US41053,"Polk County, Oregon",,,
ACSSF,OR,50,0,25,,,,,41,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US41059,"Umatilla County, Oregon",,,
ACSSF,OR,50,0,26,,,,,41,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US41067,"Washington County, Oregon",,,
ACSSF,OR,50,0,27,,,,,41,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US41071,"Yamhill County, Oregon",,,
ACSSF,OR,160,0,28,,,,,41,,,5350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US4105350,"Beaverton city, Oregon",,,
ACSSF,OR,160,0,29,,,,,41,,,5800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US4105800,"Bend city, Oregon",,,
ACSSF,OR,160,0,30,,,,,41,,,23850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US4123850,"Eugene city, Oregon",,,
ACSSF,OR,160,0,31,,,,,41,,,31250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US4131250,"Gresham city, Oregon",,,
ACSSF,OR,160,0,32,,,,,41,,,34100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US4134100,"Hillsboro city, Oregon",,,
ACSSF,OR,160,0,33,,,,,41,,,47000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US4147000,"Medford city, Oregon",,,
ACSSF,OR,160,0,34,,,,,41,,,59000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US4159000,"Portland city, Oregon",,,
ACSSF,OR,160,0,35,,,,,41,,,64900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US4164900,"Salem city, Oregon",,,
ACSSF,OR,312,0,36,,,,,41,,,5800,,,,,,,,,,13460,,,,,,,,,,,,,,,,,,,,,Y,,,,,31200US134604105800,"Bend city, OR; Bend-Redmond, OR Metro Area",,,
ACSSF,OR,312,0,37,,,,,41,,,23850,,,,,,,,,,21660,,,,,,,,,,,,,,,,,,,,,Y,,,,,31200US216604123850,"Eugene city, OR; Eugene, OR Metro Area",,,
ACSSF,OR,312,0,38,,,,,41,,,47000,,,,,,,,,,32780,,,,,,,,,,,,,,,,,,,,,Y,,,,,31200US327804147000,"Medford city, OR; Medford, OR Metro Area",,,
ACSSF,OR,312,0,39,,,,,41,,,5350,,,,,,,,,,38900,,,,,,,,,,,,,,,,,,,,,Y,,,,,31200US389004105350,"Beaverton city, OR; Portland-Vancouver-Hillsboro, OR-WA Metro Area",,,
ACSSF,OR,312,0,40,,,,,41,,,34100,,,,,,,,,,38900,,,,,,,,,,,,,,,,,,,,,Y,,,,,31200US389004134100,"Hillsboro city, OR; Portland-Vancouver-Hillsboro, OR-WA Metro Area",,,
ACSSF,OR,312,0,41,,,,,41,,,59000,,,,,,,,,,38900,,,,,,,,,,,,,,,,,,,,,Y,,,,,31200US389004159000,"Portland city, OR; Portland-Vancouver-Hillsboro, OR-WA Metro Area",,,
ACSSF,OR,312,0,42,,,,,41,,,64900,,,,,,,,,,41420,,,,,,,,,,,,,,,,,,,,,Y,,,,,31200US414204164900,"Salem city, OR; Salem, OR Metro Area",,,
ACSSF,OR,500,0,43,,,,,41,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,50000US4101,"Congressional District 1 (114th Congress), Oregon",,,
ACSSF,OR,500,0,44,,,,,41,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,50000US4102,"Congressional District 2 (114th Congress), Oregon",,,
