Amount Requested,Application Date,Loan Title,Risk_Score,Debt-To-Income Ratio,Zip Code,State,Employment Length,Policy Code
"20000.00","2017-01-01","debt_consolidation","","0%","316xx","GA","n/a","0"
"15000.00","2017-01-01","home_improvement","","0.58%","190xx","PA","< 1 year","0"
"1000.00","2017-01-01","Debt consolidation","528","0%","775xx","TX","< 1 year","0"
"2500.00","2017-01-01","car","","1.7%","199xx","DE","5 years","0"
"6000.00","2017-01-01","credit_card","","2.93%","761xx","TX","5 years","0"
"10000.00","2017-01-01","debt_consolidation","","-1%","358xx","AL","< 1 year","0"
"15000.00","2017-01-01","debt_consolidation","","1.74%","190xx","PA","< 1 year","0"
"5000.00","2017-01-01","debt_consolidation","","257.83%","462xx","IN","< 1 year","0"
"1000.00","2017-01-01","other","","44.36%","302xx","GA","5 years","0"
"30000.00","2017-01-01","home_improvement","","2.85%","293xx","SC","< 1 year","0"
"15000.00","2017-01-01","debt_consolidation","","13.01%","310xx","GA","< 1 year","0"
"10000.00","2017-01-01","medical","","13.47%","982xx","WA","5 years","0"
"6000.00","2017-01-01","home_improvement","","17.95%","851xx","AZ","< 1 year","0"
"3000.00","2017-01-01","Debt consolidation","658","4.84%","100xx","NY","< 1 year","0"
"1000.00","2017-01-01","other","","-1%","543xx","WI","5 years","0"
"20000.00","2017-01-01","Debt consolidation","594","11.99%","221xx","VA","< 1 year","0"
"2000.00","2017-01-01","debt_consolidation","","0%","935xx","CA","< 1 year","0"
"1000.00","2017-01-01","Other","650","0%","982xx","WA","< 1 year","0"
"3000.00","2017-01-01","car","","13.09%","928xx","CA","5 years","0"
"20000.00","2017-01-01","major_purchase","","43.26%","342xx","FL","< 1 year","0"
"1250.00","2017-01-01","Debt consolidation","622","27.44%","300xx","GA","< 1 year","0"
"4000.00","2017-01-01","Other","676","8.9%","170xx","PA","< 1 year","0"
"20000.00","2017-01-01","Debt consolidation","633","13.4%","322xx","FL","< 1 year","0"
"5500.00","2017-01-01","debt_consolidation","","24.08%","027xx","MA","< 1 year","0"
"4500.00","2017-01-01","Credit card refinancing","636","23.36%","587xx","ND","< 1 year","0"
"15000.00","2017-01-01","Medical expenses","751","0.77%","934xx","CA","< 1 year","0"
"8000.00","2017-01-01","debt_consolidation","","42.23%","493xx","MI","5 years","0"
"3300.00","2017-01-01","car","","2.6%","237xx","VA","< 1 year","0"
"7000.00","2017-01-01","credit_card","","17.63%","333xx","FL","5 years","0"
"12000.00","2017-01-01","other","","5.25%","173xx","PA","< 1 year","0"
"20000.00","2017-01-01","debt_consolidation","","-1%","801xx","CO","< 1 year","0"
"10000.00","2017-01-01","other","","24.22%","970xx","OR","< 1 year","0"
"30000.00","2017-01-01","Debt consolidation","706","24.12%","166xx","PA","< 1 year","0"
"15000.00","2017-01-01","debt_consolidation","","-1%","644xx","MO","5 years","0"
"30000.00","2017-01-01","credit_card","","-1%","998xx","AK","5 years","0"
"15000.00","2017-01-01","debt_consolidation","","-1%","983xx","WA","n/a","0"
"1500.00","2017-01-01","other","","-1%","366xx","AL","5 years","0"
"1000.00","2017-01-01","house","","6.25%","718xx","AR","n/a","0"
"10000.00","2017-01-01","debt_consolidation","","32.65%","700xx","LA","< 1 year","0"
"40000.00","2017-01-01","debt_consolidation","","51.2%","480xx","MI","< 1 year","0"
"10000.00","2017-01-01","Credit card refinancing","613","28.68%","933xx","CA","< 1 year","0"
"8425.00","2017-01-01","Car financing","754","100%","921xx","CA","< 1 year","0"
"25000.00","2017-01-01","car","","66.26%","314xx","GA","< 1 year","0"
"40000.00","2017-01-01","debt_consolidation","","24.47%","782xx","TX","< 1 year","0"
"20000.00","2017-01-01","debt_consolidation","","30.91%","076xx","NJ","n/a","0"
"7700.00","2017-01-01","debt_consolidation","","9.19%","117xx","NY","< 1 year","0"
"2500.00","2017-01-01","Debt consolidation","554","7.69%","077xx","NJ","< 1 year","0"
"5000.00","2017-01-01","debt_consolidation","","11.15%","630xx","MO","< 1 year","0"
"6000.00","2017-01-01","Debt consolidation","675","26.17%","457xx","OH","< 1 year","0"
"5000.00","2017-01-01","Home improvement","611","37.97%","925xx","CA","< 1 year","0"
"300000.00","2017-01-01","Business Loan","","-1%","462xx","IN","< 1 year","0"
"5000.00","2017-01-01","debt_consolidation","","10.18%","117xx","NY","< 1 year","0"
"20000.00","2017-01-01","Debt consolidation","620","39.93%","913xx","CA","< 1 year","0"
"5000.00","2017-01-01","debt_consolidation","","11.09%","986xx","WA","< 1 year","0"
"1000.00","2017-01-01","Moving and relocation","547","18.49%","983xx","WA","< 1 year","0"
"10000.00","2017-01-01","debt_consolidation","","9.64%","633xx","MO","5 years","0"
"20000.00","2017-01-01","other","","30.03%","276xx","NC","< 1 year","0"
"30000.00","2017-01-01","home_improvement","","9.48%","080xx","NJ","< 1 year","0"
"1500.00","2017-01-01","other","","-1%","274xx","NC","< 1 year","0"
"6000.00","2017-01-01","debt_consolidation","","18.38%","553xx","MN","< 1 year","0"
"20000.00","2017-01-01","house","","0%","291xx","SC","n/a","0"
"35000.00","2017-01-01","Debt consolidation","649","22.68%","114xx","NY","< 1 year","0"
"35000.00","2017-01-01","other","","25.1%","605xx","IL","5 years","0"
"13000.00","2017-01-01","debt_consolidation","","11.23%","084xx","NJ","< 1 year","0"
"1200.00","2017-01-01","debt_consolidation","","0%","945xx","CA","5 years","0"
"10000.00","2017-01-01","other","","2.61%","112xx","NY","5 years","0"
"10000.00","2017-01-01","debt_consolidation","","11.1%","775xx","TX","< 1 year","0"
"1000.00","2017-01-01","Debt consolidation","578","0.54%","346xx","FL","< 1 year","0"
"30000.00","2017-01-01","Home buying","698","0.75%","496xx","MI","< 1 year","0"
"5000.00","2017-01-01","debt_consolidation","","23.95%","370xx","TN","< 1 year","0"
"30000.00","2017-01-01","Credit card refinancing","778","46.48%","805xx","CO","< 1 year","0"
