Market,Customer,Business Segment,Category,Model,Color,SalesDate,SalesPeriod,ListPrice,UnitPrice,OrderQty,Sales Amount
Southeast,Trusted Catalog Store,Bikes,Mountain Bikes,Mountain-100,Silver,01/01/08,01/01/08,"$3,400","$2,040",3,"$6,120"
Southeast,Trusted Catalog Store,Bikes,Mountain Bikes,Mountain-100,Black,01/14/08,01/01/08,"$3,375","$2,025",2,"$4,050"
Southeast,Trusted Catalog Store,Bikes,Mountain Bikes,Mountain-100,Black,01/30/08,01/01/08,"$3,375","$2,025",3,"$6,075"
Southeast,Trusted Catalog Store,Clothing,Socks,Mountain Bike Socks,White,01/16/08,01/01/08,$10,$6,8,$46
Southeast,Trusted Catalog Store,Bikes,Mountain Bikes,Mountain-100,Silver,01/31/08,01/01/08,"$3,400","$2,040",1,"$2,040"
Southeast,Trusted Catalog Store,Bikes,Mountain Bikes,Mountain-100,Black,01/23/08,01/01/08,"$3,375","$2,025",3,"$6,075"
Southeast,Trusted Catalog Store,Bikes,Mountain Bikes,Mountain-100,Silver,01/04/08,01/01/08,"$3,400","$2,040",3,"$6,120"
Southeast,Trusted Catalog Store,Bikes,Mountain Bikes,Mountain-100,Silver,01/28/08,01/01/08,"$3,400","$2,040",2,"$4,080"
Southeast,Trusted Catalog Store,Bikes,Mountain Bikes,Mountain-100,Black,01/30/08,01/01/08,"$3,375","$2,025",2,"$4,050"
Southeast,Sports Sales and Rental,Bikes,Mountain Bikes,Mountain-100,Silver,01/04/08,01/01/08,"$3,400","$2,040",2,"$4,080"
Southeast,Sports Sales and Rental,Bikes,Mountain Bikes,Mountain-100,Silver,01/05/08,01/01/08,"$3,400","$2,040",3,"$6,120"
Southeast,Sports Sales and Rental,Components,Mountain Frames,HL Mountain Frame,Silver,01/28/08,01/01/08,"$1,365",$723,1,$723
Southeast,Sports Sales and Rental,Components,Mountain Frames,HL Mountain Frame,Black,01/18/08,01/01/08,"$1,350",$715,1,$715
Southeast,Sports Sales and Rental,Components,Mountain Frames,HL Mountain Frame,Silver,01/16/08,01/01/08,"$1,365",$819,3,"$2,456"
Southeast,Sports Sales and Rental,Bikes,Mountain Bikes,Mountain-100,Black,01/30/08,01/01/08,"$3,375","$2,025",2,"$4,050"
Southeast,Sports Sales and Rental,Clothing,Socks,Mountain Bike Socks,White,01/17/08,01/01/08,$10,$6,2,$11
Southeast,Sports Sales and Rental,Components,Mountain Frames,HL Mountain Frame,Black,01/16/08,01/01/08,"$1,350",$715,1,$715
Northwest,Latest Sports Equipment,Bikes,Mountain Bikes,Mountain-100,Black,01/07/08,01/01/08,"$3,375","$2,025",4,"$8,100"
Northwest,Latest Sports Equipment,Clothing,Jerseys,Long-Sleeve Logo Jersey,Multi,01/14/08,01/01/08,$50,$29,1,$29
Northwest,Latest Sports Equipment,Clothing,Caps,Cycling Cap,Multi,01/15/08,01/01/08,$9,$5,1,$5
Northwest,Latest Sports Equipment,Bikes,Mountain Bikes,Mountain-100,Black,01/08/08,01/01/08,"$3,375","$2,025",2,"$4,050"
Northwest,Latest Sports Equipment,Bikes,Mountain Bikes,Mountain-100,Silver,01/16/08,01/01/08,"$3,400","$2,040",6,"$12,240"
Northwest,Latest Sports Equipment,Bikes,Mountain Bikes,Mountain-100,Silver,01/19/08,01/01/08,"$3,400","$2,040",2,"$4,080"
Northwest,Latest Sports Equipment,Clothing,Socks,Mountain Bike Socks,White,01/25/08,01/01/08,$10,$6,4,$23
Northwest,Latest Sports Equipment,Bikes,Mountain Bikes,Mountain-100,Black,01/13/08,01/01/08,"$3,375","$2,025",2,"$4,050"
Northeast,Weekend Tours,Bikes,Road Bikes,Road-650,Black,01/30/08,01/01/08,$783,$419,2,$839
Northeast,Weekend Tours,Bikes,Road Bikes,Road-450,Red,01/16/08,01/01/08,"$1,458",$875,5,"$4,374"
Northeast,Weekend Tours,Bikes,Road Bikes,Road-150,Red,01/28/08,01/01/08,"$3,578","$2,147",2,"$4,294"
Northeast,Weekend Tours,Bikes,Road Bikes,Road-150,Red,01/10/08,01/01/08,"$3,578","$2,147",1,"$2,147"
Northeast,Weekend Tours,Bikes,Road Bikes,Road-450,Red,01/12/08,01/01/08,"$1,458",$875,1,$875
Northeast,Weekend Tours,Bikes,Road Bikes,Road-650,Red,01/13/08,01/01/08,$783,$419,2,$839
Northeast,Weekend Tours,Bikes,Road Bikes,Road-650,Red,01/25/08,01/01/08,$783,$419,1,$419
Northeast,Weekend Tours,Bikes,Road Bikes,Road-650,Red,01/16/08,01/01/08,$783,$419,2,$839
Northeast,Weekend Tours,Bikes,Road Bikes,Road-450,Red,01/03/08,01/01/08,"$1,458",$875,3,"$2,624"
Northeast,Weekend Tours,Bikes,Road Bikes,Road-650,Red,01/07/08,01/01/08,$783,$419,2,$839
Northeast,Weekend Tours,Bikes,Road Bikes,Road-650,Black,01/06/08,01/01/08,$783,$419,1,$419
Northeast,Weekend Tours,Bikes,Road Bikes,Road-450,Red,01/15/08,01/01/08,"$1,458",$875,2,"$1,750"
Northeast,Weekend Tours,Bikes,Road Bikes,Road-150,Red,01/10/08,01/01/08,"$3,578","$2,147",1,"$2,147"
Northeast,Weekend Tours,Bikes,Road Bikes,Road-150,Red,01/23/08,01/01/08,"$3,578","$2,147",1,"$2,147"
Southwest,Fitness Toy Store,Bikes,Road Bikes,Road-650,Black,01/25/08,01/01/08,$783,$419,4,"$1,678"
Southwest,Fitness Toy Store,Bikes,Road Bikes,Road-450,Red,01/18/08,01/01/08,"$1,458",$875,3,"$2,624"
Southwest,Fitness Toy Store,Components,Road Frames,LL Road Frame,Red,01/02/08,01/01/08,$337,$184,1,$184
