Date,Number of Records,Stock,Stock Value
1/3/2007,1,Aapl,11.107141
2/1/2007,1,Aapl,10.962033
3/1/2007,1,Aapl,12.037377
4/2/2007,1,Aapl,12.930043
5/1/2007,1,Aapl,15.701322
6/1/2007,1,Aapl,15.811448
7/2/2007,1,Aapl,17.070766
8/1/2007,1,Aapl,17.941408
9/4/2007,1,Aapl,19.883505
10/1/2007,1,Aapl,24.609837
11/1/2007,1,Aapl,23.608341
12/3/2007,1,Aapl,25.663155
1/2/2008,1,Aapl,17.53718
2/1/2008,1,Aapl,16.197536
3/3/2008,1,Aapl,18.591795
4/1/2008,1,Aapl,22.536884
5/1/2008,1,Aapl,24.454365
6/2/2008,1,Aapl,21.693451
7/1/2008,1,Aapl,20.593491
8/1/2008,1,Aapl,21.96423
9/2/2008,1,Aapl,14.725739
10/1/2008,1,Aapl,13.939312
11/3/2008,1,Aapl,12.006284
12/1/2008,1,Aapl,11.057907
1/2/2009,1,Aapl,11.677202
2/2/2009,1,Aapl,11.570964
3/2/2009,1,Aapl,13.6193
4/1/2009,1,Aapl,16.302477
5/1/2009,1,Aapl,17.595482
6/1/2009,1,Aapl,18.453167
7/1/2009,1,Aapl,21.168736
8/3/2009,1,Aapl,21.793213
9/1/2009,1,Aapl,24.013863
10/1/2009,1,Aapl,24.421976
11/2/2009,1,Aapl,25.900249
12/1/2009,1,Aapl,27.302084
1/4/2010,1,Aapl,24.883207
2/1/2010,1,Aapl,26.510475
3/1/2010,1,Aapl,30.446495
4/1/2010,1,Aapl,33.826706
5/3/2010,1,Aapl,33.281258
6/1/2010,1,Aapl,32.588116
7/1/2010,1,Aapl,33.329193
8/2/2010,1,Aapl,31.495928
9/1/2010,1,Aapl,36.76252
10/1/2010,1,Aapl,38.994835
11/1/2010,1,Aapl,40.312454
12/1/2010,1,Aapl,41.79073
1/3/2011,1,Aapl,43.962147
2/1/2011,1,Aapl,45.76173
3/1/2011,1,Aapl,45.152802
4/1/2011,1,Aapl,45.362682
5/2/2011,1,Aapl,45.064697
6/1/2011,1,Aapl,43.489254
