OID,IDTRSD,TreeSpecie,TreeDBH
0,03N3722WL,FIR,15
1,01N3512NL,PINE,15
2,01N3523WL,PINE,36
3,01N3527WL,PINE,36
4,01N3830WL,FIR,20
5,01S3505NL,YELLOW PINE,24
6,01S3521NL,PINE,40
7,01S3525WL,FIR,34
8,01S3527WL,PINE,40
9,01S3722WL,FIR,36
10,02N3603WL,FIR,30
11,02N3610NL,YELLOW PINE,4
12,02N3613WL,FIR,18
13,02N3616WL,PINE,16
14,02N3709NL,FIR,28
15,02N3713WL,YELLOW PINE,30
16,02N3714NL,YELLOW PINE,24
17,02N3717WL,FIR,18
18,02N3720NL,FIR,24
19,02N3720WL,FIR,36
20,02N3721WL,PINE,20
21,02N3722WL,FIR,36
22,02N3724WL,FIR,30
23,02N3725WL,FIR,36
24,02N3727WL,SPRUCE,24
25,02N3728NL,FIR,18
26,02N3729NL,FIR,16
27,02N3730NL,WESTERN LARCH,40
28,02N3732WL,YELLOW PINE,36
29,02N3733NL,FIR,28
30,02N3733WL,FIR,20
31,02N3736NL,FIR,15
32,02N3736WL,FIR,10
33,02N3819WL,YELLOW PINE,36
34,03N3725WL,YELLOW PINE,34
35,03N3729WL,FIR,22
36,03N3730NL,FIR,16
37,02S3507WL,PINE,20
38,02S3530WL,PINE,24
39,03N3732NL,FIR,19
40,03N3924WL,WESTERN LARCH,27
41,03N3936WL,PINE,20
42,03N4018WL,FIR,30
43,03N4019WL,PINE,16
44,03N4030WL,FIR,24
45,03N4031WL,PINE,40
46,03N4101NL,WESTERN LARCH,36
47,03N4103NL,WESTERN LARCH,38
48,03N4104NL,FIR,40
49,03N4105NL,PINE,40
50,03N4106NL,FIR,36
51,03N4107NL,WESTERN LARCH,20
52,03N4108WL,FIR,30
53,03N4110NL,FIR,18
54,03N4110WL,WESTERN LARCH,28
55,03N4112WL,WESTERN LARCH,30
56,03N4113WL,FIR,28
57,03N4114WL,FIR,40
58,03N4115WL,PINE,44
59,03N4116NL,FIR,20
60,03N4116WL,FIR,20
61,03N4117WL,WESTERN LARCH,26
62,03N4119NL,WESTERN LARCH,30
63,03N4120NL,PINE,40
64,03N4120WL,PINE,40
65,03N4122NL,PINE,40
66,03N4122WL,PINE,40
67,03N4123WL,WESTERN LARCH,24
68,03N4126WL,PINE,30
69,03N4127WL,WESTERN LARCH,30
70,03N4128WL,PINE,36
71,03N4129WL,PINE,40
72,03N4130NL,PINE,48
73,03N4131NL,FIR,30
74,03N4132NL,PINE,30
75,03N4132WL,PINE,30
76,03N4133NL,WESTERN LARCH,28
77,03N4133WL,PINE,30
78,03N4134NL,WESTERN LARCH,26
79,03N4135NL,PINE,28
80,03N4136NL,WESTERN LARCH,30
81,04N4117WL,WESTERN LARCH,24
82,04N4113WL,PINE,30
83,04N4110WL,FIR,24
84,04N4111WL,WESTERN LARCH,20
85,04N4114WL,PINE,30
86,04N4109WL,PINE,48
87,04N4102WL,FIR,18
88,04N4103WL,WHITE FIR,30
89,04N4123WL,PINE,24
90,04N4124WL,FIR,12
91,04N4125WL,PINE,36
92,04N4126WL,PINE,24
93,04N4127WL,WESTERN LARCH,30
94,04N4133WL,PINE,20
95,04N4135NL,FIR,8
96,04N4135WL,FIR,30
97,04S2907WL,FIR,30
98,04S2909WL,PINE,28
99,04S2910WL,PINE,30
100,04S2911WL,PINE,30
101,04S2913WL,FIR,18
102,04S2915WL,PINE,36
103,04S2916WL,FIR,24
104,04S2918WL,WESTERN LARCH,24
105,04S2919WL,FIR,30
106,04S2921NL,PINE,30
107,04S2922WL,PINE,36
108,04S2924WL,FIR,24
109,04S2925WL,FIR,24
110,04S2929WL,FIR,24
111,05N3826WL,FIR,20
112,05N3827NL,FIR,24
113,05N3827WL,FIR,24
114,05N3828NL,WESTERN LARCH,30
115,05N3824WL,FIR,24
116,05N3823WL,FIR,28
117,05N3812WL,SPRUCE,20
118,05N3814NL,FIR,30
119,05N3814WL,PINE,24
120,05N3815WL,PINE,30
121,05N3817WL,SPRUCE,20
122,05N3820NL,SPRUCE,28
123,05N3821WL,FIR,28
124,05N3822WL,WESTERN LARCH,24
125,05N3801WL,SPRUCE,30
126,05N3803WL,FIR,28
127,05N3809NL,WESTERN LARCH,18
128,05N3810WL,WESTERN LARCH,30
129,05N3811WL,PINE,28
130,05N3829WL,FIR,18
131,05N3834NL,FIR,40
132,05N3834WL,FIR,38
133,05N4036SL,YELLOW PINE,36
134,05N4107WL,PINE,26
135,05N4031WL,SPRUCE,36
136,05N4033SL,SPRUCE,40
137,05N4034SL,SPRUCE,24
138,05N4210WL,PINE,16
139,05N4214WL,PINE,26
140,05N4233SL,YELLOW PINE,40
141,05N4312EL,PINE,40
142,05N4325EL,PINE,36
143,05N4331SL,YELLOW PINE,45
144,05N4332SL,YELLOW PINE,60
145,05S2612EL,FIR,34
146,05S2613EL,PINE,42
147,05S2624EL,RED FIR,30
148,05S2636EL,FIR,30
149,05S2702WL,PINE,16
150,05S2825WL,FIR,30
151,05S2832WL,FIR,24
152,05S2836WL,PINE,24
153,05S2724EL,FIR,30
154,05S2724WL,PINE,12
155,05S2725WL,FIR,15
156,05S2708WL,PINE,30
157,05S2710WL,PINE,24
158,05S2711WL,PINE,24
159,05S2712EL,FIR,26
160,05S2712WL,PINE,24
161,05S2713EL,FIR,12
162,05S2713WL,PINE,18
163,05S2714WL,PINE,24
164,05S2715WL,PINE,24
165,05S2716WL,PINE,24
166,05S2728WL,FIR,18
167,05S2734WL,FIR,12
168,05S2735WL,PINE,36
169,05S2736EL,WESTERN LARCH,18
170,05S2736WL,PINE,24
171,05S2801NL,PINE,24
172,05S2803NL,FIR,20
173,05S2913WL,FIR,20
174,05S2915WL,WESTERN LARCH,20
175,05S2916WL,FIR,30
176,05S2923WL,PINE,30
177,05S2925WL,FIR,40
178,05S2927WL,PINE,36
179,05S2932WL,PINE,36
180,05S2936WL,FIR,28
181,05S3008WL,PINE,40
182,05S3029WL,PINE,36
183,05S3033WL,PINE,40
184,05S33512WL,PINE,40
185,06N3835NL,WESTERN LARCH,10
186,06N3828NL,PINE,36
187,06N3801NL,COTTONWOOD,8
188,06N3801WL,RED FIR,24
189,06N3802NL,SPRUCE,15
190,06N3802WL,WESTERN LARCH,24
191,06N3816NL,WESTERN LARCH,30
192,06N3815BL,PINE,20
193,06N3811NL,RED FIR,18
194,06N4215WL,PINE,28
195,06N4217NL,PINE,60
196,06N4218NL,PINE,40
197,06N4205WL,YELLOW PINE,48
198,06N4207NL,FIR,38
199,06N4208NL,WESTERN LARCH,48
200,06N4208WL,FIR,40
201,06N4201EL,YELLOW PINE,40
202,06N4201WL,PINE,60
203,06N4202WL,PINE,36
204,06S2425EL,PINE,24
205,06N4212NL,PINE,36
206,06N4214NL,WESTERN LARCH,12
207,06N4214WL,PINE,36
208,06N4306NL,WHITE FIR,24
209,06S2501EL,PINE,24
210,06S2512EL,PINE,20
211,06S2513EL,PINE,18
212,06S2524EL,WESTERN LARCH,10
213,06S2525EL,FIR,30
214,06S2536EL,WESTERN LARCH,12
215,06S2601WL,PINE,18
216,06S2605WL,PINE,30
217,06S2609WL,PINE,36
218,06S2611WL,PINE,36
219,06S2612WL,PINE,30
220,06S2613WL,PINE,36
221,06S2614WL,FIR,26
222,06S2615WL,PINE,24
223,06S2616WL,PINE,24
224,06S2617WL,PINE,36
225,06S2621WL,PINE,12
226,06S2622WL,PINE,30
227,06S2625EL,PINE,24
228,06S2625WL,PINE,12
229,06S2628WL,PINE,20
230,06S2629WL,PINE,18
231,06S2631SL,FIR,30
232,06S2632WL,PINE,18
233,06S2633SL,PINE,24
234,06S2633WL,PINE,30
235,06S2635WL,PINE,24
236,06S2636SL,PINE,24
237,06S2636WL,PINE,18
238,06S2701WL,PINE,36
239,06S2703WL,PINE,36
240,06S2708WL,PINE,18
241,06S2710WL,PINE,36
242,06S2711WL,PINE,12
243,06S2723NL,PINE,20
244,06S2723WL,PINE,24
245,06S2724WL,PINE,26
246,06S2725WL,FIR,24
247,06S2726WL,PINE,26
248,06S2732SL,PINE,30
249,06S2732WL,PINE,30
250,06S2733WL,PINE,24
251,06S2734WL,PINE,36
252,06S2735NL,PINE,30
253,06S2735WL,PINE,18
254,06S2736WL,PINE,18
255,06S2803WL,PINE,24
256,06S2807NL,PINE,32
257,06S2808WL,PINE,20
258,06S2809NL,PINE,36
259,06S2811WL,PINE,12
260,06S2812EL,FIR,36
261,06S2813NL,PINE,26
262,06S2816WL,FIR,36
263,06S2817WL,PINE,12
264,06S2819NL,PINE,26
265,06S2821WL,FIR,12
266,06S2823WL,PINE,20
267,06S2824NL,PINE,24
268,06S2824WL,PINE,30
269,06S2828WL,PINE,24
270,06S2833SL,PINE,24
271,06S2834SL,PINE,30
272,06S2835WL,PINE,24
273,06S2901WL,PINE,40
274,06S3209WL,PINE,24
275,06S3216WL,PINE,40
276,06S3227WL,PINE,30
277,06S3012EL,PINE,40
278,06S3504WL,FIR,16
279,06S3516NL,WESTERN LARCH,4
280,07N3906WL,WHITE FIR,15
281,07S2325NL,YELLOW PINE,45
282,07N4332WL,BULL PINE,12
283,07N4333NL,YELLOW PINE,40
284,07S2324NL,RED FIR,36
285,07S2311WL,YELLOW PINE,30
286,07S2312WL,WESTERN LARCH,26
287,07S2313WL,PINE,14
288,07S2323NL,PINE,36
289,07S2323WL,PINE,33
290,07S2423NL,PINE,36
291,07S2425NL,YELLOW PINE,46
292,07S2426WL,YELLOW PINE,36
293,07S2430NL,PINE,36
294,07N4204NL,SPRUCE,24
295,07S2501WL,RED FIR,30
296,07S2502NL,PINE,36
297,07S2502WL,WHITE PINE,40
298,07S2503WL,PINE,36
299,07S2504NL,SPRUCE,42
300,07N4236EL,FIR,22
301,07N4324WL,PINE,20
302,07N4326WL,BULL PINE,20
303,07N4327WL,YELLOW PINE,36
304,07S2404WL,YELLOW PINE,40
305,07S2405WL,PINE,33
306,07S2406WL,YELLOW PINE,42
307,07S2407NL,FIR,36
308,07S2407WL,FIR,24
309,07S2408NL,YELLOW PINE,38
310,07S2409NL,WESTERN LARCH,36
311,07S2410NL,PINE,38
312,07S2410WL,WESTERN LARCH,24
313,07S2418WL,RED FIR,32
314,07S2420WL,PINE,38
315,07S2421NL,PINE,6
316,07S2421WL,PINE,36
317,07S2422NL,PINE,36
318,07S2422WL,PINE,36
319,07N4334WL,BULL PINE,20
320,07S2411NL,RED FIR,45
321,07S2411WL,YELLOW PINE,32
322,07S2413NL,YELLOW PINE,40
323,07S2413WL,RED FIR,40
324,07S2414NL,WESTERN LARCH,30
325,07S2416NL,PINE,37
326,07S2416WL,PINE,30
327,07S2417WL,YELLOW PINE,38
328,07N4402WL,WESTERN LARCH,12
329,07N4404WL,FIR,20
330,07N4407WL,PINE,40
331,07N4415NL,PINE,20
332,07N4416WL,PINE,15
333,07S2510WL,YELLOW PINE,36
334,07S2511NL,YELLOW PINE,40
335,07N4422NL,PINE,36
336,07N4423NL,PINE,30
337,07S2301NL,FIR,30
338,07S2302NL,FIR,32
339,07S2302WL,YELLOW PINE,33
340,07S2311NL,WESTERN LARCH,30
341,07S2431NL,PINE,30
342,07S2431WL,YELLOW PINE,40
343,07S2432NL,PINE,36
344,07S2432WL,PINE,30
345,07S2434WL,PINE,38
346,07S2505NL,RED FIR,50
347,07S2505WL,RED FIR,38
348,07S2507WL,RED FIR,36
349,07S2508NL,YELLOW PINE,40
350,07S2508WL,YELLOW PINE,40
351,07S2510NL,YELLOW PINE,48
352,07S2513NL,BLACK PINE,24
353,07S2515NL,RED FIR,40
354,07S2515WL,YELLOW PINE,37
355,07S2516WL,YELLOW PINE,30
356,07S2517NL,WHITE PINE,38
357,07S2519NL,YELLOW PINE,40
358,07S2519WL,WHITE PINE,36
359,07S2521NL,WHITE PINE,36
360,07S2521WL,PINE,45
361,07S2523WL,YELLOW PINE,40
362,07S2524WL,WHITE PINE,42
363,07S2525NL,YELLOW PINE,36
364,07S2525WL,YELLOW PINE,35
365,07S2526NL,YELLOW PINE,40
366,07S2526WL,YELLOW PINE,32
367,07S2529WL,YELLOW PINE,33
368,07S2530WL,YELLOW PINE,42
369,07S2531NL,YELLOW PINE,45
370,07S2531WL,YELLOW PINE,40
371,07S2532WL,RED FIR,40
372,07S2601WL,FIR,50
373,07S2602WL,WESTERN LARCH,40
374,07S2605WL,PINE,36
375,07S2608WL,YELLOW PINE,36
376,07S2609NL,PINE,30
377,07S2609WL,YELLOW PINE,8
378,07S2611WL,PINE,38
379,07S2612EL,PINE,40
380,07S2613NL,WHITE PINE,33
381,07S2614WL,PINE,36
382,07S2615NL,PINE,4
383,07S2615WL,PINE,36
384,07S2616NL,YELLOW PINE,36
385,07S2617WL,YELLOW PINE,40
386,07S2618NL,WESTERN LARCH,30
387,07S2618WL,PINE,55
388,07S2619NL,YELLOW PINE,45
389,07S2619WL,PINE,37
390,07S2621WL,WESTERN LARCH,24
391,07S2623NL,YELLOW PINE,37
392,07S2624EL,PINE,33
393,07S2625WL,PINE,31
394,07S2626NL,PINE,40
395,07S2626WL,WHITE PINE,42
396,07S2631WL,JUNIPER,14
397,07S2632WL,PINE,30
398,07S2633NL,PINE,40
