,latitude,housing_median_age,total_rooms,population,households,median_income,median_house_value,ocean_proximity
0,37.88,41.0,880.0,322.0,126.0,8.3252,452600.0,NEAR BAY
1,37.86,21.0,7099.0,2401.0,1138.0,8.3014,358500.0,NEAR BAY
2,37.85,52.0,1467.0,496.0,177.0,7.2574,352100.0,NEAR BAY
3,37.85,52.0,1274.0,558.0,219.0,5.6431,341300.0,NEAR BAY
4,37.85,52.0,1627.0,565.0,259.0,3.8462,342200.0,NEAR BAY
5,37.85,52.0,919.0,413.0,193.0,4.0368,269700.0,NEAR BAY
6,37.84,52.0,2535.0,1094.0,514.0,3.6591,299200.0,NEAR BAY
7,37.84,52.0,3104.0,1157.0,647.0,3.12,241400.0,NEAR BAY
8,37.84,42.0,2555.0,1206.0,595.0,2.0804,226700.0,NEAR BAY
9,37.84,52.0,3549.0,1551.0,714.0,3.6912,261100.0,NEAR BAY
10,37.85,52.0,2202.0,910.0,402.0,3.2031,281500.0,NEAR BAY
11,37.85,52.0,3503.0,1504.0,734.0,3.2705,241800.0,NEAR BAY
12,37.85,52.0,2491.0,1098.0,468.0,3.075,213500.0,NEAR BAY
13,37.84,52.0,696.0,345.0,174.0,2.6736,191300.0,NEAR BAY
14,37.85,52.0,2643.0,1212.0,620.0,1.9167,159200.0,NEAR BAY
15,37.85,50.0,1120.0,697.0,264.0,2.125,140000.0,NEAR BAY
16,37.85,52.0,1966.0,793.0,331.0,2.775,152500.0,NEAR BAY
17,37.85,52.0,1228.0,648.0,303.0,2.1202,155500.0,NEAR BAY
18,37.84,50.0,2239.0,990.0,419.0,1.9911,158700.0,NEAR BAY
19,37.84,52.0,1503.0,690.0,275.0,2.6033,162900.0,NEAR BAY
20,37.85,40.0,751.0,409.0,166.0,1.3578,147500.0,NEAR BAY
21,37.85,42.0,1639.0,929.0,366.0,1.7135,159800.0,NEAR BAY
22,37.84,52.0,2436.0,1015.0,478.0,1.725,113900.0,NEAR BAY
23,37.84,52.0,1688.0,853.0,325.0,2.1806,99700.0,NEAR BAY
24,37.84,52.0,2224.0,1006.0,422.0,2.6,132600.0,NEAR BAY
25,37.85,41.0,535.0,317.0,119.0,2.4038,107500.0,NEAR BAY
26,37.85,49.0,1130.0,607.0,239.0,2.4597,93800.0,NEAR BAY
27,37.85,52.0,1898.0,1102.0,397.0,1.808,105500.0,NEAR BAY
28,37.84,50.0,2082.0,1131.0,473.0,1.6424,108900.0,NEAR BAY
29,37.84,52.0,729.0,395.0,155.0,1.6875,132000.0,NEAR BAY
30,37.84,49.0,1916.0,863.0,378.0,1.9274,122300.0,NEAR BAY
31,37.84,52.0,2153.0,1168.0,441.0,1.9615,115200.0,NEAR BAY
32,37.84,48.0,1922.0,1026.0,335.0,1.7969,110400.0,NEAR BAY
33,37.83,49.0,1655.0,754.0,329.0,1.375,104900.0,NEAR BAY
34,37.83,51.0,2665.0,1258.0,536.0,2.7303,109700.0,NEAR BAY
35,37.83,49.0,1215.0,570.0,264.0,1.4861,97200.0,NEAR BAY
36,37.83,48.0,1798.0,987.0,374.0,1.0972,104500.0,NEAR BAY
37,37.83,52.0,1511.0,901.0,403.0,1.4103,103900.0,NEAR BAY
38,37.83,52.0,1470.0,689.0,309.0,3.48,191400.0,NEAR BAY
39,37.83,52.0,2432.0,1377.0,696.0,2.5898,176000.0,NEAR BAY
40,37.83,52.0,1665.0,946.0,395.0,2.0978,155400.0,NEAR BAY
41,37.83,51.0,936.0,517.0,249.0,1.2852,150000.0,NEAR BAY
42,37.84,49.0,713.0,462.0,189.0,1.025,118800.0,NEAR BAY
43,37.84,52.0,950.0,467.0,198.0,3.9643,188800.0,NEAR BAY
44,37.83,52.0,1443.0,660.0,292.0,3.0125,184400.0,NEAR BAY
45,37.83,52.0,1656.0,718.0,382.0,2.6768,182300.0,NEAR BAY
46,37.83,50.0,1125.0,616.0,304.0,2.026,142500.0,NEAR BAY
47,37.82,43.0,1007.0,558.0,253.0,1.7348,137500.0,NEAR BAY
48,37.82,40.0,624.0,423.0,160.0,0.9506,187500.0,NEAR BAY
49,37.82,40.0,946.0,700.0,352.0,1.775,112500.0,NEAR BAY
50,37.82,21.0,896.0,735.0,438.0,0.9218,171900.0,NEAR BAY
51,37.82,43.0,1868.0,1061.0,407.0,1.5045,93800.0,NEAR BAY
52,37.82,41.0,3221.0,1959.0,720.0,1.1108,97500.0,NEAR BAY
53,37.82,52.0,1630.0,1162.0,400.0,1.2475,104200.0,NEAR BAY
54,37.82,52.0,1170.0,701.0,233.0,1.6098,87500.0,NEAR BAY
55,37.82,52.0,945.0,576.0,220.0,1.4113,83100.0,NEAR BAY
56,37.82,52.0,1238.0,622.0,259.0,1.5057,87500.0,NEAR BAY
57,37.82,52.0,1489.0,728.0,244.0,0.8172,85300.0,NEAR BAY
58,37.82,52.0,1387.0,1074.0,304.0,1.2171,80300.0,NEAR BAY
59,37.82,2.0,158.0,94.0,57.0,2.5625,60000.0,NEAR BAY
60,37.83,52.0,1121.0,554.0,187.0,3.3929,75700.0,NEAR BAY
61,37.82,49.0,135.0,86.0,23.0,6.1183,75000.0,NEAR BAY
62,37.81,50.0,760.0,377.0,122.0,0.9011,86100.0,NEAR BAY
63,37.81,52.0,1224.0,521.0,159.0,1.1909999999999998,76100.0,NEAR BAY
64,37.81,48.0,828.0,392.0,133.0,2.5938,73500.0,NEAR BAY
65,37.81,52.0,1010.0,604.0,187.0,1.1667,78400.0,NEAR BAY
66,37.81,48.0,1455.0,788.0,332.0,0.8056,84400.0,NEAR BAY
67,37.8,52.0,1027.0,492.0,147.0,2.6094,81300.0,NEAR BAY
68,37.81,52.0,572.0,274.0,82.0,1.8516,85000.0,NEAR BAY
69,37.81,46.0,2801.0,1823.0,611.0,0.9802,129200.0,NEAR BAY
70,37.81,26.0,768.0,392.0,127.0,1.7719,82500.0,NEAR BAY
71,37.81,46.0,935.0,582.0,277.0,0.7286,95200.0,NEAR BAY
72,37.81,49.0,844.0,560.0,152.0,1.75,75000.0,NEAR BAY
73,37.81,46.0,12.0,18.0,7.0,0.4999,67500.0,NEAR BAY
74,37.81,20.0,835.0,290.0,133.0,2.483,137500.0,NEAR BAY
